state	year	county	town	cd	g2002_GOV_dv	g2002_GOV_rv	g2002_GOV_tv	g2002_USS_dv	g2002_USS_rv	g2002_USS_tv	g2002_USH_dv	g2002_USH_rv	g2002_USH_tv	ward	precinct
"ME"	2002	"AND"	"AUBURN"	2	896	918	2101	897	897	1794	1071	963	2034	1	1
"ME"	2002	"AND"	"AUBURN"	2	735	664	1638	729	902	1631	896	690	1586	2	1
"ME"	2002	"AND"	"AUBURN"	2	761	685	1635	692	942	1634	868	722	1590	3	1
"ME"	2002	"AND"	"AUBURN"	2	704	633	1545	647	890	1537	822	689	1511	4	1
"ME"	2002	"AND"	"AUBURN"	2	828	601	1661	842	799	1641	999	622	1621	5	1
"ME"	2002	"AND"	"DURHAM"	2	551	765	1537	567	954	1521	714	776	1490	1	1
"ME"	2002	"AND"	"GREENE"	2	579	701	1489	571	915	1486	741	710	1451	1	1
"ME"	2002	"AND"	"LEEDS"	2	320	284	690	304	385	689	366	303	669	1	1
"ME"	2002	"AND"	"LEWISTON"	2	904	462	1565	825	759	1584	980	566	1546	0	0
"ME"	2002	"AND"	"LEWISTON"	2	159	70	269	154	114	268	202	68	270	1	1
"ME"	2002	"AND"	"LEWISTON"	2	539	407	1060	530	539	1069	668	370	1038	1	2
"ME"	2002	"AND"	"LEWISTON"	2	804	629	1586	737	848	1585	992	560	1552	2	1
"ME"	2002	"AND"	"LEWISTON"	2	377	277	719	355	363	718	476	232	708	2	2
"ME"	2002	"AND"	"LEWISTON"	2	203	61	301	175	130	305	214	84	298	3	1
"ME"	2002	"AND"	"LEWISTON"	2	263	121	511	335	175	510	364	131	495	3	2
"ME"	2002	"AND"	"LEWISTON"	2	425	333	813	364	451	815	506	291	797	4	1
"ME"	2002	"AND"	"LEWISTON"	2	597	353	1052	537	513	1050	712	329	1041	4	2
"ME"	2002	"AND"	"LEWISTON"	2	206	98	361	199	158	357	256	93	349	5	1
"ME"	2002	"AND"	"LEWISTON"	2	333	203	605	348	268	616	429	169	598	5	2
"ME"	2002	"AND"	"LEWISTON"	2	170	54	263	151	112	263	202	60	262	6	1
"ME"	2002	"AND"	"LEWISTON"	2	420	321	819	410	407	817	518	282	800	6	2
"ME"	2002	"AND"	"LEWISTON"	2	408	208	685	366	326	692	481	199	680	7	1
"ME"	2002	"AND"	"LEWISTON"	2	585	443	1161	560	606	1166	770	380	1150	7	2
"ME"	2002	"AND"	"LISBON"	2	659	581	1435	598	829	1427	770	617	1387	1	1
"ME"	2002	"AND"	"LISBON"	2	710	820	1733	643	1092	1735	816	881	1697	2	1
"ME"	2002	"AND"	"LIVERMORE"	2	398	314	795	362	427	789	462	317	779	1	1
"ME"	2002	"AND"	"LIVERMORE FALLS"	2	532	301	936	498	448	946	579	339	918	1	1
"ME"	2002	"AND"	"MECHANIC FALLS"	2	386	450	970	363	592	955	468	455	923	1	1
"ME"	2002	"AND"	"MINOT"	2	322	561	1003	322	678	1000	466	534	1000	1	1
"ME"	2002	"AND"	"POLAND"	2	734	970	1966	730	1237	1967	914	969	1883	1	1
"ME"	2002	"AND"	"SABATTUS"	2	685	578	1469	679	786	1465	827	612	1439	1	1
"ME"	2002	"AND"	"TURNER"	2	678	960	1871	640	1238	1878	878	961	1839	1	1
"ME"	2002	"AND"	"WALES"	2	193	243	491	182	315	497	241	244	485	1	1
"ME"	2002	"ARO"	"ALLAGASH"	2	57	51	131	49	78	127	53	54	107	1	1
"ME"	2002	"ARO"	"AMITY"	2	36	23	68	22	44	66	33	36	69	1	1
"ME"	2002	"ARO"	"ASHLAND"	2	283	152	461	122	342	464	264	192	456	1	1
"ME"	2002	"ARO"	"ASHLAND"	2	0	2	2	0	2	2	0	2	2	1	2
"ME"	2002	"ARO"	"BANCROFT"	2	14	12	26	9	17	26	14	11	25	1	1
"ME"	2002	"ARO"	"BENEDICTA TWP."	2	53	21	75	28	46	74	56	17	73	1	1
"ME"	2002	"ARO"	"BLAINE"	2	117	138	269	57	221	278	83	201	284	1	1
"ME"	2002	"ARO"	"BLAINE"	2	1	11	13	0	12	12	2	10	12	1	2
"ME"	2002	"ARO"	"BRIDGEWATER"	2	109	102	225	55	173	228	86	136	222	1	1
"ME"	2002	"ARO"	"CARIBOU"	2	1533	923	2663	690	1988	2678	1175	1429	2604	1	1
"ME"	2002	"ARO"	"CARY PLT."	2	33	34	75	23	48	71	38	37	75	1	1
"ME"	2002	"ARO"	"CASTLE HILL"	2	90	50	150	36	117	153	63	90	153	1	1
"ME"	2002	"ARO"	"CASWELL"	2	84	18	109	34	73	107	61	42	103	1	1
"ME"	2002	"ARO"	"CHAPMAN"	2	85	69	162	50	114	164	68	93	161	1	1
"ME"	2002	"ARO"	"CONNOR TWP."	2	89	33	137	59	77	136	82	53	135	1	1
"ME"	2002	"ARO"	"CRYSTAL"	2	56	41	104	20	86	106	59	50	109	1	1
"ME"	2002	"ARO"	"CYR PLT."	2	22	15	38	10	29	39	23	17	40	1	1
"ME"	2002	"ARO"	"DYER BROOK"	2	50	47	101	25	75	100	54	49	103	1	1
"ME"	2002	"ARO"	"EAGLE LAKE"	2	265	83	376	151	233	384	274	109	383	1	1
"ME"	2002	"ARO"	"EASTON"	2	273	188	507	113	399	512	217	279	496	1	1
"ME"	2002	"ARO"	"FORT FAIRFIELD"	2	906	350	1346	411	946	1357	665	659	1324	1	1
