state	year	county	town	cd	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	ward	precinct
"ME"	2004	"AND"	"AUBURN"	2	1393	1170	2598	1466	928	2444	1	1
"ME"	2004	"AND"	"AUBURN"	2	1476	1076	2595	1507	879	2457	2	1
"ME"	2004	"AND"	"AUBURN"	2	1344	1014	2407	1413	841	2300	3	1
"ME"	2004	"AND"	"AUBURN"	2	1283	993	2320	1321	789	2173	4	1
"ME"	2004	"AND"	"AUBURN"	2	1373	966	2397	1462	734	2253	5	1
"ME"	2004	"AND"	"DURHAM"	2	1129	1171	2343	1298	928	2263	1	1
"ME"	2004	"AND"	"GREENE"	2	1137	1248	2424	1374	918	2343	1	1
"ME"	2004	"AND"	"LEEDS"	2	582	540	1158	668	380	1091	1	1
"ME"	2004	"AND"	"LEWISTON"	2	2926	1533	4536	3229	1113	4433	0	0
"ME"	2004	"AND"	"LEWISTON"	2	1043	606	1684	1111	487	1634	1	1
"ME"	2004	"AND"	"LEWISTON"	2	1445	1017	2507	1656	776	2463	2	1
"ME"	2004	"AND"	"LEWISTON"	2	1056	429	1514	1065	317	1442	3	1
"ME"	2004	"AND"	"LEWISTON"	2	1256	862	2150	1514	605	2139	4	1
"ME"	2004	"AND"	"LEWISTON"	2	829	395	1252	907	286	1239	5	1
"ME"	2004	"AND"	"LEWISTON"	2	1293	972	2301	1495	740	2262	6	1
"ME"	2004	"AND"	"LEWISTON"	2	1173	709	1911	1339	528	1899	7	1
"ME"	2004	"AND"	"LISBON"	2	1203	1124	2360	1389	829	2267	1	1
"ME"	2004	"AND"	"LISBON"	2	1169	1250	2491	1407	919	2374	2	1
"ME"	2004	"AND"	"LIVERMORE"	2	720	555	1296	787	431	1249	1	1
"ME"	2004	"AND"	"LIVERMORE"									
"ME"	2004	"AND"	"MECHANIC"									
"ME"	2004	"AND"	"MINOT"	2	637	789	1455	737	628	1385	1	1
"ME"	2004	"AND"	"POLAND"	2	1490	1465	3008	1637	1220	2916	1	1
"ME"	2004	"AND"	"SABATTUS"	2	1269	1212	2522	1523	892	2459	1	1
"ME"	2004	"AND"	"TURNER"	2	1369	1569	3000	1590	1256	2888	1	1
"ME"	2004	"AND"	"WALES"	2	300	457	772	406	328	759	1	1
"ME"	2004	"ARO"	"ALLAGASH"	2	90	89	181	75	73	156	1	1
"ME"	2004	"ARO"	"AMITY"	2	47	54	105	55	43	101	1	1
"ME"	2004	"ARO"	"ASHLAND"	2	331	335	678	282	349	647	1	1
"ME"	2004	"ARO"	"ASHLAND"	2	1	3	4	1	3	4	1	2
"ME"	2004	"ARO"	"BANCROFT"	2	12	17	30	17	14	31	1	1
"ME"	2004	"ARO"	"BENEDICTA"									
"ME"	2004	"ARO"	"BLAINE"	2	124	296	422	105	293	402	1	1
"ME"	2004	"ARO"	"BLAINE"	2	14	20	35	9	27	36	1	2
"ME"	2004	"ARO"	"BRIDGEWATER"	2	135	204	344	114	221	338	1	1
"ME"	2004	"ARO"	"BRIDGEWATER"	2	4	2	6	4	2	6	1	2
"ME"	2004	"ARO"	"CARIBOU"	2	2044	1863	3966	1740	2111	3919	1	1
"ME"	2004	"ARO"	"CARY"									
"ME"	2004	"ARO"	"CASTLE"									
"ME"	2004	"ARO"	"CASTLE"									
"ME"	2004	"ARO"	"CASWELL"	2	107	52	161	84	70	157	1	1
"ME"	2004	"ARO"	"CHAPMAN"	2	125	132	259	81	170	255	1	1
"ME"	2004	"ARO"	"CONNOR"									
"ME"	2004	"ARO"	"CROSS"									
"ME"	2004	"ARO"	"CRYSTAL"	2	56	90	153	70	74	144	1	1
"ME"	2004	"ARO"	"CYR"									
"ME"	2004	"ARO"	"DYER"									
"ME"	2004	"ARO"	"EAGLE"									
"ME"	2004	"ARO"	"EASTON"	2	294	397	705	239	430	678	1	1
"ME"	2004	"ARO"	"FORT"									
"ME"	2004	"ARO"	"FORT"									
"ME"	2004	"ARO"	"FRENCHVILLE"	2	511	156	674	459	188	664	1	1
"ME"	2004	"ARO"	"GARFIELD"									
"ME"	2004	"ARO"	"GLENWOOD"									
"ME"	2004	"ARO"	"GRAND"									
"ME"	2004	"ARO"	"HAMLIN"	2	84	39	124	72	48	120	1	1
"ME"	2004	"ARO"	"HAMMOND"	2	18	30	49	23	26	49	1	1
"ME"	2004	"ARO"	"HAYNESVILLE"	2	18	41	59	33	24	57	1	1
"ME"	2004	"ARO"	"HERSEY"	2	8	24	34	15	15	30	1	1
"ME"	2004	"ARO"	"HODGDON"	2	212	441	659	271	356	633	1	1
"ME"	2004	"ARO"	"HOULTON"	2	1189	1696	2930	1360	1474	2893	1	1
"ME"	2004	"ARO"	"ISLAND"									
"ME"	2004	"ARO"	"LIMESTONE"	2	574	441	1034	555	425	1009	1	1
"ME"	2004	"ARO"	"LINNEUS"	2	111	323	439	154	238	403	1	1
"ME"	2004	"ARO"	"LITTLETON"	2	139	345	489	189	270	468	1	1
"ME"	2004	"ARO"	"LUDLOW"	2	83	124	209	101	102	208	1	1
"ME"	2004	"ARO"	"MACWAHOC"									
"ME"	2004	"ARO"	"MADAWASKA"	2	1601	552	2185	1716	719	2474	1	1
"ME"	2004	"ARO"	"MADAWASKA"									
"ME"	2004	"ARO"	"MAPLETON"	2	458	594	1070	361	679	1051	1	1
"ME"	2004	"ARO"	"MARS"									
"ME"	2004	"ARO"	"MASARDIS"	2	73	74	149	70	69	140	1	1
"ME"	2004	"ARO"	"MERRILL"	2	62	68	135	77	52	132	1	1
"ME"	2004	"ARO"	"MONTICELLO"	2	163	286	453	187	233	425	1	1
"ME"	2004	"ARO"	"MORO"									
"ME"	2004	"ARO"	"NASHVILLE"									
"ME"	2004	"ARO"	"NEW"									
"ME"	2004	"ARO"	"NEW"									
"ME"	2004	"ARO"	"NEW"									
"ME"	2004	"ARO"	"OAKFIELD"	2	153	217	380	204	153	361	1	1
"ME"	2004	"ARO"	"ORIENT"	2	30	50	81	38	31	74	1	1
"ME"	2004	"ARO"	"OXBOW"									
"ME"	2004	"ARO"	"PERHAM"	2	102	144	248	92	138	236	1	1
"ME"	2004	"ARO"	"PORTAGE"									
"ME"	2004	"ARO"	"PORTAGE"									
"ME"	2004	"ARO"	"PRESQUE"									
"ME"	2004	"ARO"	"REED"									
"ME"	2004	"ARO"	"SAINT"									
"ME"	2004	"ARO"	"SHERMAN"	2	160	350	521	252	254	511	1	1
"ME"	2004	"ARO"	"SINCLAIR"									
"ME"	2004	"ARO"	"SMYRNA"	2	86	88	175	98	69	167	1	1
"ME"	2004	"ARO"	"ST."									
"ME"	2004	"ARO"	"ST."									
"ME"	2004	"ARO"	"STOCKHOLM"	2	86	45	131	68	56	127	1	1
"ME"	2004	"ARO"	"VAN"									
"ME"	2004	"ARO"	"WADE"	2	67	90	159	53	100	154	1	1
