state	year	county	town	cd	g2006_GOV_dv	g2006_GOV_rv	g2006_GOV_tv	g2006_USH_dv	g2006_USH_rv	g2006_USH_tv	g2006_USS_rv	g2006_USS_tv	ward	precinct
"ME"	2006	"AND"	"AUBURN"	2	624	630	1856	1191	589	1780	1455	1856	1	1
"ME"	2006	"AND"	"AUBURN"	2	657	591	1913	1244	595	1839	1430	1905	2	1
"ME"	2006	"AND"	"AUBURN"	2	597	585	1789	1166	567	1733	1423	1770	3	1
"ME"	2006	"AND"	"AUBURN"	2	566	529	1711	1088	555	1643	1332	1700	4	1
"ME"	2006	"AND"	"AUBURN"	2	581	505	1739	1189	493	1682	1335	1729	5	1
"ME"	2006	"AND"	"DURHAM"	2	482	620	1772	1053	683	1736	1349	1750	1	1
"ME"	2006	"AND"	"GREENE"	2	482	662	1806	1128	619	1747	1420	1794	1	1
"ME"	2006	"AND"	"LEEDS"	2	277	314	898	583	282	865	669	890	1	1
"ME"	2006	"AND"	"LEWISTON"	2	1096	476	1914	1431	439	1870	1401	1894	0	0
"ME"	2006	"AND"	"LEWISTON"	2	547	313	1281	951	302	1253	878	1261	1	1
"ME"	2006	"AND"	"LEWISTON"	2	775	664	2106	1458	603	2061	1684	2073	2	1
"ME"	2006	"AND"	"LEWISTON"	2	560	185	1037	793	193	986	572	1013	3	1
"ME"	2006	"AND"	"LEWISTON"	2	654	454	1722	1239	434	1673	1347	1688	4	1
"ME"	2006	"AND"	"LEWISTON"	2	346	176	832	637	156	793	592	809	5	1
"ME"	2006	"AND"	"LEWISTON"	2	572	592	1788	1195	550	1745	1414	1763	6	1
"ME"	2006	"AND"	"LEWISTON"	2	571	432	1492	1076	378	1454	1139	1459	7	1
"ME"	2006	"AND"	"LISBON"	2	504	594	1740	916	778	1694	1380	1722	1	1
"ME"	2006	"AND"	"LISBON"	2	583	591	1905	1023	836	1859	1528	1886	2	1
"ME"	2006	"AND"	"LIVERMORE"	2	339	409	1027	679	305	984	763	1012	1	1
"ME"	2006	"AND"	"LIVERMORE FALLS"	2	446	421	1208	837	310	1147	889	1179	1	1
"ME"	2006	"AND"	"MECHANIC FALLS"	2	295	453	1160	705	420	1125	937	1139	1	1
"ME"	2006	"AND"	"MINOT"	2	241	438	1070	619	413	1032	868	1062	1	1
"ME"	2006	"AND"	"POLAND"	2	662	859	2332	1434	819	2253	1805	2303	1	1
"ME"	2006	"AND"	"SABATTUS"	2	475	678	1890	1173	671	1844	1487	1877	1	1
"ME"	2006	"AND"	"TURNER"	2	563	924	2283	1303	913	2216	1843	2256	1	1
"ME"	2006	"AND"	"WALES"	2	136	267	645	374	244	618	525	635	1	1
"ME"	2006	"ARO"	"ALLAGASH"	2	37	32	92	62	24	86	59	89	1	1
"ME"	2006	"ARO"	"AMITY"	2	23	29	79	47	27	74	58	78	1	1
"ME"	2006	"ARO"	"ASHLAND"	2	210	109	427	335	84	419	331	424	1	1
"ME"	2006	"ARO"	"ASHLAND"	2	0	1	1	1	0	1	1	1	1	2
"ME"	2006	"ARO"	"BANCROFT"	2	7	11	22	14	8	22	17	22	1	1
"ME"	2006	"ARO"	"BLAINE"	2	71	138	279	163	105	268	237	275	1	1
"ME"	2006	"ARO"	"BLAINE"	2	7	4	20	15	4	19	19	20	1	2
"ME"	2006	"ARO"	"BRIDGEWATER"	2	76	85	219	142	73	215	177	220	1	1
"ME"	2006	"ARO"	"BRIDGEWATER"	2	2	0	2	2	0	2	0	2	1	2
"ME"	2006	"ARO"	"CARIBOU"	2	1294	732	2732	2042	653	2695	2255	2743	1	1
"ME"	2006	"ARO"	"CARY PLT."	2	20	24	76	49	23	72	57	74	1	1
"ME"	2006	"ARO"	"CASTLE HILL"	2	56	42	154	101	47	148	136	156	1	1
"ME"	2006	"ARO"	"CASTLE HILL"	2	6	3	12	10	2	12	10	12	1	2
"ME"	2006	"ARO"	"CASWELL"	2	83	15	128	105	17	122	106	126	1	1
"ME"	2006	"ARO"	"CHAPMAN"	2	59	56	171	123	45	168	132	162	1	1
"ME"	2006	"ARO"	"CONNOR TWP."	2	62	15	107	97	13	110	76	110	1	1
"ME"	2006	"ARO"	"CRYSTAL"	2	44	41	111	77	33	110	93	107	1	1
"ME"	2006	"ARO"	"CYR PLT."	2	29	5	39	34	4	38	29	38	1	1
"ME"	2006	"ARO"	"DYER BROOK"	2	26	38	96	71	24	95	80	96	1	1
"ME"	2006	"ARO"	"EAGLE LAKE"	2	236	83	392	308	73	381	255	381	1	1
"ME"	2006	"ARO"	"EASTON"	2	174	181	520	354	147	501	423	516	1	1
"ME"	2006	"ARO"	"FORT FAIRFIELD"	2	671	313	1338	992	289	1281	1064	1335	1	1
"ME"	2006	"ARO"	"FORT KENT"	2	952	287	1516	1302	205	1507	973	1478	1	1
