state	year	county	town	cd	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	ward	precinct
"ME"	2008	"AND"	"AUBURN"	2	1442	989	2470	943	1505	2448	1650	716	2366	1	1
"ME"	2008	"AND"	"AUBURN"	2	1483	935	2470	1010	1433	2443	1676	704	2380	2	1
"ME"	2008	"AND"	"AUBURN"	2	1276	951	2264	774	1465	2239	1531	654	2185	3	1
"ME"	2008	"AND"	"AUBURN"	2	1346	952	2342	880	1436	2316	1553	719	2272	4	1
"ME"	2008	"AND"	"AUBURN"	2	1319	859	2237	902	1327	2229	1572	596	2168	5	1
"ME"	2008	"AND"	"DURHAM"	2	1246	1075	2368	743	1639	2382	1471	792	2263	1	1
"ME"	2008	"AND"	"GREENE"	2	1190	1165	2415	797	1610	2407	1541	800	2341	1	1
"ME"	2008	"AND"	"LEEDS"	2	623	530	1192	427	766	1193	758	405	1163	1	1
"ME"	2008	"AND"	"LEWISTON"	2	3576	1638	5299	2771	2535	5306	4130	959	5089	0	0
"ME"	2008	"AND"	"LEWISTON"	2	1014	491	1541	709	820	1530	1063	373	1436	1	1
"ME"	2008	"AND"	"LEWISTON"	2	1192	977	2210	801	1412	2213	1539	595	2134	2	1
"ME"	2008	"AND"	"LEWISTON"	2	1049	308	1387	766	577	1343	1030	215	1245	3	1
"ME"	2008	"AND"	"LEWISTON"	2	904	620	1554	577	981	1559	1139	351	1490	4	1
"ME"	2008	"AND"	"LEWISTON"	2	803	304	1133	575	560	1135	824	220	1044	5	1
"ME"	2008	"AND"	"LEWISTON"	2	1141	949	2132	748	1373	2121	1439	602	2041	6	1
"ME"	2008	"AND"	"LEWISTON"	2	950	674	1658	657	1009	1667	1197	396	1593	7	1
"ME"	2008	"AND"	"LISBON"	2	1168	1142	2365	779	1590	2369	1551	763	2314	1	1
"ME"	2008	"AND"	"LISBON"	2	1260	1151	2466	783	1654	2437	1593	788	2381	2	1
"ME"	2008	"AND"	"LIVERMORE"	2	743	508	1270	531	754	1285	799	439	1238	1	1
"ME"	2008	"AND"	"LIVERMORE FALLS"	2	913	468	1418	644	814	1458	919	494	1413	1	1
"ME"	2008	"AND"	"MECHANIC FALLS"	2	765	759	1572	487	1083	1570	933	554	1487	1	1
"ME"	2008	"AND"	"MINOT"	2	770	783	1577	472	1096	1568	919	595	1514	1	1
"ME"	2008	"AND"	"POLAND"	2	1629	1380	3083	1052	1973	3025	1927	1031	2958	1	1
"ME"	2008	"AND"	"SABATTUS"	2	1372	1181	2628	920	1699	2619	1741	809	2550	1	1
"ME"	2008	"AND"	"TURNER"	2	1494	1452	3001	963	2038	3001	1709	1140	2849	1	1
"ME"	2008	"AND"	"WALES"	2	349	430	798	230	565	795	467	299	766	1	1
"ME"	2008	"ARO"	"ALLAGASH"	2	81	60	143	52	95	147	101	33	134	1	1
"ME"	2008	"ARO"	"AMITY"	2	46	44	92	25	62	89	57	31	88	1	1
"ME"	2008	"ARO"	"ASHLAND"	2	358	261	635	167	437	604	463	132	595	1	1
"ME"	2008	"ARO"	"ASHLAND"	2	0	3	3	0	3	3	1	2	3	1	2
"ME"	2008	"ARO"	"BANCROFT"	2	13	16	30	9	22	31	14	15	29	1	1
"ME"	2008	"ARO"	"BLAINE"	2	133	256	394	63	328	391	214	155	369	1	1
"ME"	2008	"ARO"	"BLAINE"	2	13	20	33	2	31	33	17	13	30	1	2
"ME"	2008	"ARO"	"BRIDGEWATER"	2	160	182	342	74	266	340	208	118	326	1	1
"ME"	2008	"ARO"	"BRIDGEWATER"	2	2	0	2	2	0	2	2	0	2	1	2
"ME"	2008	"ARO"	"CARIBOU"	2	2148	1681	3903	841	2034	2875	2860	938	3798	1	1
"ME"	2008	"ARO"	"CARY PLT."	2	39	60	101	25	78	103	60	40	100	1	1
"ME"	2008	"ARO"	"CASTLE HILL"	2	72	112	214	41	172	213	136	71	207	1	1
"ME"	2008	"ARO"	"CASTLE HILL"	2	7	20	27	2	25	27	17	10	27	1	2
"ME"	2008	"ARO"	"CASWELL"	2	81	60	145	22	126	148	124	20	144	1	1
"ME"	2008	"ARO"	"CHAPMAN"	2	129	101	238	69	170	239	172	61	233	1	1
"ME"	2008	"ARO"	"CONNOR TWP."	2	122	67	195	49	146	195	159	31	190	1	1
"ME"	2008	"ARO"	"CRYSTAL"	2	44	92	140	34	105	139	91	47	138	1	1
"ME"	2008	"ARO"	"CYR PLT."	2	31	17	48	8	39	47	36	11	47	1	1
"ME"	2008	"ARO"	"DYER BROOK"	2	50	93	144	32	113	145	89	53	142	1	1
"ME"	2008	"ARO"	"EAGLE LAKE"	2	307	163	479	161	312	473	368	97	465	1	1
"ME"	2008	"ARO"	"EASTON"	2	305	351	668	143	519	662	464	176	640	1	1
"ME"	2008	"ARO"	"FORT FAIRFIELD"	2	932	746	1707	464	1228	1695	1293	389	1682	1	1
"ME"	2008	"ARO"	"FORT KENT"	2	1515	609	2162	748	1420	2169	1741	357	2098	1	1
"ME"	2008	"ARO"	"FRENCHVILLE"	2	467	151	626	295	341	636	544	74	618	1	1
"ME"	2008	"ARO"	"GARFIELD PLT."	2	28	30	58	10	47	57	34	19	53	1	1
"ME"	2008	"ARO"	"GLENWOOD PLT."	2	2	1	3	0	3	3	3	0	3	1	1
"ME"	2008	"ARO"	"GRAND ISLE"	2	197	45	246	118	145	263	222	31	253	1	1
"ME"	2008	"ARO"	"HAMLIN"	2	72	37	109	26	83	109	85	22	107	1	1
"ME"	2008	"ARO"	"HAMMOND"	2	31	19	52	20	31	51	35	16	51	1	1
"ME"	2008	"ARO"	"HAYNESVILLE"	2	15	47	63	10	53	63	43	18	61	1	1
"ME"	2008	"ARO"	"HERSEY"	2	7	22	29	2	26	28	16	14	30	1	1
"ME"	2008	"ARO"	"HODGDON"	2	221	418	647	103	533	636	364	251	615	1	1
"ME"	2008	"ARO"	"HOULTON"	2	1221	1462	2735	625	2153	2779	1865	817	2682	1	1
"ME"	2008	"ARO"	"ISLAND FALLS"	2	191	227	429	108	341	449	295	144	439	1	1
"ME"	2008	"ARO"	"LIMESTONE"	2	587	367	976	271	695	966	720	190	910	1	1
"ME"	2008	"ARO"	"LINNEUS"	2	145	279	432	93	331	424	253	155	408	1	1
"ME"	2008	"ARO"	"LITTLETON"	2	147	301	451	77	372	449	284	153	437	1	1
"ME"	2008	"ARO"	"LUDLOW"	2	89	114	207	42	171	213	133	66	199	1	1
"ME"	2008	"ARO"	"MACWAHOC PLT."	2	48	42	92	35	58	93	69	23	92	1	1
"ME"	2008	"ARO"	"MADAWASKA"	2	1673	474	2196	1120	1175	2295	1973	267	2240	1	1
"ME"	2008	"ARO"	"MADAWASKA LAKE TWP."	2	49	56	105	25	88	113	79	29	108	1	1
"ME"	2008	"ARO"	"MAPLETON"	2	476	573	1069	231	858	1089	707	336	1043	1	1
"ME"	2008	"ARO"	"MARS HILL"	2	275	506	788	141	650	791	466	279	745	1	1
"ME"	2008	"ARO"	"MASARDIS"	2	65	72	138	26	115	141	101	35	136	1	1
"ME"	2008	"ARO"	"MERRILL"	2	51	67	124	32	99	131	92	37	129	1	1
