state	year	cd	county	town	ward_precinct	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv
"ME"	2010	2	"AND"	"AUBURN"	"1-1"	343	742	1906	875	1000	1875
"ME"	2010	2	"AND"	"AUBURN"	"2-1"	325	670	1870	808	1039	1847
"ME"	2010	2	"AND"	"AUBURN"	"3-1"	313	675	1779	830	937	1767
"ME"	2010	2	"AND"	"AUBURN"	"4-1"	314	719	1801	852	935	1787
"ME"	2010	2	"AND"	"AUBURN"	"5-1"	288	646	1687	735	944	1679
"ME"	2010	2	"AND"	"DURHAM"	"1-1"	254	851	1930	930	975	1905
"ME"	2010	2	"AND"	"GREENE"	"1-1"	274	960	1911	951	936	1887
"ME"	2010	2	"AND"	"LEEDS"	"1-1"	138	470	960	443	498	941
"ME"	2010	2	"AND"	"LEWISTON"	"1-1,1-2"	226	399	1152	471	675	1146
"ME"	2010	2	"AND"	"LEWISTON"	"2-1,2-2,2-3"	262	826	1937	873	1048	1921
"ME"	2010	2	"AND"	"LEWISTON"	"3-1,3-2,3-3"	226	217	803	250	549	799
"ME"	2010	2	"AND"	"LEWISTON"	"4-1,4-2"	235	568	1367	575	801	1376
"ME"	2010	2	"AND"	"LEWISTON"	"5-1,5-2"	205	219	657	207	446	653
"ME"	2010	2	"AND"	"LEWISTON"	"6-1,6-2"	229	807	1735	809	930	1739
"ME"	2010	2	"AND"	"LEWISTON"	"7-1,7-2"	214	566	1354	580	778	1358
"ME"	2010	2	"AND"	"LEWISTON"	"CENTRAL ABSENTEE"	838	1024	2817	1010	1806	2816
"ME"	2010	2	"AND"	"LISBON"	"1-1"	254	932	1875	977	881	1858
"ME"	2010	2	"AND"	"LISBON"	"2-1,2-2"	268	892	1994	959	1008	1967
"ME"	2010	2	"AND"	"LIVERMORE"	"1-1"	193	467	1053	442	593	1035
"ME"	2010	2	"AND"	"LIVERMORE FALLS"	"1-1"	223	427	1078	417	644	1061
"ME"	2010	2	"AND"	"MECHANIC FALLS"	"1-1"	172	566	1286	664	638	1302
"ME"	2010	2	"AND"	"MINOT"	"1-1"	119	669	1236	693	561	1254
"ME"	2010	2	"AND"	"POLAND"	"1-1"	344	1093	2572	1202	1328	2530
"ME"	2010	2	"AND"	"SABATTUS"	"1-1"	240	1006	2009	1020	963	1983
"ME"	2010	2	"AND"	"TURNER"	"1-1"	281	1228	2443	1283	1118	2401
"ME"	2010	2	"AND"	"WALES"	"1-1"	60	368	664	383	273	656
"ME"	2010	2	"ARO"	"ALLAGASH"	"1-1"	49	39	114	43	65	108
