state	year	county_name	town_name	county	town	ward	cd	precinct	g2000_BALL_tv	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv
"MI"	2000	"ALCONA"	"ALCONA TOWNSHIP"	1	2	0	5	1	458	198	247	455	176	256	439	234	166	405
"MI"	2000	"ALCONA"	"ALCONA TOWNSHIP"	1	2	0	5	901	281	120	151	275	108	166	274	126	126	252
"MI"	2000	"ALCONA"	"CALEDONIA TOWNSHIP"	1	4	0	5	1	529	244	270	525	206	287	502	246	200	449
"MI"	2000	"ALCONA"	"CALEDONIA TOWNSHIP"	1	4	0	5	901	145	65	77	145	63	78	144	80	57	139
"MI"	2000	"ALCONA"	"CURTIS TOWNSHIP"	1	6	0	5	1	487	267	198	481	231	226	466	293	115	411
"MI"	2000	"ALCONA"	"CURTIS TOWNSHIP"	1	6	0	5	901	147	66	79	145	62	79	141	88	48	136
"MI"	2000	"ALCONA"	"GREENBUSH TOWNSHIP"	1	8	0	5	1	767	335	408	760	286	441	743	445	260	711
"MI"	2000	"ALCONA"	"GUSTIN TOWNSHIP"	1	10	0	5	1	299	132	156	295	100	182	284	148	100	250
"MI"	2000	"ALCONA"	"GUSTIN TOWNSHIP"	1	10	0	5	901	63	21	41	62	15	43	58	28	29	57
"MI"	2000	"ALCONA"	"HARRISVILLE TOWNSHIP"	1	12	0	5	1	584	222	341	579	179	350	545	275	205	487
"MI"	2000	"ALCONA"	"HARRISVILLE TOWNSHIP"	1	12	0	5	901	150	57	88	149	47	95	147	79	59	140
"MI"	2000	"ALCONA"	"HAWES TOWNSHIP"	1	14	0	5	1	444	226	196	437	194	212	416	262	104	369
"MI"	2000	"ALCONA"	"HAWES TOWNSHIP"	1	14	0	5	901	153	80	64	147	74	73	147	93	40	134
"MI"	2000	"ALCONA"	"HAYNES TOWNSHIP"	1	16	0	5	1	345	132	201	341	125	194	327	176	121	300
"MI"	2000	"ALCONA"	"HAYNES TOWNSHIP"	1	16	0	5	901	78	33	42	77	27	47	74	37	37	75
"MI"	2000	"ALCONA"	"MIKADO TOWNSHIP"	1	18	0	5	1	369	141	209	361	110	230	350	211	115	328
"MI"	2000	"ALCONA"	"MIKADO TOWNSHIP"	1	18	0	5	901	49	16	32	48	14	34	49	25	23	48
"MI"	2000	"ALCONA"	"MILLEN TOWNSHIP"	1	20	0	5	1	228	105	116	226	91	121	216	130	55	187
"MI"	2000	"ALCONA"	"MITCHELL TOWNSHIP"	1	22	0	5	1	226	96	118	221	82	103	190	102	62	169
"MI"	2000	"ALCONA"	"HARRISVILLE CITY"	1	52	0	5	901	59	31	26	58	27	29	58	35	24	59
"MI"	2000	"ALCONA"	"HARRISVILLE CITY"	1	52	1	5	1	62	32	25	59	27	26	56	32	20	52
"MI"	2000	"ALCONA"	"HARRISVILLE CITY"	1	52	2	5	1	84	48	29	83	43	38	83	55	18	74
"MI"	2000	"ALCONA"	"HARRISVILLE CITY"	1	52	3	5	1	68	29	38	68	18	46	66	36	24	61
"MI"	2000	"ALGER"	"AU TRAIN TOWNSHIP"	2	2	0	1	1	585	252	299	572	244	303	560	339	228	570
"MI"	2000	"ALGER"	"BURT TOWNSHIP"	2	4	0	1	1	331	144	167	328	132	164	309	203	109	312
"MI"	2000	"ALGER"	"GRAND ISLAND TOWNSHIP"	2	6	0	1	1	32	14	17	31	13	15	28	20	11	31
"MI"	2000	"ALGER"	"LIMESTONE TOWNSHIP"	2	8	0	1	1	209	102	93	205	106	86	196	117	73	197
"MI"	2000	"ALGER"	"MATHIAS TOWNSHIP"	2	10	0	1	1	276	136	107	255	125	108	237	159	82	243
"MI"	2000	"ALGER"	"MUNISING TOWNSHIP"	2	12	0	1	1	655	328	418	771	318	423	764	444	333	780
"MI"	2000	"ALGER"	"MUNISING TOWNSHIP"	2	12	0	1	2	345	70	142	216	79	118	206	96	117	218
"MI"	2000	"ALGER"	"ONOTA TOWNSHIP"	2	14	0	1	1	226	123	90	225	111	99	214	141	78	220
"MI"	2000	"ALGER"	"ROCK RIVER TOWNSHIP"	2	16	0	1	1	199	104	91	199	101	88	193	125	66	194
"MI"	2000	"ALGER"	"ROCK RIVER TOWNSHIP"	2	16	0	1	2	208	94	105	204	91	106	202	112	90	206
"MI"	2000	"ALGER"	"ROCK RIVER TOWNSHIP"	2	16	0	1	3	208	122	73	203	113	73	195	141	55	198
"MI"	2000	"ALGER"	"MUNISING CITY"	2	52	0	1	1	446	209	216	436	199	211	427	278	152	432
"MI"	2000	"ALGER"	"MUNISING CITY"	2	52	0	1	2	736	373	324	721	346	319	680	456	251	711
"MI"	2000	"ALLEGAN"	"ALLEGAN TOWNSHIP"	3	2	0	2	1	1727	741	903	1708	695	946	1695	507	1062	1655
"MI"	2000	"ALLEGAN"	"CASCO TOWNSHIP"	3	4	0	6	1	1255	536	662	1245	486	715	1240	276	878	1221
"MI"	2000	"ALLEGAN"	"CHESHIRE TOWNSHIP"	3	6	0	6	1	837	371	424	827	337	439	821	215	531	805
"MI"	2000	"ALLEGAN"	"CLYDE TOWNSHIP"	3	8	0	2	1	621	237	361	613	218	379	611	193	396	606
"MI"	2000	"ALLEGAN"	"DORR TOWNSHIP"	3	10	0	2	1	1826	518	1271	1819	465	1298	1797	395	1298	1737
"MI"	2000	"ALLEGAN"	"DORR TOWNSHIP"	3	10	0	2	3	1230	348	852	1222	332	844	1215	274	875	1194
"MI"	2000	"ALLEGAN"	"FILLMORE TOWNSHIP"	3	12	0	2	1	1335	163	1149	1322	141	1157	1305	127	1168	1297
"MI"	2000	"ALLEGAN"	"GANGES TOWNSHIP"	3	14	0	2	1	1183	480	650	1178	438	681	1167	372	730	1150
"MI"	2000	"ALLEGAN"	"GUNPLAIN TOWNSHIP"	3	16	0	2	1	1651	678	862	1597	620	924	1587	493	947	1517
"MI"	2000	"ALLEGAN"	"GUNPLAIN TOWNSHIP"	3	16	0	2	2	959	408	516	957	361	539	945	321	541	912
"MI"	2000	"ALLEGAN"	"HEATH TOWNSHIP"	3	18	0	2	1	1316	271	1025	1314	275	1010	1302	213	1056	1294
"MI"	2000	"ALLEGAN"	"HOPKINS TOWNSHIP"	3	20	0	2	1	1158	386	738	1145	357	757	1141	291	784	1127
"MI"	2000	"ALLEGAN"	"LAKETOWN TOWNSHIP"	3	22	0	2	1	2283	499	1727	2274	486	1735	2267	400	1834	2263
"MI"	2000	"ALLEGAN"	"LAKETOWN TOWNSHIP"	3	22	0	2	2	960	264	658	956	247	669	952	219	702	946
"MI"	2000	"ALLEGAN"	"LEE TOWNSHIP"	3	24	0	6	1	847	428	382	841	389	403	829	295	470	814
"MI"	2000	"ALLEGAN"	"LEIGHTON TOWNSHIP"	3	26	0	2	1	1786	360	1386	1775	370	1366	1764	293	1392	1738
"MI"	2000	"ALLEGAN"	"MANLIUS TOWNSHIP"	3	28	0	2	1	1243	336	862	1232	326	880	1227	267	916	1217
"MI"	2000	"ALLEGAN"	"MARTIN TOWNSHIP"	3	30	0	2	1	1056	308	727	1052	303	728	1044	261	744	1023
"MI"	2000	"ALLEGAN"	"MONTEREY TOWNSHIP"	3	32	0	2	1	820	285	512	815	276	516	809	221	539	798
"MI"	2000	"ALLEGAN"	"OTSEGO TOWNSHIP"	3	34	0	2	1	418	179	225	415	165	231	411	138	236	393
"MI"	2000	"ALLEGAN"	"OTSEGO TOWNSHIP"	3	34	0	6	2	1580	705	831	1575	648	860	1547	390	1090	1522
"MI"	2000	"ALLEGAN"	"OVERISEL TOWNSHIP"	3	36	0	2	1	1407	120	1261	1403	126	1257	1402	100	1277	1396
"MI"	2000	"ALLEGAN"	"SALEM TOWNSHIP"	3	38	0	2	1	1552	389	1104	1509	380	1091	1502	316	1125	1482
"MI"	2000	"ALLEGAN"	"SAUGATUCK TOWNSHIP"	3	40	0	2	1	1745	815	854	1731	784	875	1710	669	958	1690
"MI"	2000	"ALLEGAN"	"TROWBRIDGE TOWNSHIP"	3	42	0	6	1	1040	402	600	1032	389	608	1028	236	696	1000
"MI"	2000	"ALLEGAN"	"VALLEY TOWNSHIP"	3	44	0	2	1	750	329	396	749	289	418	740	239	437	716
"MI"	2000	"ALLEGAN"	"WATSON TOWNSHIP"	3	46	0	2	1	785	313	440	782	308	452	779	259	456	753
"MI"	2000	"ALLEGAN"	"WAYLAND TOWNSHIP"	3	48	0	2	1	1261	504	778	1318	507	764	1306	403	807	1271
"MI"	2000	"ALLEGAN"	"ALLEGAN CITY"	3	52	0	2	1	618	300	290	611	257	314	601	211	356	594
"MI"	2000	"ALLEGAN"	"ALLEGAN CITY"	3	52	0	2	2	1126	472	569	1096	457	585	1085	361	635	1054
"MI"	2000	"ALLEGAN"	"FENNVILLE CITY"	3	54	0	2	1	367	158	193	365	143	202	353	126	205	349
"MI"	2000	"ALLEGAN"	"HOLLAND CITY"	3	56	0	2	901	685	130	534	673	134	528	676	98	569	674
"MI"	2000	"ALLEGAN"	"HOLLAND CITY"	3	56	4	2	2	386	115	265	385	107	263	379	85	291	382
"MI"	2000	"ALLEGAN"	"HOLLAND CITY"	3	56	5	2	1	736	182	532	729	158	547	726	135	568	715
