state	year	county_name	town_name	county	town	ward	cd	precinct	g2004_BALL_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"MI"	2004	"ALCONA"	"ALCONA TOWNSHIP"	1	2	0	1	1	435	185	247	433	251	143	394
"MI"	2004	"ALCONA"	"ALCONA TOWNSHIP"	1	2	0	1	901	373	161	192	357	211	124	339
"MI"	2004	"ALCONA"	"CALEDONIA TOWNSHIP"	1	4	0	1	1	512	237	264	507	289	163	455
"MI"	2004	"ALCONA"	"CALEDONIA TOWNSHIP"	1	4	0	1	901	203	93	105	201	125	69	194
"MI"	2004	"ALCONA"	"CURTIS TOWNSHIP"	1	6	0	1	1	533	281	236	525	299	159	463
"MI"	2004	"ALCONA"	"CURTIS TOWNSHIP"	1	6	0	1	901	167	77	88	167	87	65	154
"MI"	2004	"ALCONA"	"GREENBUSH TOWNSHIP"	1	8	0	1	1	820	345	457	814	408	348	768
"MI"	2004	"ALCONA"	"GUSTIN TOWNSHIP"	1	10	0	1	1	339	138	193	333	187	104	293
"MI"	2004	"ALCONA"	"GUSTIN TOWNSHIP"	1	10	0	1	901	61	20	40	60	29	26	57
"MI"	2004	"ALCONA"	"HARRISVILLE TOWNSHIP"	1	12	0	1	1	834	323	498	826	412	329	751
"MI"	2004	"ALCONA"	"HAWES TOWNSHIP"	1	14	0	1	1	474	229	235	470	282	133	419
"MI"	2004	"ALCONA"	"HAWES TOWNSHIP"	1	14	0	1	901	151	74	72	148	86	50	138
"MI"	2004	"ALCONA"	"HAYNES TOWNSHIP"	1	16	0	1	1	333	153	175	333	193	114	310
"MI"	2004	"ALCONA"	"HAYNES TOWNSHIP"	1	16	0	1	901	130	55	72	127	70	56	126
"MI"	2004	"ALCONA"	"MIKADO TOWNSHIP"	1	18	0	1	1	366	141	221	363	204	127	334
"MI"	2004	"ALCONA"	"MIKADO TOWNSHIP"	1	18	0	1	901	83	26	54	82	28	47	78
"MI"	2004	"ALCONA"	"MILLEN TOWNSHIP"	1	20	0	1	1	231	93	134	228	133	72	207
"MI"	2004	"ALCONA"	"MITCHELL TOWNSHIP"	1	22	0	1	1	267	96	166	267	113	123	239
"MI"	2004	"ALCONA"	"HARRISVILLE CITY"	1	52	0	1	901	61	34	27	61	36	21	57
"MI"	2004	"ALCONA"	"HARRISVILLE CITY"	1	52	1	1	1	70	36	31	67	44	15	59
"MI"	2004	"ALCONA"	"HARRISVILLE CITY"	1	52	2	1	1	84	47	34	82	53	19	73
"MI"	2004	"ALCONA"	"HARRISVILLE CITY"	1	52	3	1	1	81	27	51	80	29	29	60
"MI"	2004	"ALGER"	"AU TRAIN TOWNSHIP"	2	2	0	1	1	651	291	350	648	439	193	638
"MI"	2004	"ALGER"	"BURT TOWNSHIP"	2	4	0	1	1	352	174	161	341	243	74	318
"MI"	2004	"ALGER"	"GRAND ISLAND TOWNSHIP"	2	6	0	1	1	32	11	21	32	18	13	31
"MI"	2004	"ALGER"	"LIMESTONE TOWNSHIP"	2	8	0	1	1	225	125	96	222	154	61	217
"MI"	2004	"ALGER"	"MATHIAS TOWNSHIP"	2	10	0	1	1	303	189	111	302	228	63	293
"MI"	2004	"ALGER"	"MUNISING TOWNSHIP"	2	12	0	1	1	868	378	475	865	576	265	850
"MI"	2004	"ALGER"	"MUNISING TOWNSHIP"	2	12	0	1	2	228	93	132	228	145	77	224
"MI"	2004	"ALGER"	"ONOTA TOWNSHIP"	2	14	0	1	1	254	136	114	251	173	70	245
"MI"	2004	"ALGER"	"ROCK RIVER TOWNSHIP"	2	16	0	1	1	200	110	88	198	141	49	194
"MI"	2004	"ALGER"	"ROCK RIVER TOWNSHIP"	2	16	0	1	2	255	117	133	255	161	81	245
"MI"	2004	"ALGER"	"ROCK RIVER TOWNSHIP"	2	16	0	1	3	231	128	100	231	154	68	222
"MI"	2004	"ALGER"	"MUNISING CITY"	2	52	0	1	1	441	225	207	438	295	125	424
