state	year	county	town	ward	precinct	cd	sd	ld	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"MI"	2008	1	2	0	1	1		106	329	423	767	391	348	758	442	305	758
"MI"	2008	1	4	0	1	1		106	289	371	671	382	249	654	417	231	661
"MI"	2008	1	6	0	1	1		106	370	316	701	414	239	681	459	196	674
"MI"	2008	1	8	0	1	1		106	376	456	842	444	360	832	531	286	836
"MI"	2008	1	10	0	1	1		106	163	210	380	219	133	376	250	119	379
"MI"	2008	1	12	0	1	1		106	318	475	805	393	360	785	454	320	794
"MI"	2008	1	14	0	1	1		106	283	296	590	358	204	578	420	154	583
"MI"	2008	1	16	0	1	1		106	207	228	441	252	169	438	274	156	440
"MI"	2008	1	18	0	1	1		106	214	249	478	248	194	465	310	152	469
"MI"	2008	1	20	0	1	1		106	121	109	236	144	79	228	148	74	229
"MI"	2008	1	22	0	1	1		106	92	144	243	111	127	245	128	110	245
"MI"	2008	1	52	0	1	1		106	134	127	266	150	100	257	170	80	257
"MI"	2008	2	2	0	1	1		109	324	338	675	398	235	655	416	236	665
"MI"	2008	2	4	0	1	1		109	163	179	347	200	124	333	141	187	337
"MI"	2008	2	6	0	1	1		109	14	13	27	17	9	27	16	11	27
"MI"	2008	2	8	0	1	1		109	128	104	237	154	72	230	165	70	238
"MI"	2008	2	10	0	1	1		109	160	97	261	187	59	250	196	57	255
"MI"	2008	2	12	0	1	1		109	432	450	898	557	284	869	563	320	894
"MI"	2008	2	12	0	2	1		109	113	99	218	147	56	211	149	62	214
"MI"	2008	2	14	0	1	1		109	132	126	260	144	107	256	154	101	258
"MI"	2008	2	16	0	1	1		109	367	294	678	448	195	670	449	222	683
"MI"	2008	2	52	0	1	1		109	639	488	1149	793	305	1129	805	328	1145
"MI"	2008	3	2	0	1	6		88	769	666	1468	781	591	1433	512	859	1420
"MI"	2008	3	2	0	2	6		88	345	280	634	342	253	615	218	361	600
"MI"	2008	3	4	0	1	6		88	81	81	164	86	73	164	65	98	165
"MI"	2008	3	4	0	1	6		88	711	555	1284	727	483	1254	496	728	1254
"MI"	2008	3	6	0	1	6		88	524	456	1009	545	388	988	351	574	976
"MI"	2008	3	8	0	1	6		88	446	359	823	453	296	787	299	430	775
"MI"	2008	3	10	0	1	2		88	230	416	656	238	374	633	164	455	635
"MI"	2008	3	10	0	2	2		88	469	902	1399	493	815	1368	330	979	1352
"MI"	2008	3	10	0	3	6		88	446	653	1126	476	574	1083	333	689	1062
"MI"	2008	3	10	0	4	6		88	186	512	717	196	480	705	142	526	691
"MI"	2008	3	12	0	1	2		88	308	1124	1463	318	1090	1439	211	1209	1446
"MI"	2008	3	14	0	1	6		88	708	662	1406	757	565	1379	500	822	1372
"MI"	2008	3	16	0	1	6		88	982	985	2016	1017	877	1973	626	1283	1971
"MI"	2008	3	16	0	2	6		88	639	535	1202	631	483	1166	419	708	1162
"MI"	2008	3	18	0	1	2		88	506	1204	1748	538	1135	1728	365	1311	1727
"MI"	2008	3	20	0	1	6		88	376	635	1039	398	581	1020	268	685	1002
"MI"	2008	3	20	0	1	6		88	138	135	278	145	116	270	94	157	263
"MI"	2008	3	22	0	1	2		88	413	658	1085	398	644	1065	281	773	1074
"MI"	2008	3	22	0	2	2		88	329	799	1149	331	766	1128	239	869	1129
"MI"	2008	3	22	0	3	2		88	203	261	471	209	242	466	154	298	468
"MI"	2008	3	22	0	901	2		88	340	600	951	336	596	950	268	665	946
"MI"	2008	3	24	0	1	6		88	635	428	1080	650	341	1045	466	530	1042
"MI"	2008	3	26	0	1	6		88	479	1088	1594	500	1029	1573	341	1143	1544
"MI"	2008	3	26	0	2	6		88	202	651	866	208	619	850	131	679	837
"MI"	2008	3	28	0	1	2		88	569	991	1580	598	903	1540	376	1135	1545
"MI"	2008	3	30	0	1	6		88	374	659	1047	391	611	1026	249	747	1014
"MI"	2008	3	30	0	1	6		88	81	102	186	87	90	184	58	115	183
"MI"	2008	3	32	0	1	2		88	450	597	1067	484	516	1041	305	680	1030
"MI"	2008	3	34	0	1	6		80	724	646	1408	727	593	1366	437	873	1361
"MI"	2008	3	34	0	2	6		80	709	571	1300	717	502	1261	445	781	1260
"MI"	2008	3	36	0	1	2		88	274	1334	1640	304	1282	1624	164	1421	1627
"MI"	2008	3	38	0	1	2		88	630	1509	2187	676	1373	2132	412	1638	2123
"MI"	2008	3	40	0	1	2		88	963	779	1769	989	691	1730	718	968	1740
"MI"	2008	3	42	0	1	6		88	623	575	1228	643	505	1206	430	718	1201
"MI"	2008	3	44	0	1	6		88	516	442	973	531	383	947	339	561	929
"MI"	2008	3	46	0	1	6		80	241	245	494	246	217	488	157	310	487
"MI"	2008	3	46	0	1	6		80	206	225	444	225	188	435	138	269	429
"MI"	2008	3	48	0	1	6		88	725	838	1596	748	735	1543	510	951	1517
"MI"	2008	3	52	0	1	6		88	452	262	724	438	234	704	285	391	702
"MI"	2008	3	52	0	2	6		88	760	583	1376	792	484	1337	561	717	1340
"MI"	2008	3	53	0	1	2		88	472	246	725	456	233	714	373	322	712
"MI"	2008	3	54	0	1	2		88	279	163	448	261	153	432	187	234	432
"MI"	2008	3	56	0	901	2		88	275	592	877	264	378	658	175	482	657
"MI"	2008	3	56	4	2	2		88	278	396	681	241	261	519	186	323	524
"MI"	2008	3	56	5	1	2		88	258	264	529	225	424	668	171	505	684
"MI"	2008	3	56	5	2	2		88	239	444	690	318	390	726	242	479	734
"MI"	2008	3	56	5	3	2		88	341	397	747	264	589	863	212	659	875
"MI"	2008	3	58	0	1	6		80	982	711	1727	1005	595	1669	593	1024	1666
"MI"	2008	3	60	0	1	6		88	1035	731	1799	1015	675	1755	682	1007	1743
"MI"	2008	3	62	0	1	2		88	396	229	638	397	204	627	308	300	622
"MI"	2008	3	63	0	901	6		88	5	2	7	7	0	7	5	2	7
"MI"	2008	3	64	0	1	6		88	843	883	1764	875	782	1723	627	995	1695
"MI"	2008	4	2	0	1	1		106	333	321	666	452	184	655	454	200	667
"MI"	2008	4	2	0	2	1		106	431	397	846	579	215	835	611	213	848
"MI"	2008	4	2	0	3	1		106	466	435	921	613	261	895	653	247	912
"MI"	2008	4	2	0	4	1		106	291	222	523	366	124	509	393	111	516
"MI"	2008	4	2	0	5	1		106	382	389	784	528	218	773	560	211	783
"MI"	2008	4	2	0	901	1		106	716	536	1266	909	319	1257	930	319	1266
"MI"	2008	4	4	0	1	1		106	278	337	629	373	219	613	408	201	622
"MI"	2008	4	6	1	1	1		106	259	276	542	342	170	524	364	164	537
"MI"	2008	4	8	0	1	1		106	395	388	803	535	217	781	566	212	793
"MI"	2008	4	10	0	1	1		106	335	487	833	455	345	822	491	327	830
"MI"	2008	4	12	0	1	1		106	506	534	1055	671	324	1034	734	292	1047
"MI"	2008	4	14	0	1	1		106	57	70	129	69	54	127	78	45	126
"MI"	2008	4	16	0	1	1		106	403	590	1021	589	372	1000	653	339	1016
"MI"	2008	4	52	0	1	1		106	390	234	630	474	116	611	503	108	620
"MI"	2008	4	52	0	2	1		106	467	238	719	543	119	705	566	127	716
"MI"	2008	4	52	0	3	1		106	506	410	928	650	252	922	670	238	921
"MI"	2008	4	52	0	4	1		106	472	423	912	605	252	884	649	234	901
"MI"	2008	4	52	0	5	1		106	491	427	933	637	263	921	651	263	929
"MI"	2008	4	52	0	6	1		106	527	411	945	647	254	923	679	244	936
"MI"	2008	4	9999	0	9999				0	0	0	0	0	0	0	0	0
