state	year	fips	county	precinct	ward	cd	ld_name	ld_code	sd	mcd	mcd_code	precinct_code	vtd	g2000_BALL_tv	g2000_USP_rv	g2000_USP_dv	g2000_USP_tv	g2000_USS_rv	g2000_USS_dv	g2000_USS_tv	g2000_USH_rv	g2000_USH_dv	g2000_USH_tv	g2000_STS_rv	g2000_STS_dv	g2000_STS_tv	g2000_STH_rv	g2000_STH_dv	g2000_STH_tv
"MN"	2000	40005	1	"AITKIN"	"0"	8	"03B"	6	3	"AITKIN CITY"	4	5	10005	890	406	409	901	334	488	889	243	557	869	0	393	827	381	478	859
"MN"	2000	50010	1	"AITKIN TWP."	"0"	8	"03B"	6	3	"AITKIN TOWNSHIP"	5	10	10010	512	282	202	518	242	231	528	174	287	503	0	217	486	259	237	496
"MN"	2000	150015	1	"BALL BLUFF TWP."	"0"	8	"03B"	6	3	"BALL BLUFF TOWNSHIP"	15	15	10015	183	85	77	185	82	90	186	50	119	181	0	87	180	64	117	181
"MN"	2000	200020	1	"BALSAM TWP."	"0"	8	"03B"	6	3	"BALSAM TOWNSHIP"	20	20	10020	21	7	13	21	3	17	20	0	21	21	0	14	18	2	17	19
"MN"	2000	250025	1	"BEAVER TWP."	"0"	8	"08B"	16	8	"BEAVER TOWNSHIP"	25	25	10025	37	10	22	36	9	25	35	4	29	36	8	29	37	8	29	37
"MN"	2000	300030	1	"CLARK TWP."	"0"	8	"08B"	16	8	"CLARK TOWNSHIP"	30	30	10030	89	38	46	90	32	54	90	18	65	89	15	71	86	23	63	86
"MN"	2000	350035	1	"CORNISH TWP."	"0"	8	"03B"	6	3	"CORNISH TOWNSHIP"	35	35	10035	18	8	4	21	7	10	18	3	13	18	0	7	18	9	8	17
"MN"	2000	400040	1	"FARM ISLAND TWP."	"0"	8	"08B"	16	8	"FARM ISLAND TOWNSHIP"	40	40	10040	644	296	297	654	265	320	657	188	391	632	242	384	626	269	352	621
"MN"	2000	450045	1	"FLEMING TWP."	"0"	8	"03B"	6	3	"FLEMING TOWNSHIP"	45	45	10045	198	93	81	203	76	93	203	58	123	195	0	87	189	78	115	193
"MN"	2000	500050	1	"GLEN TWP."	"0"	8	"08B"	16	8	"GLEN TOWNSHIP"	50	50	10050	268	106	137	273	96	147	273	61	182	264	77	181	258	100	156	256
"MN"	2000	550055	1	"HAUGEN TWP."	"0"	8	"08B"	16	8	"HAUGEN TOWNSHIP"	55	55	10055	94	33	43	96	30	51	91	20	62	90	32	58	90	31	57	88
"MN"	2000	600060	1	"HAZELTON TWP."	"0"	8	"08B"	16	8	"HAZELTON TOWNSHIP"	60	60	10060	454	220	213	458	195	232	456	158	259	451	185	261	446	199	243	442
"MN"	2000	650065	1	"HILL CITY"	"0"	8	"03B"	6	3	"HILL CITY CITY"	65	65	10065	246	89	130	253	79	144	250	54	168	244	0	126	241	98	146	244
"MN"	2000	700070	1	"HILL LAKE TWP."	"0"	8	"03B"	6	3	"HILL LAKE TOWNSHIP"	70	70	10070	255	126	101	259	108	123	261	73	167	252	0	107	247	117	131	248
"MN"	2000	750075	1	"IDUN TWP."	"0"	8	"08B"	16	8	"IDUN TOWNSHIP"	75	75	10075	96	35	51	99	27	60	100	19	63	93	25	66	91	27	63	90
"MN"	2000	800080	1	"JEVNE TWP."	"0"	8	"03B"	6	3	"JEVNE TOWNSHIP"	80	80	10080	155	76	60	160	70	75	159	46	92	151	0	81	144	61	86	147
"MN"	2000	850085	1	"KIMBERLY TWP."	"0"	8	"08B"	16	8	"KIMBERLY TOWNSHIP"	85	85	10085	148	74	62	155	66	69	151	39	99	145	54	89	143	51	88	139
"MN"	2000	900090	1	"LAKESIDE TWP."	"0"	8	"08B"	16	8	"LAKESIDE TOWNSHIP"	90	90	10090	309	144	147	315	122	159	315	76	203	305	115	185	300	133	165	298
"MN"	2000	950095	1	"LEE TWP."	"0"	8	"08B"	16	8	"LEE TOWNSHIP"	95	95	10095	28	17	9	28	14	12	29	10	15	27	13	14	27	16	11	27
"MN"	2000	1000100	1	"LIBBY TWP. E"	"0"	8	"03B"	6	3	"LIBBY TOWNSHIP"	100	100	10100	20	12	8	20	9	11	20	7	12	20	0	8	20	8	11	19
"MN"	2000	1000105	1	"LIBBY TWP. W"	"0"	8	"03B"	6	3	"LIBBY TOWNSHIP"	100	105	10105	10	1	7	10	1	6	8	0	6	8	0	5	8	1	8	9
"MN"	2000	1050110	1	"LOGAN TWP."	"0"	8	"03B"	6	3	"LOGAN TOWNSHIP"	105	110	10110	122	55	56	124	53	59	123	31	70	120	0	58	116	54	64	118
"MN"	2000	1100115	1	"MCGRATH"	"0"	8	"08B"	16	8	"MCGRATH CITY"	110	115	10115	34	16	10	36	15	10	40	12	18	34	18	16	34	19	15	34
"MN"	2000	1140120	1	"MCGREGOR"	"0"	8	"08B"	16	8	"MCGREGOR CITY"	114	120	10120	152	57	72	156	57	81	152	35	102	151	40	107	147	57	91	148
"MN"	2000	1150125	1	"MCGREGOR TWP."	"0"	8	"08B"	16	8	"MCGREGOR TOWNSHIP"	115	125	10125	55	20	26	59	20	28	55	15	35	54	18	37	55	21	33	54
"MN"	2000	1250130	1	"MACVILLE TWP."	"0"	8	"03B"	6	3	"MACVILLE TOWNSHIP"	125	130	10130	111	53	44	117	40	60	114	30	68	110	0	48	107	44	65	109
"MN"	2000	1320132	1	"MILLWARD TWP."	"0"	8	"08B"	16	8	"MILLWARD TOWNSHIP"	132	132	10132	29	18	6	30	17	8	32	10	14	29	16	13	29	17	12	29
"MN"	2000	1300135	1	"MALMO TWP."	"0"	8	"08B"	16	8	"MALMO TOWNSHIP"	130	135	10135	173	58	100	178	43	117	175	34	120	169	43	124	167	55	111	166
"MN"	2000	1350140	1	"MORRISON TWP."	"0"	8	"03B"	6	3	"MORRISON TOWNSHIP"	135	140	10140	106	66	25	112	64	34	107	35	56	105	0	36	103	56	46	102
"MN"	2000	1400145	1	"NORDLAND TWP."	"0"	8	"08B"	16	8	"NORDLAND TOWNSHIP"	140	145	10145	538	250	248	545	228	274	541	168	329	534	215	313	528	242	274	516
"MN"	2000	1450150	1	"PALISADE"	"0"	8	"03B"	6	3	"PALISADE CITY"	145	150	10150	73	28	44	73	20	49	76	9	56	72	0	37	68	14	56	70
"MN"	2000	1500155	1	"PLINY TWP."	"0"	8	"08B"	16	8	"PLINY TOWNSHIP"	150	155	10155	59	35	15	59	30	23	61	27	27	58	35	24	59	30	29	59
"MN"	2000	1550160	1	"RICE RIVER TWP."	"0"	8	"08B"	16	8	"RICE RIVER TOWNSHIP"	155	160	10160	79	38	29	83	40	30	80	22	51	78	24	53	77	33	41	74
"MN"	2000	1600165	1	"SALO TWP."	"0"	8	"08B"	16	8	"SALO TOWNSHIP"	160	165	10165	57	22	25	61	24	29	59	15	36	57	20	35	55	20	35	55
"MN"	2000	1650170	1	"SEAVEY TWP."	"0"	8	"08B"	16	8	"SEAVEY TOWNSHIP"	165	170	10170	35	15	15	37	16	15	37	13	19	34	16	18	34	19	15	34
"MN"	2000	1700175	1	"SHAMROCK TWP."	"0"	8	"08B"	16	8	"SHAMROCK TOWNSHIP"	170	175	10175	695	302	352	703	280	387	692	198	429	678	248	426	674	270	396	666
"MN"	2000	1750180	1	"SPALDING TWP."	"0"	8	"08B"	16	8	"SPALDING TOWNSHIP"	175	180	10180	99	32	54	100	25	59	105	26	63	96	29	68	97	25	69	94
"MN"	2000	1800185	1	"SPENCER TWP."	"0"	8	"03B"	6	3	"SPENCER TOWNSHIP"	180	185	10185	280	149	110	294	138	122	277	88	170	271	0	121	267	140	130	270
"MN"	2000	1850190	1	"TAMARACK"	"0"	8	"08B"	16	8	"TAMARACK CITY"	185	190	10190	32	11	17	35	12	19	32	4	23	31	7	25	32	15	16	31
"MN"	2000	1900195	1	"TURNER TWP."	"0"	8	"03B"	6	3	"TURNER TOWNSHIP"	190	195	10195	97	45	51	97	40	53	98	38	53	96	0	46	93	38	56	94
"MN"	2000	1950200	1	"VERDON TWP."	"0"	8	"03B"	6	3	"VERDON TOWNSHIP"	195	200	10200	35	14	14	39	18	13	33	12	20	33	0	8	31	18	14	32
"MN"	2000	2000205	1	"WAGNER TWP."	"0"	8	"08B"	16	8	"WAGNER TOWNSHIP"	200	205	10205	197	82	103	200	78	103	206	51	130	195	75	118	193	83	112	195
"MN"	2000	2050210	1	"WAUKENABO TWP."	"0"	8	"03B"	6	3	"WAUKENABO TOWNSHIP"	205	210	10210	218	98	99	229	101	107	222	70	128	214	0	99	201	90	122	212
"MN"	2000	2100215	1	"WEALTHWOOD TWP."	"0"	8	"08B"	16	8	"WEALTHWOOD TOWNSHIP"	210	215	10215	161	63	87	166	53	91	166	42	107	161	51	109	160	53	106	159
"MN"	2000	2150220	1	"WHITE PINE TWP."	"0"	8	"08B"	16	8	"WHITE PINE TOWNSHIP"	215	220	10220	37	18	15	41	15	19	37	11	24	37	11	22	33	12	23	35
"MN"	2000	2200225	1	"WILLIAMS TWP."	"0"	8	"08B"	16	8	"WILLIAMS TOWNSHIP"	220	225	10225	65	27	26	72	28	29	67	24	38	65	22	42	64	28	36	64
"MN"	2000	2250230	1	"WORKMAN TWP."	"0"	8	"03B"	6	3	"WORKMAN TOWNSHIP"	225	230	10230	108	25	68	113	35	70	107	16	79	107	0	66	103	27	79	106
