state	year	precinct	ward	cd	ld_name	ld_code	sd	mcd	mcd_code	vtd	fips	g2004_BALL_tv	g2004_USP_rv	g2004_USP_dv	g2004_USP_tv	g2004_USH_rv	g2004_USH_dv	g2004_USH_tv	g2004_STH_rv	g2004_STH_dv	g2004_STH_tv
"MN"	2004	"ANDOVER P-01"		6	"49A"	97	49	"Andover city"	4	1010	1486	2008	1248	725	2037	1167	815	1983	1166	696	1862
"MN"	2004	"ANDOVER P-02"		6	"49A"	97	49	"Andover city"	4	1020	1486	1867	1162	684	1884	1033	805	1839	1093	655	1750
"MN"	2004	"ANDOVER P-03"		6	"49B"	98	49	"Andover city"	4	1030	1486	1482	880	591	1488	800	657	1457	929	470	1402
"MN"	2004	"ANDOVER P-04"		6	"49A"	97	49	"Andover city"	4	1040	1486	970	604	360	972	553	394	947	563	333	898
"MN"	2004	"ANDOVER P-05"		6	"49A"	97	49	"Andover city"	4	1050	1486	1319	723	573	1338	672	630	1303	690	535	1227
"MN"	2004	"ANDOVER P-06"		6	"49A"	97	49	"Andover city"	4	1060	1486	1581	1008	567	1586	931	630	1562	999	508	1508
"MN"	2004	"ANDOVER P-07"		6	"49A"	97	49	"Andover city"	4	1070	1486	2353	1559	770	2372	1425	906	2331	1547	712	2261
"MN"	2004	"ANDOVER P-08"		6	"49A"	97	49	"Andover city"	4	1080	1486	1716	1097	612	1722	1002	692	1694	1053	552	1605
"MN"	2004	"ANDOVER P-09"		6	"49A"	97	49	"Andover city"	4	1090	1486	1502	911	572	1515	836	645	1482	881	552	1438
"MN"	2004	"ANDOVER P-10"		6	"49A"	97	49	"Andover city"	4	1100	1486	1653	1011	622	1673	948	690	1640	1037	537	1576
"MN"	2004	"ANOKA P-1"		6	"48B"	96	48	"Anoka city"	5	1210	1720	923	429	483	934	376	524	902	522	357	881
"MN"	2004	"ANOKA P-2"		6	"48B"	96	48	"Anoka city"	5	1220	1720	1188	636	540	1189	586	580	1167	687	411	1100
"MN"	2004	"ANOKA P-3"		6	"48B"	96	48	"Anoka city"	5	1230	1720	1218	678	528	1228	631	572	1203	745	407	1152
"MN"	2004	"ANOKA P-4"		6	"48B"	96	48	"Anoka city"	5	1240	1720	1226	587	627	1237	525	675	1201	657	475	1133
"MN"	2004	"ANOKA P-5"		6	"48B"	96	48	"Anoka city"	5	1250	1720	1098	553	530	1112	509	565	1076	626	415	1041
"MN"	2004	"ANOKA P-6"		6	"48B"	96	48	"Anoka city"	5	1260	1720	980	431	530	997	422	531	956	512	379	894
"MN"	2004	"ANOKA P-7"		6	"48B"	96	48	"Anoka city"	5	1270	1720	1162	598	550	1172	561	590	1151	684	419	1103
