state	year	precinct	precinct_code	cd	ld_name	ld_code	sd	mcd	mcd_code	fips	county	g2008_BALL_tv	g2008_USP_rv	g2008_USP_dv	g2008_USP_tv	g2008_USS_rv	g2008_USS_dv	g2008_USS_tv	g2008_USH_rv	g2008_USH_dv	g2008_USH_tv	g2008_STH_rv	g2008_STH_dv	g2008_STH_tv
"MN"	2008	"AITKIN"	5	8	"03B"	6	3	"Aitkin"	4	460	1	1024	499	501	1020	414	407	1012	362	627	992	412	567	985
"MN"	2008	"AITKIN TWP"	10	8	"03B"	6	3	"Aitkin Twp"	5	478	1	512	294	205	512	242	162	509	236	261	498	245	252	498
"MN"	2008	"BALL BLUFF TWP"	15	8	"03B"	6	3	"Ball Bluff Twp"	15	3358	1	187	81	98	186	64	87	186	56	126	182	54	125	179
"MN"	2008	"BALSAM TWP"	20	8	"03B"	6	3	"Balsam Twp"	20	3412	1	30	14	16	30	10	18	30	9	20	29	7	22	29
"MN"	2008	"BEAVER TWP"	25	8	"03B"	6	3	"Beaver Twp"	25	4384	1	34	8	25	33	5	25	33	6	26	32	6	28	34
"MN"	2008	"CLARK TWP"	30	8	"03B"	6	3	"Clark Twp"	30	11620	1	105	53	50	105	45	45	102	35	67	102	30	68	98
"MN"	2008	"CORNISH TWP"	35	8	"03B"	6	3	"Cornish Twp"	35	13330	1	22	5	14	21	3	14	21	4	16	21	3	18	21
"MN"	2008	"UNORG 47-24 (DAVIDSON UNORG)"	38	8	"03B"	6	3	"Davidson Unorganized"	38	14903	1	24	9	14	24	7	11	24	6	17	23	6	16	22
"MN"	2008	"FARM ISLAND TWP"	40	8	"03B"	6	3	"Farm Island Twp"	40	20654	1	750	398	331	747	331	263	744	312	418	730	327	401	728
"MN"	2008	"FLEMING TWP"	45	8	"03B"	6	3	"Fleming Twp"	45	21230	1	234	123	102	232	98	82	233	93	135	228	96	128	225
"MN"	2008	"GLEN TWP"	50	8	"03B"	6	3	"Glen Twp"	50	23930	1	313	147	164	313	98	140	310	96	206	302	108	178	286
"MN"	2008	"HAUGEN TWP"	55	8	"03B"	6	3	"Haugen Twp"	55	27602	1	116	51	60	116	45	51	116	42	74	116	42	70	113
"MN"	2008	"HAZELTON TWP"	60	8	"03B"	6	3	"Hazelton Twp"	60	28052	1	495	234	251	494	187	205	495	191	299	490	197	281	478
"MN"	2008	"HILL CITY"	65	8	"03B"	6	3	"Hill City"	65	29096	1	260	110	140	258	84	134	255	73	176	249	93	161	254
"MN"	2008	"HILL LAKE TWP"	70	8	"03B"	6	3	"Hill Lake Twp"	70	29114	1	256	108	145	256	82	132	253	68	185	253	84	168	252
"MN"	2008	"IDUN TWP"	75	8	"03B"	6	3	"Idun Twp"	75	30788	1	130	47	81	130	34	69	128	31	93	125	29	89	118
"MN"	2008	"JEVNE TWP"	80	8	"03B"	6	3	"Jevne Twp"	80	31958	1	159	80	69	157	68	60	157	49	103	152	57	95	152
"MN"	2008	"UNORG 45-24 (JEWETT UNORG)"	82	8	"03B"	6	3	"Jewett Unorganized"	82	31966	1	21	7	11	20	4	10	21	4	17	21	4	17	21
"MN"	2008	"KIMBERLY TWP"	85	8	"03B"	6	3	"Kimberly Twp"	85	33218	1	118	64	54	118	42	45	118	34	81	115	43	74	117
"MN"	2008	"LAKESIDE TWP"	90	8	"03B"	6	3	"Lakeside Twp"	90	34982	1	344	169	163	342	146	125	340	125	207	333	126	203	330
"MN"	2008	"LEE TWP"	95	8	"03B"	6	3	"Lee Twp"	95	36152	1	34	20	10	30	16	10	31	11	17	28	14	13	27
