state	year	county	precinct_code	precinct	fips	cd	ld_name	ld_code	sd	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_STH_dv	g2010_STH_rv	g2010_STH_tv	g2010_STS_dv	g2010_STS_rv	g2010_STS_tv
"MN"	2010	1	5	"AITKIN"	460	8	"03B"	6	3	335	356	742	317	287	733	359	373	733	369	353	724
"MN"	2010	1	10	"AITKIN TWP"	478	8	"03B"	6	3	129	252	400	135	207	398	149	247	396	151	242	393
"MN"	2010	1	15	"BALL BLUFF TWP"	3358	8	"03B"	6	3	64	72	144	75	51	143	76	65	143	86	55	143
"MN"	2010	1	20	"BALSAM TWP"	3412	8	"03B"	6	3	12	9	22	14	5	23	13	10	23	17	6	23
"MN"	2010	1	25	"BEAVER TWP"	4384	8	"03B"	6	3	22	10	33	22	5	33	23	9	32	24	9	33
"MN"	2010	1	30	"CLARK TWP"	11620	8	"03B"	6	3	38	30	72	40	22	72	43	28	71	45	25	70
"MN"	2010	1	35	"CORNISH TWP"	13330	8	"03B"	6	3	11	6	21	9	3	20	14	7	21	13	8	21
"MN"	2010	1	38	"UNORG 47-24 (DAVIDSON UNORG)"	14903	8	"03B"	6	3	6	6	15	8	7	15	7	8	15	8	5	13
"MN"	2010	1	40	"FARM ISLAND TWP"	20654	8	"03B"	6	3	239	336	611	254	266	609	259	346	605	284	315	599
"MN"	2010	1	45	"FLEMING TWP"	21230	8	"03B"	6	3	69	100	187	69	87	189	90	96	186	95	89	184
"MN"	2010	1	50	"GLEN TWP"	23930	8	"03B"	6	3	106	115	233	105	98	231	123	106	229	119	105	224
"MN"	2010	1	55	"HAUGEN TWP"	27602	8	"03B"	6	3	34	47	88	38	38	89	50	39	89	51	37	88
"MN"	2010	1	60	"HAZELTON TWP"	28052	8	"03B"	6	3	178	217	422	178	180	423	208	207	415	208	208	416
"MN"	2010	1	65	"HILL CITY"	29096	8	"03B"	6	3	100	104	219	105	84	219	114	98	213	118	93	212
"MN"	2010	1	70	"HILL LAKE TWP"	29114	8	"03B"	6	3	107	68	180	103	58	182	109	69	180	121	59	180
"MN"	2010	1	75	"IDUN TWP"	30788	8	"03B"	6	3	41	34	85	41	32	86	48	37	85	50	36	86
"MN"	2010	1	80	"JEVNE TWP"	31958	8	"03B"	6	3	45	75	124	44	72	123	49	73	122	49	73	122
"MN"	2010	1	82	"UNORG 45-24 (JEWETT UNORG)"	31966	8	"03B"	6	3	10	6	19	10	7	18	8	10	18	10	9	19
"MN"	2010	1	85	"KIMBERLY TWP"	33218	8	"03B"	6	3	40	49	91	43	36	90	41	49	90	50	39	89
"MN"	2010	1	90	"LAKESIDE TWP"	34982	8	"03B"	6	3	108	130	255	105	113	254	119	134	253	122	128	250
"MN"	2010	1	95	"LEE TWP"	36152	8	"03B"	6	3	9	16	30	10	14	30	10	22	32	13	18	31
"MN"	2010	1	100	"LIBBY TWP E"	36908	8	"03B"	6	3	7	8	15	6	6	15	7	8	15	7	8	15
"MN"	2010	1	105	"LIBBY TWP W"	36908	8	"03B"	6	3	7	1	11	7	0	11	8	3	11	9	2	11
"MN"	2010	1	110	"LOGAN TWP"	37844	8	"03B"	6	3	47	40	90	45	37	90	48	42	90	44	45	89
"MN"	2010	1	115	"MCGRATH"	38996	8	"03B"	6	3	14	18	40	17	17	40	19	17	36	20	16	36
"MN"	2010	1	120	"MCGREGOR"	39014	8	"03B"	6	3	57	47	110	57	44	109	66	41	107	69	39	108
"MN"	2010	1	125	"MCGREGOR TWP"	39032	8	"03B"	6	3	15	21	38	17	18	37	15	21	36	16	18	34
"MN"	2010	1	130	"MACVILLE TWP"	39212	8	"03B"	6	3	40	30	76	39	27	75	46	27	74	49	27	76
"MN"	2010	1	132	"MILLWARD TWP"	42300	8	"03B"	6	3	10	8	19	9	9	19	8	10	18	9	9	18
"MN"	2010	1	135	"MALMO TWP"	39590	8	"03B"	6	3	84	75	164	81	59	163	87	73	160	83	76	159
"MN"	2010	1	140	"MORRISON TWP"	44278	8	"03B"	6	3	23	42	72	20	38	73	21	51	72	21	49	70
"MN"	2010	1	145	"NORDLAND TWP"	46546	8	"03B"	6	3	244	285	556	248	229	559	260	297	557	275	276	551
"MN"	2010	1	150	"PALISADE"	49498	8	"03B"	6	3	49	30	85	44	25	85	54	31	85	52	29	81
"MN"	2010	1	155	"PLINY TWP"	51694	8	"03B"	6	3	10	29	40	8	27	40	10	30	40	10	30	40
"MN"	2010	1	160	"RICE RIVER TWP"	54106	8	"03B"	6	3	32	41	75	28	37	77	28	45	73	35	37	72
"MN"	2010	1	165	"SALO TWP"	58270	8	"03B"	6	3	33	10	47	30	15	48	31	16	47	32	13	45
"MN"	2010	1	170	"SEAVEY TWP"	59134	8	"03B"	6	3	8	16	25	9	16	25	8	15	23	8	15	23
"MN"	2010	1	175	"SHAMROCK TWP"	59368	8	"03B"	6	3	247	283	569	259	241	566	287	271	559	282	271	554
"MN"	2010	1	180	"SPALDING TWP"	61546	8	"03B"	6	3	37	20	67	37	16	65	46	20	66	45	21	66
"MN"	2010	1	185	"SPENCER TWP"	61654	8	"03B"	6	3	100	142	261	98	123	262	114	148	262	135	123	259
"MN"	2010	1	190	"TAMARACK"	64156	8	"03B"	6	3	13	13	28	15	11	29	17	10	27	20	7	27
"MN"	2010	1	195	"TURNER TWP"	65722	8	"03B"	6	3	49	52	104	51	43	104	54	48	102	51	49	100
"MN"	2010	1	200	"VERDON TWP"	66748	8	"03B"	6	3	14	17	34	14	18	34	16	18	34	15	17	32
"MN"	2010	1	205	"WAGNER TWP"	67540	8	"03B"	6	3	66	98	175	59	85	173	73	93	166	79	89	168
"MN"	2010	1	210	"WAUKENABO TWP"	68692	8	"03B"	6	3	75	77	162	72	71	163	84	79	163	87	73	161
"MN"	2010	1	215	"WEALTHWOOD TWP"	68872	8	"03B"	6	3	83	70	167	92	56	168	95	71	167	95	72	167
"MN"	2010	1	220	"WHITE PINE TWP"	70132	8	"03B"	6	3	8	15	23	9	10	22	10	13	23	10	13	23
"MN"	2010	1	225	"WILLIAMS TWP"	70384	8	"03B"	6	3	25	29	59	30	25	59	28	31	59	30	29	59
"MN"	2010	1	230	"WORKMAN TWP"	71716	8	"03B"	6	3	41	42	90	42	35	89	43	48	91	48	41	89
"MN"	2010	1	240	"NE AITKIN UNORG"	46890	8	"03B"	6	3	4	16	24	5	14	23	8	16	24	8	16	24
"MN"	2010	1	255	"UNORG 48-27 (BLIND LAKE UNORG)"	47342	8	"03B"	6	3	10	6	17	11	5	17	11	6	17	11	6	17
"MN"	2010	1	260	"NW AITKIN UNORG P-2"	47342	8	"03B"	6	3	35	30	65	40	20	65	40	25	65	43	22	65
"MN"	2010	1	285	"UNORG 51-27 (LEMAY UNORG)"	47342	8	"03B"	6	3	7	13	22	6	12	22	10	12	22	10	12	22
"MN"	2010	1	290	"NW AITKIN UNORG P-1"	47342	8	"03B"	6	3	13	21	36	12	20	36	11	25	36	13	23	36
"MN"	2010	2	1010	"ANDOVER P-1"	1486	6	"49A"	97	49	493	950	1533	443	939	1528	460	1045	1505	483	1019	1502
"MN"	2010	2	1020	"ANDOVER P-2"	1486	6	"49A"	97	49	516	831	1446	449	831	1452	438	959	1398	488	922	1412
"MN"	2010	2	1030	"ANDOVER P-3"	1486	6	"49B"	98	49	400	580	1065	364	566	1073	388	616	1032	393	645	1042
"MN"	2010	2	1040	"ANDOVER P-4"	1486	6	"49A"	97	49	278	402	739	247	412	739	247	469	716	275	443	718
"MN"	2010	2	1050	"ANDOVER P-5"	1486	6	"49A"	97	49	406	531	1024	366	555	1030	363	638	1005	396	607	1007
"MN"	2010	2	1060	"ANDOVER P-6"	1486	6	"49A"	97	49	444	735	1251	359	746	1253	352	862	1214	426	802	1228
"MN"	2010	2	1070	"ANDOVER P-7"	1486	6	"49A"	97	49	644	1176	1937	532	1183	1936	517	1368	1888	614	1281	1898
"MN"	2010	2	1080	"ANDOVER P-8"	1486	6	"49A"	97	49	579	955	1626	480	959	1634	481	1116	1597	552	1036	1589
"MN"	2010	2	1090	"ANDOVER P-9"	1486	6	"49A"	97	49	433	800	1351	382	818	1360	405	918	1323	464	873	1337
"MN"	2010	2	1100	"ANDOVER P-10"	1486	6	"49A"	97	49	487	770	1337	418	775	1339	419	884	1303	466	843	1310
"MN"	2010	2	1210	"ANOKA P-1"	1720	6	"48B"	96	48	288	260	599	267	253	597	203	376	579	295	280	575
"MN"	2010	2	1220	"ANOKA P-2"	1720	6	"48B"	96	48	351	362	779	312	349	785	262	499	763	368	395	763
"MN"	2010	2	1230	"ANOKA P-3"	1720	6	"48B"	96	48	352	399	813	321	394	819	250	550	801	366	430	797
"MN"	2010	2	1240	"ANOKA P-4"	1720	6	"48B"	96	48	423	357	858	382	353	862	304	531	836	447	385	834
"MN"	2010	2	1250	"ANOKA P-5"	1720	6	"48B"	96	48	351	351	765	323	333	762	253	490	747	367	374	742
"MN"	2010	2	1260	"ANOKA P-6"	1720	6	"48B"	96	48	314	260	648	306	267	650	259	357	624	324	298	626
"MN"	2010	2	1270	"ANOKA P-7"	1720	6	"48B"	96	48	343	363	775	325	368	776	258	506	764	352	412	765
"MN"	2010	2	1280	"ANOKA P-8"	1720	6	"48B"	96	48	345	412	841	320	420	846	253	561	821	339	486	827
"MN"	2010	2	1410	"BETHEL P-1"	5554	6	"48A"	95	48	67	92	176	55	94	176	59	110	170	67	103	171
"MN"	2010	2	1610	"BLAINE D-1 P-1"	6382	6	"53A"	105	53	342	329	719	306	334	721	327	382	710	344	367	712
"MN"	2010	2	1630	"BLAINE D-1 P-2"	6382	6	"51A"	101	51	568	618	1278	489	646	1281	522	725	1247	523	726	1250
"MN"	2010	2	1640	"BLAINE D-1 P-3"	6382	6	"51B"	102	51	335	269	671	310	282	675	353	296	649	339	321	660
"MN"	2010	2	1650	"BLAINE D-1 P-4"	6382	6	"51B"	102	51	366	280	716	342	281	716	382	309	691	382	326	708
"MN"	2010	2	1660	"BLAINE D-1 P-5"	6382	6	"51B"	102	51	515	407	996	478	403	1001	516	446	963	495	488	984
"MN"	2010	2	1670	"BLAINE D-1 P-6"	6382	6	"51A"	101	51	401	323	781	399	304	778	404	355	759	415	353	769
"MN"	2010	2	1680	"BLAINE D-1 P-7"	6382	6	"51A"	101	51	361	354	780	301	377	784	319	425	745	349	412	762
"MN"	2010	2	1810	"BLAINE D-2 P-1"	6382	6	"51A"	101	51	442	502	1021	383	522	1025	413	573	986	417	574	992
"MN"	2010	2	1820	"BLAINE D-2 P-2"	6382	6	"51A"	101	51	487	445	985	439	440	986	447	516	963	473	498	973
"MN"	2010	2	1840	"BLAINE D-2 P-3"	6382	6	"51A"	101	51	568	462	1112	512	485	1119	544	540	1085	549	543	1095
"MN"	2010	2	1850	"BLAINE D-2 P-4"	6382	6	"51A"	101	51	542	484	1128	484	506	1126	511	581	1092	540	564	1105
"MN"	2010	2	1860	"BLAINE D-2 P-5"	6382	6	"51A"	101	51	359	247	664	332	260	665	348	296	646	355	298	653
"MN"	2010	2	1870	"BLAINE D-2 P-6"	6382	6	"51A"	101	51	409	274	743	383	276	747	398	317	715	403	328	731
"MN"	2010	2	1872	"BLAINE D-2 P-7"	6382	6	"51A"	101	51	388	515	963	330	515	967	352	597	950	364	590	954
"MN"	2010	2	1875	"BLAINE D-2 P-8"	6382	6	"51A"	101	51	481	638	1191	408	627	1191	437	720	1159	474	699	1173
"MN"	2010	2	1880	"BLAINE D-2 P-9"	6382	6	"51A"	101	51	789	1133	2023	641	1127	2032	730	1252	1984	740	1260	2002
"MN"	2010	2	2010	"BLAINE D-3 P-1"	6382	6	"51A"	101	51	528	548	1160	473	550	1160	511	622	1133	500	636	1137
"MN"	2010	2	2020	"BLAINE D-3 P-2"	6382	6	"51A"	101	51	805	999	1929	701	1011	1933	751	1145	1899	768	1138	1908
"MN"	2010	2	2040	"BLAINE D-3 P-3"	6382	6	"51A"	101	51	564	592	1261	525	601	1260	542	681	1225	555	685	1242
