state	year	county	ward_precinct	g2002_AUD_dv	g2002_AUD_rv	g2002_USS_dv	g2002_USS_rv	ward	precinct	g2002_AUD_tv	g2002_USS_tv	cd	g2002_USH_dv	g2002_USH_rv	g2002_USH_tv	cd2	g2002_USH_dv2	g2002_USH_rv2	g2002_USH_tv2	cd3	g2002_USH_dv3	g2002_USH_rv3	g2002_USH_tv3	ld	g2002_STH_dv	g2002_STH_rv	g2002_STH_tv	ld2	g2002_STH_dv2	g2002_STH_rv2	g2002_STH_tv2	ld3	g2002_STH_dv3	g2002_STH_rv3	g2002_STH_tv3	ld4	g2002_STH_dv4	g2002_STH_rv4	g2002_STH_tv4	ld5	g2002_STH_dv5	g2002_STH_rv5	g2002_STH_tv5	ld6	g2002_STH_dv6	g2002_STH_rv6	g2002_STH_tv6	ld7	g2002_STH_dv7	g2002_STH_rv7	g2002_STH_tv7	ld8	g2002_STH_dv8	g2002_STH_rv8	g2002_STH_tv8	ld9	g2002_STH_dv9	g2002_STH_rv9	g2002_STH_tv9	ld10	g2002_STH_dv10	g2002_STH_rv10	g2002_STH_tv10	ld11	g2002_STH_dv11	g2002_STH_rv11	g2002_STH_tv11	ld12	g2002_STH_dv12	g2002_STH_rv12	g2002_STH_tv12	ld13	g2002_STH_dv13	g2002_STH_rv13	g2002_STH_tv13	ld14	g2002_STH_dv14	g2002_STH_rv14	g2002_STH_tv14	sd	g2002_STS_dv	g2002_STS_rv	g2002_STS_tv	sd2	g2002_STS_dv2	g2002_STS_rv2	g2002_STS_tv2
"MO"	2002	"ADAIR"	"001 SW BENTON-1"	214	178	206	230		"001 SW BENTON-1"	414	445	9	123	287	428									2	154	280	434																																																					18	179	252	431				
"MO"	2002	"ADAIR"	"002 SE BENTON-2"	528	386	455	542		"002 SE BENTON-2"	953	1007	9	265	710	990									2	286	708	994																																																					18	411	586	997				
"MO"	2002	"ADAIR"	"003 SE BENTON-3"	276	200	283	251		"003 SE BENTON-3"	515	545	9	180	327	529									2	223	305	528																																																					18	269	253	522				
"MO"	2002	"ADAIR"	"004 NE BENTON-4"	420	272	392	378		"004 NE BENTON-4"	731	782	9	251	496	771									2	317	453	770																																																					18	357	410	767				
"MO"	2002	"ADAIR"	"005 NE BENTON-5"	328	260	288	352		"005 NE BENTON-5"	612	649	9	162	460	635									2	193	452	645																																																					18	271	373	644				
"MO"	2002	"ADAIR"	"006 NE BENTON-6"	466	363	385	504		"006 NE BENTON-6"	855	902	9	228	651	889									2	262	633	895																																																					18	362	528	890				
"MO"	2002	"ADAIR"	"007 TSU-BENTON"	183	118	190	173		"007 TSU-BENTON"	339	384	9	140	179	355									2	177	164	341																																																					18	200	151	351				
"MO"	2002	"ADAIR"	"008 RURAL BENTON"	568	485	469	675		"008 RURAL BENTON"	1095	1163	9	245	877	1142									2	337	815	1152																																																					18	428	727	1155				
"MO"	2002	"ADAIR"	"009 BRASHEAR"	108	103	98	138		"009 BRASHEAR"	223	239	9	46	184	234									2	73	167	240																																																					18	65	173	238				
"MO"	2002	"ADAIR"	"010 GIBBS"	63	80	55	100		"010 GIBBS"	147	155	9	34	122	157									2	45	109	154																																																					18	51	105	156				
"MO"	2002	"ADAIR"	"011 MILLARD"	82	58	60	94		"011 MILLARD"	145	155	9	33	117	152									2	47	106	153																																																					18	55	100	155				
"MO"	2002	"ADAIR"	"012 NOVINGER"	321	268	293	343		"012 NOVINGER"	614	652	9	166	454	634									2	204	438	642																																																					18	265	382	647				
"MO"	2002	"ADAIR"	"013 SUBLETTE"	124	124	113	161		"013 SUBLETTE"	257	276	9	56	211	271									2	73	170	243	1	15	10	25																																																	18	99	172	271				
"MO"	2002	"ADAIR"	"014 UNION TEMPLE"	51	52	49	63		"014 UNION TEMPLE"	109	115	9	26	83	110									2	26	84	110																																																					18	30	81	111				
"MO"	2002	"ADAIR"	"015 WILLMATHSVILLE"	71	71	57	97		"015 WILLMATHSVILLE"	147	158	9	33	118	156									2	61	91	152																																																					18	54	102	156				
"MO"	2002	"ADAIR"	"016 YARROW"	67	53	62	64		"016 YARROW"	126	130	9	32	92	128									2	42	85	127																																																					18	50	77	127				
"MO"	2002	"ADAIR"	"999 FEDERAL"	0	0	0	0		"999 FEDERAL"	0	0	9	0	0	0																																																																								
"MO"	2002	"ANDREW"	"001 Clay"	33	45	18	63		"001 Clay"	81	84	6	8	75	84									28	32	49	81																																																					12		67	67				
"MO"	2002	"ANDREW"	"002 Fillmore"	90	83	77	107		"002 Fillmore"	179	186	6	47	140	188									28	85	102	187																																																					12		138	138				
"MO"	2002	"ANDREW"	"003 Lincoln"	179	104	147	157		"003 Lincoln"	300	317	6	100	211	313									28	151	155	306																																																					12		209	209				
"MO"	2002	"ANDREW"	"004 N.E. Savannah"	238	179	194	255		"004 N.E. Savannah"	423	458	6	118	332	459									28	163	291	454																																																					12		334	334				
"MO"	2002	"ANDREW"	"005 N.W. Savannah"	313	165	273	241		"005 N.W. Savannah"	504	532	6	172	350	533									28	232	289	521																																																					12		387	387				
"MO"	2002	"ANDREW"	"006 S.E. Savannah"	347	201	287	286		"006 S.E. Savannah"	566	588	6	179	396	584									28	245	330	575																																																					12		441	441				
"MO"	2002	"ANDREW"	"007 S.W. Savannah"	226	163	179	224		"007 S.W. Savannah"	397	410	6	113	289	409									28	161	246	407																																																					12		304	304				
"MO"	2002	"ANDREW"	"008 Beeler"	240	189	191	268		"008 Beeler"	444	470	6	113	350	470									28	163	300	463																																																					12		369	369				
"MO"	2002	"ANDREW"	"009 John Glenn"	188	231	146	299		"009 John Glenn"	430	455	6	108	339	453									28	160	288	448																																																					12		333	333				
"MO"	2002	"ANDREW"	"010 Country Club"	258	203	213	283		"010 Country Club"	476	502	6	143	352	498									28	172	322	494																																																					12		377	377				
"MO"	2002	"ANDREW"	"011 Bolckow"	53	66	41	83		"011 Bolckow"	122	126	6	24	103	130									28	42	87	129																																																					12		101	101				
"MO"	2002	"ANDREW"	"012 Rosendale"	106	66	81	102		"012 Rosendale"	179	189	6	52	136	190									28	73	112	185																																																					12		144	144				
"MO"	2002	"ANDREW"	"013 West  Platte"	73	77	57	99		"013 West  Platte"	152	165	6	34	131	166									28	64	98	162																																																					12		132	132				
"MO"	2002	"ANDREW"	"014 East Platte"	33	24	19	42		"014 East Platte"	61	62	6	13	48	62									28	20	40	60																																																					12		49	49				
"MO"	2002	"ANDREW"	"015 East Empire"	42	38	20	61		"015 East Empire"	82	83	6	18	66	84									28	34	49	83																																																					12		65	65				
"MO"	2002	"ANDREW"	"016 Rochester"	139	111	92	171		"016 Rochester"	256	268	6	75	193	268									28	92	171	263																																																					12		192	192				
"MO"	2002	"ANDREW"	"017 Helena"	118	106	86	155		"017 Helena"	234	247	6	54	186	245									28	85	154	239																																																					12		173	173				
"MO"	2002	"ANDREW"	"018 East Monroe"	58	79	37	108		"018 East Monroe"	142	150	6	24	121	148									28	38	109	147																																																					12		124	124				
"MO"	2002	"ANDREW"	"019 West Monroe"	69	73	50	109		"019 West Monroe"	145	160	6	30	127	159									28	55	104	159																																																					12		125	125				
"MO"	2002	"ANDREW"	"020 Absentee"	149	127	121	171		"020 Absentee"	280	293	6	83	209	292									28	106	179	285																																																					12		196	196				
"MO"	2002	"ANDREW"	"021 Intrastate New Resident"	1	1	2	0		"021 Intrastate New Resident"	2	2	6	0	2	2									28	0	0	0																																																					12		0	0				
"MO"	2002	"ATCHISON"	"01 TARKIO"	298	336	250	436		"01 TARKIO"	662	694	6	101	597	698									4	221	474	695																																																					12		578	578				
"MO"	2002	"ATCHISON"	"02 ROCKPORT"	367	366	340	473		"02 ROCKPORT"	757	821	6	170	655	830									4	264	549	813																																																					12		646	646				
"MO"	2002	"ATCHISON"	"03 FAIRFAX"	258	180	222	245		"03 FAIRFAX"	452	478	6	87	395	485									4	215	265	480																																																					12		355	355				
"MO"	2002	"ATCHISON"	"04 WESTBORO"	56	98	51	115		"04 WESTBORO"	158	167	6	21	151	173									4	54	117	171																																																					12		149	149				
"MO"	2002	"ATCHISON"	"05 WATSON"	36	36	30	43		"05 WATSON"	72	74	6	21	52	76									4	37	37	74																																																					12		59	59				
"MO"	2002	"ATCHISON"	"06 ABSENTEE"	57	59	46	76		"06 ABSENTEE"	120	122	6	22	103	125									4	49	75	124																																																					12		97	97				
"MO"	2002	"ATCHISON"	"07 PROVISIONAL"	0	1	0	2		"07 PROVISIONAL"	1	2	6	0	2	2									4	0	2	2																																																					12		1	1				
"MO"	2002	"AUDRAIN"	"1A-1B"	442	263	350	384		"1A-1B"	727	747	9	205	529	743									21	296	451	747																																																					18	240	509	749				
"MO"	2002	"AUDRAIN"	"4-H"	159	117	111	174		"4-H"	288	294	9	77	216	297									21	127	176	303																																																					18	97	199	296				
"MO"	2002	"AUDRAIN"	"ABS"	272	141	195	231		"ABS"	424	432	9	144	290	437									21	170	193	363	10	23	38	61	9	2	5	7																																													18	144	284	428				
"MO"	2002	"AUDRAIN"	"BEAG"	50	36	36	59		"BEAG"	89	97	9	21	75	96									21	30	63	93	10	0	0	0																																																	18	21	75	96				
"MO"	2002	"AUDRAIN"	"BENT"	77	46	59	72		"BENT"	132	138	9	36	97	136									10	45	90	135																																																					18	49	87	136				
"MO"	2002	"AUDRAIN"	"COMM"	507	295	387	448		"COMM"	828	854	9	231	607	848									21	376	473	849																																																					18	257	594	851				
"MO"	2002	"AUDRAIN"	"FARB"	152	50	128	82		"FARB"	205	213	9	82	127	211									10	138	74	212																																																					18	87	108	195				
"MO"	2002	"AUDRAIN"	"FORK"	209	136	131	226		"FORK"	356	362	9	61	292	362									21	122	239	361																																																					18	95	268	363				
"MO"	2002	"AUDRAIN"	"FREND"	149	94	99	153		"FREND"	252	257	9	50	208	261									9	133	118	255																																																					18	84	171	255				
"MO"	2002	"AUDRAIN"	"IEC"	153	91	88	143		"IEC"	250	235	9	86	167	255									10	152	106	258																																																					18	79	151	230				
"MO"	2002	"AUDRAIN"	"LADD"	205	71	159	121		"LADD"	283	293	9	116	164	287									10	165	127	292																																																					18	115	177	292				
"MO"	2002	"AUDRAIN"	"MART"	111	93	56	151		"MART"	210	208	9	40	177	217									10	59	156	215																																																					18	42	167	209				
"MO"	2002	"AUDRAIN"	"MEX2"	143	60	123	93		"MEX2"	215	220	9	78	132	219									21	108	113	221																																																					18	84	135	219				
"MO"	2002	"AUDRAIN"	"MEX3"	199	130	154	193		"MEX3"	343	354	9	88	257	351									21	137	218	355																																																					18	103	253	356				
"MO"	2002	"AUDRAIN"	"MEX4"	218	118	188	159		"MEX4"	357	358	9	114	240	365									21	165	203	368																																																					18	128	223	351				
"MO"	2002	"AUDRAIN"	"MEX5"	310	98	269	150		"MEX5"	422	427	9	192	236	433									21	250	183	433																																																					18	195	230	425				
"MO"	2002	"AUDRAIN"	"MEX7"	216	92	176	135		"MEX7"	318	322	9	124	193	324									21	145	175	320																																																					18	121	201	322				
"MO"	2002	"AUDRAIN"	"MEX8"	468	252	358	375		"MEX8"	728	742	9	199	528	737									21	315	427	742																																																					18	214	528	742				
"MO"	2002	"AUDRAIN"	"MEX9"	231	121	172	192		"MEX9"	361	368	9	112	258	374									21	172	204	376																																																					18	125	239	364				
"MO"	2002	"AUDRAIN"	"R6"	67	46	42	72		"R6"	115	114	9	30	87	117									10	29	89	118																																																					18	30	84	114				
"MO"	2002	"AUDRAIN"	"RUSH"	83	49	50	82		"RUSH"	137	132	9	30	110	142									10	58	81	139																																																					18	32	96	128				
"MO"	2002	"AUDRAIN"	"THOM"	265	150	187	238		"THOM"	431	440	9	134	302	441									21	187	218	405	9	0	1	1																																																	18	129	240	369				
"MO"	2002	"AUDRAIN"	"VAN1"	184	63	143	106		"VAN1"	255	251	9	105	149	255									10	198	64	262																																																					18	128	126	254				
"MO"	2002	"AUDRAIN"	"VAN2"	149	58	133	77		"VAN2"	212	211	9	112	99	212									10	148	64	212																																																					18	120	90	210				
"MO"	2002	"AUDRAIN"	"VAN3"	239	105	203	149		"VAN3"	349	358	9	141	208	351									10	239	112	351																																																					18	153	148	301				
"MO"	2002	"BARRY"	"ASH"	118	84	82	129		"ASH"	207	214	7	73	139	214									68	97	113	210																																																												
"MO"	2002	"BARRY"	"BUTTER"	140	119	93	178		"BUTTER"	269	278	7	60	208	274									68	123	152	275																																																												
"MO"	2002	"BARRY"	"CAPPS"	83	81	55	111		"CAPPS"	165	169	7	38	129	169									68	62	105	167																																																												
"MO"	2002	"BARRY"	"CRANE"	104	110	99	130		"CRANE"	227	233	7	54	170	233									68	125	106	231																																																												
"MO"	2002	"BARRY"	"EXETER"	267	293	199	379		"EXETER"	576	590	7	122	456	587									68	215	379	594																																																												
"MO"	2002	"BARRY"	"FCMM -- FLAT CREEK/MINERAL/McDNLD"	538	555	376	776		"FCMM -- FLAT CREEK/MINERAL/McDNLD"	1131	1175	7	238	918	1175									68	421	742	1163																																																												
"MO"	2002	"BARRY"	"FLAT"	541	433	396	630		"FLAT"	1008	1045	7	253	779	1038									68	426	607	1033																																																												
"MO"	2002	"BARRY"	"JENK"	133	111	93	165		"JENK"	250	264	7	70	188	262									68	144	115	259																																																												
"MO"	2002	"BARRY"	"KING"	112	177	73	224		"KING"	296	305	7	49	255	305									68	99	202	301																																																												
"MO"	2002	"BARRY"	"M-2 -- MONETT 2"	137	108	121	133		"M-2 -- MONETT 2"	256	265	7	84	172	262									68	115	145	260																																																												
"MO"	2002	"BARRY"	"M1-4 -- MONETT 1 & 4 / RURAL"	525	577	349	800		"M1-4 -- MONETT 1 & 4 / RURAL"	1134	1165	7	210	931	1154									68	424	725	1149																																																												
"MO"	2002	"BARRY"	"OZARK"	114	138	93	166		"OZARK"	261	269	7	50	209	264									68	133	132	265																																																												
"MO"	2002	"BARRY"	"PLEAS"	68	78	44	107		"PLEAS"	152	157	7	19	133	157									68	68	86	154																																																												
"MO"	2002	"BARRY"	"PURDY"	337	463	207	634		"PURDY"	828	858	7	136	710	855									68	260	588	848																																																												
"MO"	2002	"BARRY"	"ROAR"	226	224	198	266		"ROAR"	463	472	7	149	311	466									68	204	259	463																																																												
"MO"	2002	"BARRY"	"SHELL"	226	275	203	317		"SHELL"	510	526	7	124	394	520									68	157	361	518																																																												
"MO"	2002	"BARRY"	"SUGAR"	197	111	162	148		"SUGAR"	317	321	7	122	186	317									68	159	160	319																																																												
"MO"	2002	"BARRY"	"WASH"	184	164	136	233		"WASH"	359	375	7	100	263	368									68	142	228	370																																																												
"MO"	2002	"BARRY"	"WHEAT"	217	257	179	315		"WHEAT"	486	505	7	123	376	504									68	208	289	497																																																												
"MO"	2002	"BARRY"	"WR - 1 -- WHITE RIVER  #1"	200	214	166	254		"WR - 1 -- WHITE RIVER  #1"	422	424	7	122	300	425									68	170	243	413																																																												
"MO"	2002	"BARRY"	"WR-2 -- WHITE RIVER #2"	249	296	218	354		"WR-2 -- WHITE RIVER #2"	556	578	7	145	425	574									68	188	384	572																																																												
"MO"	2002	"BARTON"	"BARTON CITY"	31	63	18	81		"BARTON CITY"	97	105	4	37	64	102									126	45	58	103																																																					28	24	73	98				
"MO"	2002	"BARTON"	"CENTRAL"	85	156	57	198		"CENTRAL"	246	256	4	105	145	251									126	115	141	256																																																					28	68	179	249				
"MO"	2002	"BARTON"	"CITY 1&2"	278	430	179	577		"CITY 1&2"	726	767	4	346	410	759									126	293	480	773																																																					28	187	557	747				
"MO"	2002	"BARTON"	"CITY 3&4"	278	343	195	462		"CITY 3&4"	641	665	4	310	332	654									126	274	391	665																																																					28	194	447	654				
"MO"	2002	"BARTON"	"DOYLESPORT"	41	47	15	81		"DOYLESPORT"	92	100	4	53	40	95									126	41	59	100																																																					28	23	68	94				
"MO"	2002	"BARTON"	"GOLDEN CITY"	127	220	85	285		"GOLDEN CITY"	364	378	4	149	219	375									126	104	273	377																																																					28	88	266	369				
"MO"	2002	"BARTON"	"LAMAR"	230	344	141	470		"LAMAR"	598	619	4	263	335	610									126	238	381	619																																																					28	147	437	596				
"MO"	2002	"BARTON"	"LEROY"	20	52	12	66		"LEROY"	74	79	4	28	50	79									126	24	55	79																																																					28	13	59	73				
"MO"	2002	"BARTON"	"MILFORD"	40	61	24	89		"MILFORD"	108	117	4	53	60	117									126	26	91	117																																																					28	24	83	113				
"MO"	2002	"BARTON"	"NASHVILLE"	44	108	34	129		"NASHVILLE"	158	167	4	50	111	162									126	67	95	162																																																					28	32	128	162				
"MO"	2002	"BARTON"	"NEWPORT"	34	57	25	77		"NEWPORT"	97	103	4	42	55	101									126	40	62	102																																																					28	27	72	100				
"MO"	2002	"BARTON"	"NORTHFORK"	29	64	15	96		"NORTHFORK"	100	112	4	32	71	105									126	23	85	108																																																					28	10	88	102				
"MO"	2002	"BARTON"	"OZARK"	124	199	110	232		"OZARK"	327	345	4	140	191	334									126	137	205	342																																																					28	108	222	332				
"MO"	2002	"BARTON"	"RICHLAND"	66	128	43	164		"RICHLAND"	199	207	4	87	113	202									126	69	134	203																																																					28	47	152	201				
"MO"	2002	"BARTON"	"SOUTHWEST"	83	97	68	125		"SOUTHWEST"	191	198	4	95	92	194									126	98	98	196																																																					28	69	111	189				
"MO"	2002	"BARTON"	"UNION"	46	77	42	90		"UNION"	128	135	4	61	70	133									126	63	70	133																																																					28	43	86	131				
"MO"	2002	"BATES"	"Absentee"	613	148	528	265		"Absentee"	786	808	4	677	116	807									125	403	321	724	120		61	61																																																								
"MO"	2002	"BATES"	"Adrian North"	381	142	284	260		"Adrian North"	540	556	4	411	132	552									125	220	334	554																																																												
"MO"	2002	"BATES"	"Adrian South"	457	239	352	366		"Adrian South"	713	728	4	517	205	732									125	215	355	570	120		120	120																																																								
"MO"	2002	"BATES"	"Amoret"	126	82	97	115		"Amoret"	219	225	4	152	72	226									125	69	159	228																																																												
"MO"	2002	"BATES"	"Amsterdam"	180	74	155	109		"Amsterdam"	264	273	4	202	54	267									125	128	142	270																																																												
"MO"	2002	"BATES"	"Ballard"	278	86	209	168		"Ballard"	371	382	4	286	87	379									120		264	264																																																												
"MO"	2002	"BATES"	"Butler 1"	354	152	272	250		"Butler 1"	524	532	4	411	118	533									125	143	295	438	120		69	69																																																								
"MO"	2002	"BATES"	"Butler 2"	314	152	257	226		"Butler 2"	480	492	4	384	103	491									125	158	344	502																																																												
"MO"	2002	"BATES"	"Butler 3"	400	225	298	353		"Butler 3"	636	658	4	468	192	664									125	144	496	640	120		24	24																																																								
"MO"	2002	"BATES"	"Butler 4"	286	160	228	238		"Butler 4"	460	477	4	343	122	472									125	134	345	479																																																												
"MO"	2002	"BATES"	"Drexel"	102	69	70	106		"Drexel"	174	181	4	115	60	182									125	42	96	138	120		29	29																																																								
"MO"	2002	"BATES"	"Hudson"	116	83	60	144		"Hudson"	202	204	4	131	72	204									120		175	175																																																												
"MO"	2002	"BATES"	"Hume"	177	64	140	113		"Hume"	252	258	4	200	52	255									125	114	143	257																																																												
"MO"	2002	"BATES"	"Rich Hill N"	195	129	139	202		"Rich Hill N"	329	345	4	242	98	344									125	108	122	230	120		89	89																																																								
"MO"	2002	"BATES"	"Rich Hill S"	233	123	177	194		"Rich Hill S"	364	376	4	276	87	370									125	173	208	381																																																												
"MO"	2002	"BATES"	"Rockville"	34	49	21	66		"Rockville"	86	89	4	52	35	88									120		70	70																																																												
"MO"	2002	"BENTON"	"ABSENTEE"	252	177	223	237		"ABSENTEE"	446	468	4	306	152	465									116	182	275	457																																																					28	165	294	464				
"MO"	2002	"BENTON"	"ALEXANDER"	105	52	88	73		"ALEXANDER"	159	162	4	125	38	165									116	73	88	161																																																					28	59	105	165				
"MO"	2002	"BENTON"	"COLE 1"	148	123	142	146		"COLE 1"	282	291	4	184	95	289									116	110	179	289																																																					28	108	175	288				
"MO"	2002	"BENTON"	"COLE 2"	221	85	186	126		"COLE 2"	315	317	4	251	58	315									116	151	167	318																																																					28	148	159	315				
"MO"	2002	"BENTON"	"FRISTOE"	407	223	370	277		"FRISTOE"	650	657	4	494	156	660									116	314	345	659																																																					28	255	395	661				
"MO"	2002	"BENTON"	"LINDSEY NORTH"	307	195	238	279		"LINDSEY NORTH"	513	523	4	386	131	524									116	197	328	525																																																					28	177	342	525				
"MO"	2002	"BENTON"	"LINDSEY SOUTH"	588	269	504	387		"LINDSEY SOUTH"	879	905	4	677	215	909									116	392	500	892																																																					28	341	556	907				
"MO"	2002	"BENTON"	"TOM"	492	188	417	286		"TOM"	695	708	4	547	157	710									116	382	321	703																																																					28	330	364	703				
"MO"	2002	"BENTON"	"UNION NORTH"	154	76	140	100		"UNION NORTH"	240	245	4	184	56	242									116	135	109	244																																																					28	120	120	246				
"MO"	2002	"BENTON"	"UNION SOUTH"	111	128	78	174		"UNION SOUTH"	245	253	4	150	101	251									116	56	191	247																																																					28	51	199	252				
