state	year	county	precinct	g2006_AUD_dv	g2006_AUD_rv	g2006_USS_dv	g2006_USS_rv	g2006_AUD_tv	g2006_USS_tv	cd	g2006_USH_dv	g2006_USH_rv	g2006_USH_tv	cd2	g2006_USH_dv2	g2006_USH_rv2	g2006_USH_tv2	cd3	g2006_USH_dv3	g2006_USH_rv3	g2006_USH_tv3	ld	g2006_STH_dv	g2006_STH_rv	g2006_STH_tv	ld2	g2006_STH_dv2	g2006_STH_rv2	g2006_STH_tv2	ld3	g2006_STH_dv3	g2006_STH_rv3	g2006_STH_tv3	ld4	g2006_STH_dv4	g2006_STH_rv4	g2006_STH_tv4	ld5	g2006_STH_dv5	g2006_STH_rv5	g2006_STH_tv5	ld6	g2006_STH_dv6	g2006_STH_rv6	g2006_STH_tv6	ld7	g2006_STH_dv7	g2006_STH_rv7	g2006_STH_tv7	ld8	g2006_STH_dv8	g2006_STH_rv8	g2006_STH_tv8	ld9	g2006_STH_dv9	g2006_STH_rv9	g2006_STH_tv9	ld10	g2006_STH_dv10	g2006_STH_rv10	g2006_STH_tv10	ld11	g2006_STH_dv11	g2006_STH_rv11	g2006_STH_tv11	ld12	g2006_STH_dv12	g2006_STH_rv12	g2006_STH_tv12	ld13	g2006_STH_dv13	g2006_STH_rv13	g2006_STH_tv13	ld14	g2006_STH_dv14	g2006_STH_rv14	g2006_STH_tv14	sd	g2006_STS_dv	g2006_STS_rv	g2006_STS_tv	sd2	g2006_STS_dv2	g2006_STS_rv2	g2006_STS_tv2
"MO"	2006	"ADAIR"	"001 SW BENTON-1"	242	194	221	235	455	468	9	186	254	461									2	251	214	465																																																					18	205	262	467				
"MO"	2006	"ADAIR"	"002 SE BENTON-2"	476	431	428	511	932	961	9	356	583	952									2	499	455	954																																																					18	405	550	955				
"MO"	2006	"ADAIR"	"003 SE BENTON-3"	304	172	285	219	501	521	9	240	246	509									2	341	171	512																																																					18	276	238	514				
"MO"	2006	"ADAIR"	"004 NE BENTON-4"	368	274	348	328	665	691	9	277	377	673									2	411	275	686																																																					18	332	347	679				
"MO"	2006	"ADAIR"	"005 NE BENTON-5"	331	295	285	358	636	655	9	243	402	653									2	363	294	657																																																					18	290	368	658				
"MO"	2006	"ADAIR"	"006 NE BENTON-6"	430	409	395	471	850	879	9	315	544	867									2	468	411	879																																																					18	362	517	879				
"MO"	2006	"ADAIR"	"007 TSU-BENTON"	219	96	256	107	336	378	9	210	110	344									2	263	89	352																																																					18	238	105	343				
"MO"	2006	"ADAIR"	"008 RURAL BENTON"	583	611	480	764	1220	1270	9	374	868	1260									2	612	633	1245	1	10	9	19																																																	18	475	795	1270				
"MO"	2006	"ADAIR"	"009 BRASHEAR"	284	345	222	435	644	670	9	172	481	665									2	306	360	666																																																					18	241	429	670				
"MO"	2006	"ADAIR"	"010 NOVINGER"	357	319	300	386	700	717	9	244	449	716									2	363	356	719																																																					18	292	426	718				
"MO"	2006	"ADAIR"	"0998 Federal"	0	0	0	0	0	0	9	0	0	0																																																																								
"MO"	2006	"ADAIR"	"0999 Absentee"	479	398	431	483	897	934	9	351	566	934									2	498	423	921	1	6	0	6																																																	18	409	529	938				
"MO"	2006	"ADAIR"	"12 WRITE IN"	0	0	0	0	0	0	9	0	0	0									1	0	0	0	2	0	0	0																																																	18	0	0	0				
"MO"	2006	"ANDREW"	"001 Clay"	29	59	23	77	98	102	6	14	80	101									28		88	90																																																					12	17	79	96				
"MO"	2006	"ANDREW"	"002 Fillmore"	92	119	90	119	216	217	6	67	145	219									28		183	188																																																					12	67	148	215				
"MO"	2006	"ANDREW"	"003 Lincoln"	200	150	194	162	368	371	6	135	228	368									28		279	279																																																					12	176	186	362				
"MO"	2006	"ANDREW"	"004 N.E. Savannah"	248	266	217	300	529	534	6	146	380	533									28		441	446																																																					12	162	359	521				
"MO"	2006	"ANDREW"	"005 N.W. Savannah"	314	258	312	264	594	600	6	193	389	599									28		499	510																																																					12	244	348	592				
"MO"	2006	"ANDREW"	"006 S.E. Savannah"	323	272	323	274	615	619	6	217	387	621									28		489	494																																																					12	260	351	611				
"MO"	2006	"ANDREW"	"007 S.W. Savannah"	246	228	232	243	487	489	6	148	330	490									28		400	404																																																					12	163	322	485				
"MO"	2006	"ANDREW"	"008 Beeler"	267	297	259	314	588	592	6	169	407	590									28		484	497																																																					12	207	369	576				
"MO"	2006	"ANDREW"	"009 John Glenn"	233	268	213	300	518	522	6	127	376	515									28		406	406																																																					12	173	328	501				
"MO"	2006	"ANDREW"	"010 Country Club"	290	281	272	314	590	601	6	174	402	591									28		475	475																																																					12	235	344	579				
"MO"	2006	"ANDREW"	"011 Bolckow"	79	83	68	94	167	170	6	40	127	169									28		146	147																																																					12	47	121	168				
"MO"	2006	"ANDREW"	"012 Rosendale"	94	103	87	111	208	211	6	67	136	210									28		172	172																																																					12	78	130	208				
"MO"	2006	"ANDREW"	"013 West  Platte"	68	82	58	101	155	160	6	34	121	159									28		131	132																																																					12	53	106	159				
"MO"	2006	"ANDREW"	"014 East Platte"	30	41	23	51	72	74	6	20	51	71									28		58	59																																																					12	21	50	71				
"MO"	2006	"ANDREW"	"015 East Empire"	37	60	31	67	103	104	6	27	75	105									28		85	86																																																					12	32	71	103				
"MO"	2006	"ANDREW"	"016 Rochester"	134	167	125	178	312	313	6	84	216	314									28		259	263																																																					12	100	207	307				
"MO"	2006	"ANDREW"	"017 Helena"	129	122	119	134	261	263	6	78	175	262									28		219	222																																																					12	92	167	259				
"MO"	2006	"ANDREW"	"018 East Monroe"	52	106	48	107	161	161	6	30	126	160									28		139	139																																																					12	37	120	157				
"MO"	2006	"ANDREW"	"019 West Monroe"	76	105	61	123	186	188	6	43	139	187									28		147	152																																																					12	48	133	181				
"MO"	2006	"ANDREW"	"020 Absentee"	171	206	159	221	387	391	6	110	259	388									28		292	296																																																					12	145	237	382				
"MO"	2006	"ANDREW"	"021 Provisional"	0	0	0	1	1	1	6	0	0	1									28		1	1																																																					12	1	0	1				
"MO"	2006	"ANDREW"	"022 Intrastate New Resident"	1	1	1	1	2	2	6	1	1	2									28		0	2																																																					12	0	0	0				
"MO"	2006	"ATCHISON"	"01 TARKIO"	319	350	272	422	685	704	6	159	548	711									4	377	328	705																																																					12	195	508	703				
"MO"	2006	"ATCHISON"	"02 ROCKPORT"	389	416	324	522	834	878	6	200	675	889									4	542	340	882																																																					12	216	665	881				
"MO"	2006	"ATCHISON"	"03 FAIRFAX"	268	195	212	265	487	496	6	113	370	497									4	251	251	502																																																					12	139	359	498				
"MO"	2006	"ATCHISON"	"04 WESTBORO"	59	95	56	107	162	166	6	44	122	170									4	92	76	168																																																					12	43	126	169				
"MO"	2006	"ATCHISON"	"05 WATSON"	42	40	36	57	87	95	6	29	65	97									4	56	39	95																																																					12	39	55	94				
"MO"	2006	"ATCHISON"	"06 ABSENTEE"	72	89	69	106	168	179	6	43	132	179									4	98	80	178																																																					12	53	124	177				
"MO"	2006	"ATCHISON"	"07 PROVISIONAL"	0	0	0	0	0	0	6	0	0	0									4	0	0	0																																																					12	0	0	0				
"MO"	2006	"AUDRAIN"	"00 - VANDALIA"	463	280	417	361	764	791	9	344	413	772									10	578	213	791																																																					18	489	289	778				
"MO"	2006	"AUDRAIN"	"01 - E CUIVRE"	129	106	106	138	244	253	9	97	151	251									10	184	71	255																																																					18	152	100	252				
"MO"	2006	"AUDRAIN"	"02 - 2 FARBER"	132	45	109	70	184	189	9	98	84	188									10	149	38	187																																																					18	137	49	186				
"MO"	2006	"AUDRAIN"	"03 - 3 LADDONIA"	144	89	119	115	243	254	9	94	151	254									10	171	81	252																																																					18	146	107	253				
"MO"	2006	"AUDRAIN"	"04 - 4 MARTINSBURG"	144	146	101	206	302	315	9	65	250	320									10	170	142	312																																																					18	129	186	315				
"MO"	2006	"AUDRAIN"	"05 - 5 BENTON CITY"	128	112	97	157	255	263	9	67	190	265									10	143	115	258																																																					18	126	135	261				
"MO"	2006	"AUDRAIN"	"06 - SOUTH FORK"	222	247	165	317	481	495	9	115	373	494									21	152	344	496	10	0	0	0																																																	18	189	303	492				
"MO"	2006	"AUDRAIN"	"07 - 7-8 COMMUNITY"	459	341	359	463	832	856	9	248	586	852									21	352	497	849																																																					18	405	439	844				
"MO"	2006	"AUDRAIN"	"08 - 9 S.R.WILSON"	148	136	107	179	295	303	9	81	219	305									21	105	198	303																																																					18	145	156	301				
"MO"	2006	"AUDRAIN"	"09 - 10 THOMPSON"	242	229	187	283	482	485	9	138	341	488									21	208	267	475	9	1	5	6																																																	18	239	239	478				
"MO"	2006	"AUDRAIN"	"10 - 11 FRIENDSHIP"	128	115	90	172	259	275	9	57	210	273									9	136	132	268																																																					18	156	112	268				
"MO"	2006	"AUDRAIN"	"11 - MEXICO - 1"	368	340	318	406	722	736	9	216	505	733									21	286	453	739																																																					18	343	390	733				
"MO"	2006	"AUDRAIN"	"12 - MEXICO - 2"	272	230	242	260	529	534	9	173	340	534									21	225	313	538																																																					18	267	264	531				
"MO"	2006	"AUDRAIN"	"12 - MEXICO - 3"	258	137	247	164	414	428	9	181	228	419									21	229	198	427																																																					18	250	169	419				
"MO"	2006	"AUDRAIN"	"14 - MEXICO - 4"	177	147	167	169	340	349	9	120	214	344									21	148	196	344																																																					18	171	169	340				
"MO"	2006	"AUDRAIN"	"15 - MEXICO - 5"	301	175	276	210	489	503	9	198	294	504									21	243	263	506																																																					18	278	221	499				
"MO"	2006	"AUDRAIN"	"16 - MEXICO - 6"	413	386	368	440	817	838	9	240	579	835									21	310	527	837																																																					18	381	454	835				
"MO"	2006	"AUDRAIN"	"17 - ABSENTEE"	246	207	220	252	470	483	9	185	285	481									21	168	223	391	10	47	35	82	9	3	3	6																																													18	247	225	472				
"MO"	2006	"BARRY"	"ABSENTEE"	243	415	233	433	686	694	7	203	473	693									68	191	494	685																																																												
"MO"	2006	"BARRY"	"ASH"	99	112	92	127	226	233	7	77	145	230									68	84	149	233																																																												
"MO"	2006	"BARRY"	"BUTTER"	126	152	107	165	294	297	7	81	207	299									68	74	223	297																																																												
"MO"	2006	"BARRY"	"CAPPS"	70	107	63	121	184	188	7	45	139	187									68	55	132	187																																																												
"MO"	2006	"BARRY"	"CASSVILLE-CITY"	392	539	369	568	954	983	7	270	680	971									68	200	771	971																																																												
"MO"	2006	"BARRY"	"CASSVILLE-RURALMINERALMcDNLD"	398	648	354	700	1083	1115	7	274	799	1105									68	241	857	1098																																																												
"MO"	2006	"BARRY"	"CRANE"	123	131	122	144	275	286	7	92	179	289									68	120	149	269																																																												
"MO"	2006	"BARRY"	"EXETER"	222	301	188	334	536	553	7	147	386	551									68	131	415	546																																																												
"MO"	2006	"BARRY"	"GOLDEN"	226	228	224	235	462	471	7	172	285	472									68	191	272	463																																																												
"MO"	2006	"BARRY"	"JENK"	116	132	106	147	257	268	7	80	174	265									68	77	181	258																																																												
"MO"	2006	"BARRY"	"KING"	162	272	134	309	464	475	7	98	357	474									68	123	335	458																																																												
"MO"	2006	"BARRY"	"MONETT"	571	864	483	949	1482	1508	7	379	1083	1511									68	421	1045	1466																																																												
"MO"	2006	"BARRY"	"OZARK"	124	174	103	192	315	315	7	85	227	322									68	108	204	312																																																												
"MO"	2006	"BARRY"	"PURDY"	258	510	193	578	799	818	7	166	629	816									68	175	625	800																																																												
"MO"	2006	"BARRY"	"ROAR"	217	223	217	248	458	481	7	181	276	475									68	180	288	468																																																												
"MO"	2006	"BARRY"	"SHELL"	408	566	394	588	1003	1021	7	309	690	1021									68	315	686	1001																																																												
"MO"	2006	"BARRY"	"Seligman"	203	153	199	162	383	392	7	169	203	390									68	156	231	387																																																												
"MO"	2006	"BARRY"	"WASH"	139	174	140	183	334	354	7	112	222	346									68	112	229	341																																																												
"MO"	2006	"BARRY"	"WHEAT"	195	308	182	327	529	545	7	150	373	544									68	148	387	535																																																												
"MO"	2006	"BARTON"	"ABSENTEE"	74	156	72	174	240	255	4	107	133	247									126	69	184	253																																																					28		167	242				
"MO"	2006	"BARTON"	"BARTON CITY"	36	139	29	156	184	192	4	74	105	188									126	38	150	188																																																					28		149	187				
"MO"	2006	"BARTON"	"CENTRAL"	60	175	56	186	245	256	4	94	145	252									126	64	187	251																																																					28		160	248				
"MO"	2006	"BARTON"	"CITY 1&2"	202	535	191	562	758	790	4	319	436	775									126	167	619	786																																																					28		545	764				
"MO"	2006	"BARTON"	"CITY 3&4"	245	398	225	440	669	698	4	327	334	686									126	208	482	690																																																					28		415	666				
"MO"	2006	"BARTON"	"DOYLESPORT"	23	72	16	82	100	104	4	48	49	103									126	27	75	102																																																					28		60	101				
"MO"	2006	"BARTON"	"GOLDEN CITY"	126	244	114	259	382	388	4	186	191	388									126	124	265	389																																																					28		252	378				
"MO"	2006	"BARTON"	"LAMAR"	158	478	155	506	662	680	4	262	395	673									126	149	530	679																																																					28		467	667				
"MO"	2006	"BARTON"	"MILFORD"	29	75	26	89	117	121	4	53	62	119									126	31	92	123																																																					28		81	119				
"MO"	2006	"BARTON"	"NASHVILLE"	26	85	28	140	117	171	4	40	70	117									126	27	92	119																																																					28		70	116				
"MO"	2006	"BARTON"	"NEWPORT"	16	97	19	108	120	128	4	40	80	123									126	17	106	123																																																					28		98	120				
"MO"	2006	"BARTON"	"NORTHFORK"	120	234	112	265	367	382	4	154	210	373									126	98	284	382																																																					28		258	353				
"MO"	2006	"BARTON"	"OZARK"	120	234	112	265	367	382	4	154	210	373									126	98	284	382																																																					28		258	353				
"MO"	2006	"BARTON"	"RICHLAND"	58	173	54	189	252	259	4	98	140	254									126	70	184	254																																																					28		162	242				
"MO"	2006	"BARTON"	"SOUTHWEST"	92	103	80	116	202	204	4	105	92	207									126	84	117	201																																																					28		114	188				
"MO"	2006	"BARTON"	"UNION"	39	91	38	100	138	146	4	69	67	141									126	44	101	145																																																					28		79	138				
"MO"	2006	"BARTON"	"WRITE IN"	0	0	0	0	0	0	4	0	0	0									126	0	0	0																																																					28		0	0				
"MO"	2006	"BATES"	"Absentee"	279	205	286	228	496	523	4	397	120	525									125	210	229	439	120	35	44	79																																																								
"MO"	2006	"BATES"	"Adrian North"	360	242	315	298	624	646	4	464	158	638									125	268	370	638																																																												
"MO"	2006	"BATES"	"Adrian South"	446	350	399	407	828	852	4	601	221	852									125	306	379	685	120	61	104	165																																																								
"MO"	2006	"BATES"	"Amoret"	108	104	103	120	224	233	4	163	62	230									125	95	137	232																																																												
"MO"	2006	"BATES"	"Amsterdam"	180	112	173	122	302	305	4	221	71	304									125	154	147	301																																																												
"MO"	2006	"BATES"	"Ballard"	213	149	208	178	375	400	4	288	98	396									120	203	190	393																																																												
"MO"	2006	"BATES"	"Butler 1"	319	244	288	285	585	601	4	461	127	604									125	214	265	479	120	53	67	120																																																								
"MO"	2006	"BATES"	"Butler 2"	287	221	273	254	536	553	4	410	126	550									125	241	309	550																																																												
"MO"	2006	"BATES"	"Butler 3"	372	307	338	374	706	735	4	526	201	735									125	264	425	689	120	15	28	43																																																								
"MO"	2006	"BATES"	"Butler 4"	257	228	236	272	514	533	4	377	132	524									125	210	312	522																																																												
"MO"	2006	"BATES"	"Drexel"	87	98	75	121	198	210	4	119	78	205									125	56	107	163	120	21	17	38																																																								
"MO"	2006	"BATES"	"Hudson"	78	124	56	148	206	211	4	143	66	210									120	64	147	211																																																												
"MO"	2006	"BATES"	"Hume"	173	98	158	114	285	295	4	249	40	297									125	187	108	295																																																												
