state	year	county	cd	ld	sd	countyprecinct_code	precinct_code	precinct	g2004_USP_rv	g2004_USP_dv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"MS"	2004	"ALCORN"	1	1	4	"003-2CEN"	"2CEN"	"2nd Central"	918	375	1304		741	832
"MS"	2004	"ALCORN"	1	3	4	"003-2BET"	"2BET"	"Bethel"	72	37	111		54	63
"MS"	2004	"ALCORN"	1	2	4	"003-2BIG"	"2BIG"	"Biggersville"	365	222	592		343	389
"MS"	2004	"ALCORN"	1	2	4	"003-2CH"	"2CH"	"College Hill"	850	630	1493		754	867
"MS"	2004	"ALCORN"	1	2	4	"003-2EC"	"2EC"	"East Corinth"	363	491	862		813	896
"MS"	2004	"ALCORN"	1	2	4	"003-2E3"	"2.00E+03"	"East Third"	300	157	459		265	299
"MS"	2004	"ALCORN"	1	1	4	"003-2FP"	"2FP"	"1st Five Points"	906	483	1415		782	863
"MS"	2004	"ALCORN"	1	1	4	"003-2GL"	"2GL"	"Glen"	368	322	698		309	375
"MS"	2004	"ALCORN"	1	3	4	"003-2JAC"	"2JAC"	"Jacinto"	194	106	305		163	184
"MS"	2004	"ALCORN"	1	2	4	"003-2KOS"	"2KOS"	"Kossuth"	955	316	1284		791	861
"MS"	2004	"ALCORN"	1	2	4	"003-2NC"	"2NC"	"North Corinth"	653	275	936		613	665
"MS"	2004	"ALCORN"	1	3	4	"003-2RIE"	"2RIE"	"Rienzi"	501	302	812		420	476
"MS"	2004	"ALCORN"	1	2	4	"003-2SCO"	"2SCO"	"South Corinth"	302	707	1022		317	403
"MS"	2004	"ALCORN"	1	2	4	"003-2UC"	"2UC"	"Union Center"	584	420	1013		446	514
"MS"	2004	"ALCORN"	1	2	4	"003-2WEN"	"2WEN"	"Wenasoga"	420	315	747		373	448
"MS"	2004	"ALCORN"	1	2	4	"003-2WC"	"2WC"	"West Corinth"	383	296	683		376	458
"MS"	2004	"BENTON"	1	5	2	"009-2AS3"	"2AS3"	"Ashland 3"	230	135	371		274	359
"MS"	2004	"BENTON"	1	13	2	"009-2CA1"	"2CA1"	"Canaan 1"	91	316	411		146	372
"MS"	2004	"BENTON"	1	13	2	"009-2FL4"	"2FL4"	"Floyd 4"	213	59	275		235	266
"MS"	2004	"BENTON"	1	13	2	"009-2HF5"	"2HF5"	"Hickory Flat 5"	438	205	648		533	634
"MS"	2004	"BENTON"	1	5	2	"009-2LM2"	"2LM2"	"Lamar 2"	115	477	596		214	539
"MS"	2004	"BENTON"	1						152	132	287		187	258
"MS"	2004	"BENTON"	1						79	260	340		143	290
"MS"	2004	"BENTON"	1						84	9	94		79	89
"MS"	2004	"BENTON"	1						106	44	150		114	135
"MS"	2004	"BENTON"	1						55	186	241		107	197
"MS"	2004	"BENTON"	1						75	35	111		91	110
"MS"	2004	"BENTON"	1						71	26	97		84	97
"MS"	2004	"BENTON"	1						50	88	138		75	128
"MS"	2004	"BENTON"	1						102	240	346		156	316
"MS"	2004	"BENTON"	1						108	33	142		126	139
"MS"	2004	"CALHOUN"	1	23	3	"013-006"	"6"	"Banner"	225	89	314		266	307
"MS"	2004	"CALHOUN"	1	23	3	"013-005"	"5"	"Bruce 3"	506	238	749		632	721
"MS"	2004	"CALHOUN"	1	24	8	"013-001"	"1"	"Calhoun City 1"	317	348	668		544	712
"MS"	2004	"CALHOUN"	1	24	8	"013-007"	"7"	"Calhoun City 4"	553	216	773		674	769
"MS"	2004	"CALHOUN"	1	23	15	"013-008"	"8"	"Derma 4"			0		0	0
"MS"	2004	"CALHOUN"	1	23	8	"013-009"	"9"	"Derma 5"	197	47	245		212	238
"MS"	2004	"CALHOUN"	1	23	3	"013-003"	"3"	"NE Calhoun"	253	92	352		319	360
"MS"	2004	"CALHOUN"	1	23	8	"013-002"	"2"	"Pittsboro 1"	87	209	301		170	303
"MS"	2004	"CALHOUN"	1	23	8	"013-004"	"4"	"Pittsboro 2"	200	89	291		239	291
"MS"	2004	"CALHOUN"	1	22	8	"013-010"	"10"	"Vardaman"	488	239	729		646	783
"MS"	2004	"CALHOUN"	1						11	172	183		99	205
"MS"	2004	"CALHOUN"	1						270	91	362		322	363
"MS"	2004	"CALHOUN"	1						150	78	229		189	219
"MS"	2004	"CALHOUN"	1						159	64	223		176	209
"MS"	2004	"CALHOUN"	1						100	31	132		124	133
"MS"	2004	"CALHOUN"	1						75	13	88		86	89
"MS"	2004	"CALHOUN"	1						53	22	75		66	81
"MS"	2004	"CALHOUN"	1						121	26	147		133	140
"MS"	2004	"CALHOUN"	1						31	11	42		36	40
"MS"	2004	"CALHOUN"	1						147	38	186		163	180
"MS"	2004	"CALHOUN"	1						47	15	62		53	62
"MS"	2004	"CALHOUN"	1						60	42	102		89	106
"MS"	2004	"CALHOUN"	1						81	64	145		116	144
"MS"	2004	"CHICKASAW"	1	22	8	"017-ANC"	"ANC"	"Anchor"	261	114	377		0	0
"MS"	2004	"CHICKASAW"	1	22	8	"017-BV"	"BV"	"Buena Vista"	98	458	559		0	0
"MS"	2004	"CHICKASAW"	1	22	8	"017-EO"	"EO"	"E Okalona"	111	708	827		0	0
"MS"	2004	"CHICKASAW"	1	22	8	"017-EGT"	"EGT"	"Egypt"	142	267	417		0	0
