state	year	county	cd	ld	sd	countyprecinct_code	precinct_code	precinct	g2006_USS_dv	g2006_USS_rv	g2006_USS_tv	g2006_USH_rv	g2006_USH_dv	g2006_USH_tv	cd2	g2006_USH_rv2	g2006_USH_dv2	g2006_USH_tv2
"MS"	2006	"ALCORN"	1	3	4	"003-2BET"	"2BET"	"Bethel"	19	34	54	34	17	51				
"MS"	2006	"ALCORN"	1	2	4	"003-2BIG"	"2BIG"	"Biggersville"	112	252	371	252	115	367				
"MS"	2006	"ALCORN"	1	1	4	"003-2CEN"	"2CEN"	"2nd Central"	150	357	521	359	150	509				
"MS"	2006	"ALCORN"	1	2	4	"003-2CH"	"2CH"	"College Hill"	238	509	758	498	250	748				
"MS"	2006	"ALCORN"	1	2	4	"003-2E3"	"2.00E+03"	"East Third"	69	147	220	145	70	215				
"MS"	2006	"ALCORN"	1	2	4	"003-2EC"	"2EC"	"East Corinth"	162	491	663	490	171	661				
"MS"	2006	"ALCORN"	1	1	4	"003-2FP"	"2FP"	"1st Five Points"	363	871	1264	841	391	1232				
"MS"	2006	"ALCORN"	1	1	4	"003-2GL"	"2GL"	"Glen"	137	233	376	225	150	375				
"MS"	2006	"ALCORN"	1	3	4	"003-2JAC"	"2JAC"	"Jacinto"	69	96	168	91	76	167				
"MS"	2006	"ALCORN"	1	2	4	"003-2KOS"	"2KOS"	"Kossuth"	197	683	895	669	217	886				
"MS"	2006	"ALCORN"	1	2	4	"003-2NC"	"2NC"	"North Corinth"	114	282	405	278	119	397				
"MS"	2006	"ALCORN"	1	3	4	"003-2RIE"	"2RIE"	"Rienzi"	166	316	490	320	164	484				
"MS"	2006	"ALCORN"	1	2	4	"003-2SCO"	"2SCO"	"South Corinth"	207	163	376	150	216	366				
"MS"	2006	"ALCORN"	1	2	4	"003-2UC"	"2UC"	"Union Center"	154	247	413	220	181	401				
"MS"	2006	"ALCORN"	1	2	4	"003-2WC"	"2WC"	"West Corinth"	87	178	274	180	92	272				
"MS"	2006	"ALCORN"	1	2	4	"003-2WEN"	"2WEN"	"Wenasoga"	173	381	573	354	201	555				
"MS"	2006	"BENTON"	1	5	2	"009-2AS3"	"2AS3"	"Ashland 3"	197	278	494	264	224	488				
"MS"	2006	"BENTON"	1	13	2	"009-2CA1"	"2CA1"	"Canaan 1"	239	115	362	109	244	353				
"MS"	2006	"BENTON"	1	13	2	"009-2FL4"	"2FL4"	"Floyd 4"	136	275	420	267	156	423				
"MS"	2006	"BENTON"	1	13	2	"009-2HF5"	"2HF5"	"Hickory Flat 5"	67	335	409	334	69	403				
"MS"	2006	"BENTON"	1	5	2	"009-2LM2"	"2LM2"	"Lamar 2"	321	82	403	71	331	402				
"MS"	2006	"CALHOUN"	1	24	8	"013-001"	"1"	"Calhoun City 1"	155	137	294	132	152	284				
"MS"	2006	"CALHOUN"	1	23	8	"013-002"	"2"	"Pittsboro 1"	180	51	233	58	169	227				
"MS"	2006	"CALHOUN"	1	23	3	"013-003"	"3"	"NE Calhoun"	72	240	316	239	75	314				
"MS"	2006	"CALHOUN"	1	23	8	"013-004"	"4"	"Pittsboro 2"	51	137	192	133	54	187				
"MS"	2006	"CALHOUN"	1	23	3	"013-005"	"5"	"Bruce 3"	118	376	495	368	126	494				
"MS"	2006	"CALHOUN"	1	23	3	"013-006"	"6"	"Banner"	56	118	177	123	53	176				
"MS"	2006	"CALHOUN"	1	24	8	"013-007"	"7"	"Calhoun City 4"	83	348	436	360	71	431				
"MS"	2006	"CALHOUN"	1	23	15	"013-008"	"8"	"Derma 4"	32	131	164	136	29	165				
"MS"	2006	"CALHOUN"	1	23	8	"013-009"	"9"	"Derma 5"	58	201	263	202	61	263				
"MS"	2006	"CALHOUN"	1	22	8	"013-010"	"10"	"Vardaman"	98	239	343	233	103	336				
"MS"	2006	"CHICKASAW"	1	22	8	"017-ANC"	"ANC"	"Anchor"	84	239	329	246	83	329				
"MS"	2006	"CHICKASAW"	1	22	8	"017-BV"	"BV"	"Buena Vista"	203	82	286	90	192	282				
"MS"	2006	"CHICKASAW"	1	22	8	"017-EGT"	"EGT"	"Egypt"	135	66	202	65	135	200				
"MS"	2006	"CHICKASAW"	1	22	8	"017-EO"	"EO"	"E Okalona"	265	52	320	54	257	311				
"MS"	2006	"CHICKASAW"	1	22	8	"017-NHK"	"NHK"	"N Houlka"	70	57	129	55	69	124				
"MS"	2006	"CHICKASAW"	1	22	8	"017-NO"	"NO"	"N Okalona"	133	90	227	83	139	222				
"MS"	2006	"CHICKASAW"	1	22	8	"017-NWH"	"NWH"	"NW Houston"	270	75	352	77	272	349				
"MS"	2006	"CHICKASAW"	1	22	8	"017-PG"	"PG"	"Pleas Grove Thorn"	24	178	204	175	29	204				
"MS"	2006	"CHICKASAW"	1	22	8	"017-PSL"	"PSL"	"Pearsall"	56	62	123	66	56	122				
"MS"	2006	"CHICKASAW"	1	22	8	"017-SEH"	"SEH"	"SE Houston"	115	477	603	463	136	599				
"MS"	2006	"CHICKASAW"	1	22	8	"017-SHK"	"SHK"	"S Houlka"	61	135	198	127	63	190				
"MS"	2006	"CHICKASAW"	1	22	8	"017-SPA"	"SPA"	"Sparta"	39	74	115	71	44	115				
"MS"	2006	"CHICKASAW"	1	22	8	"017-VV"	"VV"	"Van Vleet"	57	100	158	101	54	155				
"MS"	2006	"CHICKASAW"	1	22	8	"017-WO"	"WO"	"W Okalona"	117	194	314	189	119	308				
"MS"	2006	"CHICKASAW"	1	22	8	"017-WOOD"	"WOOD"	"Woodland"	49	66	115	59	53	112				
"MS"	2006	"CHOCTAW"	1	35	15	"019-BY"	"BY"	"Bywy"	52	65	119	63	50	113				
"MS"	2006	"CHOCTAW"	1	35	15	"019-CHE"	"CHE"	"Chester"	39	73	112	78	31	109				
"MS"	2006	"CHOCTAW"	1	35	15	"019-D5"	"D5"	"District 5"	87	420	514	414	93	507				
"MS"	2006	"CHOCTAW"	1	35	15	"019-EW"	"EW"	"E Weir"	129	48	183	50	132	182				
"MS"	2006	"CHOCTAW"	1	35	15	"019-FC"	"FC"	"French Camp"	44	173	221	178	42	220				
"MS"	2006	"CHOCTAW"	1	35	15	"019-FEN"	"FEN"	"Fentress"	33	94	129	93	34	127				
"MS"	2006	"CHOCTAW"	1	35	15	"019-HEB"	"HEB"	"Hebron"	15	75	90	75	14	89				
"MS"	2006	"CHOCTAW"	1	35	15	"019-KEN"	"KEN"	"Kenego"	11	95	108	92	15	107				
"MS"	2006	"CHOCTAW"	1	48	15	"019-PFD"	"PFD"	"Panhandle"	58	99	158	97	58	155				
"MS"	2006	"CHOCTAW"	1	35	15	"019-REF"	"REF"	"Reform"	75	99	179	99	77	176				
"MS"	2006	"CHOCTAW"	1	35	15	"019-SHE"	"SHE"	"Sherwood"	21	132	154	129	24	153				
"MS"	2006	"CHOCTAW"	1	48	15	"019-SWA"	"SWA"	"SW Ackerman"	88	39	133	40	88	128				
"MS"	2006	"CHOCTAW"	1	35	15	"019-WW"	"WW"	"W Weir"	44	105	151	107	44	151				
"MS"	2006	"CLAY"	1	36	16	"025-C"	"C"	"Cairo"	82	121	205	118	87	205				
"MS"	2006	"CLAY"	1	36	16	"025-CAR"	"CAR"	"Caradine"	262	82	359	98	251	349				
"MS"	2006	"CLAY"	1	37	16	"025-CB"	"CB"	"Cedar Bluff"	7	95	102	92	8	100				
"MS"	2006	"CLAY"	1	37	16	"025-CWP"	"CWP"	"Central West Point"	163	324	498	319	176	495				
"MS"	2006	"CLAY"	1	37	16	"025-EWP"	"EWP"	"East West Point"	290	666	969	677	288	965				
"MS"	2006	"CLAY"	1	36	16	"025-NWP"	"NWP"	"North West Point"	434	401	850	418	415	833				
"MS"	2006	"CLAY"	1	23	16	"025-P"	"P"	"Pheba"	159	154	318	159	155	314				
"MS"	2006	"CLAY"	1	36	16	"025-PB"	"PB"	"Pine Bluff"	112	64	183	61	121	182				
"MS"	2006	"CLAY"	1	36	16	"025-SI"	"SI"	"Siloam"	156	300	465	307	149	456				
"MS"	2006	"CLAY"	1	38	16	"025-SWP"	"SWP"	"South West Point"	264	285	555	286	262	548				
"MS"	2006	"CLAY"	1	36	16	"025-T"	"T"	"Tibbee"	136	72	213	83	124	207				
"MS"	2006	"CLAY"	1	36	16	"025-US"	"US"	"Union Star"	180	135	321	138	169	307				
"MS"	2006	"CLAY"	1	36	16	"025-V"	"V"	"Vinton"	184	121	310	126	177	303				
"MS"	2006	"CLAY"	1	36	16	"025-WWP"	"WWP"	"West West Point"	358	182	545	202	338	540				
"MS"	2006	"DE SOTO"	1	8	1	"033-101"	"101"	"Ingrams Hill"	125	229	361	228	132	360				
"MS"	2006	"DE SOTO"	1	6	19	"033-102"	"102"	"Lewisburg E"	21	122	146	123	23	146				
"MS"	2006	"DE SOTO"	1	52	19	"033-103"	"103"	"Miller"	173	404	585	405	180	585				
"MS"	2006	"DE SOTO"	1	52	19	"033-104"	"104"	"Fairhaven"	124	277	407	274	131	405				
"MS"	2006	"DE SOTO"	1	6	19	"033-105"	"105"	"Olive Branch South"	330	1170	1523	1178	344	1522				
"MS"	2006	"DE SOTO"	1	52	19	"033-106"	"106"	"Olive Branch North"	284	878	1187	881	297	1178				
"MS"	2006	"DE SOTO"	1	52	19	"033-107"	"107"	"Hacks Cross Road"			0			0				
"MS"	2006	"DE SOTO"	1	52	19	"033-201"	"201"	"Mineral Wells"	121	458	586	459	125	584				
"MS"	2006	"DE SOTO"	1	7	19	"033-202"	"202"	"Glenbrook North"	131	362	499	359	136	495				
"MS"	2006	"DE SOTO"	1	7	19	"033-203"	"203"	"Southhaven North"	131	438	578	440	136	576				
"MS"	2006	"DE SOTO"	1	7	19	"033-204"	"204"	"Greenbrook South"	208	815	1036	812	224	1036				
"MS"	2006	"DE SOTO"	1	7	19	"033-205"	"205"	"Plum Point"	109	470	596	473	122	595				
"MS"	2006	"DE SOTO"	1	7	19	"033-207"	"207"	"Elmore"	44	279	330	278	51	329				
"MS"	2006	"DE SOTO"	1	7	19	"033-301"	"301"	"Cherry Valley"			0			0				
"MS"	2006	"DE SOTO"	1	40	19	"033-302"	"302"	"Southhaven West"	138	365	516	368	143	511				
"MS"	2006	"DE SOTO"	1	40	1	"033-303"	"303"	"Twin Lakes / HH"	82	202	297	210	89	299				
"MS"	2006	"DE SOTO"	1	40	1	"033-304"	"304"	"Horn Lake West"	244	378	633	381	252	633				
"MS"	2006	"DE SOTO"	1	25	1	"033-305"	"305"	"Pleas Hill N"	65	415	490	416	74	490				
"MS"	2006	"DE SOTO"	1	25	1	"033-305"	"305"	"Wells"	164	356	536	367	167	534				
"MS"	2006	"DE SOTO"	1	25	1	"033-305"	"305"	"Pleas Hill S"	41	303	355	305	49	354				
"MS"	2006	"DE SOTO"	1	25	1	"033-306"	"306"	"Lake Cormorant"	25	75	105	77	30	107				
"MS"	2006	"DE SOTO"	1	7	19	"033-401"	"401"	"Southhaven South"	48	72	122	73	47	120				
"MS"	2006	"DE SOTO"	1	40	1	"033-402"	"402"	"Horn Lake East"	169	373	560	383	176	559				
"MS"	2006	"DE SOTO"	1	40	1	"033-403"	"403"	"Horn Lake South"	147	448	605	449	154	603				
"MS"	2006	"DE SOTO"	1	6	1	"033-404"	"404"	"Aldens"	64	181	251	179	72	251				
"MS"	2006	"DE SOTO"	1	25	1	"033-405"	"405"	"Nesbit West"	149	315	471	325	144	469				
"MS"	2006	"DE SOTO"	1	25	1	"033-406"	"406"	"Eudora"	102	323	436	321	118	439				
"MS"	2006	"DE SOTO"	1	6	1	"033-407"	"407"	"Oak Grove"	32	65	100	61	38	99				
"MS"	2006	"DE SOTO"	1	40	1	"033-408"	"408"	"Horn Lake Central"			0			0				
"MS"	2006	"DE SOTO"	1	6	19	"033-501"	"501"	"Desoto Central"	173	618	796	618	177	795				
"MS"	2006	"DE SOTO"	1	25	1	"033-502"	"502"	"Nesbit East"	96	167	266	162	106	268				
"MS"	2006	"DE SOTO"	1	6	1	"033-503"	"503"	"Bridgetown"	119	575	704	556	149	705				
"MS"	2006	"DE SOTO"	1	6	19	"033-505"	"505"	"Lewisburg W"	70	231	310	227	81	308				
"MS"	2006	"DE SOTO"	1	6	1	"033-506"	"506"	"Hernando E"	343	1550	1927	1570	351	1921				
"MS"	2006	"DE SOTO"	1	6	1	"033-507"	"507"	"Hernando W"	193	454	659	467	190	657				
"MS"	2006	"DE SOTO"	1	8	1	"033-508"	"508"	"Love"	76	339	425	328	95	423				
"MS"	2006	"DE SOTO"	1	8	1	"033-509"	"509"	"Alphaba-Cockrum"	42	225	271	219	51	270				
"MS"	2006	"DE SOTO"	1	6	1	"033-510"	"510"	"Hernando Central"			0			0				
"MS"	2006	"GRENADA"	1	24	8	"043-10"	"10"	"Box 1 Vo-Tech"	27	398	426	396	25	421				
"MS"	2006	"GRENADA"	1	24	8	"043-15"	"15"	"Box 2 Grenada Co"	164	220	388	224	161	385				
"MS"	2006	"GRENADA"	1	24	14	"043-20"	"20"	"Box 3 City Aud"	394	207	611	206	402	608				
"MS"	2006	"GRENADA"	1	24	14	"043-22"	"22"		92	312	407	295	100	395				
"MS"	2006	"GRENADA"	1	24	14	"043-25"	"25"	"Box 4 Carrie Dotson"	518	130	658	126	518	644				
"MS"	2006	"GRENADA"	1	46	14	"043-30"	"30"	"Box 5 E O C Bldg"	83	660	751	644	98	742				
"MS"	2006	"GRENADA"	1	46	14	"043-35"	"35"	"Tie Plant School"	135	382	522	375	145	520				
"MS"	2006	"GRENADA"	1	24	8	"043-40"	"40"	"Elliott VFD"	21	148	171	149	17	166				
"MS"	2006	"GRENADA"	1	46	14	"043-45"	"45"	"Sweethome Hol#2 Fire"	46	134	183	124	57	181				
"MS"	2006	"GRENADA"	1	24	8	"043-50"	"50"		39	117	159	118	43	161				
"MS"	2006	"GRENADA"	1	24	8	"043-55"	"55"	"Futheyville 1st Pent"	73	257	333	255	78	333				
"MS"	2006	"GRENADA"	1	35	8	"043-60"	"60"	"Providence Gore Sprs"	9	61	70	59	10	69				
"MS"	2006	"GRENADA"	1	24	8	"043-70"	"70"	"Mt Nebo Parker's"	8	52	61	52	8	60				
