state	year	fips	county	cd	ld	sd	precinct	g2008_USP_tv	g2008_USP_dv	g2008_USP_rv	g2008_USS_rv	g2008_USS_dv	s2008_USS_dv	s2008_USS_rv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	g2008_USS_tv	s2008_USS_tv
"MS"	2008	3	"ALCORN"	1	1	4	"1st Five Points"	1501.0	286.0	1215.0	352.0	1099.0	424.0	1037.0	728.0	737.0	1487.0	1451.0	1461.0
"MS"	2008	141	"TISHOMINGO"	1	1	4	"Burnsville N"	483.0	139.0	344.0	320.0	171.0	171.0	322.0	305.0	192.0	503.0	491.0	493.0
"MS"	2008	141	"TISHOMINGO"	1	1	5	"Cotton Sprs"	181.0	35.0	146.0	150.0	23.0	40.0	134.0	90.0	89.0	181.0	173.0	174.0
"MS"	2008	141	"TISHOMINGO"	1	1	5	"Iuka E"	978.0	270.0	708.0	675.0	284.0	336.0	630.0	600.0	374.0	984.0	959.0	966.0
"MS"	2008	141	"TISHOMINGO"	1	1	4	"Coles Mills"	412.0	95.0	317.0	282.0	116.0	134.0	264.0	224.0	183.0	413.0	398.0	398.0
"MS"	2008	141	"TISHOMINGO"	1	1	5	"Belmont"	547.0	83.0	464.0	446.0	75.0	140.0	404.0	255.0	280.0	542.0	521.0	544.0
"MS"	2008	141	"TISHOMINGO"	1	1	4	"Burnsville"	262.0	46.0	216.0	207.0	58.0	78.0	191.0	140.0	124.0	266.0	265.0	269.0
"MS"	2008	141	"TISHOMINGO"	1	1	5	"Tishomingo W"	330.0	76.0	254.0	266.0	71.0	93.0	235.0	203.0	132.0	339.0	337.0	328.0
"MS"	2008	141	"TISHOMINGO"	1	1	4	"Iuka N"	913.0	253.0	660.0	632.0	268.0	320.0	572.0	550.0	358.0	920.0	900.0	892.0
"MS"	2008	141	"TISHOMINGO"	1	1	5	"Paden"	246.0	50.0	196.0	177.0	64.0	79.0	167.0	146.0	101.0	251.0	241.0	246.0
"MS"	2008	141	"TISHOMINGO"	1	1	4	"Iuka"	707.0	166.0	541.0	532.0	165.0	224.0	468.0	407.0	300.0	721.0	697.0	692.0
"MS"	2008	141	"TISHOMINGO"	1	1	5	"Springhill"	411.0	97.0	314.0	299.0	108.0	136.0	273.0	242.0	160.0	414.0	407.0	409.0
"MS"	2008	3	"ALCORN"	1	1	4	"2nd Central"	1322.0	246.0	1076.0	279.0	1003.0	365.0	918.0	637.0	661.0	1315.0	1282.0	1283.0
"MS"	2008	141	"TISHOMINGO"	1	1	4	"Iuka W"	245.0	63.0	182.0	175.0	61.0	84.0	160.0	141.0	103.0	245.0	236.0	244.0
"MS"	2008	141	"TISHOMINGO"	1	1	4	"Hubbard Salem"	113.0	23.0	90.0	85.0	30.0	34.0	80.0	75.0	42.0	117.0	115.0	114.0
"MS"	2008	141	"TISHOMINGO"	1	1	4	"Burnsville W"	451.0	77.0	374.0	356.0	94.0	131.0	321.0	260.0	199.0	461.0	450.0	452.0
"MS"	2008	3	"ALCORN"	1	1	4	"Glen"	905.0	177.0	728.0	237.0	644.0	290.0	585.0	542.0	357.0	908.0	881.0	875.0
"MS"	2008	107	"PANOLA"	1	10	10	"South Springport"	899.0	336.0	563.0	569.0	305.0	360.0	518.0	439.0	355.0	890.0	874.0	878.0
"MS"	2008	107	"PANOLA"	1	10	10	"Cold Springs"	198.0	181.0	17.0	30.0	163.0	157.0	28.0	176.0	8.0	194.0	193.0	185.0
"MS"	2008	107	"PANOLA"	1	10	10	"Batesville E 4"	540.0	118.0	422.0	439.0	82.0	154.0	375.0	181.0	269.0	540.0	521.0	529.0
"MS"	2008	107	"PANOLA"	1	10	10	"North Springport"	717.0	270.0	447.0	456.0	233.0	286.0	409.0	349.0	266.0	708.0	689.0	695.0
"MS"	2008	107	"PANOLA"	1	10	10	"Batesville E"	1060.0	196.0	864.0	887.0	154.0	296.0	750.0	308.0	573.0	1043.0	1041.0	1046.0
"MS"	2008	71	"LAFAYETTE"	1	10	9	"Burgess"	368.0	113.0	255.0	272.0	86.0	102.0	256.0	153.0	204.0	367.0	358.0	358.0
"MS"	2008	135	"TALLAHATCHIE"	2	10	9	"Teasdale"	352.0	88.0	264.0	276.0	67.0	101.0	243.0	132.0	205.0	337.0	343.0	344.0
"MS"	2008	107	"PANOLA"	1	10	10	"Cole's Point"	313.0	61.0	252.0	245.0	48.0	80.0	221.0	116.0	154.0	300.0	293.0	301.0
"MS"	2008	107	"PANOLA"	1	10	10	"Eureka"	979.0	216.0	763.0	758.0	203.0	277.0	679.0	391.0	465.0	975.0	961.0	956.0
"MS"	2008	107	"PANOLA"	1	10	10	"Tocowa"	855.0	272.0	583.0	606.0	223.0	322.0	509.0	363.0	356.0	835.0	829.0	831.0
"MS"	2008	71	"LAFAYETTE"	1	10	9	"College Hill"	1475.0	610.0	865.0	995.0	454.0	524.0	901.0	702.0	713.0	1450.0	1449.0	1425.0
"MS"	2008	71	"LAFAYETTE"	1	10	9	"Yocona Center"	506.0	94.0	412.0	431.0	65.0	100.0	385.0	197.0	293.0	501.0	496.0	485.0
"MS"	2008	71	"LAFAYETTE"	1	10	9	"Abbeville"	980.0	629.0	351.0	371.0	574.0	546.0	377.0	687.0	270.0	971.0	945.0	923.0
"MS"	2008	107	"PANOLA"	1	10	10	"Pope"	680.0	285.0	395.0	424.0	228.0	315.0	349.0	353.0	228.0	662.0	652.0	664.0
"MS"	2008	107	"PANOLA"	1	10	10	"Batesville 3"	652.0	202.0	450.0	466.0	164.0	221.0	403.0	256.0	287.0	648.0	630.0	624.0
"MS"	2008	107	"PANOLA"	1	10	10	"E Sardis"	461.0	97.0	364.0	371.0	82.0	119.0	332.0	187.0	244.0	460.0	453.0	451.0
"MS"	2008	91	"MARION"	4	100	40	"Popetown"	839.0	365.0	474.0	491.0	327.0	381.0	441.0	643.0	180.0	823.0	818.0	822.0
