state	year	county	precinct	cd	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	cd2	g2010_USH_dv2	g2010_USH_rv2	g2010_USH_tv2
"MS"	2010	"Adams"	"Airport"	3	292	109	401				
"MS"	2010	"Adams"	"Beau Pre"	3	150	235	387				
"MS"	2010	"Adams"	"Bellemont"	3	207	765	982				
"MS"	2010	"Adams"	"By-Pass Fire"	3	302	141	445				
"MS"	2010	"Adams"	"Carpenter"	3	160	79	240				
"MS"	2010	"Adams"	"Concord"	3	250	25	276				
"MS"	2010	"Adams"	"Courthouse"	3	85	316	405				
"MS"	2010	"Adams"	"Duncan Park"	3	138	347	486				
"MS"	2010	"Adams"	"Foster Mound 5"	3	485	35	521				
"MS"	2010	"Adams"	"Kingston 1"	3	66	279	347				
"MS"	2010	"Adams"	"Liberty Park 2"	3	45	357	403				
"MS"	2010	"Adams"	"Maryland 3"	3	274	10	285				
"MS"	2010	"Adams"	"Morgantown 4"	3	162	82	247				
"MS"	2010	"Adams"	"Northside 4"	3	357	10	368				
"MS"	2010	"Adams"	"Nps Multi Purpose Bldg. 3 "	3	124	101	226				
"MS"	2010	"Adams"	"Oakland 5"	3	196	378	577				
"MS"	2010	"Adams"	"Palestine 3"	3	256	155	412				
"MS"	2010	"Adams"	"Pine Ridge 4"	3	228	55	285				
"MS"	2010	"Adams"	"Thompson 4"	3	256	25	283				
"MS"	2010	"Adams"	"Washington 5"	3	81	206	289				
"MS"	2010	"Alcorn"	"2nd district Central Precinct"	1	202	535	749				
"MS"	2010	"Alcorn"	"Bethel"	1	20	32	53				
"MS"	2010	"Alcorn"	"Biggersville"	1	136	251	393				
"MS"	2010	"Alcorn"	"College Hill"	1	299	503	819				
"MS"	2010	"Alcorn"	"East Corinth"	1	278	524	824				
"MS"	2010	"Alcorn"	"East Third Street"	1	80	179	267				
"MS"	2010	"Alcorn"	"Five Points 1st District"	1	234	613	870				
"MS"	2010	"Alcorn"	"Glen"	1	147	345	507				
"MS"	2010	"Alcorn"	"Jacinto"	1	68	120	196				
"MS"	2010	"Alcorn"	"Kossuth"	1	180	599	799				
"MS"	2010	"Alcorn"	"North Corinth"	1	132	521	665				
"MS"	2010	"Alcorn"	"Rienzl"	1	239	305	562				
"MS"	2010	"Alcorn"	"South Corinth"	1	401	196	612				
"MS"	2010	"Alcorn"	"Union Center"	1	173	273	464				
"MS"	2010	"Alcorn"	"Wenasoga"	1	148	294	460				
"MS"	2010	"Alcorn"	"West Corinth "	1	106	217	336				
"MS"	2010	"Amite"	"Amite River"	3	162	45	207				
"MS"	2010	"Amite"	"Ariel"	3	73	35	109				
"MS"	2010	"Amite"	"Berwick"	3	155	30	188				
"MS"	2010	"Amite"	"Closter"	3	295	116	412				
"MS"	2010	"Amite"	"Crosby "	3	58	68	126				
"MS"	2010	"Amite"	"East Centerville"	3	95	121	218				
"MS"	2010	"Amite"	"East Fork"	3	49	187	236				
"MS"	2010	"Amite"	"East Gloster"	3	44	117	161				
"MS"	2010	"Amite"	"East Liberty"	3	48	107	156				
