state	year	county	precinct	g2002_USS_dv	g2002_USS_rv	g2002_USS_tv	g2002_USH_dv	g2002_USH_rv	g2002_USH_tv	cd	ld
"MT"	2002	"Beaverhead"	"1"	196	90	286	86	208	294	1	34
"MT"	2002	"Beaverhead"	"2"	131	169	300	48	285	333	1	34
"MT"	2002	"Beaverhead"	"3"	181	152	333	82	279	361	1	34
"MT"	2002	"Beaverhead"	"4"	45	72	117	26	93	119	1	34
"MT"	2002	"Beaverhead"	"5"	27	59	86	5	83	88	1	34
"MT"	2002	"Beaverhead"	"6"	223	128	351	98	266	364	1	34
"MT"	2002	"Beaverhead"	"7"	106	99	205	33	175	208	1	34
"MT"	2002	"Beaverhead"	"8"	8	42	50	4	56	60	1	34
"MT"	2002	"Beaverhead"	"9"	139	143	282	55	236	291	1	34
"MT"	2002	"Beaverhead"	"12"	260	140	400	119	293	412	1	34
"MT"	2002	"Beaverhead"	"14"	130	66	196	71	132	203	1	34
"MT"	2002	"Beaverhead"	"17"	24	22	46	11	38	49	1	34
"MT"	2002	"Beaverhead"	"18"	9	15	24	2	23	25	1	33
"MT"	2002	"Beaverhead"	"19"	10	39	49	9	44	53	1	34
"MT"	2002	"Beaverhead"	"20"	18	40	58	4	61	65	1	34
"MT"	2002	"Beaverhead"	"21"	39	63	102	14	97	111	1	34
"MT"	2002	"Beaverhead"	"23"	41	39	80	23	56	79	1	34
"MT"	2002	"Big Horn"	"1"	120	56	176	51	133	184	1	6
"MT"	2002	"Big Horn"	"2"	51	33	84	36	48	84	1	6
"MT"	2002	"Big Horn"	"3"	60	52	112	11	104	115	1	5
"MT"	2002	"Big Horn"	"4"	145	53	198	59	149	208	1	5
"MT"	2002	"Big Horn"	"5"	166	34	200	134	64	198	1	5
"MT"	2002	"Big Horn"	"6"	22	25	47	5	45	50	1	5
"MT"	2002	"Big Horn"	"7"	615	56	671	536	119	655	1	6
"MT"	2002	"Big Horn"	"8"	83	3	86	50	58	108	1	5
"MT"	2002	"Big Horn"	"9"	142	11	153	116	31	147	1	6
"MT"	2002	"Big Horn"	"10"	16	35	51	9	47	56	1	5
"MT"	2002	"Big Horn"	"14"	103	19	122	94	35	129	1	6
"MT"	2002	"Big Horn"	"15"	201	26	227	172	54	226	1	6
"MT"	2002	"Big Horn"	"17"	187	89	276	73	213	286	1	6
"MT"	2002	"Big Horn"	"18"	188	68	256	80	185	265	1	6
"MT"	2002	"Big Horn"	"19"	263	119	382	108	282	390	1	5
"MT"	2002	"Big Horn"	"21"	320	55	375	272	96	368	1	6
"MT"	2002	"Big Horn"	"25"	63	30	93	49	48	97	1	5
"MT"	2002	"Big Horn"	"26"	225	50	275	187	93	280	1	5
