state	year	county	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	g2004_GOV_dv	g2004_GOV_rv	g2004_GOV_tv	g2004_STS_dv	g2004_STS_rv	g2004_STS_tv	g2004_STH_dv	g2004_STH_rv	g2004_STH_tv	cd	ld	sd
"MT"	2004	"Beaverhead"	"1"	168	251	419	145	264	409	227	190	417		328	328		321	321	1	72	36
"MT"	2004	"Beaverhead"	"12"	204	310	514	154	353	507	261	243	504		405	405		401	401	1	72	36
"MT"	2004	"Beaverhead"	"14"	94	160	254	76	170	246	130	115	245		201	201		191	191	1	72	36
"MT"	2004	"Beaverhead"	"17"	22	64	86	18	64	82	31	45	76		72	72		67	67	1	72	36
"MT"	2004	"Beaverhead"	"19"	14	71	85	12	69	81	19	61	80		72	72		72	72	1	72	36
"MT"	2004	"Beaverhead"	"2"	113	374	487	85	383	468	172	290	462		423	423		418	418	1	72	36
"MT"	2004	"Beaverhead"	"20"	2	73	75	4	71	75	8	66	74		77	77		72	72	1	72	36
"MT"	2004	"Beaverhead"	"21"	20	121	141	12	126	138	38	105	143		132	132		120	120	1	72	36
"MT"	2004	"Beaverhead"	"23"	24	84	108	22	80	102	36	70	106		97	97		93	93	1	72	36
"MT"	2004	"Beaverhead"	"3"	132	404	536	110	413	523	185	344	529		433	433		425	425	1	72	36
"MT"	2004	"Beaverhead"	"4"	29	140	169	26	133	159	52	106	158		150	150		152	152	1	72	36
"MT"	2004	"Beaverhead"	"5"	7	124	131	9	122	131	21	100	121		122	122		115	115	1	72	36
"MT"	2004	"Beaverhead"	"6"	122	335	457	104	350	454	195	256	451		402	402		386	386	1	72	36
"MT"	2004	"Beaverhead"	"7"	46	218	264	35	230	265	97	165	262		237	237		238	238	1	72	36
"MT"	2004	"Beaverhead"	"8"	7	69	76	6	64	70	12	58	70		69	69		65	65	1	72	36
"MT"	2004	"Beaverhead"	"9"	99	269	368	81	275	356	154	205	359		314	314		304	304	1	72	36
"MT"	2004	"Big Horn"	"10"	3	54	57	4	53	57	8	51	59	22		22	15		15	1	41	21
"MT"	2004	"Big Horn"	"14"	139	84	223	143	66	209	149	46	195	192		192	187		187	1	41	21
"MT"	2004	"Big Horn"	"19"	158	253	411	126	278	404	219	179	398	305		305	296		296	1	41	21
"MT"	2004	"Big Horn"	"25"	35	21	56	34	22	56	34	18	52	42		42	41		41	1	41	21
"MT"	2004	"Big Horn"	"26"	177	105	282	172	108	280	187	76	263	239		239	248		248	1	41	21
"MT"	2004	"Big Horn"	"3E"	7	39	46	6	42	48	16	29	45	22		22	20		20	1	41	21
"MT"	2004	"Big Horn"	"4E"	30	64	94	29	66	95	41	53	94	58		58	60		60	1	41	21
"MT"	2004	"Big Horn"	"5"	133	54	187	130	55	185	144	37	181	166		166	162		162	1	41	21
"MT"	2004	"Big Horn"	"6"	13	53	66	8	57	65	19	43	62	36		36	42		42	1	41	21
"MT"	2004	"Big Horn"	"1"	63	123	186	52	131	183	73	107	180	127		127	130		130	1	42	21
"MT"	2004	"Big Horn"	"15"	192	94	286	192	84	276	205	52	257	276		276	272		272	1	42	21
"MT"	2004	"Big Horn"	"17"	119	221	340	96	242	338	171	155	326	224		224	227		227	1	42	21
"MT"	2004	"Big Horn"	"18"	112	227	339	90	240	330	157	166	323	234		234	230		230	1	42	21
"MT"	2004	"Big Horn"	"2"	39	82	121	40	80	120	52	67	119	91		91	88		88	1	42	21
"MT"	2004	"Big Horn"	"21"	251	137	388	279	103	382	277	81	358	336		336	338		338	1	42	21
"MT"	2004	"Big Horn"	"3"	12	65	77	10	62	72	22	51	73	40		40	38		38	1	42	21
"MT"	2004	"Big Horn"	"4"	22	98	120	13	107	120	34	84	118	74		74	74		74	1	42	21
"MT"	2004	"Big Horn"	"7"	537	135	672	539	123	662	548	77	625	637		637	631		631	1	42	21
"MT"	2004	"Big Horn"	"8"	48	60	108	46	60	106	57	41	98	76		76	68		68	1	42	21
"MT"	2004	"Big Horn"	"9"	125	59	184	129	47	176	130	32	162	176		176	169		169	1	42	21
"MT"	2004	"Blaine"	"10"	75	277	352	64	276	340	167	178	345							1	32	16
"MT"	2004	"Blaine"	"15"	277	49	326	261	57	318	275	25	300							1	32	16
"MT"	2004	"Blaine"	"17"	8	88	96	10	84	94	13	81	94							1	32	16
"MT"	2004	"Blaine"	"20"	93	26	119	87	30	117	87	15	102							1	32	16
"MT"	2004	"Blaine"	"3"	293	56	349	282	63	345	289	32	321							1	32	16
"MT"	2004	"Blaine"	"9"	95	17	112	84	25	109	91	10	101							1	32	16
"MT"	2004	"Blaine"	"1"	39	176	215	21	191	212	77	131	208							1	34	17
"MT"	2004	"Blaine"	"11"	77	204	281	61	225	286	134	141	275							1	34	17
"MT"	2004	"Blaine"	"12"	131	228	359	98	244	342	179	160	339							1	34	17
"MT"	2004	"Blaine"	"13"	15	82	97	18	79	97	36	56	92							1	34	17
"MT"	2004	"Blaine"	"8"	197	221	418	175	242	417	240	167	407							1	34	17
"MT"	2004	"Broadwater"	"1"	98	384	482	90	382	472	179	295	474		388	388	152	320	472	1	68	34
"MT"	2004	"Broadwater"	"12"	155	381	536	114	414	528	228	296	524		412	412	188	334	522	1	68	34
"MT"	2004	"Broadwater"	"13"	68	278	346	68	278	346	127	213	340		288	288	99	244	343	1	68	34
"MT"	2004	"Broadwater"	"7"	122	341	463	109	351	460	192	268	460		358	358	153	305	458	1	68	34
"MT"	2004	"Broadwater"	"11"	90	394	484	72	405	477	169	308	477					381	381	1	83	42
"MT"	2004	"Carbon"	"1"	112	260	372	91	275	366	165	199	364				161	201	362	1	57	29
"MT"	2004	"Carbon"	"10"	168	173	341	149	186	335	207	128	335				202	143	345	1	59	30
"MT"	2004	"Carbon"	"11"	310	416	726	245	481	726	390	332	722				418	309	727	1	59	30
"MT"	2004	"Carbon"	"12"	28	110	138	27	114	141	51	87	138				38	103	141	1	59	30
