state	year	county	precinct	g2006_USS_dv	g2006_USS_rv	g2006_USS_tv	g2006_USH_dv	g2006_USH_rv	g2006_USH_tv	g2006_STS_dv	g2006_STS_rv	g2006_STS_tv	g2006_STH_dv	g2006_STH_rv	g2006_STH_tv	cd	ld	sd
"MT"	2006	"Beaverhead"	"1"	219	184	403	168	237	405				155	239	394	1	72	36
"MT"	2006	"Beaverhead"	"2"	133	362	495	98	398	496				109	399	508	1	72	36
"MT"	2006	"Beaverhead"	"3"	155	353	508	117	396	513				97	410	507	1	72	36
"MT"	2006	"Beaverhead"	"4"	45	105	150	26	128	154				33	119	152	1	72	36
"MT"	2006	"Beaverhead"	"5"	10	90	100	10	95	105				9	96	105	1	72	36
"MT"	2006	"Beaverhead"	"6"	163	230	393	119	288	407				92	305	397	1	72	36
"MT"	2006	"Beaverhead"	"7"	65	195	260	43	216	259				45	215	260	1	72	36
"MT"	2006	"Beaverhead"	"8"	13	52	65	7	56	63				9	57	66	1	72	36
"MT"	2006	"Beaverhead"	"9"	111	243	354	88	277	365				82	271	353	1	72	36
"MT"	2006	"Beaverhead"	"12"	212	241	453	150	310	460				148	298	446	1	72	36
"MT"	2006	"Beaverhead"	"14"	145	180	325	122	207	329				104	232	336	1	72	36
"MT"	2006	"Beaverhead"	"17"	18	56	74	16	57	73				16	63	79	1	72	36
"MT"	2006	"Beaverhead"	"19"	21	54	75	12	61	73				16	57	73	1	72	36
"MT"	2006	"Beaverhead"	"20"	7	60	67	6	61	67				4	63	67	1	72	36
"MT"	2006	"Beaverhead"	"21"	25	89	114	16	96	112				19	92	111	1	72	36
"MT"	2006	"Beaverhead"	"23"	35	61	96	27	71	98				21	75	96	1	72	36
"MT"	2006	"Big Horn"	"3E"	11	34	45	10	35	45				7	40	47	1	41	21
"MT"	2006	"Big Horn"	"4E"	31	60	91	35	55	90				26	66	92	1	41	21
"MT"	2006	"Big Horn"	"5"	193	48	241	182	52	234				192	49	241	1	41	21
"MT"	2006	"Big Horn"	"6"	18	46	64	11	54	65				13	51	64	1	41	21
"MT"	2006	"Big Horn"	"10"	13	37	50	8	42	50				6	46	52	1	41	21
"MT"	2006	"Big Horn"	"14"	163	61	224	170	56	226				193	36	229	1	41	21
"MT"	2006	"Big Horn"	"19"	220	187	407	164	247	411				161	251	412	1	41	21
"MT"	2006	"Big Horn"	"25"	36	16	52	33	18	51				33	18	51	1	41	21
"MT"	2006	"Big Horn"	"26"	236	73	309	219	89	308				240	73	313	1	41	21
"MT"	2006	"Big Horn"	"1"	93	99	192	66	128	194				133		133	1	42	21
"MT"	2006	"Big Horn"	"2"	56	57	113	49	63	112				87		87	1	42	21
"MT"	2006	"Big Horn"	"3"	17	52	69	19	54	73				38		38	1	42	21
"MT"	2006	"Big Horn"	"4"	41	77	118	27	96	123				78		78	1	42	21
"MT"	2006	"Big Horn"	"7"	735	96	831	713	121	834				809		809	1	42	21
"MT"	2006	"Big Horn"	"8"	55	53	108	52	58	110				69		69	1	42	21
"MT"	2006	"Big Horn"	"9"	161	40	201	158	36	194				187		187	1	42	21
"MT"	2006	"Big Horn"	"15"	273	50	323	242	83	325				313		313	1	42	21
"MT"	2006	"Big Horn"	"17"	200	202	402	184	221	405				302		302	1	42	21
"MT"	2006	"Big Horn"	"18"	144	160	304	112	192	304				207		207	1	42	21
