state	year	county	precinct	precinct_code	sd	g2002_STS_dv	g2002_STS_rv	g2002_STS_tv	sd2	g2002_STS_dv2	g2002_STS_rv2	g2002_STS_tv2	sd3	g2002_STS_dv3	g2002_STS_rv3	g2002_STS_tv3	sd4	g2002_STS_dv4	g2002_STS_rv4	g2002_STS_tv4	sd5	g2002_STS_dv5	g2002_STS_rv5	g2002_STS_tv5	ld	g2002_STH_dv	g2002_STH_rv	g2002_STH_tv	ld2	g2002_STH_dv2	g2002_STH_rv2	g2002_STH_tv2	ld3	g2002_STH_dv3	g2002_STH_rv3	g2002_STH_tv3	ld4	g2002_STH_dv4	g2002_STH_rv4	g2002_STH_tv4	ld5	g2002_STH_dv5	g2002_STH_rv5	g2002_STH_tv5	ld6	g2002_STH_dv6	g2002_STH_rv6	g2002_STH_tv6	ld7	g2002_STH_dv7	g2002_STH_rv7	g2002_STH_tv7	ld8	g2002_STH_dv8	g2002_STH_rv8	g2002_STH_tv8	ld9	g2002_STH_dv9	g2002_STH_rv9	g2002_STH_tv9	ld10	g2002_STH_dv10	g2002_STH_rv10	g2002_STH_tv10	cd	g2002_USH_dv	g2002_USH_rv	g2002_USH_tv	cd2	g2002_USH_dv2	g2002_USH_rv2	g2002_USH_tv2	cd3	g2002_USH_dv3	g2002_USH_rv3	g2002_USH_tv3	g2002_USS_dv	g2002_USS_rv	g2002_USS_tv
"NC"	2002	"ALAMANCE"	"ALBRIGHT"	"07"	24	224	659	883																	64		728	728	63	0		0																																	6		790	827	13	0	0	0					247	640	908.0
"NC"	2002	"ALAMANCE"	"BOONE 5"	"035"	24	268	592	860																	64		681	681	63	0		0																																	6		723	788	13	0	0	0					255	625	892.0
"NC"	2002	"ALAMANCE"	"BURLINGTON 10"	"1210"	24	187	368	555																	64		418	418	63	0		0																																	6		442	486	13	0	0	0					191	364	560.0
"NC"	2002	"ALAMANCE"	"BURLINGTON 4"	"124"	24	323	472	795																	63	325		325	64		0	0																																	6		601	668	13	0	0	0					306	464	790.0
"NC"	2002	"ALAMANCE"	"BURLINGTON 5"	"125"	24	246	475	721																	64		545	545	63	0		0																																	6		584	641	13	0	0	0					242	460	720.0
"NC"	2002	"ALAMANCE"	"BURLINGTON 6"	"126"	24	169	301	470																	64		340	340	63	0		0																																	6		409	441	13	0	0	0					145	328	480.0
"NC"	2002	"ALAMANCE"	"BURLINGTON 7"	"127"	24	723	259	982																	63	710		710	64		0	0																																	13	745	218	980	6		0	0					722	256	992.0
"NC"	2002	"ALAMANCE"	"BURLINGTON 8"	"128"	24	247	184	431																	63	253		253	64		0	0																																	13	275	147	435	6		0	0					256	165	426.0
"NC"	2002	"ALAMANCE"	"BURLINGTON 9"	"129"	24	114	300	414																	64		329	329	63	0		0																																	6		357	381	13	0	0	0					111	292	414.0
"NC"	2002	"ALAMANCE"	"CENTRAL BOONE"	"03C"	24	356	675	1031																	63	306		306	64		0	0																																	6		890	938	13	0	0	0					297	696	1008.0
"NC"	2002	"ALAMANCE"	"COBLE"	"02"	24	233	830	1063																	64		878	878	63	0		0																																	6		955	1016	13	0	0	0					251	802	1072.0
"NC"	2002	"ALAMANCE"	"EAST BURLINGTON"	"12E"	24	209	226	435																	63	204		204	64		0	0																																	13	231	181	425									202	223	438.0
"NC"	2002	"ALAMANCE"	"EAST GRAHAM"	"06E"	24	285	467	752																	63	312		312	64		0	0																																	6		544	623	13	0	0	0					297	443	760.0
"NC"	2002	"ALAMANCE"	"FAUCETTE"	"05"	24	239	605	844																	64		646	646	63	0		0																																	6		723	757	13	0	0	0					235	613	857.0
"NC"	2002	"ALAMANCE"	"GRAHAM 3"	"063"	24	400	443	843																	63	418		418	64		0	0																																	13	464	354	848	6		0	0					409	416	835.0
"NC"	2002	"ALAMANCE"	"GRAHAM 4"	"064"	24	369	786	1155																	64		858	858	63	0		0																																	6		933	1023									383	776	1174.0
"NC"	2002	"ALAMANCE"	"HAW RIVER"	"13"	24	651	502	1153																	63	630		630	64		0	0																																	13	708	426	1162	6		0	0					645	501	1173.0
"NC"	2002	"ALAMANCE"	"MELVILLE 3"	"103"	24	247	533	780																	63	289		289	64		0	0																																	6		639	717	13	0	0	0					256	523	798.0
"NC"	2002	"ALAMANCE"	"MORTON"	"04"	24	413	868	1281																	64		951	951	63	0		0																																	6		1051	1113	13	0	0	0					395	887	1301.0
"NC"	2002	"ALAMANCE"	"NORTH BOONE"	"03N"	24	385	672	1057																	64		748	748	63	0		0																																	6		847	920									347	721	1079.0
"NC"	2002	"ALAMANCE"	"NORTH BURLINGTON"	"12N"	24	878	189	1067																	63	870		870	64		0	0																																	13	906	152	1068	6		0	0					870	191	1068.0
"NC"	2002	"ALAMANCE"	"NORTH GRAHAM"	"06N"	24	302	329	631																	63	315		315	64		0	0																																	13	348	261	632	6		0	0					329	302	652.0
"NC"	2002	"ALAMANCE"	"NORTH MELVILLE"	"10N"	24	416	642	1058																	63	481		481	64		0	0																																	6		773	855	13	0	0	0					415	637	1068.0
"NC"	2002	"ALAMANCE"	"NORTH NEWLIN"	"08N"	24	278	523	801																	64		585	585	63	0		0																																	6		625	707	13	0	0	0					297	515	829.0
"NC"	2002	"ALAMANCE"	"NORTH THOMPSON"	"09N"	24	291	401	692																	64		464	464	63	0		0																																	6		491	564	13	0	0	0					286	407	710.0
"NC"	2002	"ALAMANCE"	"PATTERSON"	"01"	24	241	632	873																	64		671	671	63	0		0																																	6		757	799	13	0	0	0					263	633	910.0
"NC"	2002	"ALAMANCE"	"PLEASANT GROVE"	"11"	24	642	340	982																	63	627		627	64		0	0																																	13	662	298	977	6		0	0					633	345	988.0
"NC"	2002	"ALAMANCE"	"SOUTH BOONE"	"03S"	24	401	790	1191																	64		934	934	63	0		0																																	6		996	1075	13	0		0					372	807	1203.0
"NC"	2002	"ALAMANCE"	"SOUTH BURLINGTON"	"12S"	24	173	129	302																	63	176		176																																					13	184	108	299									174	132	313.0
"NC"	2002	"ALAMANCE"	"SOUTH GRAHAM"	"06S"	24	297	545	842																	64		626	626	63	0		0																																	6		672	747	13	0	0	0					289	553	856.0
"NC"	2002	"ALAMANCE"	"SOUTH MELVILLE"	"10S"	24	600	716	1316																	63	664		664	64		0	0																																	6		847	998	13	0	0	0					609	712	1341.0
"NC"	2002	"ALAMANCE"	"SOUTH NEWLIN"	"08S"	24	134	291	425																	64		338	338	63	0		0																																	6		355	393									153	280	441.0
