state	year	county	precinct	cd	g2006_USH_dv	g2006_USH_rv	g2006_USH_tv	cd2	g2006_USH_dv2	g2006_USH_rv2	g2006_USH_tv2	sd	g2006_STS_dv	g2006_STS_rv	g2006_STS_tv	sd2	g2006_STS_dv2	g2006_STS_rv2	g2006_STS_tv2	ld	g2006_STH_dv	g2006_STH_rv	g2006_STH_tv	ld2	g2006_STH_dv2	g2006_STH_rv2	g2006_STH_tv2	ld3	g2006_STH_dv3	g2006_STH_rv3	g2006_STH_tv3
"NC"	2006	"ALAMANCE"	"ALBRIGHT"	6	184	640	824					24	342	514	856					64		663	663								
"NC"	2006	"ALAMANCE"	"BOONE 5"	6	198	578	776					24	326	471	797					64		602	602								
"NC"	2006	"ALAMANCE"	"BURLINGTON 10"	6	162	283	445					24	242	216	458					63	302		302								
"NC"	2006	"ALAMANCE"	"BURLINGTON 4"	6	229	420	649					24	376	302	678					63	470		470								
"NC"	2006	"ALAMANCE"	"BURLINGTON 5"	6	174	451	625					24	299	355	654					63	385		385								
"NC"	2006	"ALAMANCE"	"BURLINGTON 6"	6	237	651	888					24	466	471	937					64		648	648								
"NC"	2006	"ALAMANCE"	"BURLINGTON 7"	13	590	198	788					24	599	202	801					63	651		651								
"NC"	2006	"ALAMANCE"	"BURLINGTON 8"	13	241	110	351					24	246	121	367					63	268		268								
"NC"	2006	"ALAMANCE"	"BURLINGTON 9"	6	108	377	485					24	183	321	504					64		389	389								
"NC"	2006	"ALAMANCE"	"CENTRAL BOONE"	6	224	776	1000					24	472	587	1059					64		764	764								
"NC"	2006	"ALAMANCE"	"COBLE"	6	182	836	1018					24	303	751	1054					64		858	858								
"NC"	2006	"ALAMANCE"	"EAST BURLINGTON"	13	185	123	308					24	169	153	322					63	222		222								
"NC"	2006	"ALAMANCE"	"EAST GRAHAM"	6	220	426	646					24	326	346	672					63	424		424								
"NC"	2006	"ALAMANCE"	"FAUCETTE"	6	171	597	768					24	297	500	797					64		608	608								
"NC"	2006	"ALAMANCE"	"GRAHAM 3"	13	403	287	690					24	382	335	717					63	485		485								
"NC"	2006	"ALAMANCE"	"GRAHAM 4"	6	410	823	1233					24	646	630	1276					64		894	894								
"NC"	2006	"ALAMANCE"	"HAW RIVER"	13	570	308	878					24	511	396	907					63	622		622								
"NC"	2006	"ALAMANCE"	"MELVILLE 3"	6	200	498	698					24	297	424	721					64		519	519								
"NC"	2006	"ALAMANCE"	"MORTON"	6	264	845	1109					24	453	709	1162					64		871	871								
"NC"	2006	"ALAMANCE"	"NORTH BOONE"	6	345	705	1050					24	554	520	1074					64		709	709								
"NC"	2006	"ALAMANCE"	"NORTH BURLINGTON"	13	686	125	811					24	716	119	835					63	737		737								
"NC"	2006	"ALAMANCE"	"NORTH GRAHAM"	13	332	170	502					24	326	204	530					63	373		373								
"NC"	2006	"ALAMANCE"	"NORTH MELVILLE"	6	353	654	1007					24	457	589	1046					63	652		652								
"NC"	2006	"ALAMANCE"	"NORTH NEWLIN"	6	242	449	691					24	331	395	726					64		506	506								
"NC"	2006	"ALAMANCE"	"NORTH THOMPSON"	6	181	386	567					24	278	318	596					64		400	400								
"NC"	2006	"ALAMANCE"	"PATTERSON"	6	174	662	836					24	282	579	861					64		678	678								
"NC"	2006	"ALAMANCE"	"PLEASANT GROVE"	13	606	219	825					24	569	277	846					63	655		655								
"NC"	2006	"ALAMANCE"	"SOUTH BOONE"	6	270	797	1067					24	474	635	1109					64		841	841								
"NC"	2006	"ALAMANCE"	"SOUTH BURLINGTON"	13	161	71	232					24	160	87	247					63	184		184								
"NC"	2006	"ALAMANCE"	"SOUTH GRAHAM"	6	236	593	829					24	393	475	868					64		631	631								
"NC"	2006	"ALAMANCE"	"SOUTH MELVILLE"	6	608	750	1358					24	744	660	1404					63	906		906								
"NC"	2006	"ALAMANCE"	"SOUTH NEWLIN"	6	112	279	391					24	163	242	405					64		298	298								
"NC"	2006	"ALAMANCE"	"SOUTH THOMPSON"	6	320	555	875					24	422	489	911					64		640	640								
"NC"	2006	"ALAMANCE"	"WEST BOONE"	6	190	459	649					24	296	379	675					64		500	500								
"NC"	2006	"ALAMANCE"	"WEST BOONE-SAT"	6	163	216	379					24	229	164	393					64		229	229								
"NC"	2006	"ALAMANCE"	"WEST BURLINGTON"	6	257	457	714					24	399	345	744					63	512		512								
"NC"	2006	"ALAMANCE"	"WEST GRAHAM"	6	80	194	274					24	118	163	281					63	175		175								
"NC"	2006	"ALEXANDER"	"BETHLEHEM #1"	5	321	646	967					45	351	606	957					88	476	498	974								
"NC"	2006	"ALEXANDER"	"BETHLEHEM #2"	5	338	663	1001					45	357	631	988					88	457	563	1020								
"NC"	2006	"ALEXANDER"	"ELLENDALE"	5	287	420	707					45	315	380	695					88	393	324	717								
"NC"	2006	"ALEXANDER"	"GWALTNEY #1"	5	98	136	234					45	110	119	229					88	143	93	236								
"NC"	2006	"ALEXANDER"	"GWALTNEY #2"	5	196	152	348					45	199	138	337					88	247	105	352								
"NC"	2006	"ALEXANDER"	"LITTLE RIVER"	5	149	211	360					45	149	206	355					88	196	171	367								
"NC"	2006	"ALEXANDER"	"MILLERS"	5	212	251	463					45	214	244	458					88	264	203	467								
"NC"	2006	"ALEXANDER"	"SHARPES #1"	5	269	352	621					45	317	296	613					88	409	223	632								
"NC"	2006	"ALEXANDER"	"SHARPES #2"	5	225	155	380					45	222	150	372					88	269	115	384								
"NC"	2006	"ALEXANDER"	"SUGAR LOAF"	5	100	198	298					45	111	183	294					88	164	140	304								
"NC"	2006	"ALEXANDER"	"TAYLORSVILLE #1"	5	80	224	304					45	98	201	299					88	134	172	306								
"NC"	2006	"ALEXANDER"	"TAYLORSVILLE #2"	5	171	189	360					45	175	176	351					88	232	132	364								
"NC"	2006	"ALEXANDER"	"TAYLORSVILLE #3"	5	131	177	308					45	142	154	296					88	189	122	311								
"NC"	2006	"ALEXANDER"	"TAYLORSVILLE #4"	5	195	208	403					45	196	199	395					88	260	151	411								
"NC"	2006	"ALEXANDER"	"TAYLORSVILLE #5"	5	77	158	235					45	86	145	231					88	122	119	241								
"NC"	2006	"ALEXANDER"	"WITTENBURG"	5	178	324	502					45	191	301	492					88	238	271	509								
"NC"	2006	"ALLEGHANY"	"CHERRY LANE"	5	205	335	540					30		299	299					90	285	250	535								
"NC"	2006	"ALLEGHANY"	"CRANBERRY"	5	97	103	200					30		88	88					90	110	92	202								
"NC"	2006	"ALLEGHANY"	"GAP CIVIL"	5	788	697	1485					30		639	639					90	978	535	1513								
"NC"	2006	"ALLEGHANY"	"GLADE CREEK"	5	274	383	657					30		322	322					90	321	330	651								
"NC"	2006	"ALLEGHANY"	"PINEY CREEK"	5	152	122	274					30		109	109					90	179	88	267								
"NC"	2006	"ALLEGHANY"	"PRATHERS CREEK"	5	121	172	293					30		150	150					90	151	139	290								
"NC"	2006	"ALLEGHANY"	"WHITEHEAD"	5	136	176	312					30		152	152					90	170	140	310								
"NC"	2006	"ANSON"	"ANSONVILLE"	8	241	149	390					25	293	86	379					69	332	58	390								
"NC"	2006	"ANSON"	"BURNSVILLE"	8	172	221	393					25	234	144	378					69	299	95	394								
"NC"	2006	"ANSON"	"GULLEDGE"	8	166	99	265					25	202	56	258					69	226	41	267								
"NC"	2006	"ANSON"	"LILESVILLE"	8	486	251	737					25	579	139	718					69	644	104	748								
"NC"	2006	"ANSON"	"MORVEN/MCFARLAN"	8	248	70	318					25	277	35	312					69	292	25	317								
"NC"	2006	"ANSON"	"PEACHLAND"	8	169	217	386					25	215	149	364					69	263	124	387								
"NC"	2006	"ANSON"	"POLKTON"	8	135	109	244					25	170	64	234					69	191	55	246								
"NC"	2006	"ANSON"	"WADESBORO 1"	8	328	137	465					25	380	74	454					69	419	49	468								
"NC"	2006	"ANSON"	"WADESBORO 2"	8	179	110	289					25	222	61	283					69	252	38	290								
"NC"	2006	"ANSON"	"WADESBORO 3"	8	259	201	460					25	355	94	449					69	406	59	465								
"NC"	2006	"ANSON"	"WHITE STORE"	8	64	24	88					25	67	16	83					69	78	10	88								
"NC"	2006	"ASHE"	"0BIDS"	5	170	246	416					45	225	197	422					93	201	211	412								
"NC"	2006	"ASHE"	"CLIFTON"	5	211	305	516					45	285	229	514					93	247	257	504								
"NC"	2006	"ASHE"	"CRESTON"	5	54	154	208					45	76	132	208					93	60	147	207								
"NC"	2006	"ASHE"	"ELK"	5	84	77	161					45	102	60	162					93	93	68	161								
"NC"	2006	"ASHE"	"HELTON"	5	91	126	217					45	137	76	213					93	100	111	211								
"NC"	2006	"ASHE"	"HORSE CREEK"	5	99	81	180					45	123	54	177					93	107	70	177								
"NC"	2006	"ASHE"	"HURRICANE"	5	43	38	81					45	48	36	84					93	50	31	81								
"NC"	2006	"ASHE"	"JEFFERSON"	5	519	578	1097					45	714	389	1103					93	621	463	1084								
"NC"	2006	"ASHE"	"LAUREL"	5	28	64	92					45	37	53	90					93	28	63	91								
"NC"	2006	"ASHE"	"NEW RIVER"	5	360	364	724					45	440	274	714					93	402	311	713								
"NC"	2006	"ASHE"	"NORTH FORK"	5	104	188	292					45	117	175	292					93	102	189	291								
"NC"	2006	"ASHE"	"OLD FIELDS"	5	267	453	720					45	378	332	710					93	313	395	708								
"NC"	2006	"ASHE"	"PEAK CREEK"	5	130	193	323					45	161	153	314					93	141	170	311								
"NC"	2006	"ASHE"	"PINE SWAMP"	5	219	356	575					45	291	283	574					93	265	299	564								
"NC"	2006	"ASHE"	"PINEY CREEK"	5	126	271	397					45	187	204	391					93	140	242	382								
"NC"	2006	"ASHE"	"POND MOUNTAIN"	5	21	43	64					45	30	33	63					93	27	36	63								
"NC"	2006	"ASHE"	"WEST JEFFERSON"	5	509	672	1181					45	678	493	1171					93	611	550	1161								
"NC"	2006	"AVERY"	"ALTAMONT"	10	70	206	276					47	82	193	275					84		232	232								
"NC"	2006	"AVERY"	"BANNER ELK"	10	214	349	563					47	223	336	559					84		396	396								
"NC"	2006	"AVERY"	"BEECH MOUNTAIN"	10	34	108	142					47	31	112	143					84		116	116								
"NC"	2006	"AVERY"	"CAREYS FLAT"	10	6	19	25					47	6	18	24					84		18	18								
"NC"	2006	"AVERY"	"CRANBERRY"	10	8	95	103					47	10	93	103					84		89	89								
"NC"	2006	"AVERY"	"ELK PARK"	10	49	128	177					47	52	125	177					84		138	138								
"NC"	2006	"AVERY"	"FRANK"	10	10	71	81					47	12	69	81					84		70	70								
"NC"	2006	"AVERY"	"HEATON"	10	26	96	122					47	35	88	123					84		96	96								
"NC"	2006	"AVERY"	"HUGHES"	10	17	86	103					47	25	77	102					84		94	94								
"NC"	2006	"AVERY"	"INGALLS"	10	53	174	227					47	61	168	229					84		191	191								
"NC"	2006	"AVERY"	"LINVILLE"	10	48	102	150					47	53	95	148					84		114	114								
"NC"	2006	"AVERY"	"MINNEAPOLIS"	10	28	92	120					47	26	96	122					84		94	94								
"NC"	2006	"AVERY"	"MONTEZUMA"	10	65	91	156					47	66	89	155					84		112	112								
"NC"	2006	"AVERY"	"NEWLAND # 1"	10	40	166	206					47	44	161	205					84		177	177								
"NC"	2006	"AVERY"	"NEWLAND # 2"	10	57	136	193					47	49	140	189					84		155	155								
"NC"	2006	"AVERY"	"PINEOLA"	10	119	172	291					47	113	175	288					84		203	203								
"NC"	2006	"AVERY"	"PLUMTREE"	10	26	111	137					47	32	104	136					84		114	114								
"NC"	2006	"AVERY"	"PYATTE"	10	23	69	92					47	22	72	94					84		78	78								
"NC"	2006	"AVERY"	"ROARING CREEK"	10	21	72	93					47	21	71	92					84		73	73								
"NC"	2006	"BEAUFORT"	"AURORA"	1	320		320					1	289	145	434					6	308	129	437								
"NC"	2006	"BEAUFORT"	"BEAVER DAM"	3	66	406	472					1	199	272	471					6	223	248	471								
