state	year	county	vtd	g2010_VOTE_tv	g2010_VOTE_dv	g2010_VOTE_rv	g2010_USS_tv	g2010_USS_dv	g2010_USS_rv	cd	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	cd2	g2010_USH_dv2	g2010_USH_rv2	g2010_USH_tv2	ld	g2010_STH_dv	g2010_STH_rv	g2010_STH_tv	ld2	g2010_STH_dv2	g2010_STH_rv2	g2010_STH_tv2	ld3	g2010_STH_dv3	g2010_STH_rv3	g2010_STH_tv3	sd	g2010_STS_dv	g2010_STS_rv	g2010_STS_tv	sd2	g2010_STS_dv2	g2010_STS_rv2	g2010_STS_tv2	sd3	g2010_STS_dv3	g2010_STS_rv3	g2010_STS_tv3
"NC"	2010	"Alamance"	"1"	575	123	448	1392	276	1084	6	223	1167	1390					64		1168	1168									24	308	995	1387								
"NC"	2010	"Alamance"	"2"	611	94	511	1663	279	1327	6	219	1440	1659					64		1430	1430									24	323	1185	1651								
"NC"	2010	"Alamance"	"4"	609	157	440	1720	388	1284	6	315	1392	1707					64		1421	1421									24	429	1173	1710								
"NC"	2010	"Alamance"	"5"	423	82	340	1136	227	883	6	173	962	1135					64		963	963									24	280	786	1131								
"NC"	2010	"Alamance"	"7"	518	115	399	1322	280	1010	6	227	1095	1322					64		1106	1106									24	345	895	1314								
"NC"	2010	"Alamance"	"11"	794	566	222	1356	796	535	13	865	475	1340					63	821	526	1347									24	824	479	1358								
"NC"	2010	"Alamance"	"13"	719	463	247	1355	692	628	13	788	553	1341					63	715	626	1341									24	698	588	1355								
"NC"	2010	"Alamance"	"35"	391	118	270	1214	335	845	6	278	922	1200					64		973	973									24	378	762	1206								
"NC"	2010	"Alamance"	"63"	429	281	146	923	494	411	13	547	370	917					63	508	405	913									24	504	382	922								
"NC"	2010	"Alamance"	"64"	664	256	407	1841	610	1192	6	552	1289	1841					64		1370	1370									24	718	1016	1834								
"NC"	2010	"Alamance"	"103"	460	116	340	1019	254	735	6	215	803	1018					64		793	793									24	300	666	1022								
"NC"	2010	"Alamance"	"124"	342	158	181	878	332	526	6	278	603	881					63	375	497	872									24	385	436	880								
"NC"	2010	"Alamance"	"125"	326	123	202	919	297	598	6	223	699	922					63	327	565	892									24	332	537	917								
"NC"	2010	"Alamance"	"126"	339	107	228	1150	344	783	6	244	903	1147					64		895	895									24	434	659	1156								
"NC"	2010	"Alamance"	"127"	854	683	169	1364	970	375	13	1004	354	1358					63	992	365	1357									24	989	349	1372								
"NC"	2010	"Alamance"	"128"	280	209	70	547	331	202	13	369	176	545					63	344	195	539									24	350	180	551								
"NC"	2010	"Alamance"	"129"	287	84	202	715	187	511	6	155	556	711					64		577	577									24	214	463	718								
"NC"	2010	"Alamance"	"1210"	237	95	139	604	230	357	6	205	397	602					63	256	332	588									24	251	318	598								
"NC"	2010	"Alamance"	"03C"	382	132	248	1421	348	1032	6	294	1116	1410					64		1116	1116									24	491	831	1406								
"NC"	2010	"Alamance"	"03N"	737	338	395	1883	715	1124	6	620	1258	1878					64		1343	1343									24	822	957	1873								
"NC"	2010	"Alamance"	"03S"	767	318	444	1987	641	1294	6	575	1402	1977					64		1489	1489									24	737	1146	1974								
"NC"	2010	"Alamance"	"03W"	418	123	287	1032	292	704	6	231	791	1022					64		830	830									24	345	612	1036								
"NC"	2010	"Alamance"	"06E"	345	184	161	859	362	479	6	316	543	859					63	398	449	847									24	400	425	866								
"NC"	2010	"Alamance"	"06N"	393	256	133	707	394	293	13	439	259	698					63	400	292	692									24	406	263	709								
"NC"	2010	"Alamance"	"06S"	450	182	264	1167	396	730	6	327	838	1165					64		844	844									24	442	652	1164								
"NC"	2010	"Alamance"	"06W"	155	68	85	370	133	225	6	115	249	364					63	147	218	365									24	141	195	368								
"NC"	2010	"Alamance"	"08N"	550	209	335	1136	377	735	6	342	786	1128					64		816	816									24	376	688	1130								
"NC"	2010	"Alamance"	"08S"	259	79	177	610	170	417	6	146	462	608					64		459	459									24	181	375	606								
"NC"	2010	"Alamance"	"09N"	415	184	229	902	322	560	6	300	595	895					64		635	635									24	350	513	898								
"NC"	2010	"Alamance"	"09S"	702	309	389	1537	553	938	6	519	1017	1536					64		1073	1073									24	592	850	1537								
"NC"	2010	"Alamance"	"10N"	678	300	375	1527	534	959	6	488	1032	1520					63	575	942	1517									24	578	888	1531								
"NC"	2010	"Alamance"	"10S"	1082	561	514	2236	965	1203	6	915	1307	2222					63	1045	1164	2209									24	993	1126	2235								
"NC"	2010	"Alamance"	"12E"	237	146	87	490	254	226	13	280	204	484					63	266	212	478									24	260	209	486								
"NC"	2010	"Alamance"	"12N"	842	770	69	1253	1078	156	13	1098	143	1241					63	1100	150	1250									24	1088	140	1254								
"NC"	2010	"Alamance"	"12S"	198	128	66	344	222	119	13	226	113	339					63	213	123	336									24	213	121	342								
"NC"	2010	"Alamance"	"12W"	299	151	141	933	368	532	6	307	628	935					63	438	475	913									24	434	447	938								
"NC"	2010	"Alexander"	"B1"	503	103	390	1429	321	1071	5	260	1156	1416					88	317	1106	1423									45	333	1078	1411								
"NC"	2010	"Alexander"	"B2"	618	152	457	1600	386	1176	5	369	1229	1598					88	361	1239	1600									45	398	1192	1590								
"NC"	2010	"Alexander"	"E"	481	207	266	1253	405	817	5	381	865	1246					88	433	824	1257									45	445	790	1235								
"NC"	2010	"Alexander"	"G1"	132	42	87	356	115	233	5	110	243	353					88	123	235	358									45	134	223	357								
"NC"	2010	"Alexander"	"G2"	190	88	98	461	192	256	5	181	279	460					88	219	248	467									45	205	248	453								
"NC"	2010	"Alexander"	"L"	195	66	123	552	156	376	5	148	406	554					88	197	365	562									45	178	377	555								
"NC"	2010	"Alexander"	"M"	324	126	192	759	258	484	5	243	510	753					88	257	498	755									45	268	484	752								
"NC"	2010	"Alexander"	"S1"	351	153	187	984	360	596	5	332	655	987					88	398	596	994									45	405	579	984								
"NC"	2010	"Alexander"	"S2"	204	109	84	460	191	259	5	189	269	458					88	221	247	468									45	208	251	459								
"NC"	2010	"Alexander"	"SL"	136	31	103	479	105	367	5	97	382	479					88	143	337	480									45	134	348	482								
"NC"	2010	"Alexander"	"T1"	196	58	126	628	149	462	5	158	476	634					88	184	454	638									45	186	444	630								
"NC"	2010	"Alexander"	"T2"	267	151	113	729	291	413	5	265	461	726					88	353	378	731									45	328	389	717								
"NC"	2010	"Alexander"	"T3"	215	125	85	660	257	382	5	234	421	655					88	302	368	670									45	311	347	658								
"NC"	2010	"Alexander"	"T4"	276	165	108	748	321	414	5	303	437	740					88	346	406	752									45	362	382	744								
"NC"	2010	"Alexander"	"T5"	158	67	89	487	134	346	5	127	359	486					88	165	328	493									45	150	329	479								
"NC"	2010	"Alexander"	"W"	247	77	168	871	245	601	5	220	650	870					88	229	652	881									45	254	608	862								
"NC"	2010	"Alleghany"	"1"	153	29	119	608	162	432	5	186	420	606					90	154	437	591									30	204	396	600								
"NC"	2010	"Alleghany"	"2"	40	14	26	150	46	102	5	38	114	152					90	36	109	145									30	44	100	144								
"NC"	2010	"Alleghany"	"3"	341	168	155	1562	639	885	5	655	899	1554					90	604	894	1498									30	715	778	1493								
"NC"	2010	"Alleghany"	"4"	200	59	138	710	209	482	5	229	477	706					90	191	505	696									30	235	455	690								
"NC"	2010	"Alleghany"	"5"	65	26	38	312	119	188	5	126	183	309					90	103	195	298									30	140	162	302								
"NC"	2010	"Alleghany"	"6"	70	21	47	341	117	215	5	125	221	346					90	107	229	336									30	148	185	333								
"NC"	2010	"Alleghany"	"7"	77	25	50	359	105	237	5	113	250	363					90	94	254	348									30	119	229	348								
"NC"	2010	"Anson"	"ANS"	224	174	45	531	305	214									69	404	130	534									25	358	171	529								
"NC"	2010	"Anson"	"BURN"	165	90	74	539	177	357									69	319	219	538									25	229	299	528								
"NC"	2010	"Anson"	"GULL"	234	183	47	453	262	185									69	334	117	451									25	302	145	447								
"NC"	2010	"Anson"	"LILE"	632	567	62	1054	741	303									69	879	185	1064									25	794	250	1044								
"NC"	2010	"Anson"	"MM"	334	307	25	517	414	100									69	465	56	521									25	441	68	509								
"NC"	2010	"Anson"	"PEAC"	202	105	94	551	201	337									69	321	224	545									25	225	311	536								
"NC"	2010	"Anson"	"POLK"	162	134	24	401	229	165									69	297	108	405									25	237	155	392								
"NC"	2010	"Anson"	"W1"	552	499	46	949	670	272									69	801	150	951									25	724	217	941								
