state	year	county	precinct	g2002_USH_dv	g2002_USH_rv	g2002_USH_tv
"ND"	2002	"Adams"	"39_1"	45	59	104
"ND"	2002	"Adams"	"39_2(06)"	330	338	668
"ND"	2002	"Adams"	"39_3(06)"	65	59	124
"ND"	2002	"Barnes"	"20_6"			
"ND"	2002	"Barnes"	"20_10"			
"ND"	2002	"Barnes"	"20_12"			
"ND"	2002	"Barnes"	"20_13"			
"ND"	2002	"Barnes"	"24_1"			
"ND"	2002	"Barnes"	"24_2"			
"ND"	2002	"Barnes"	"24_3"			
"ND"	2002	"Barnes"	"24_4"			
"ND"	2002	"Barnes"	"24_5"			
"ND"	2002	"Barnes"	"24_7"			
"ND"	2002	"Barnes"	"24_8"			
"ND"	2002	"Barnes"	"24_9"			
"ND"	2002	"Barnes"	"24_11"			
"ND"	2002	"Barnes"	"24_14"			
"ND"	2002	"Barnes"	"24_15"			
"ND"	2002	"Benson"	"7_1"			
"ND"	2002	"Benson"	"7_2"			
"ND"	2002	"Benson"	"7_3"			
"ND"	2002	"Benson"	"7_4"			
"ND"	2002	"Benson"	"23_5"			
"ND"	2002	"Benson"	"23_6"			
"ND"	2002	"Benson"	"23_7"			
"ND"	2002	"Benson"	"23_8"			
"ND"	2002	"Billings"	"39_1"	55	96	151
"ND"	2002	"Billings"	"39_2"	44	73	117
"ND"	2002	"Billings"	"39_3"	75	89	164
"ND"	2002	"Billings"	"39_4(02)"	24	71	95
"ND"	2002	"Bottineau"	"6_1"			
"ND"	2002	"Bottineau"	"6_2(06)"			
"ND"	2002	"Bottineau"	"6_3"			
"ND"	2002	"Bottineau"	"6_4"			
"ND"	2002	"Bottineau"	"6_5"			
"ND"	2002	"Bottineau"	"6_6"			
"ND"	2002	"Bottineau"	"6_7"			
"ND"	2002	"Bottineau"	"6_8"			
"ND"	2002	"Bottineau"	"6_9(06)"			
"ND"	2002	"Bottineau"	"6_10"			
"ND"	2002	"Bottineau"	"6_11"			
"ND"	2002	"Bottineau"	"6_12"			
"ND"	2002	"Bottineau"	"6_13"			
"ND"	2002	"Bottineau"	"6_14"			
"ND"	2002	"Bottineau"	"6_15"			
"ND"	2002	"Bowman"	"39_1"	300	444	744
"ND"	2002	"Bowman"	"39_2"			
"ND"	2002	"Bowman"	"39_3"	143	168	311
"ND"	2002	"Bowman"	"39_4"	79	163	242
"ND"	2002	"Bowman"	"39_5(02)"	83	91	174
"ND"	2002	"Burke"	"2_1"			
"ND"	2002	"Burke"	"2_2"			
"ND"	2002	"Burke"	"2_3"			
"ND"	2002	"Burke"	"2_4"			
"ND"	2002	"Burke"	"2_5"			
"ND"	2002	"Burke"	"2_6"			
"ND"	2002	"Burleigh"	"8_4"			
"ND"	2002	"Burleigh"	"8_5"			
"ND"	2002	"Burleigh"	"8_6"			
"ND"	2002	"Burleigh"	"8_10"			
"ND"	2002	"Burleigh"	"14_11"			
"ND"	2002	"Burleigh"	"14_12"			
"ND"	2002	"Burleigh"	"14_13"			
"ND"	2002	"Burleigh"	"14_15(04)"			
"ND"	2002	"Burleigh"	"14_16"			
"ND"	2002	"Burleigh"	"14_17"			
"ND"	2002	"Burleigh"	"14_18(04)"			
"ND"	2002	"Burleigh"	"14_19"			
"ND"	2002	"Burleigh"	"30_20"			
"ND"	2002	"Burleigh"	"30_21"			
"ND"	2002	"Burleigh"	"30_22"			
"ND"	2002	"Burleigh"	"30_23"			
"ND"	2002	"Burleigh"	"30_24"			
"ND"	2002	"Burleigh"	"30_25"			
"ND"	2002	"Burleigh"	"32_31"			
"ND"	2002	"Burleigh"	"32_33"			
"ND"	2002	"Burleigh"	"32_34"			
"ND"	2002	"Burleigh"	"32_36"			
"ND"	2002	"Burleigh"	"32_37"			
"ND"	2002	"Burleigh"	"32_38"			
"ND"	2002	"Burleigh"	"32_39"			
"ND"	2002	"Burleigh"	"35_51"			
"ND"	2002	"Burleigh"	"35_52"			
"ND"	2002	"Burleigh"	"35_53"			
"ND"	2002	"Burleigh"	"35_54"			
"ND"	2002	"Burleigh"	"35_55"			
"ND"	2002	"Burleigh"	"35_56"			
"ND"	2002	"Burleigh"	"35_57(04)"			
"ND"	2002	"Burleigh"	"47_40"			
"ND"	2002	"Burleigh"	"47_41"			
"ND"	2002	"Burleigh"	"47_42"			
"ND"	2002	"Burleigh"	"47_45"			
"ND"	2002	"Burleigh"	"47_46"			
"ND"	2002	"Burleigh"	"47_48"			
"ND"	2002	"Cass"	"11_1"	613	587	1200
"ND"	2002	"Cass"	"11_2"	378	208	586
"ND"	2002	"Cass"	"11_3(06)"			
"ND"	2002	"Cass"	"11_4(06)"			
"ND"	2002	"Cass"	"11_5(06)"			
"ND"	2002	"Cass"	"13_1"	526	483	1009
"ND"	2002	"Cass"	"13_2"			
"ND"	2002	"Cass"	"13_3"			
"ND"	2002	"Cass"	"13_4(06)"			
"ND"	2002	"Cass"	"13_5(06)"			
"ND"	2002	"Cass"	"20_1"	79	48	127
"ND"	2002	"Cass"	"20_2"			
"ND"	2002	"Cass"	"21_1"			
"ND"	2002	"Cass"	"21_2"			
"ND"	2002	"Cass"	"21_3(06)"			
"ND"	2002	"Cass"	"21_4(06)"			
"ND"	2002	"Cass"	"21_5(06)"			
"ND"	2002	"Cass"	"21_6(06)"			
"ND"	2002	"Cass"	"22_1"			
"ND"	2002	"Cass"	"22_2"			
"ND"	2002	"Cass"	"22_3"			
"ND"	2002	"Cass"	"22_4"			
"ND"	2002	"Cass"	"22_5"			
"ND"	2002	"Cass"	"22_6"			
"ND"	2002	"Cass"	"22_7"			
"ND"	2002	"Cass"	"22_8"			
"ND"	2002	"Cass"	"22_9"			
"ND"	2002	"Cass"	"22_10"			
"ND"	2002	"Cass"	"22_11"			
"ND"	2002	"Cass"	"22_12"			
"ND"	2002	"Cass"	"27_1"			
"ND"	2002	"Cass"	"27_2"			
"ND"	2002	"Cass"	"27_3"			
"ND"	2002	"Cass"	"27_4"			
"ND"	2002	"Cass"	"27_5"			
"ND"	2002	"Cass"	"27_6(06)"			
"ND"	2002	"Cass"	"41_1"			
"ND"	2002	"Cass"	"41_2"			
"ND"	2002	"Cass"	"41_3(06)"			
