state	year	county	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	g2008_GOV_dv	g2008_GOV_rv	g2008_GOV_tv
"ND"	2008	"Adams"	"39_1"	435	788	1223	691	575	1266	266	989	1255
"ND"	2008	"Adams"	"39_2(06)"									
"ND"	2008	"Adams"	"39_3(06)"									
"ND"	2008	"Barnes"	"20_6"	152	157	309	202	116	318	85	223	308
"ND"	2008	"Barnes"	"20_10"	44	44	88	53	32	85	27	56	83
"ND"	2008	"Barnes"	"20_12"	102	141	243	131	130	261	60	191	251
"ND"	2008	"Barnes"	"20_13"	141	118	259	179	85	264	74	185	259
"ND"	2008	"Barnes"	"24_1"	184	166	350	249	102	351	90	262	352
"ND"	2008	"Barnes"	"24_2"	404	358	762	545	244	789	219	546	765
"ND"	2008	"Barnes"	"24_3"	262	183	445	342	115	457	123	322	445
"ND"	2008	"Barnes"	"24_4"	346	313	659	477	208	685	162	499	661
"ND"	2008	"Barnes"	"24_5"	489	488	977	691	302	993	232	737	969
"ND"	2008	"Barnes"	"24_7"	87	125	212	132	86	218	40	173	213
"ND"	2008	"Barnes"	"24_8"	43	56	99	62	40	102	20	80	100
"ND"	2008	"Barnes"	"24_9"	115	114	229	142	91	233	61	167	228
"ND"	2008	"Barnes"	"24_11"	239	357	596	368	244	612	113	486	599
"ND"	2008	"Barnes"	"24_14"	50	49	99	70	32	102	37	61	98
"ND"	2008	"Barnes"	"24_15"	83	157	240	139	103	242	41	199	240
"ND"	2008	"Benson"	"7_1"	48	49	97	66	32	98	31	67	98
"ND"	2008	"Benson"	"7_2"	245	218	463	335	136	471	108	359	467
"ND"	2008	"Benson"	"7_3"	114	67	181	128	55	183	64	118	182
"ND"	2008	"Benson"	"7_4"	232	177	409	289	132	421	113	301	414
"ND"	2008	"Benson"	"23_5"	108	67	175	131	45	176	56	122	178
"ND"	2008	"Benson"	"23_6"	66	53	119	85	35	120	39	80	119
"ND"	2008	"Benson"	"23_7"	623	80	703	610	70	680	364	307	671
"ND"	2008	"Benson"	"23_8"	133	62	195	148	43	191	72	116	188
"ND"	2008	"Billings"	"39_1"	33	106	139	56	91	147	22	127	149
"ND"	2008	"Billings"	"39_2"	73	200	273	127	149	276	39	232	271
"ND"	2008	"Billings"	"39_3"	8	69	77	17	62	79	9	65	74
"ND"	2008	"Billings"	"39_4(02)"									
"ND"	2008	"Bottineau"	"6_1"	229	342	571	332	252	584	115	459	574
"ND"	2008	"Bottineau"	"6_2(06)"									
"ND"	2008	"Bottineau"	"6_3"	66	90	156	101	64	165	34	121	155
"ND"	2008	"Bottineau"	"6_4"	153	219	372	227	153	380	84	294	378
"ND"	2008	"Bottineau"	"6_5"	24	124	148	58	91	149	23	121	144
"ND"	2008	"Bottineau"	"6_6"	132	224	356	205	166	371	70	291	361
"ND"	2008	"Bottineau"	"6_7"	30	61	91	59	34	93	13	78	91
"ND"	2008	"Bottineau"	"6_8"	65	146	211	109	103	212	39	169	208
"ND"	2008	"Bottineau"	"6_9(06)"									
"ND"	2008	"Bottineau"	"6_10"	112	180	292	192	99	291	50	235	285
"ND"	2008	"Bottineau"	"6_11"	81	93	174	111	67	178	45	136	181
"ND"	2008	"Bottineau"	"6_12"	173	193	366	236	138	374	70	304	374
"ND"	2008	"Bottineau"	"6_13"	122	131	253	171	85	256	52	199	251
"ND"	2008	"Bottineau"	"6_14"	101	131	232	139	98	237	43	188	231
"ND"	2008	"Bottineau"	"6_15"	99	125	224	148	84	232	25	207	232
"ND"	2008	"Bowman"	"39_1"	275	543	818	420	397	817	128	696	824
"ND"	2008	"Bowman"	"39_2"	67	228	295	127	172	299	47	243	290
"ND"	2008	"Bowman"	"39_3"	48	142	190	96	99	195	25	169	194
"ND"	2008	"Bowman"	"39_4"	88	194	282	150	145	295	58	238	296
"ND"	2008	"Bowman"	"39_5(02)"									
"ND"	2008	"Burke"	"2_1"	10	41	51	24	32	56	7	48	55
"ND"	2008	"Burke"	"2_2"	96	203	299	147	156	303	47	251	298
"ND"	2008	"Burke"	"2_3"	78	174	252	130	133	263	50	211	261
"ND"	2008	"Burke"	"2_4"	52	90	142	85	63	148	14	132	146
"ND"	2008	"Burke"	"2_5"	25	89	114	64	53	117	13	103	116
"ND"	2008	"Burke"	"2_6"	25	43	68	36	32	68	9	57	66
"ND"	2008	"Burleigh"	"8_4"	63	119	182	85	102	187	42	136	178
"ND"	2008	"Burleigh"	"8_5"	476	1232	1708	809	913	1722	309	1388	1697
"ND"	2008	"Burleigh"	"8_6"	978	1564	2542	1415	1153	2568	512	2014	2526
"ND"	2008	"Burleigh"	"8_10"	567	1165	1732	894	856	1750	339	1379	1718
"ND"	2008	"Burleigh"	"14_11"	63	111	174	86	95	181	26	143	169
"ND"	2008	"Burleigh"	"14_12"	47	50	97	64	40	104	35	65	100
"ND"	2008	"Burleigh"	"14_13"	130	195	325	175	157	332	100	222	322
"ND"	2008	"Burleigh"	"14_15(04)"									
"ND"	2008	"Burleigh"	"14_16"	87	177	264	123	151	274	64	200	264
"ND"	2008	"Burleigh"	"14_17"	105	235	340	171	177	348	86	252	338
"ND"	2008	"Burleigh"	"14_18(04)"									
"ND"	2008	"Burleigh"	"14_19"	505	803	1308	724	600	1324	303	992	1295
"ND"	2008	"Burleigh"	"30_20"	417	660	1077	555	523	1078	250	813	1063
"ND"	2008	"Burleigh"	"30_21"	320	460	780	451	323	774	130	617	747
"ND"	2008	"Burleigh"	"30_22"	547	657	1204	740	492	1232	336	863	1199
"ND"	2008	"Burleigh"	"30_23"	355	567	922	515	405	920	222	688	910
"ND"	2008	"Burleigh"	"30_24"	678	1033	1711	977	773	1750	375	1343	1718
"ND"	2008	"Burleigh"	"30_25"	603	1209	1812	926	903	1829	310	1492	1802
"ND"	2008	"Burleigh"	"32_31"	372	397	769	500	275	775	189	559	748
"ND"	2008	"Burleigh"	"32_33"	383	467	850	527	349	876	223	640	863
"ND"	2008	"Burleigh"	"32_34"	301	287	588	381	227	608	166	421	587
"ND"	2008	"Burleigh"	"32_36"	378	530	908	532	375	907	192	704	896
"ND"	2008	"Burleigh"	"32_37"	512	951	1463	783	682	1465	247	1213	1460
"ND"	2008	"Burleigh"	"32_38"	642	803	1445	862	610	1472	327	1102	1429
"ND"	2008	"Burleigh"	"32_39"	359	447	806	467	340	807	165	627	792
"ND"	2008	"Burleigh"	"35_51"	418	673	1091	595	493	1088	202	883	1085
