state	year	county	precinct	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	g2010_SOS_dv	g2010_SOS_rv	g2010_SOS_tv	g2010_ATG_dv	g2010_ATG_rv	g2010_ATG_tv
"ND"	2010	"Adams"	"Adams County"	201	963	1164	378	803	1181	322	824	1146	250	906	1156
"ND"	2010	"Barnes"	"2006-00"	74	193	267	146	124	270	110	155	265	73	194	267
"ND"	2010	"Barnes"	"2010-00"	26	43	69	38	30	68	31	38	69	25	43	68
"ND"	2010	"Barnes"	"2012-00"	48	187	235	115	123	238	80	148	228	52	179	231
"ND"	2010	"Barnes"	"2013-00"	56	160	216	127	92	219	97	117	214	78	138	216
"ND"	2010	"Barnes"	"2401-00"	71	247	318	198	117	315	148	170	318	91	228	319
"ND"	2010	"Barnes"	"2402-00"	156	446	602	362	248	610	253	342	595	194	412	606
"ND"	2010	"Barnes"	"2403-00"	91	199	290	190	110	300	138	155	293	104	196	300
"ND"	2010	"Barnes"	"2404-00"	130	427	557	338	226	564	235	320	555	173	386	559
"ND"	2010	"Barnes"	"2405-00"	190	631	821	511	323	834	370	449	819	262	558	820
"ND"	2010	"Barnes"	"2407-00"	31	147	178	76	106	182	74	111	185	46	137	183
"ND"	2010	"Barnes"	"2408-00"	15	58	73	39	36	75	35	40	75	23	53	76
"ND"	2010	"Barnes"	"2409-00"	58	140	198	113	86	199	93	103	196	75	122	197
"ND"	2010	"Barnes"	"2411-00"	122	419	541	282	263	545	216	327	543	134	412	546
"ND"	2010	"Barnes"	"2414-00"	35	65	100	56	42	98	44	55	99	35	65	100
"ND"	2010	"Barnes"	"2415-00"	37	176	213	96	115	211	65	142	207	38	175	213
"ND"	2010	"Benson"	"1 - Knox Legion"	20	48	68	33	35	68	32	37	69	23	46	69
"ND"	2010	"Benson"	"2 - Leeds Comm Ctr"	89	267	356	188	175	363	144	219	363	124	243	367
"ND"	2010	"Benson"	"3 - Esmond Fire Hall"	59	102	161	91	70	161	82	81	163	66	97	163
"ND"	2010	"Benson"	"4 - Maddock Comm Ctr"	112	226	338	196	153	349	168	177	345	128	216	344
"ND"	2010	"Benson"	"5 - Mwkn Sr. Center"	50	101	151	104	51	155	78	76	154	58	99	157
"ND"	2010	"Benson"	"6 - Oberon Sr. Cente"	22	76	98	51	49	100	37	60	97	23	76	99
"ND"	2010	"Benson"	"7 - Ft Totten Co Ctr"	221	202	423	373	70	443	336	103	439	307	132	439
