state	year	county	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	cd	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	cd2	g2004_USH_dv2	g2004_USH_rv2	g2004_USH_tv2
"NE"	2004	"Adams"	"01 WSTBL/H"	127	549	680	3	55	608	674				
"NE"	2004	"Adams"	"02 VERONA"	29	120	153	3	13	131	149				
"NE"	2004	"Adams"	"03 KENESAW"	91	446	548	3	35	491	537				
"NE"	2004	"Adams"	"04 JUNIATA"	115	328	447	3	47	391	447				
"NE"	2004	"Adams"	"05 DENVER"	131	430	576	3	49	509	570				
"NE"	2004	"Adams"	"06 BLAINE"	18	77	98	3	7	80	95				
"NE"	2004	"Adams"	"07 PAULINE"	39	150	192	3	20	167	191				
"NE"	2004	"Adams"	"08 AYR"	85	226	316	3	31	274	310				
"NE"	2004	"Adams"	"09 ROSELAN"	43	206	253	3	24	228	256				
"NE"	2004	"Adams"	"10 HOLSTEI"	24	152	178	3	10	165	178				
"NE"	2004	"Adams"	"11 1-A"	206	453	681	3	90	559	672				
"NE"	2004	"Adams"	"12 1-B"	181	366	558	3	89	449	552				
"NE"	2004	"Adams"	"13 1-C"	237	340	584	3	105	448	572				
"NE"	2004	"Adams"	"14 2-A"	31	54	86	3	15	69	89				
"NE"	2004	"Adams"	"15 2-B"	194	600	813	3	80	713	803				
"NE"	2004	"Adams"	"16 2-C"	203	398	606	3	75	520	601				
"NE"	2004	"Adams"	"17 2-D"	230	649	893	3	73	786	871				
"NE"	2004	"Adams"	"18 2-E"	169	366	540	3	65	456	531				
"NE"	2004	"Adams"	"19 3-A"	156	335	502	3	65	419	496				
"NE"	2004	"Adams"	"20 3-B"	168	327	505	3	67	426	502				
"NE"	2004	"Adams"	"21 3-C"	224	402	651	3	94	541	650				
"NE"	2004	"Adams"	"22 3-D"	70	139	212	3	26	187	214				
"NE"	2004	"Adams"	"23 3-E"	194	412	617	3	82	509	606				
"NE"	2004	"Adams"	"24 4-A"	232	393	640	3	96	517	634				
"NE"	2004	"Adams"	"25 4-B"	187	423	632	3	81	533	625				
"NE"	2004	"Adams"	"26 4-C"	114	228	351	3	56	281	350				
"NE"	2004	"Adams"	"27 4-D"	263	582	860	3	117	710	843				
"NE"	2004	"Adams"	"Absentee"	30	82	114	3	8	87	102				
"NE"	2004	"Antelope"	"Absentee"	82	314	400	3	39	347	392				
"NE"	2004	"Antelope"	"Brunswick"	59	247	316	3	33	270	308				
"NE"	2004	"Antelope"	"Clearwater"	54	324	380	3	33	338	372				
"NE"	2004	"Antelope"	"Elgin"	28	163	193	3	10	172	188				
"NE"	2004	"Antelope"	"Elgin Wd 1"	28	133	164	3	6	156	164				
"NE"	2004	"Antelope"	"Elgin Wd 2"	37	120	160	3	17	145	165				
"NE"	2004	"Antelope"	"Neligh"	34	193	231	3	20	205	228				
"NE"	2004	"Antelope"	"Neligh Wd1"	73	314	396	3	24	354	384				
"NE"	2004	"Antelope"	"Neligh Wd2"	54	236	292	3	27	261	291				
"NE"	2004	"Antelope"	"Oakdale"	48	186	237	3	19	194	226				
"NE"	2004	"Antelope"	"Orchard"	39	232	275	3	29	237	273				
"NE"	2004	"Antelope"	"Royal"	19	104	124	3	17	101	122				
"NE"	2004	"Antelope"	"Tilden Pre"	36	101	139	3	14	118	136				
"NE"	2004	"Antelope"	"Tilden Wd1"	22	94	117	3	12	99	111				
"NE"	2004	"Arthur"	"Absentee"	3	24	27	3	1	24	27				
