state	year	county	precinct	cd	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	cd2	g2008_USH_dv2	g2008_USH_rv2	g2008_USH_tv2	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	g2008_USP_tv	g2008_USS_tv
"NE"	2008	"Adams"	"01"	3	45	210	255.0					60	195	113	145	256.0	263.0
"NE"	2008	"Adams"	"02"	3	12	90	102.0					15	91	39	64	108.0	106.0
"NE"	2008	"Adams"	"03"	3	69	397	466.0					105	370	190	284	481.0	484.0
"NE"	2008	"Adams"	"04"	3	65	317	382.0					116	268	182	200	387.0	390.0
"NE"	2008	"Adams"	"05"	3	90	395	485.0					118	371	219	267	493.0	494.0
"NE"	2008	"Adams"	"06"	3	11	60	71.0					14	56	30	38	73.0	73.0
"NE"	2008	"Adams"	"07"	3	22	98	120.0					35	90	64	57	126.0	122.0
"NE"	2008	"Adams"	"08"	3	52	201	253.0					81	175	122	134	257.0	262.0
"NE"	2008	"Adams"	"09"	3	35	173	208.0					40	170	103	109	213.0	216.0
"NE"	2008	"Adams"	"10"	3	23	122	145.0					29	112	53	93	142.0	147.0
"NE"	2008	"Adams"	"11"	3	158	362	520.0					197	315	275	243	517.0	533.0
"NE"	2008	"Adams"	"12"	3	144	292	436.0					187	257	265	177	451.0	454.0
"NE"	2008	"Adams"	"13"	3	120	235	355.0					182	180	215	148	365.0	368.0
"NE"	2008	"Adams"	"14"	3	22	49	71.0					29	45	48	25	74.0	74.0
"NE"	2008	"Adams"	"15"	3	151	512	663.0					197	479	284	399	680.0	687.0
"NE"	2008	"Adams"	"16"	3	142	320	462.0					167	293	276	193	464.0	473.0
"NE"	2008	"Adams"	"17"	3	150	503	653.0					227	450	364	314	679.0	686.0
"NE"	2008	"Adams"	"18"	3	127	327	454.0					173	295	244	215	471.0	475.0
"NE"	2008	"Adams"	"19"	3	122	261	383.0					151	238	204	189	393.0	397.0
"NE"	2008	"Adams"	"20"	3	154	243	397.0					191	215	254	151	413.0	412.0
"NE"	2008	"Adams"	"21"	3	151	356	507.0					206	301	294	217	514.0	527.0
"NE"	2008	"Adams"	"22"	3	53	124	177.0					70	111	90	91	181.0	181.0
"NE"	2008	"Adams"	"23"	3	175	593	768.0					240	541	343	424	782.0	779.0
"NE"	2008	"Adams"	"24"	3	142	243	385.0					180	206	226	161	390.0	395.0
"NE"	2008	"Adams"	"25"	3	167	381	548.0					222	343	311	253	570.0	574.0
"NE"	2008	"Adams"	"26"	3	105	169	274.0					128	155	149	125	287.0	282.0
"NE"	2008	"Adams"	"27"	3	190	478	668.0					251	431	362	323	688.0	693.0
"NE"	2008	"Adams"	"EV-Absente"	3	772	1585	2357.0					1013	1411	1277	1153	2450.0	2469.0
