state	year	county	precinct	cd	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_GOV_dv	g2000_GOV_rv	g2000_GOV_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_BALL_rtv	g2000_BALL_atv	g2000_BALL_tv
"NH"	2000	"Belknap"	"Alton"	1	719	1517	2360	767	1412	2375	745	1554	2351	2143	266	2409
"NH"	2000	"Belknap"	"Barnstead"	1	768	945	1810	846	772	1810	1677	1712	3465	1689	168	1857
"NH"	2000	"Belknap"	"Belmont"	1	1082	1424	2607	1295	1149	2620	1054	1521	2616	2497	173	2670
"NH"	2000	"Belknap"	"Center Harbor"	1	252	341	614	231	315	597	233	346	590	537	81	618
"NH"	2000	"Belknap"	"Gilford"	1	1514	2248	3918	1740	1959	3934	1451	2404	3899	3524	452	3976
"NH"	2000	"Belknap"	"Gilmanton"	1	612	868	1560	738	699	1573	648	881	1561	1475	108	1583
"NH"	2000	"Belknap"	"Laconia Ward 1"	1	544	887	1486	634	799	1504	520	964	1499	1300	228	1528
"NH"	2000	"Belknap"	"Laconia Ward 2"	1	496	631	1160	548	547	1166	431	714	1174	1058	126	1184
"NH"	2000	"Belknap"	"Laconia Ward 3"	1	487	564	1085	558	475	1094	451	625	1090	1001	109	1110
"NH"	2000	"Belknap"	"Laconia Ward 4"	1	538	604	1205	562	567	1218	488	682	1211	1243	101	1344
"NH"	2000	"Belknap"	"Laconia Ward 5"	1	444	464	939	475	410	942	402	512	935	891	62	953
"NH"	2000	"Belknap"	"Laconia Ward 6"	1	506	664	1220	564	583	1224	464	719	1206	1060	162	1222
"NH"	2000	"Belknap"	"Meredith"	1	1173	1672	2983	1221	1549	2975	1083	1836	2957	2740	342	3082
"NH"	2000	"Belknap"	"New Hampton"	1	390	551	992	428	496	985	370	592	990	935	85	1020
"NH"	2000	"Belknap"	"Sanbornton"	2	598	727	1417	683	632	1412	510	831	1375	1311	135	1446
"NH"	2000	"Belknap"	"Tilton"	2	596	692	1365	704	616	1417	507	806	1372	1308	137	1445
"NH"	2000	"Carroll"	"Albany"	1	150	143	321	174	114	315	141	161	311	295	31	326
"NH"	2000	"Carroll"	"Bartlett"	1	821	754	1676	865	716	1660	697	921	1644	1449	242	1691
"NH"	2000	"Carroll"	"Brookfield"	1	133	209	362	150	178	354	133	219	357	332	33	365
"NH"	2000	"Carroll"	"Chatham"	1	48	89	149	67	77	148	49	94	144	136	14	150
"NH"	2000	"Carroll"	"Conway"	1	2116	1872	4251	2249	1726	4242	1742	2377	4205	4325	588	4913
"NH"	2000	"Carroll"	"Eaton"	1	114	108	243	130	100	243	106	130	241	218	32	250
"NH"	2000	"Carroll"	"Effingham"	1	252	297	601	266	277	602	222	352	593	582	37	619
"NH"	2000	"Carroll"	"Freedom"	1	346	437	830	327	433	818	313	482	805	717	112	829
"NH"	2000	"Carroll"	"Hale's Location"	1	8	41	53	6	43	52	6	44	50	41	23	64
"NH"	2000	"Carroll"	"Hart's Location"	1	13	17	30	12	18	30	11	19	30	22	9	31
"NH"	2000	"Carroll"	"Jackson"	1	292	261	585	285	264	582	269	308	584	469	132	601
"NH"	2000	"Carroll"	"Madison"	1	534	474	1063	547	434	1066	451	582	1054	968	113	1081
"NH"	2000	"Carroll"	"Moultonborough"	1	821	1730	2698	640	1783	2651	740	1859	2637	2318	396	2714
"NH"	2000	"Carroll"	"Ossipee"	1	707	965	1794	793	832	1710	675	1018	1734	1640	194	1834
"NH"	2000	"Carroll"	"Sandwich"	1	417	373	841	390	373	838	396	416	831	761	90	851
"NH"	2000	"Carroll"	"Tamworth"	1	617	641	1334	657	587	1340	562	717	1310	1224	128	1352
"NH"	2000	"Carroll"	"Tuftonboro"	1	425	880	1373	441	815	1353	440	887	1345	1382	217	1599
"NH"	2000	"Carroll"	"Wakefield"	1	755	1149	1981	890	986	1981	707	1202	1951	1754	261	2015
"NH"	2000	"Carroll"	"Wolfeboro"	1	1283	2157	3617	1474	1935	3617	1241	2304	3600	3174	501	3675
"NH"	2000	"Cheshire"	"Alstead"	2	520	354	949	524	321	939	448	451	923	878	84	962
"NH"	2000	"Cheshire"	"Chesterfield"	2	883	801	1794	937	724	1780	696	995	1738	1695	126	1821
"NH"	2000	"Cheshire"	"Dublin"	2	461	412	919	435	412	917	353	524	903	816	107	923
"NH"	2000	"Cheshire"	"Fitzwilliam"	2	473	508	1037	454	478	1040	385	597	1020	987	95	1082
"NH"	2000	"Cheshire"	"Gilsum"	2	151	184	355	162	161	353	117	203	335	338	21	359
"NH"	2000	"Cheshire"	"Harrisville"	2	351	189	577	365	160	572	301	244	561	543	51	594
"NH"	2000	"Cheshire"	"Hinsdale"	2	794	497	1391	844	448	1357	620	681	1339	1343	56	1399
"NH"	2000	"Cheshire"	"Jaffrey"	2	1156	1082	2357	1149	994	2351	928	1312	2312	2206	187	2393
"NH"	2000	"Cheshire"	"Keene Ward 1"	2	1061	494	1700	1036	486	1683	874	701	1635	1699	85	1784
"NH"	2000	"Cheshire"	"Keene Ward 2"	2	1219	644	2042	1245	589	2030	1029	859	1981	1938	123	2061
"NH"	2000	"Cheshire"	"Keene Ward 3"	2	1149	781	2037	1166	712	2033	931	998	2003	1906	161	2067
"NH"	2000	"Cheshire"	"Keene Ward 4"	2	1152	845	2097	1198	756	2100	922	1077	2063	1984	148	2132
"NH"	2000	"Cheshire"	"Keene Ward 5"	2	1275	940	2331	1371	770	2316	1031	1193	2289	2162	213	2375
"NH"	2000	"Cheshire"	"Marlborough"	2	562	355	974	623	288	997	465	504	996	953	69	1022
"NH"	2000	"Cheshire"	"Marlow"	2	206	162	393	203	145	391	186	182	385	368	28	396
"NH"	2000	"Cheshire"	"Nelson"	2	192	140	362	204	118	355	176	166	350	339	26	365
"NH"	2000	"Cheshire"	"Richmond"	2	221	217	533	227	256	518	184	265	503	499	38	537
"NH"	2000	"Cheshire"	"Rindge"	2	967	1164	2309	935	1143	2256	755	1329	2176	2135	145	2280
"NH"	2000	"Cheshire"	"Roxbury"	2	58	52	118	71	38	115	59	56	119	114	8	122
"NH"	2000	"Cheshire"	"Stoddard"	2	241	242	518	184	171	413	150	228	398	463	59	522
"NH"	2000	"Cheshire"	"Sullivan"	2	152	142	324	169	113	320	133	177	321	306	23	329
"NH"	2000	"Cheshire"	"Surry"	2	190	178	382	192	161	379	137	226	376	360	29	389
"NH"	2000	"Cheshire"	"Swanzey"	2	1404	1255	2785	1471	1125	2799	1090	1588	2748	2664	192	2856
"NH"	2000	"Cheshire"	"Troy"	2	463	373	883	454	335	884	378	464	885	867	32	899
"NH"	2000	"Cheshire"	"Walpole"	2	935	773	1843	957	725	1834	798	960	1810	1717	120	1837
"NH"	2000	"Cheshire"	"Westmoreland"	2	424	395	870	458	335	863	362	465	854	817	68	885
"NH"	2000	"Cheshire"	"Winchester"	2	722	614	1428	700	590	1416	576	749	1394	1363	97	1460
"NH"	2000	"Coos"	"Atk. & Gilmanton Academy Gt"	2			0			0	1443	2824	4404	0	0	0
