state	year	county	precinct	cd	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_GOV_dv	g2008_GOV_rv	g2008_GOV_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	g2008_BALL_rtv	g2008_BALL_atv	g2008_BALL_tv
"NH"	2008	"Belknap"	"Alton"	1	1322	1862	3209	1896	1167	3127	1285	1802	3164	1252	1803	3115	2837	415	3252
"NH"	2008	"Belknap"	"Barnstead"	1	1189	1201	2416	1647	674	2359	1197	1117	2387	1188	1117	2352	2263	199	2462
"NH"	2008	"Belknap"	"Belmont"	1	1746	1727	3512	2363	980	3395	1749	1599	3437	1648	1625	3353	3303	263	3566
"NH"	2008	"Belknap"	"Center Harbor"	1	377	353	738	458	252	720	317	388	724	337	365	719	638	105	743
"NH"	2008	"Belknap"	"Gilford"	1	2246	2292	4565	2977	1408	4443	2054	2371	4496	2073	2299	4436	3966	654	4620
"NH"	2008	"Belknap"	"Gilmanton"	1	1085	1044	2147	1419	646	2087	1064	997	2112	1041	1005	2085	1987	190	2177
"NH"	2008	"Belknap"	"Laconia Ward 1"	1	761	802	1570	1015	514	1548	704	844	1572	717	791	1528	1378	240	1618
"NH"	2008	"Belknap"	"Laconia Ward 2"	1	700	571	1271	858	350	1208	668	542	1241	684	495	1217	1127	170	1297
"NH"	2008	"Belknap"	"Laconia Ward 3"	1	668	535	1212	856	313	1183	607	558	1190	615	528	1163	1080	151	1231
"NH"	2008	"Belknap"	"Laconia Ward 4"	1	692	521	1223	880	300	1196	652	514	1201	655	499	1184	1154	110	1264
"NH"	2008	"Belknap"	"Laconia Ward 5"	1	646	466	1119	825	247	1098	642	440	1107	612	451	1083	1050	88	1138
"NH"	2008	"Belknap"	"Laconia Ward 6"	1	751	855	1613	1054	498	1568	718	840	1588	733	803	1557	1467	166	1633
"NH"	2008	"Belknap"	"Meredith"	1	1964	1857	3853	2571	1113	3768	1725	1921	3779	1797	1857	3754	3386	526	3912
"NH"	2008	"Belknap"	"New Hampton"	1	683	585	1279	822	405	1253	591	629	1271	590	607	1230	1175	131	1306
"NH"	2008	"Belknap"	"Sanbornton"	2	968	857	1842	1257	505	1806	935	826	1823	954	767	1753	1682	182	1864
"NH"	2008	"Belknap"	"Tilton"	2	998	874	1896	1314	486	1839	1023	778	1864	970	794	1792	1683	250	1933
"NH"	2008	"Carroll"	"Albany"	1	270	166	440	289	123	423	233	185	431	244	163	422	404	45	449
"NH"	2008	"Carroll"	"Bartlett"	1	1100	740	1864	1220	542	1793	941	828	1806	1002	754	1756	1614	265	1879
"NH"	2008	"Carroll"	"Brookfield"	1	219	237	460	245	199	453	189	256	456	192	258	456	469	41	510
"NH"	2008	"Carroll"	"Chatham"	1	95	115	216	99	96	205	90	116	214	88	114	207	194	25	219
"NH"	2008	"Carroll"	"Conway"	1	3210	1964	5235	3474	1449	5049	2806	2102	5098	2959	1895	5025	4361	948	5309
