state	year	county	cd	town	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv
"NH"	2010	"Belknap"	1	"Alton"	974	1296	2321	545	1716	2326	701	1486	2272
"NH"	2010	"Belknap"	1	"Barnstead"	762	762	1592	465	1066	1581	593	892	1565
"NH"	2010	"Belknap"	1	"Belmont"	1021	1056	2134	602	1439	2136	806	1196	2105
"NH"	2010	"Belknap"	1	"Center Harbor"	231	276	527	150	360	523	186	314	519
"NH"	2010	"Belknap"	1	"Gilford"	1531	1573	3154	956	2103	3144	1180	1811	3101
"NH"	2010	"Belknap"	1	"Gilmanton"	713	769	1514	467	1000	1514	579	873	1503
"NH"	2010	"Belknap"	1	"Laconia Ward 1"	571	530	1114	353	734	1113	419	636	1087
"NH"	2010	"Belknap"	1	"Laconia Ward 2"	374	334	723	242	444	712	307	365	702
"NH"	2010	"Belknap"	1	"Laconia Ward 3"	470	356	837	300	497	821	374	414	820
"NH"	2010	"Belknap"	1	"Laconia Ward 4"	408	357	766	283	473	759	367	378	746
"NH"	2010	"Belknap"	1	"Laconia Ward 5"	298	264	582	189	358	571	244	294	565
"NH"	2010	"Belknap"	1	"Laconia Ward 6"	473	554	1047	301	727	1051	379	632	1041
"NH"	2010	"Belknap"	1	"Meredith"	1419	1314	2809	879	1837	2796	1130	1532	2759
"NH"	2010	"Belknap"	1	"New Hampton"	457	438	923	318	560	915	383	492	905
"NH"	2010	"Belknap"	2	"Sanbornton"	677	585	1298	486	765	1297	584	637	1273
"NH"	2010	"Belknap"	2	"Tilton"	642	544	1225	428	738	1216	534	581	1203
"NH"	2010	"Carroll"	1	"Albany"	143	134	283	122	151	286	141	129	278
"NH"	2010	"Carroll"	1	"Bartlett"	717	550	1286	518	725	1274	612	610	1254
"NH"	2010	"Carroll"	1	"Brookfield"	172	184	369	119	238	370	142	204	363
"NH"	2010	"Carroll"	1	"Chatham"	62	85	149	49	90	145	56	88	147
"NH"	2010	"Carroll"	1	"Conway"	1816	1365	3252	1291	1796	3199	1618	1476	3195
"NH"	2010	"Carroll"	1	"Eaton"	122	101	223	105	114	219	120	101	221
"NH"	2010	"Carroll"	1	"Effingham"	247	275	548	184	326	546	251	266	544
"NH"	2010	"Carroll"	1	"Freedom"	341	358	713	216	468	712	289	379	700
"NH"	2010	"Carroll"	1	"Hale's Location"	27	84	111	18	92	110	22	86	111
"NH"	2010	"Carroll"	1	"Hart's Location"	12	4	16	10	6	16	11	5	16
"NH"	2010	"Carroll"	1	"Jackson"	333	210	547	260	282	553	304	238	551
"NH"	2010	"Carroll"	1	"Madison"	554	431	1012	412	559	1014	492	470	1000
"NH"	2010	"Carroll"	1	"Moultonborough"	942	1238	2209	602	1562	2214	717	1381	2158
"NH"	2010	"Carroll"	1	"Ossipee"	642	775	1474	421	964	1462	559	812	1438
"NH"	2010	"Carroll"	1	"Sandwich"	487	336	834	403	406	829	457	347	823
"NH"	2010	"Carroll"	1	"Tamworth"	601	486	1115	443	636	1110	548	493	1098
"NH"	2010	"Carroll"	1	"Tuftonboro"	561	667	1242	361	852	1245	448	744	1225
"NH"	2010	"Carroll"	1	"Wakefield"	748	989	1767	456	1249	1760	571	1096	1746
"NH"	2010	"Carroll"	1	"Wolfeboro"	1476	1623	3146	1023	2034	3133	1214	1812	3102
"NH"	2010	"Cheshire"	2	"Alstead"	454	225	689	338	326	684	392	252	676
"NH"	2010	"Cheshire"	2	"Chesterfield"	876	606	1511	661	795	1508	779	676	1503
"NH"	2010	"Cheshire"	2	"Dublin"	491	292	801	383	377	774	428	342	797
"NH"	2010	"Cheshire"	2	"Fitzwilliam"	478	399	904	396	482	902	464	398	895
"NH"	2010	"Cheshire"	2	"Gilsum"	161	127	296	118	163	289	132	148	292
"NH"	2010	"Cheshire"	2	"Harrisville"	375	119	506	326	171	508	353	138	507
"NH"	2010	"Cheshire"	2	"Hinsdale"	619	332	972	480	462	978	559	374	984
"NH"	2010	"Cheshire"	2	"Jaffrey"	1001	855	1889	745	1101	1892	867	927	1878
"NH"	2010	"Cheshire"	2	"Keene Ward 1"	764	313	1117	678	390	1122	743	327	1120
"NH"	2010	"Cheshire"	2	"Keene Ward 2"	1050	385	1475	927	504	1473	1000	415	1465
"NH"	2010	"Cheshire"	2	"Keene Ward 3"	902	485	1422	766	637	1430	838	520	1411
"NH"	2010	"Cheshire"	2	"Keene Ward 4"	1012	529	1569	822	722	1583	933	551	1557
"NH"	2010	"Cheshire"	2	"Keene Ward 5"	1088	569	1684	883	774	1694	959	662	1679
"NH"	2010	"Cheshire"	2	"Marlborough"	490	238	743	393	312	728	450	247	721
"NH"	2010	"Cheshire"	2	"Marlow"	178	119	307	144	158	313	164	132	308
"NH"	2010	"Cheshire"	2	"Nelson"	209	95	312	168	133	312	174	119	308
"NH"	2010	"Cheshire"	2	"Richmond"	211	245	463	174	263	453	195	199	423
"NH"	2010	"Cheshire"	2	"Rindge"	725	1126	1892	558	1279	1890	637	1144	1875
"NH"	2010	"Cheshire"	2	"Roxbury"	64	34	101	48	48	101	60	35	100
"NH"	2010	"Cheshire"	2	"Stoddard"	279	225	516	206	300	517	247	237	513
