state	year	county	precinct	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_STH_dv	g2000_STH_rv	g2000_STH_tv
"NM"	2000	1	"012A"	309	95	437	389	92	481	363	64	427	351	66	417
"NM"	2000	1	"012B"	187	86	288	83	27	110	221	63	284	198	74	272
"NM"	2000	1	"050A"	124	33	202	184	21	205	168	25	193	162		162
"NM"	2000	1	"050B"	339	124	514	36	8	44	407	87	494	392		392
"NM"	2000	1	"1"	362	105	490	339	113	452	398	83	481	352		445
"NM"	2000	1	"10"	414	179	637	94	12	106	502	130	632	270		580
"NM"	2000	1	"11"	523	185	787	149	32	181	627	145	772	397		703
"NM"	2000	1	"13"	325	93	472	314	67	381	390	74	464	364	93	457
"NM"	2000	1	"14"	310	101	435	329	47	376	341	87	428	319	101	420
"NM"	2000	1	"15"	65	124	207	481	150	631	46	132	178	96	94	190
"NM"	2000	1	"16"	50	67	126	625	149	774	65	58	123	67	54	121
"NM"	2000	1	"17"	113	26	161	343	86	429	128	26	154	134	18	152
"NM"	2000	1	"18"	201	528	751	207	78	285	307	426	733	309	415	724
"NM"	2000	1	"19"	67	92	164	389	73	462	99	66	165	122	40	162
"NM"	2000	1	"2"	85	27	115	332	98	430	89	18	107	84		111
"NM"	2000	1	"20"	377	83	511	92	104	196	444	53	497	389		389
"NM"	2000	1	"21"	250	64	338	63	61	124	276	52	328	248		248
"NM"	2000	1	"22"	328	88	462	128	27	155	378	69	447	307		307
"NM"	2000	1	"23"	215	101	322	268	469	737	241	72	313	232		303
"NM"	2000	1	"24"	299	67	387	87	78	165	340	37	377	320		320
"NM"	2000	1	"25"	211	48	297	424	73	497	264	26	290	217		217
"NM"	2000	1	"26"	207	22	266	277	51	328	240	23	263	208		208
"NM"	2000	1	"27"	395	82	534	382	66	448	452	61	513	389		389
"NM"	2000	1	"28"	126	47	183	253	65	318	147	31	178	90		163
"NM"	2000	1	"29"	281	120	417	334	46	380	314	89	403	280	115	395
"NM"	2000	1	"3"	175	24	205	257	35	292	187	17	204	166		197
"NM"	2000	1	"30"	359	88	490	238	25	263	409	70	479	252		433
"NM"	2000	1	"31"	126	25	167	446	68	514	140	23	163	142		142
"NM"	2000	1	"32"	493	115	655	149	29	178	572	73	645	509		509
"NM"	2000	1	"33"	364	86	515	322	85	407	447	47	494	396		396
"NM"	2000	1	"34"	413	111	594	411	70	481	507	77	584	475		475
"NM"	2000	1	"36"	181	39	238	140	26	166	205	35	240	172		172
"NM"	2000	1	"37"	214	53	297	557	82	639	243	42	285	209	67	276
"NM"	2000	1	"38"	298	113	437	432	64	496	340	91	431	346		346
"NM"	2000	1	"39"	284	104	409	487	91	578	332	67	399	333		333
"NM"	2000	1	"4"	31	12	45	203	37	240	38	7	45	36		42
"NM"	2000	1	"40"	76	27	107	237	51	288	84	22	106	60		100
"NM"	2000	1	"41"	145	36	188	336	97	433	165	24	189	158		158
"NM"	2000	1	"42"	281	58	382	312	91	403	316	48	364	287		287
"NM"	2000	1	"43"	220	57	309	86	21	107	265	33	298	239	51	290
"NM"	2000	1	"44"	365	48	476	154	31	185	424	39	463	387	68	455
"NM"	2000	1	"45"	178	48	254	310	55	365	202	44	246	190	55	245
"NM"	2000	1	"46"	170	56	250	254	45	299	192	55	247	172	69	241
"NM"	2000	1	"47"	424	108	577	423	41	464	506	63	569	385		385
"NM"	2000	1	"48"	461	102	657	197	48	245	545	82	627	484	120	604
"NM"	2000	1	"49"	282	105	407	198	51	249	330	67	397	309		309
"NM"	2000	1	"5"	296	144	462	497	73	570	351	95	446	267		426
"NM"	2000	1	"51"	359	148	542	526	94	620	431	105	536	396		396
"NM"	2000	1	"52"	341	101	470	315	83	398	380	75	455	358		358
"NM"	2000	1	"53"	346	80	463	164	29	193	380	68	448	328		328
