state	year	county	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	g2004_STH_dv	g2004_STH_rv	g2004_STH_tv	g2004_STS_dv	g2004_STS_rv	g2004_STS_tv
"NM"	2004	1	"1"	309	110	421	120	39	159	30	47	77	183		183
"NM"	2004	1	"1"	170	65	238	199	18	217	30	122	152	332		332
"NM"	2004	1	"1"	106	32	139	352	57	409	30	47	77	107		107
"NM"	2004	1	"10"	403	136	541	372	106	478	71	113	184	313	145	458
"NM"	2004	1	"10"	403	136	541	372	106	478	71	10	81	271	128	399
"NM"	2004	1	"10"	265	138	410	297	118	415	71	156	227	392	119	511
"NM"	2004	1	"10"	341	155	497	428	108	536	71	76	147	392	119	511
"NM"	2004	1	"10"	403	136	541	372	106	478	71	105	176	392	119	511
"NM"	2004	1	"11"	287	64	354	311	62	373	50	81	131	306	53	359
"NM"	2004	1	"11"	245	114	364	335	43	378	50	81	131	283	81	364
"NM"	2004	1	"11"	323	61	388	287	44	331	50	97	147	256	56	312
"NM"	2004	1	"12"	223	125	354	118	65	183		20	20	266	31	297
"NM"	2004	1	"12"	111	35	146	283	23	306		55	55	108	45	153
"NM"	2004	1	"12"	120	41	161	138	28	166		61	61	112	80	192
"NM"	2004	1	"13"	292	92	387	325	90	415	51	5	56	397	109	506
"NM"	2004	1	"13"	391	116	510	215	58	273	51	113	164	301	80	381
"NM"	2004	1	"13"	391	116	510	215	58	273	51	97	148	190	73	263
"NM"	2004	1	"13"	193	82	278	417	64	481	51	50	101	190	73	263
"NM"	2004	1	"13"	391	116	510	215	58	273	51	71	122	190	73	263
"NM"	2004	1	"14"	202	80	284	432	48	480	24	133	157	202	178	380
"NM"	2004	1	"14"	351	218	576	238	54	292	24	155	179	379	73	452
"NM"	2004	1	"14"	220	75	295	236	135	371	24	155	179	209	70	279
"NM"	2004	1	"15"	49	60	110	38	0	38	21	18	39		71	71
"NM"	2004	1	"15"	49	60	110	38	143	181	21	18	39		129	129
"NM"	2004	1	"15"	68	126	199	46	0	46	21	103	124		140	140
"NM"	2004	1	"15"	49	60	110	38	0	38	21	18	39		140	140
"NM"	2004	1	"15"	49	60	110	38	72	110	21	18	39		140	140
"NM"	2004	1	"15"	64	123	193	52	145	197	21	18	39		140	140
"NM"	2004	1	"16"	26	28	54	31	36	67	12	107	119	24	27	51
"NM"	2004	1	"16"	41	60	102	53	23	76	12	107	119	27	49	76
