state	year	county	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	g2008_USH_dv	g2008_USH_rv	g2008_STS_dv	g2008_STS_rv	g2008_STH_dv	g2008_STH_rv	g2008_USP_tv	g2008_USS_tv	g2008_USH_tv	g2008_STS_tv	g2008_STH_tv
"NM"	2008	1	"1"	680	181	684	173	667	109	686		703		870	857	859		
"NM"	2008	1	"10"	1153	337	134	47	125	24	1176		1078		1504	181	407		
"NM"	2008	1	"11"	1002	192	265	41	255	25	972		924		1212	306	555		
"NM"	2008	1	"12"	566	126	62	13	58	10	562			330	697	75	181		
"NM"	2008	1	"13"	1042	277	509	148	478	92	1043		968		1340	657	896		
"NM"	2008	1	"14"	1010	315	157	7	137	5	1020		1037		1335	164	366		
"NM"	2008	1	"15"	493	356	345	66	282	52	207	389	367		863	411	334	596	
"NM"	2008	1	"16"	246	130	699	126	538	129	155		181		378	825	699		
"NM"	2008	1	"17"	116	68	720	141	580	110	205		221		187	861	751		
"NM"	2008	1	"18"	226	386	1150	338	882	341	324		368		622	1488	1307		
"NM"	2008	1	"19"	229	113	1042	161	784	140	135		164		345	1203	945		
"NM"	2008	1	"2"	135	44	586	104	493	86	136		141		180	690	610		
"NM"	2008	1	"20"	98	127	1057	269	756	224	776		736		236	1326	1169		
"NM"	2008	1	"21"	832	237	768	129	862	245	980		950		1082	897	1352		
"NM"	2008	1	"22"	757	142	273	342	228	377	718		664		916	615	786		
"NM"	2008	1	"23"	1082	122	132	115	116	94	470		486		1208	247	306		
"NM"	2008	1	"24"	624	95	235	60	171	56	625		626		735	295	359		
"NM"	2008	1	"25"	433	49	253	367	221	313	394		388		492	620	637		
"NM"	2008	1	"26"	296	42	117	97	99	87	277		272		346	214	244		
"NM"	2008	1	"27"	819	84	856	111	772	91	733		733		916	967	1048		
"NM"	2008	1	"28"	380	79	1099	219	862	190	365		320		462	1318	1135		
"NM"	2008	1	"29"	829	271	1044	292	574	131	822		760		1109	1336	936		
"NM"	2008	1	"3"	257	46	492	124	430	81	264		269		305	616	532		
"NM"	2008	1	"30"	806	171	654	74	540	55	782		710		989	728	771		
