state	year	county	precinct	precinct_name	g2008_REG_tv	g2008_BALL_tv	cd	g2008_USP_rv	g2008_USP_dv	g2008_USP_tv	g2008_USS_rv	g2008_USS_dv	g2008_USS_tv	g2008_SOS_dv	g2008_SOS_rv	g2008_SOS_tv	g2008_TRE_rv	g2008_TRE_dv	g2008_TRE_tv	g2008_ATG_dv	g2008_ATG_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"OR"	2008	"CROOK"	"1"			331	2	168	151	329	173	117	315	130	163	303	147	139	304	167	259	75	216	309
"OR"	2008	"CROOK"	"2"			327	2	184	126	324	187	90	311	107	185	304	162	123	300	158	259	71	216	298
"OR"	2008	"CROOK"	"3"			156	2	84	67	156	85	49	146	64	72	144	65	71	144	76	125	39	93	144
"OR"	2008	"CROOK"	"4"			857	2	586	234	850	573	180	817	221	567	806	503	264	797	394	648	125	661	822
"OR"	2008	"CROOK"	"5"			1439	2	913	468	1419	915	371	1388	437	890	1349	754	543	1334	757	1115	252	1094	1382
"OR"	2008	"CROOK"	"6"			542	2	291	227	533	321	169	517	197	292	499	269	219	502	304	437	113	380	510
"OR"	2008	"CROOK"	"7"			204	2	157	38	199	159	27	197	40	154	197	133	54	190	82	152	19	167	197
"OR"	2008	"CROOK"	"8"			516	2	294	194	507	303	141	493	198	262	473	232	212	464	265	405	110	353	483
"OR"	2008	"CROOK"	"9"			168	2	121	46	168	119	34	163	44	106	152	90	53	146	66	116	24	124	155
"OR"	2008	"CROOK"	"10"			369	2	180	174	365	201	116	351	155	175	342	166	153	334	196	284	84	240	346
"OR"	2008	"CROOK"	"11"			1368	2	907	407	1352	939	296	1303	366	883	1276	854	403	1283	632	963	189	1074	1299
"OR"	2008	"CROOK"	"12"			103	2	76	27	103	76	19	101	22	74	97	70	24	96	42	81	12	83	99
"OR"	2008	"CROOK"	"13"			603	2	407	179	600	392	119	577	177	368	560	318	200	542	283	471	93	450	572
"OR"	2008	"CROOK"	"14"			328	2	170	138	323	162	109	310	132	155	301	133	142	296	151	265	93	204	309
