state	year	county	precinct	precinct_name	g2010_REG_tv	g2010_BALL_tv	g2010_USS_rv	g2010_USS_dv	g2010_USS_tv	cd	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_TRE_rv	g2010_TRE_dv	g2010_TRE_tv	sd	g2010_STS_dv	g2010_STS_rv	g2010_STS_tv	sd2	g2010_STS_dv2	g2010_STS_rv2	g2010_STS_tv2	ld	g2010_STH_dv	g2010_STH_rv	g2010_STH_tv	ld2	g2010_STH_dv2	g2010_STH_rv2	g2010_STH_tv2
"OR"	2010	"CLACKAMAS"	"1"		1295	898	295	534	829	5	502	324	826	500	356	856	287	472	759																
"OR"	2010	"CLACKAMAS"	"2"		1439	1004	341	587	928	5	573	371	944	532	431	963	319	534	853																
"OR"	2010	"CLACKAMAS"	"3"		1162	760	285	423	708	5	400	295	695	355	359	714	254	378	632																
"OR"	2010	"CLACKAMAS"	"5"		1249	755	290	412	702	5	390	295	685	346	363	709	267	368	635																
"OR"	2010	"CLACKAMAS"	"6"		1073	817	291	484	775	5	462	309	771	414	359	773	270	437	707																
"OR"	2010	"CLACKAMAS"	"7"		2290	1742	701	954	1655	5	879	766	1645	762	912	1674	677	829	1506																
"OR"	2010	"CLACKAMAS"	"8"		2225	1709	846	798	1644	5	725	909	1634	636	1027	1663	808	731	1539																
"OR"	2010	"CLACKAMAS"	"9"		1441	1018	458	504	962	5	463	483	946	422	548	970	429	455	884																
"OR"	2010	"CLACKAMAS"	"11"		1947	1311	583	659	1242	5	606	638	1244	543	719	1262	570	578	1148																
"OR"	2010	"CLACKAMAS"	"12"		2603	1780	768	934	1702	5	873	803	1676	738	963	1701	723	805	1528																
"OR"	2010	"CLACKAMAS"	"31"		574	349	95	221	316	5	203	116	319	186	141	327	95	203	298																
"OR"	2010	"CLACKAMAS"	"32"		631	413	151	234	385	5	216	157	373	205	187	392	143	206	349																
"OR"	2010	"CLACKAMAS"	"33"		1439	1015	450	518	968	5	489	464	953	424	550	974	437	449	886																
"OR"	2010	"CLACKAMAS"	"34"		1521	1060	361	643	1004	5	576	400	976	519	482	1001	369	538	907																
"OR"	2010	"CLACKAMAS"	"38"		909	637	248	363	611	5	314	279	593	298	317	615	243	321	564																
"OR"	2010	"CLACKAMAS"	"39"		1288	952	386	521	907	5	465	431	896	432	480	912	378	464	842																
"OR"	2010	"CLACKAMAS"	"51"		1412	979	237	684	921	3	667	228	895	627	319	946	232	616	848																
"OR"	2010	"CLACKAMAS"	"53"		1070	741	212	490	702	3	480	203	683	425	280	705	202	449	651																
"OR"	2010	"CLACKAMAS"	"54"		1032	674	188	443	631	3	426	186	612	382	252	634	187	384	571																
"OR"	2010	"CLACKAMAS"	"56"		915	637	169	427	596	3	422	162	584	384	221	605	161	374	535																
"OR"	2010	"CLACKAMAS"	"57"		1277	910	274	585	859	3	562	276	838	523	347	870	268	507	775																
"OR"	2010	"CLACKAMAS"	"58"		846	670	215	431	646	3	416	204	620	364	284	648	227	367	594																
"OR"	2010	"CLACKAMAS"	"60"		1265	876	242	590	832	3	569	227	796	517	329	846	220	525	745																
"OR"	2010	"CLACKAMAS"	"62"		1308	915	296	564	860	3	536	306	842	487	392	879	295	495	790																
"OR"	2010	"CLACKAMAS"	"63"		1165	818	217	550	767	3	539	211	750	483	299	782	231	485	716																
"OR"	2010	"CLACKAMAS"	"64"		1202	814	269	498	767	3	466	267	733	408	354	762	271	429	700																
"OR"	2010	"CLACKAMAS"	"90"		6	4	0	4	4	5	2	2	4	1	3	4	1	0	1																
"OR"	2010	"CLACKAMAS"	"91"		153	128	42	82	124	3	83	36	119	69	58	127	26	92	118																
"OR"	2010	"CLACKAMAS"	"92"		90	62	13	44	57	3	43	15	58	41	20	61	16	39	55																
"OR"	2010	"CLACKAMAS"	"93"		153	123	43	75	118	3	71	43	114	63	56	119	39	77	116																
"OR"	2010	"CLACKAMAS"	"94"		64	53	27	23	50	3	22	25	47	15	36	51	27	19	46																
"OR"	2010	"CLACKAMAS"	"95"		9	5	0	5	5	3	5	0	5	5	0	5	0	3	3																
