state	year	town	precinct	g2002_REG_tv	g2002_BALL_tv	g2002_USS_dv	g2002_USS_rv	g2002_USS_tv	cd	g2002_USH_dv	g2002_USH_rv	g2002_USH_tv	g2002_GOV_dv	g2002_GOV_rv	g2002_GOV_tv	g2002_LTG_dv	g2002_LTG_rv	g2002_LTG_tv	g2002_SOS_dv	g2002_SOS_rv	g2002_SOS_tv	g2002_AGR_dv	g2002_AGR_rv	g2002_AGR_tv	g2002_TRE_dv	g2002_TRE_rv	g2002_TRE_tv
"RI"	2002	"BARRINGTON"	101	1545	903	622	244	866	1	403	456	889	324	566	890	289	187	885	508	332	840	465	0	802	533	315	848
"RI"	2002	"BARRINGTON"	102	1650	712	497	194	691	1	350	326	698	276	429	705	234	183	699	386	285	671	344	0	640	425	253	678
"RI"	2002	"BARRINGTON"	103	1556	918	646	241	887	1	388	481	895	295	614	909	277	239	900	498	370	868	445	0	832	525	345	870
"RI"	2002	"BARRINGTON"	104	1657	1010	746	236	982	1	508	453	984	404	590	994	332	216	986	615	339	954	552	0	919	651	303	954
"RI"	2002	"BARRINGTON"	105	1735	1140	806	303	1109	1	498	583	1118	400	726	1126	329	289	1114	693	396	1089	502	0	1041	629	439	1068
"RI"	2002	"BARRINGTON"	106	1682	1128	710	381	1091	1	394	690	1105	291	830	1121	262	378	1089	562	514	1076	475	0	1013	531	533	1064
"RI"	2002	"BARRINGTON"	107	1360	787	596	157	753	1	446	304	775	317	463	780	306	155	766	481	254	735	478	0	714	534	206	740
"RI"	2002	"BARRINGTON"	108	1418	915	645	251	896	1	441	439	906	308	599	907	264	185	893	474	393	867	440	0	832	550	308	858
"RI"	2002	"BARRINGTON"	109	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RI"	2002	"BRISTOL"	201	1429	865	600	229	829	1	420	422	857	321	530	851	295	204	838	464	355	819	434	0	802	536	291	827
