state	year	town	precinct	g2004_REG_tv	g2004_BALL_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	cd	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"RI"	2004	"BARRINGTON"	101	1647	1171	651	503	1165	1	595	531	1126
"RI"	2004	"BARRINGTON"	102	1725	923	464	433	917	1	431	443	874
"RI"	2004	"BARRINGTON"	103	1590	1128	610	493	1120	1	583	505	1088
"RI"	2004	"BARRINGTON"	104	1755	1245	748	466	1235	1	690	508	1198
"RI"	2004	"BARRINGTON"	105	1821	1326	773	524	1318	1	665	612	1277
"RI"	2004	"BARRINGTON"	106	1753	1280	593	661	1264	1	504	724	1228
"RI"	2004	"BARRINGTON"	107	1414	976	633	317	968	1	590	353	943
"RI"	2004	"BARRINGTON"	108	1535	1129	617	486	1121	1	592	504	1096
"RI"	2004	"BARRINGTON"	109	0	342	202	137	342	1	1	0	1
"RI"	2004	"BRISTOL"	201	1512	1054	573	463	1048	1	552	440	992
"RI"	2004	"BRISTOL"	202	1472	1072	561	493	1065	1	516	493	1009
"RI"	2004	"BRISTOL"	203	1852	1187	763	398	1179	1	705	379	1084
"RI"	2004	"BRISTOL"	204	884	553	327	215	547	1	326	202	528
"RI"	2004	"BRISTOL"	205	904	663	333	316	657	1	342	284	626
"RI"	2004	"BRISTOL"	206	1836	1014	631	349	1001	1	593	328	921
"RI"	2004	"BRISTOL"	207	416	288	151	130	284	1	153	117	270
"RI"	2004	"BRISTOL"	208	1001	576	374	190	572	1	380	158	538
"RI"	2004	"BRISTOL"	209	1979	1270	777	458	1253	1	760	414	1174
"RI"	2004	"BRISTOL"	210	1891	1131	718	379	1111	1	726	321	1047
"RI"	2004	"BRISTOL"	211	1889	950	594	330	940	1	562	307	869
"RI"	2004	"BRISTOL"	212	0	770	474	279	770	1	8	4	12
"RI"	2004	"BURRILLVILLE"	301	1867	998	528	443	991	1	634	329	963
"RI"	2004	"BURRILLVILLE"	302	1815	1044	521	499	1040	1	576	438	1014
"RI"	2004	"BURRILLVILLE"	303	1757	1117	546	548	1103	1	615	463	1078
"RI"	2004	"BURRILLVILLE"	304	1359	805	447	341	799	1	479	289	768
"RI"	2004	"BURRILLVILLE"	305	1693	975	500	454	967	1	542	393	935
"RI"	2004	"BURRILLVILLE"	306	1981	1206	547	619	1200	1	644	518	1162
"RI"	2004	"BURRILLVILLE"	307	0	239	115	120	239	1	0	0	0
"RI"	2004	"CENTRAL FALLS"	401	1108	549	392	144	547	1	428	101	529
"RI"	2004	"CENTRAL FALLS"	402	480	258	202	53	255	1	205	36	241
"RI"	2004	"CENTRAL FALLS"	403	1189	655	513	126	645	1	525	95	620
"RI"	2004	"CENTRAL FALLS"	404	978	547	408	127	542	1	427	96	523
"RI"	2004	"CENTRAL FALLS"	405	540	264	200	56	261	1	201	48	249
"RI"	2004	"CENTRAL FALLS"	406	650	400	294	100	399	1	304	84	388
"RI"	2004	"CENTRAL FALLS"	407	258	151	106	39	149	1	115	32	147
"RI"	2004	"CENTRAL FALLS"	408	643	373	264	104	371	1	276	83	359
"RI"	2004	"CENTRAL FALLS"	409	0	329	268	58	329	1	6	0	6
"RI"	2004	"CHARLESTOWN"	501	1007	624	349	255	622	2	408	145	586
"RI"	2004	"CHARLESTOWN"	502	826	574	311	245	570	2	383	134	552
"RI"	2004	"CHARLESTOWN"	503	1089	692	361	311	684	2	437	167	630
"RI"	2004	"CHARLESTOWN"	504	1279	902	447	438	899	2	535	277	857
"RI"	2004	"CHARLESTOWN"	505	315	197	122	70	196	2	137	40	186
"RI"	2004	"CHARLESTOWN"	506	794	542	304	236	545	2	367	127	514
"RI"	2004	"CHARLESTOWN"	507	789	531	285	227	525	2	358	119	503
"RI"	2004	"CHARLESTOWN"	508	0	161	100	56	161	2	1	0	1
"RI"	2004	"COVENTRY"	601	1403	880	486	367	876	2	662	153	852
"RI"	2004	"COVENTRY"	602	1920	1318	724	570	1310	2	969	264	1280
"RI"	2004	"COVENTRY"	603	1436	946	520	406	944	2	662	190	897
"RI"	2004	"COVENTRY"	604	1290	925	466	435	921	2	683	184	900
"RI"	2004	"COVENTRY"	605	1301	871	475	379	866	2	636	183	846
"RI"	2004	"COVENTRY"	606	1248	878	486	381	877	2	659	175	858
"RI"	2004	"COVENTRY"	607	445	293	154	129	291	2	206	62	282
"RI"	2004	"COVENTRY"	608	654	496	220	270	491	2	360	118	486
"RI"	2004	"COVENTRY"	609	1455	1056	493	533	1050	2	700	257	1009
"RI"	2004	"COVENTRY"	610	671	471	274	184	469	2	340	95	455
"RI"	2004	"COVENTRY"	611	1456	990	495	468	981	2	680	212	941
"RI"	2004	"COVENTRY"	612	1342	964	499	450	962	2	634	254	927
"RI"	2004	"COVENTRY"	613	1084	671	415	232	654	2	495	125	641
"RI"	2004	"COVENTRY"	614	1380	937	517	389	926	2	699	160	896
"RI"	2004	"COVENTRY"	615	1431	1016	547	452	1009	2	727	230	981
"RI"	2004	"COVENTRY"	616	1114	814	362	433	806	2	502	250	773
"RI"	2004	"COVENTRY"	617	1061	690	383	291	688	2	499	146	668
"RI"	2004	"COVENTRY"	618	1238	873	395	452	869	2	543	255	829
"RI"	2004	"COVENTRY"	619	483	330	148	175	328	2	216	95	317
"RI"	2004	"COVENTRY"	620	0	621	358	253	621	2	2	0	4
"RI"	2004	"CRANSTON"	701	714	546	328	203	539	2	399	78	500
"RI"	2004	"CRANSTON"	702	1077	631	395	212	617	2	476	82	585
"RI"	2004	"CRANSTON"	703	826	392	266	108	379	2	301	41	359
"RI"	2004	"CRANSTON"	704	1107	372	239	129	371	2	270	64	346
"RI"	2004	"CRANSTON"	705	806	443	258	176	439	2	316	68	406
"RI"	2004	"CRANSTON"	706	1002	485	310	165	479	2	362	67	454
"RI"	2004	"CRANSTON"	707	1052	605	356	234	595	2	457	79	555
"RI"	2004	"CRANSTON"	708	565	335	201	132	334	2	259	43	310
"RI"	2004	"CRANSTON"	709	1053	632	354	255	617	2	456	104	583
"RI"	2004	"CRANSTON"	710	1552	1142	529	590	1134	2	799	245	1080
"RI"	2004	"CRANSTON"	711	1542	1096	506	562	1083	2	767	231	1034
"RI"	2004	"CRANSTON"	712	295	241	121	109	234	2	161	49	222
"RI"	2004	"CRANSTON"	713	1718	1268	604	634	1248	2	852	314	1204
"RI"	2004	"CRANSTON"	714	1425	999	524	444	984	2	713	187	939
"RI"	2004	"CRANSTON"	715	1054	729	398	316	722	2	530	144	697
"RI"	2004	"CRANSTON"	716	1393	1003	535	443	992	2	714	183	937
"RI"	2004	"CRANSTON"	717	604	451	270	173	446	2	339	77	427
"RI"	2004	"CRANSTON"	718	114	78	51	27	79	2	60	4	68
"RI"	2004	"CRANSTON"	719	696	465	243	216	463	2	312	111	440
"RI"	2004	"CRANSTON"	720	822	572	340	213	566	2	407	123	547
"RI"	2004	"CRANSTON"	721	1380	979	535	419	965	2	647	225	905
"RI"	2004	"CRANSTON"	722	823	577	331	233	571	2	439	91	545
"RI"	2004	"CRANSTON"	723	1675	1211	606	575	1194	2	784	290	1131
"RI"	2004	"CRANSTON"	724	1297	917	499	388	902	2	645	163	842
"RI"	2004	"CRANSTON"	725	619	255	142	106	253	2	179	47	239
"RI"	2004	"CRANSTON"	726	446	268	181	75	261	2	205	35	252
"RI"	2004	"CRANSTON"	727	1433	979	581	377	972	2	709	177	919
"RI"	2004	"CRANSTON"	728	1328	710	419	268	693	2	530	89	634
"RI"	2004	"CRANSTON"	729	1009	696	380	299	688	2	495	137	653
"RI"	2004	"CRANSTON"	730	1492	995	517	452	976	2	674	202	913
"RI"	2004	"CRANSTON"	731	1211	831	463	354	825	2	601	138	768
"RI"	2004	"CRANSTON"	732	966	561	335	217	559	2	403	109	537
"RI"	2004	"CRANSTON"	733	1184	718	404	298	711	2	512	143	680
"RI"	2004	"CRANSTON"	734	626	411	247	158	409	2	298	65	379
"RI"	2004	"CRANSTON"	735	696	402	244	146	396	2	289	60	363
"RI"	2004	"CRANSTON"	736	1426	893	566	299	882	2	661	145	840
"RI"	2004	"CRANSTON"	737	1143	610	388	209	605	2	438	102	560
"RI"	2004	"CRANSTON"	738	786	478	310	156	477	2	361	71	456
"RI"	2004	"CRANSTON"	739	1467	906	568	318	901	2	681	131	854
"RI"	2004	"CRANSTON"	740	1422	865	520	329	860	2	634	150	807
"RI"	2004	"CRANSTON"	741	1404	726	503	192	720	2	548	99	692
"RI"	2004	"CRANSTON"	742	1108	630	429	179	625	2	462	93	592
"RI"	2004	"CRANSTON"	743	1462	963	627	303	947	2	664	172	891
"RI"	2004	"CRANSTON"	744	1463	901	598	278	887	2	679	137	849
"RI"	2004	"CRANSTON"	745	1178	749	462	266	743	2	543	130	707
"RI"	2004	"CRANSTON"	746	854	671	249	412	666	2	440	173	634
"RI"	2004	"CRANSTON"	747	1095	823	376	435	820	2	593	163	788
"RI"	2004	"CRANSTON"	748	830	596	293	292	594	2	397	153	568
"RI"	2004	"CRANSTON"	749	1219	824	479	322	814	2	616	113	750
"RI"	2004	"CRANSTON"	750	1336	961	526	417	954	2	732	139	892
"RI"	2004	"CRANSTON"	751	0	1090	725	358	1090	2	1	0	1
"RI"	2004	"CUMBERLAND"	801	1536	1042	520	493	1032	1	551	454	1005
"RI"	2004	"CUMBERLAND"	802	1506	889	507	361	876	1	542	319	861
"RI"	2004	"CUMBERLAND"	803	1301	842	469	357	837	1	509	301	810
"RI"	2004	"CUMBERLAND"	804	865	530	279	243	525	1	322	188	510
"RI"	2004	"CUMBERLAND"	805	1417	957	579	354	945	1	622	301	923
"RI"	2004	"CUMBERLAND"	806	1645	1084	595	442	1061	1	626	412	1038
"RI"	2004	"CUMBERLAND"	807	1855	1240	637	559	1221	1	682	516	1198
