state	year	town	precinct	g2006_REG_tv	g2006_BALL_tv	g2006_USS_dv	g2006_USS_rv	g2006_USS_tv	cd	g2006_USH_dv	g2006_USH_rv	g2006_USH_tv	g2006_GOV_dv	g2006_GOV_rv	g2006_GOV_tv	g2006_LTG_dv	g2006_LTG_rv	g2006_LTG_tv	g2006_SOS_dv	g2006_SOS_rv	g2006_SOS_tv	g2006_ATG_dv	g2006_ATG_rv	g2006_ATG_tv	g2006_TRE_dv	g2006_TRE_rv	g2006_TRE_tv
"RI"	2006	"BARRINGTON"	101	1710	1078	466	598	1064	1	620	349	1047	368	691	1059	463	324	1059	441	585	1026	558	492	1050	664	345	1009
"RI"	2006	"BARRINGTON"	102	1791	811	347	453	800	1	467	265	791	299	506	805	353	249	796	343	428	771	420	376	796	485	283	768
"RI"	2006	"BARRINGTON"	103	1609	1006	410	583	993	1	571	352	988	300	697	997	436	318	989	392	566	958	462	519	981	606	343	949
"RI"	2006	"BARRINGTON"	104	1817	1194	568	610	1178	1	707	356	1162	452	726	1178	534	335	1168	530	599	1129	585	566	1151	730	391	1121
"RI"	2006	"BARRINGTON"	105	1876	1254	538	700	1238	1	668	433	1213	414	827	1241	580	341	1225	465	720	1185	585	624	1209	707	459	1166
"RI"	2006	"BARRINGTON"	106	1769	1165	380	771	1151	1	534	535	1132	276	882	1158	484	427	1139	333	778	1111	485	649	1134	577	518	1095
"RI"	2006	"BARRINGTON"	107	1436	894	457	429	886	1	582	230	881	406	482	888	438	241	882	456	407	863	548	331	879	629	226	855
"RI"	2006	"BARRINGTON"	108	1577	1043	447	578	1025	1	607	329	1012	373	659	1032	388	295	1028	433	565	998	521	493	1014	641	355	996
"RI"	2006	"BARRINGTON"	109	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RI"	2006	"BRISTOL"	201	1556	1024	480	524	1004	1	622	303	991	394	613	1007	427	269	999	439	515	954	557	429	986	632	327	959
"RI"	2006	"BRISTOL"	202	1483	970	397	557	954	1	542	316	928	328	631	959	411	309	951	325	583	908	449	485	934	564	345	909
"RI"	2006	"BRISTOL"	203	1892	1077	587	454	1041	1	747	226	1039	507	544	1051	462	257	1035	595	404	999	687	340	1027	761	234	995
"RI"	2006	"BRISTOL"	204	938	516	286	217	503	1	368	104	502	260	249	509	207	131	508	279	210	489	338	158	496	357	125	482
"RI"	2006	"BRISTOL"	205	970	636	285	346	631	1	376	199	617	250	380	630	190	202	622	289	302	591	355	262	617	393	196	589
"RI"	2006	"BRISTOL"	206	1786	846	456	377	833	1	540	200	812	416	415	831	382	187	824	419	370	789	491	323	814	556	231	787
"RI"	2006	"BRISTOL"	207	413	299	137	154	291	1	166	108	288	105	193	298	112	107	295	114	178	292	140	155	295	179	109	288
"RI"	2006	"BRISTOL"	208	1040	513	318	180	498	1	373	93	503	275	233	508	241	116	497	298	179	477	337	154	491	371	106	477
"RI"	2006	"BRISTOL"	209	1983	1159	657	480	1137	1	799	248	1128	589	555	1144	501	288	1135	628	463	1091	750	378	1128	840	254	1094
"RI"	2006	"BRISTOL"	210	2268	773	412	340	752	1	528	177	751	363	393	756	341	197	748	397	330	727	484	260	744	530	189	719
"RI"	2006	"BRISTOL"	211	1942	952	560	364	924	1	673	187	923	520	409	929	439	220	926	545	341	886	639	279	918	693	195	888
"RI"	2006	"BRISTOL"	212	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RI"	2006	"BURRILLVILLE"	301	1978	0	539	423	962	1	672	220	953	578	399	977	528	315	960	522	413	935	588	371	959	679	246	925
"RI"	2006	"BURRILLVILLE"	302	1915	985	509	465	974	1	630	248	966	573	413	986	503	341	966	489	440	929	590	373	963	632	297	929
"RI"	2006	"BURRILLVILLE"	303	1890	994	535	505	1040	1	657	287	1032	563	489	1052	546	356	1038	526	489	1015	619	408	1027	686	312	998
"RI"	2006	"BURRILLVILLE"	304	1463	1059	443	325	768	1	525	170	754	483	291	774	437	231	759	413	330	743	453	295	748	527	198	725
"RI"	2006	"BURRILLVILLE"	305	1680	783	459	379	838	1	536	201	828	467	380	847	447	267	819	430	380	810	483	333	816	570	228	798
"RI"	2006	"BURRILLVILLE"	306	2053	849	513	563	1076	1	662	311	1076	492	600	1092	492	404	1076	504	544	1048	588	467	1055	663	362	1025
