state	year	town	precinct	g2008_REG_tv	g2008_BALL_tv	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	cd	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"RI"	2008	"Barrington"	101		1279	805	442	1272	902	333	1239	1	775	351	1231
"RI"	2008	"Barrington"	102		896	560	319	891	616	254	872	1	536	277	873
"RI"	2008	"Barrington"	103		1164	672	465	1160	769	363	1137	1	661	406	1132
"RI"	2008	"Barrington"	104		1414	923	456	1412	1011	365	1380	1	866	420	1374
"RI"	2008	"Barrington"	105		1430	893	512	1427	958	422	1386	1	798	496	1377
"RI"	2008	"Barrington"	106		1331	734	580	1326	845	449	1295	1	634	569	1271
"RI"	2008	"Barrington"	107		1030	636	374	1028	731	262	995	1	650	278	1000
"RI"	2008	"Barrington"	108		1208	724	462	1203	791	368	1164	1	686	372	1157
"RI"	2008	"Barrington"	109		5	5	0	5	4	0	4	1	4	0	4
"RI"	2008	"Barrington"	110		181	123	56	181	0	0	0		0	0	0
"RI"	2008	"Bristol"	201		1146	660	466	1141	767	329	1099	1	679	346	1099
"RI"	2008	"Bristol"	202		1114	641	442	1104	723	339	1066	1	618	368	1070
"RI"	2008	"Bristol"	203		1323	870	422	1311	935	301	1240	1	882	282	1246
"RI"	2008	"Bristol"	204		655	374	260	652	462	163	628	1	431	157	625
"RI"	2008	"Bristol"	205		739	412	304	729	485	217	703	1	450	204	707
"RI"	2008	"Bristol"	206		1359	843	475	1346	927	370	1299	1	837	370	1300
"RI"	2008	"Bristol"	208		638	434	192	633	465	134	602	1	429	135	606
"RI"	2008	"Bristol"	209		1386	870	476	1377	1013	295	1318	1	951	295	1330
"RI"	2008	"Bristol"	210		970	616	329	960	663	248	911	1	619	226	918
"RI"	2008	"Bristol"	211		1161	756	358	1146	826	238	1067	1	792	210	1078
"RI"	2008	"Bristol"	212		11	7	4	11	6	4	10	1	6	4	10
"RI"	2008	"Bristol"	213		459	350	106	459	0	0	0		0	0	0
"RI"	2008	"Burrillville"	301		1126	609	474	1110	821	263	1086	1	737	274	1088
"RI"	2008	"Burrillville"	302		1199	605	551	1193	812	345	1157	1	745	324	1168
"RI"	2008	"Burrillville"	303		1363	746	566	1356	942	372	1319	1	822	403	1320
"RI"	2008	"Burrillville"	304		950	538	387	945	673	240	915	1	615	225	916
"RI"	2008	"Burrillville"	305		998	530	431	991	671	288	962	1	612	282	975
"RI"	2008	"Burrillville"	306		1309	607	661	1307	825	434	1262	1	745	398	1274
"RI"	2008	"Burrillville"	307		0	0	0	0	0	0	0	1	0	0	0
