state	year	town	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_iv	g2010_GOV_tv	cd	g2010_SOS_dv	g2010_SOS_rv	g2010_SOS_tv	g2010_ATG_dv	g2010_ATG_rv	g2010_ATG_tv	g2010_LTG_dv	g2010_LTG_iv	g2010_LTG_tv
"RI"	2010	"Barrington"	1042	2738	3248	7834	1	3289	4189	7478	2719	2519	7479	2881	4297	7178
"RI"	2010	"Bristol"	1947	2762	2750	8046	1	3984	3681	7665	3236	2211	7675	3205	4269	7474
"RI"	2010	"Burrillville"	1170	2286	1503	5458	1	2326	2903	5229	2073	1778	5279	2746	1911	4657
"RI"	2010	"Central Falls"	798	491	756	2143	1	1460	561	2021	1351	276	2033	1486	409	1895
"RI"	2010	"Charlestown"	511	1131	1337	3264	2	1316	1779	3095	1069	1047	3141	1541	1262	2803
"RI"	2010	"Coventry"	2433	5424	3934	13005	2	5539	7045	12584	4690	4344	12659	6017	5248	11265
"RI"	2010	"Cranston"	7117	8851	9499	27513	2	13778	12833	26611	11290	8027	26621	14408	9656	24064
"RI"	2010	"Cumberland"	2834	5583	3685	13047	1	5788	6678	12466	5528	4045	12589	6764	4497	11261
"RI"	2010	"East Greenwich"	744	2655	2120	5973	2	1985	3759	5744	1597	2509	5718	2581	2525	5106
"RI"	2010	"East Providence"	4413	4443	5777	15806	1	8895	6323	15218	7922	3579	15279	8410	6042	14452
"RI"	2010	"Exeter"	337	1056	959	2581	2	913	1543	2456	689	965	2468	1078	1160	2238
"RI"	2010	"Foster"	292	864	740	2078	2	805	1165	1970	593	734	1984	816	1049	1865
"RI"	2010	"Glocester"	675	1862	1262	4163	2	1609	2419	4028	1380	1459	4025	1668	1899	3567
"RI"	2010	"Hopkington"	435	1096	1057	2867	2	1151	1591	2742	937	960	2749	1349	1105	2454
"RI"	2010	"Jamestown"	391	960	1428	2983	1	1279	1557	2836	1023	955	2853	1351	1303	2654
"RI"	2010	"Johnston"	4290	3603	2634	11312	2	6305	4635	10940	5108	2843	10883	5853	3992	9845
"RI"	2010	"Lincoln"	1780	3679	2639	8678	1	3969	4454	8423	3398	2604	8431	4238	3335	7573
"RI"	2010	"Little Compton"	206	728	795	1806	1	575	1147	1722	548	755	1704	729	895	1624
"RI"	2010	"Middletown"	891	2161	1832	5210	1	2254	2701	4955	1940	1693	4968	2714	1832	4546
"RI"	2010	"Narragansett"	1394	2198	2513	6543	2	2822	3402	6224	2329	2046	6321	3082	2716	5798
"RI"	2010	"New shoreham"	114	207	423	810	2	417	355	772	321	277	788	474	242	716
"RI"	2010	"Newport"	1311	2212	3061	6950	1	3322	3228	6550	2901	1864	6625	3775	2320	6095
"RI"	2010	"North Kingstown"	1638	4661	4458	11682	2	4396	6835	11231	3495	4428	11256	5148	5089	10237
"RI"	2010	"North Providence"	4332	3689	3490	12340	1	7251	4894	12145	6071	2864	12017	6601	4338	10939
"RI"	2010	"North Smithfield"	913	2215	1346	4796	1	1905	2702	4607	1694	1645	4653	2340	1770	4110
"RI"	2010	"Pawtucket"	4927	4299	5674	16088	1	9324	6058	15382	9653	2795	15652	9505	4682	14187
"RI"	2010	"Portsmouth"	1102	3568	2392	7459	1	2898	4210	7108	2407	2784	7172	3255	3150	6405
"RI"	2010	"Providence"	10500	4648	17581	24455	1	23078	9677	32755	19754	4452	32558	24127	7312	31439
"RI"	2010	"Richmond"	403	1151	1089	2963	2	1217	1634	2851	912	1019	2860	1216	1367	2583
"RI"	2010	"Scituate"	807	2160	1378	4742	2	1747	2859	4606	1470	1900	4585	1872	2166	4038
"RI"	2010	"Smithfield"	1843	3372	2428	8282	1	3620	4449	8069	3141	2809	7742	3850	3424	7274
"RI"	2010	"South Kingstown"	1510	3426	5270	11060	2	4958	5461	10419	3197	2925	10665	5481	4391	9872
"RI"	2010	"Tiverton"	1264	2256	1805	5692	1	2452	2931	5383	2116	1885	5404	2680	2250	4930
"RI"	2010	"Warren"	961	1296	1325	13891	1	1928	1759	3687	1521	1001	3693	1090	2608	3698
"RI"	2010	"Warwick"	6490	10894	12954	32986	2	14946	16821	31767	12898	9770	31926	16346	12750	29096
"RI"	2010	"West Greenwich"	312	1165	852	2547	2	844	1612	2456	692	1079	2454	930	1215	2145
"RI"	2010	"West Warwick"	2220	3165	2704	8833	2	4229	4361	8590	3485	2454	8623	4579	3171	7750
"RI"	2010	"Westerly"	1950	2711	2627	7807	2	3303	4133	7436	2950	2347	7458	4445	1942	6387
"RI"	2010	"Woonsocket"	2574	3213	2574	8550	1	4224	3896	8120	3838	2133	8227	4971	2451	7422
"RI"	2010															
"RI"	2010															
"RI"	2010															
"RI"	2010	"Source: http://www.ri.gov/election/results/2010/general_election/"														
