state	year	county	precinct	g2004_USP_rv	g2004_USP_dv	g2004_USP_tv	g2004_USS_rv	g2004_USS_dv	g2004_USS_tv
"SC"	2004	"ABBEVILLE"	"ABBEVILLE #3"	282	308	600	256	314	585
"SC"	2004	"ABBEVILLE"	"ABBEVILLE NO. 1"	668	360	1039	622	381	1031
"SC"	2004	"ABBEVILLE"	"ABBEVILLE NO. 2"	352	550	909	337	522	882
"SC"	2004	"ABBEVILLE"	"ABBEVILLE NO. 4"	273	154	434	239	177	425
"SC"	2004	"ABBEVILLE"	"ABSENTEE TOTAL"	799	887	1702	739	916	1686
"SC"	2004	"ABBEVILLE"	"ANTREVILLE"	288	148	441	268	155	434
"SC"	2004	"ABBEVILLE"	"BROADMOUTH"	161	72	235	137	86	229
"SC"	2004	"ABBEVILLE"	"CALHOUN FALLS"	400	676	1087	362	688	1066
"SC"	2004	"ABBEVILLE"	"COLD SPRINGS"	325	116	447	294	140	441
"SC"	2004	"ABBEVILLE"	"CURBSIDE/EMERGENCY"			0			0
"SC"	2004	"ABBEVILLE"	"County Totals"	5436	4389	9925	4954	4592	9743
"SC"	2004	"ABBEVILLE"	"DONALDS"	216	65	282	200	70	274
"SC"	2004	"ABBEVILLE"	"DUE WEST"	444	365	816	391	398	802
"SC"	2004	"ABBEVILLE"	"FAIL SAFE"	17	15	32	16	16	32
"SC"	2004	"ABBEVILLE"	"FAIL SAFE CHALLENGE"	1		1	1		1
"SC"	2004	"ABBEVILLE"	"HALL'S STORE"	255	192	448	233	197	440
"SC"	2004	"ABBEVILLE"	"KEOWEE"	312	166	483	276	192	474
"SC"	2004	"ABBEVILLE"	"LEBANON"	292	145	445	265	160	436
"SC"	2004	"ABBEVILLE"	"LOWNDESVILLE"	351	170	524	318	180	505
"SC"	2004	"ABBEVILLE"	"PROVISIONAL BALLOT"			0			0
"SC"	2004	"AIKEN"	"ABSENTEE TOTAL"	4448	2202	6708	4225	2267	6579
"SC"	2004	"AIKEN"	"AIKEN NO. 1"	563	186	757	511	228	750
"SC"	2004	"AIKEN"	"AIKEN NO. 2"	151	367	525	134	373	517
"SC"	2004	"AIKEN"	"AIKEN NO. 3"	204	471	680	189	455	660
"SC"	2004	"AIKEN"	"AIKEN NO. 4"	34	325	361	28	314	345
"SC"	2004	"AIKEN"	"AIKEN NO. 47"	466	194	670	431	218	659
"SC"	2004	"AIKEN"	"AIKEN NO. 5"	319	371	696	282	388	678
"SC"	2004	"AIKEN"	"AIKEN NO. 6"	607	231	848	554	260	825
"SC"	2004	"AIKEN"	"ANDERSON POND 69"	466	97	566	453	109	565
"SC"	2004	"AIKEN"	"ASCAUGA LAKE 63"	823	315	1148	798	318	1131
"SC"	2004	"AIKEN"	"BATH NO. 7"	224	243	476	208	224	447
"SC"	2004	"AIKEN"	"BEECH ISLAND 8"	342	390	740	324	373	711
"SC"	2004	"AIKEN"	"BELVEDERE NO 44"	495	227	739	461	240	718
"SC"	2004	"AIKEN"	"BELVEDERE NO 62"	337	330	677	324	321	665
"SC"	2004	"AIKEN"	"BELVEDERE NO. 9"	523	318	847	501	311	823
"SC"	2004	"AIKEN"	"BREEZY HILL 50"	550	214	770	504	248	757
"SC"	2004	"AIKEN"	"CAROLINA HTS 10"	181	354	545	164	360	531
"SC"	2004	"AIKEN"	"CEDAR CREEK NO.64"	934	320	1260	868	348	1230
"SC"	2004	"AIKEN"	"CHINA SPRGS 11"	243	484	734	222	472	710
"SC"	2004	"AIKEN"	"CLEARWATER 12"	219	181	403	204	178	391
"SC"	2004	"AIKEN"	"COLLEGE ACRE 13"	700	214	925	649	246	908
"SC"	2004	"AIKEN"	"COUCHTON NO. 56"	498	249	756	470	244	729
"SC"	2004	"AIKEN"	"CURBSIDE/EMERGENCY"	45	7	52	41	9	51
"SC"	2004	"AIKEN"	"County Totals"	39077	19799	59492	36446	20674	58107
"SC"	2004	"AIKEN"	"EUREKA NO. 14"	500	188	690	473	197	678
"SC"	2004	"AIKEN"	"FAIL SAFE"	83	50	134	78	51	133
"SC"	2004	"AIKEN"	"FAIL SAFE CHALLENGE"	137	87	226	136	90	232
"SC"	2004	"AIKEN"	"FOX CREEK NO 58"	938	215	1157	897	228	1135
"SC"	2004	"AIKEN"	"GEM LAKES NO 60"	1343	309	1667	1237	393	1646
"SC"	2004	"AIKEN"	"GLOVERVILLE 15"	337	107	448	318	109	437
"SC"	2004	"AIKEN"	"GRANITEVILLE 16"	400	243	653	369	248	624
"SC"	2004	"AIKEN"	"HAMMOND NO. 48"	652	319	981	614	332	962
"SC"	2004	"AIKEN"	"HITCHCOCK NO.66"	501	166	674	446	209	662
"SC"	2004	"AIKEN"	"HOLLOW CREEK 53"	1084	300	1403	1020	345	1380
"SC"	2004	"AIKEN"	"JACKSON NO. 17"	670	214	900	653	214	882
"SC"	2004	"AIKEN"	"LANGLEY NO. 18"	459	172	641	397	189	606
"SC"	2004	"AIKEN"	"LEVELS NO. 52"	646	351	1010	568	391	982
"SC"	2004	"AIKEN"	"LEVELS NO.72"	312	145	463	290	160	458
"SC"	2004	"AIKEN"	"LYNWOOD NO. 19"	344	135	485	301	146	458
"SC"	2004	"AIKEN"	"MID VALLEY NO.51"	537	131	671	494	157	659
"SC"	2004	"AIKEN"	"MID VALLEY NO.71"	354	150	508	336	161	502
"SC"	2004	"AIKEN"	"MILLBROOK NO 20"	758	301	1068	698	342	1052
"SC"	2004	"AIKEN"	"MISTY LAKES NO 45"	551	274	836	505	293	810
"SC"	2004	"AIKEN"	"MONETTA NO. 21"	322	250	580	310	246	567
"SC"	2004	"AIKEN"	"MONTMORENCI 22"	784	283	1073	725	318	1059
"SC"	2004	"AIKEN"	"N AUGUSTA NO 25"	400	199	606	381	203	588
"SC"	2004	"AIKEN"	"N AUGUSTA NO 26"	681	275	961	643	288	944
"SC"	2004	"AIKEN"	"N AUGUSTA NO 27"	875	132	1020	833	150	999
"SC"	2004	"AIKEN"	"N AUGUSTA NO 28"	619	113	737	601	125	731
"SC"	2004	"AIKEN"	"N AUGUSTA NO 29"	344	176	530	321	183	519
"SC"	2004	"AIKEN"	"N AUGUSTA NO 54"	311	247	560	286	235	538
"SC"	2004	"AIKEN"	"N AUGUSTA NO 55"	483	136	625	456	153	620
"SC"	2004	"AIKEN"	"N AUGUSTA NO.67"	513	101	615	496	105	607
"SC"	2004	"AIKEN"	"N AUGUSTA NO.68"	574	120	697	547	127	681
"SC"	2004	"AIKEN"	"NEW ELLENTON 23"	467	403	884	441	409	867
"SC"	2004	"AIKEN"	"NEW HOLLAND 24"	286	101	388	269	107	380
"SC"	2004	"AIKEN"	"OAK GROVE NO 30"	282	110	395	257	122	386
"SC"	2004	"AIKEN"	"PERRY NO. 31"	249	167	420	217	172	398
"SC"	2004	"AIKEN"	"PINE FOREST 59"	402	128	536	384	119	515
"SC"	2004	"AIKEN"	"PROVISIONAL BALLOT"	28	25	54	30	23	55
"SC"	2004	"AIKEN"	"REDD'S BRANCH 57"	374	144	521	366	142	514
"SC"	2004	"AIKEN"	"SALLEY NO.32"	169	217	393	166	220	387
"SC"	2004	"AIKEN"	"SANDSTONE NO.70"	765	313	1086	711	346	1074
"SC"	2004	"AIKEN"	"SHAWS FORK 33"	251	107	360	220	121	352
"SC"	2004	"AIKEN"	"SHILOH NO. 34"	578	247	838	540	268	833
"SC"	2004	"AIKEN"	"SILVER BLUFF 61"	309	478	797	287	464	774
"SC"	2004	"AIKEN"	"SIX POINTS 35"	546	258	811	482	276	779
"SC"	2004	"AIKEN"	"SIX POINTS 46"	87	546	638	73	511	600
"SC"	2004	"AIKEN"	"SLEEPY HOLLOW 65"	796	208	1011	725	259	1001
"SC"	2004	"AIKEN"	"TABERNACLE 36"	131	160	297	120	149	278
"SC"	2004	"AIKEN"	"TALATHA NO. 37"	439	310	753	409	309	735
"SC"	2004	"AIKEN"	"VAUCLUSE NO. 38"	215	104	325	209	100	313
"SC"	2004	"AIKEN"	"WAGENER NO. 39"	509	434	952	463	454	937
"SC"	2004	"AIKEN"	"WARD NO. 40"	419	279	714	380	279	667
