state	year	county	precinct	g2008_REG_tv	g2008_USS_rv	g2008_USS_dv	g2008_USS_tv	g2008_USP_rv	g2008_USP_dv	g2008_USP_tv	cd	g2008_USH_rv	g2008_USH_dv	g2008_USH_tv	cd2	g2008_USH_rv2	g2008_USH_dv2	g2008_USH_tv2
"SC"	2008	"Abbeville"	"Abbeville  No. 1"	1979	717	282	999	716	293	1015	3	708	296	1004				
"SC"	2008	"Abbeville"	"Abbeville No. 2"	1709	356	366	722	337	401	741	3	344	373	717				
"SC"	2008	"Abbeville"	"Abbeville No. 3"	1189	282	251	534	281	246	540	3	276	247	524				
"SC"	2008	"Abbeville"	"Abbeville No. 4"	752	265	161	426	286	137	430	3	280	144	424				
"SC"	2008	"Abbeville"	"Absentee"	0	1067	1565	2634	1068	1606	2700	3	1077	1551	2629				
"SC"	2008	"Abbeville"	"Antreville"	948	412	175	587	429	160	598	3	418	165	583				
"SC"	2008	"Abbeville"	"Broadmouth"	375	169	79	248	176	72	252	3	159	86	245				
"SC"	2008	"Abbeville"	"Calhoun Falls"	1634	444	579	1023	420	627	1063	3	421	586	1007				
"SC"	2008	"Abbeville"	"Cold Springs"	666	324	107	432	338	94	441	3	330	100	431				
"SC"	2008	"Abbeville"	"Donalds"	440	221	76	299	233	65	304	3	214	86	301				
"SC"	2008	"Abbeville"	"Due West"	1252	500	289	789	478	310	803	3	471	313	784				
"SC"	2008	"Abbeville"	"Emergency"	0	12	7	19	13	6	19	3	10	9	19				
"SC"	2008	"Abbeville"	"Failsafe"	0	35	46	81	32	51	84	3	32	48	80				
"SC"	2008	"Abbeville"	"Failsafe Provisional"	0	26	1	27	27	1	28	3	25	2	27				
"SC"	2008	"Abbeville"	"Halls Store"	579	298	152	450	295	154	454	3	284	163	447				
"SC"	2008	"Abbeville"	"Keowee"	814	398	159	557	424	140	570	3	398	152	550				
"SC"	2008	"Abbeville"	"Lebanon"	668	294	120	415	294	111	410	3	289	117	406				
"SC"	2008	"Abbeville"	"Lowndesville"	883	406	143	549	417	119	549	3	398	145	543				
"SC"	2008	"Abbeville"	"Provisional"	0	0	0	0	0	0	0	3	0	0	0				
"SC"	2008	"Aiken"	"Absentee"	0	7769	5995	13799	7785	6295	14194	3	6636	4864	11507	2	1216	995	2212
"SC"	2008	"Aiken"	"Aiken No. 1"	1214	482	159	642	470	182	656	3	493	152	646				
"SC"	2008	"Aiken"	"Aiken No. 2"	1180	146	369	515	129	397	533	3	140	373	514				
"SC"	2008	"Aiken"	"Aiken No. 3"	1415	143	507	653	119	552	681	3	133	518	652				
"SC"	2008	"Aiken"	"Aiken No. 4"	701	32	296	328	25	312	341	2	26	292	318	3	0	6	6
"SC"	2008	"Aiken"	"Aiken No. 47"	1101	457	160	618	418	197	627	3	441	180	622				
"SC"	2008	"Aiken"	"Aiken No. 5"	1148	287	302	590	264	331	605	2	183	277	460	3	91	40	131
"SC"	2008	"Aiken"	"Aiken No. 6"	1276	550	158	711	502	210	723	3	446	152	598	2	83	22	105
"SC"	2008	"Aiken"	"Anderson Pond 69"	1125	539	123	662	519	141	665	3	541	123	664				
"SC"	2008	"Aiken"	"Ascauga Lake 63"	2101	895	333	1231	888	359	1254	3	882	337	1221				
"SC"	2008	"Aiken"	"Bath No. 7"	775	227	225	453	223	236	469	3	220	229	449				
"SC"	2008	"Aiken"	"Beech Island 8"	1353	375	419	798	360	468	837	3	359	435	794				
"SC"	2008	"Aiken"	"Belvedere No 44"	1203	466	249	715	455	268	729	3	442	259	701				
"SC"	2008	"Aiken"	"Belvedere No. 62"	1076	309	280	592	287	322	613	3	287	306	593				
"SC"	2008	"Aiken"	"Belvedere No. 9"	1580	490	351	841	467	378	848	3	463	373	836				
"SC"	2008	"Aiken"	"Breezy Hill 50"	1324	609	255	867	635	245	887	3	613	246	859				
"SC"	2008	"Aiken"	"Carolina Hts 10"	1002	194	338	532	167	377	554	3	179	357	537				
"SC"	2008	"Aiken"	"Cedar Creek No. 64"	2796	1198	417	1617	1173	487	1670	2	1175	426	1602				
