state	year	county	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USS_dv	g2004_USS_rv	g2004_USS_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"SD"	2004	"Aurora"	"1"	102	218	320	149	175	324	152	171	323
"SD"	2004	"Aurora"	"2"	46	122	168	81	88	169	80	89	169
"SD"	2004	"Aurora"	"3"	158	227	385	234	160	394	239	152	391
"SD"	2004	"Aurora"	"4"	27	62	89	38	49	87	42	42	84
"SD"	2004	"Aurora"	"5"	62	77	139	95	50	145	87	57	144
"SD"	2004	"Aurora"	"6"	56	87	143	63	77	140	72	69	141
"SD"	2004	"Aurora"	"7"	169	216	385	238	153	391	251	133	384
"SD"	2004	"Beadle"	"W1"									
"SD"	2004	"Beadle"	"W1-1(06)"	121	166	287	171	125	296	179	112	291
"SD"	2004	"Beadle"	"W1-2(06)"	202	309	511	298	220	518	307	204	511
"SD"	2004	"Beadle"	"W2"	175	163	338	218	128	346	230	114	344
"SD"	2004	"Beadle"	"W3"	203	313	516	282	244	526	283	239	522
"SD"	2004	"Beadle"	"W4(06)"	177	152	329	227	107	334	219	114	333
"SD"	2004	"Beadle"	"W5(06)"	205	328	533	296	242	538	311	230	541
"SD"	2004	"Beadle"	"W6(06)"	210	275	485	300	200	500	325	171	496
"SD"	2004	"Beadle"	"W7-1"	292	378	670	391	289	680	400	277	677
"SD"	2004	"Beadle"	"W7-2"	298	403	701	385	324	709	386	314	700
"SD"	2004	"Beadle"	"W8-1"	320	477	797	426	387	813	427	386	813
"SD"	2004	"Beadle"	"W8-2"	329	461	790	425	372	797	473	318	791
"SD"	2004	"Beadle"	"W9(06)"	159	226	385	226	175	401	235	161	396
"SD"	2004	"Beadle"	"W10(08)"	85	160	245	145	105	250	413	108	521
"SD"	2004	"Beadle"	"W11(08)"	70	130	200	118	88	206	115	88	203
"SD"	2004	"Beadle"	"W12"	192	199	391	253	148	401	270	128	398
"SD"	2004	"Beadle"	"W13(06)"	45	74	119	61	59	120	58	59	117
"SD"	2004	"Beadle"	"W14(08)"	89	125	214	128	87	215	119	92	211
"SD"	2004	"Beadle"	"W15"	35	191	226	53	178	231	61	170	231
"SD"	2004	"Beadle"	"W16(06)"	71	138	209	97	115	212	92	122	214
"SD"	2004	"Beadle"	"W17"	90	123	213	122	98	220	125	94	219
"SD"	2004	"Beadle"	"W18(08)"	75	126	201	112	93	205	111	93	204
"SD"	2004	"Bennett"	"Allen"	284	101	385	321	96	417	325	79	404
"SD"	2004	"Bennett"	"Martin City"									
"SD"	2004	"Bennett"	"Martin Rural 26"	69	122	191	102	97	199	101	90	191
"SD"	2004	"Bennett"	"Martin Rural 27"	140	160	300	170	141	311	187	119	306
"SD"	2004	"Bennett"	"Tuthill"	13	101	114	18	100	118	26	90	116
"SD"	2004	"Bennett"	"Vetal"	23	51	74	27	51	78	31	43	74
"SD"	2004	"Bennett"	"Ward 1(08)"	88	84	172	108	72	180	103	69	172
"SD"	2004	"Bennett"	"Ward 2(08)"	74	104	178	109	78	187	120	63	183
"SD"	2004	"Bennett"	"Ward 3(08)"	68	110	178	91	94	185	100	85	185
"SD"	2004	"Bon Homme"	"1"	239	449	688	327	388	715	372	332	704
"SD"	2004	"Bon Homme"	"2"	174	406	580	248	356	604	277	320	597
"SD"	2004	"Bon Homme"	"3"	384	451	835	524	355	879	578	288	866
"SD"	2004	"Bon Homme"	"4"	304	264	568	425	174	599	423	164	587
"SD"	2004	"Bon Homme"	"5"	192	493	685	322	405	727	365	351	716
"SD"	2004	"Brookings"	"1-Tompkins Alumni Center"	293	413	706	379	348	727	385	326	711
"SD"	2004	"Brookings"	"2-First Lutheran Church"	502	596	1098	650	470	1120	665	452	1117
"SD"	2004	"Brookings"	"3-City Hall"	568	575	1143	700	482	1182	763	403	1166
