state	year	county	precinct	g2006_USH_dv	g2006_USH_rv	g2006_USH_tv	g2006_GOV_dv	g2006_GOV_rv	g2006_GOV_tv
"SD"	2006	"Aurora"	"1"	198	108	306	81	229	310
"SD"	2006	"Aurora"	"2"	89	67	156	38	114	152
"SD"	2006	"Aurora"	"3"	267	78	345	146	199	345
"SD"	2006	"Aurora"	"4"	51	27	78	28	46	74
"SD"	2006	"Aurora"	"5"	109	22	131	64	67	131
"SD"	2006	"Aurora"	"6"	74	31	105	40	66	106
"SD"	2006	"Aurora"	"7"	261	73	334	154	182	336
"SD"	2006	"Beadle"	"W1"						
"SD"	2006	"Beadle"	"W1-1(06)"	200	65	265	80	191	271
"SD"	2006	"Beadle"	"W1-2(06)"	361	112	473	112	361	473
"SD"	2006	"Beadle"	"W2"	233	65	298	100	198	298
"SD"	2006	"Beadle"	"W3"	320	135	455	137	320	457
"SD"	2006	"Beadle"	"W4(06)"	225	62	287	92	189	281
"SD"	2006	"Beadle"	"W5(06)"	351	125	476	130	345	475
"SD"	2006	"Beadle"	"W6(06)"	301	97	398	136	271	407
"SD"	2006	"Beadle"	"W7-1"	446	156	602	184	424	608
"SD"	2006	"Beadle"	"W7-2"	465	160	625	164	469	633
"SD"	2006	"Beadle"	"W8-1"	522	218	740	217	531	748
"SD"	2006	"Beadle"	"W8-2"	518	157	675	169	514	683
"SD"	2006	"Beadle"	"W9(06)"	240	109	349	84	265	349
"SD"	2006	"Beadle"	"W10(08)"	164	50	214	77	137	214
"SD"	2006	"Beadle"	"W11(08)"	122	47	169	42	127	169
"SD"	2006	"Beadle"	"W12"	289	68	357	104	251	355
"SD"	2006	"Beadle"	"W13(06)"	65	45	110	20	91	111
"SD"	2006	"Beadle"	"W14(08)"	145	56	201	64	139	203
"SD"	2006	"Beadle"	"W15"	82	119	201	24	185	209
"SD"	2006	"Beadle"	"W16(06)"	117	79	196	31	164	195
"SD"	2006	"Beadle"	"W17"	128	67	195	37	179	216
"SD"	2006	"Beadle"	"W18(08)"	141	57	198	51	149	200
"SD"	2006	"Bennett"	"Allen"	198	66	264	120	122	242
"SD"	2006	"Bennett"	"Martin City"						
"SD"	2006	"Bennett"	"Martin Rural 26"	95	51	146	48	96	144
"SD"	2006	"Bennett"	"Martin Rural 27"	137	63	200	59	131	190
"SD"	2006	"Bennett"	"Tuthill"	42	51	93	15	83	98
"SD"	2006	"Bennett"	"Vetal"	46	26	72	22	46	68
"SD"	2006	"Bennett"	"Ward 1(08)"	86	38	124	47	76	123
"SD"	2006	"Bennett"	"Ward 2(08)"	107	28	135	63	67	130
"SD"	2006	"Bennett"	"Ward 3(08)"	100	45	145	48	94	142
"SD"	2006	"Bon Homme"	"1"	477	175	652	191	451	642
"SD"	2006	"Bon Homme"	"2"	322	188	510	172	349	521
"SD"	2006	"Bon Homme"	"3"	642	146	788	258	522	780
"SD"	2006	"Bon Homme"	"4"	452	89	541	181	353	534
"SD"	2006	"Bon Homme"	"5"	464	175	639	196	442	638
"SD"	2006	"Brookings"	"1-Tompkins Alumni Center"				215	364	579
"SD"	2006	"Brookings"	"2-First Lutheran Church"				388	515	903
"SD"	2006	"Brookings"	"3-City Hall"				427	492	919
"SD"	2006	"Brookings"	"4-Ascension Lutheran Church"				632	897	1529
"SD"	2006	"Brookings"	"5-Bethel Baptist Church"				748	1126	1874
"SD"	2006	"Brookings"	"6-United Church of Christ"				470	698	1168
"SD"	2006	"Brookings"	"8-Medary Township"				235	403	638
"SD"	2006	"Brookings"	"9-White Area"				204	426	630
"SD"	2006	"Brookings"	"10-Bruce Area"				137	403	540
"SD"	2006	"Brookings"	"11-Aurora Area"				226	386	612
"SD"	2006	"Brookings"	"12-Sinai Area"				88	177	265
"SD"	2006	"Brookings"	"13-Brookings Township"				84	147	231
"SD"	2006	"Brookings"	"14-Volga Area"				286	700	986
"SD"	2006	"Brookings"	"15-Laketon & Winsor Twps."				73	99	172
"SD"	2006	"Brookings"	"16-Elkton Area"				145	341	486
"SD"	2006	"Brown"	"Alexander Mitchell Library"	999	391	1390	457	918	1375
"SD"	2006	"Brown"	"Avera-Midland Campus"	601	223	824	297	517	814
"SD"	2006	"Brown"	"Claremont Fire Station"	876	361	1237	406	813	1219
"SD"	2006	"Brown"	"Columbia American Legion"	484	185	669	242	423	665
"SD"	2006	"Brown"	"Courthouse Community Rm 4"	416	170	586	213	367	580
"SD"	2006	"Brown"	"Courthouse Community Rm 8"	938	429	1367	414	960	1374
"SD"	2006	"Brown"	"Frederick Community Center"	782	343	1125	339	774	1113
"SD"	2006	"Brown"	"Groton Community Center"	569	160	729	285	438	723
"SD"	2006	"Brown"	"Hecla Community Center"	666	328	994	339	643	982
"SD"	2006	"Brown"	"Hub Area Vocational Ctr"	511	204	715	268	450	718
"SD"	2006	"Brown"	"Northern Electric Coop"	713	251	964	355	602	957
"SD"	2006	"Brown"	"Primrose Gym"	439	203	642	185	447	632
"SD"	2006	"Brown"	"School/Blind & Visually Imp 10"	288	112	400	132	259	391
"SD"	2006	"Brown"	"School/Blind & Visually Imp 16"	200	59	259	107	153	260
"SD"	2006	"Brown"	"Senior Citizens Ctr"	535	257	792	283	503	786
"SD"	2006	"Brown"	"Stratford Community Center"	270	105	375	136	240	376
"SD"	2006	"Brown"	"Super City Plaza 11"	453	102	555	229	311	540
"SD"	2006	"Brown"	"Super City Plaza 7"	197	56	253	104	149	253
"SD"	2006	"Brown"	"Warner Community Center"	769	209	978	311	665	976
"SD"	2006	"Brown"	"Washington St. Gym 1"	166	47	213	80	132	212
"SD"	2006	"Brown"	"Washington St. Gym 2"	277	57	334	142	182	324
"SD"	2006	"Brown"	"Westport Town Hall"	229	54	283	136	146	282
"SD"	2006	"Brule"	"1"	575	185	760	256	498	754
"SD"	2006	"Brule"	"2"	318	115	433	143	288	431
"SD"	2006	"Brule"	"3"	211	82	293	90	203	293
"SD"	2006	"Brule"	"4"	43	17	60	16	44	60
"SD"	2006	"Brule"	"5"	76	26	102	27	79	106
"SD"	2006	"Buffalo"	"Elvira"	95	62	157	43	117	160
"SD"	2006	"Buffalo"	"Pershing"	73	24	97	55	40	95
"SD"	2006	"Buffalo"	"Victory"	336	75	411	262	148	410
"SD"	2006	"Butte"	"Castle Rock Precinct 06"	17	20	37	15	18	33
"SD"	2006	"Butte"	"Fruitdale Precinct 17"	213	138	351	123	228	351
"SD"	2006	"Butte"	"Minnesela Precinct 16"	236	217	453	124	321	445
"SD"	2006	"Butte"	"Newell City Precinct 20"	169	83	252	72	177	249
"SD"	2006	"Butte"	"Nisland Precinct 18"	108	63	171	62	102	164
"SD"	2006	"Butte"	"Orman Precinct 12"	39	30	69	23	47	70
"SD"	2006	"Butte"	"Romans Precinct 11"	28	30	58	13	46	59
"SD"	2006	"Butte"	"Union Precinct 08 (Including: Horsecreek Precinct 13, Newell Independent Precinct 14)"	256	131	387	112	271	383
"SD"	2006	"Butte"	"Ward 1 Precinct 21"	131	59	190	70	117	187
"SD"	2006	"Butte"	"Ward 1 Precinct 22"	147	56	203	75	124	199
"SD"	2006	"Butte"	"Ward 2 Precinct 23"	125	83	208	62	141	203
"SD"	2006	"Butte"	"Ward 2 Precinct 24"	179	80	259	90	167	257
"SD"	2006	"Butte"	"Ward 3 Precinct 25"	51	31	82	25	60	85
"SD"	2006	"Butte"	"Ward 3 Precinct 26"	274	196	470	152	315	467
"SD"	2006	"Butte"	"Ward 4 Precinct 27"	83	60	143	41	102	143
"SD"	2006	"Butte"	"Ward 4 Precinct 28"	257	128	385	122	266	388
"SD"	2006	"Campbell"	"1"	123	74	197	52	145	197
"SD"	2006	"Campbell"	"2"	85	67	152	17	131	148
"SD"	2006	"Campbell"	"3"	79	68	147	22	125	147
"SD"	2006	"Campbell"	"4"	111	36	147	33	114	147
"SD"	2006	"Campbell"	"5"	112	62	174	38	133	171
"SD"	2006	"Charles Mix"	"1"	328	101	429	128	300	428
"SD"	2006	"Charles Mix"	"2"	138	50	188	48	145	193
"SD"	2006	"Charles Mix"	"3"	393	120	513	193	326	519
"SD"	2006	"Charles Mix"	"4"	162	24	186	110	72	182
"SD"	2006	"Charles Mix"	"5"	277	71	348	142	206	348
"SD"	2006	"Charles Mix"	"6"	245	33	278	160	118	278
"SD"	2006	"Charles Mix"	"7"	71	39	110	34	73	107
"SD"	2006	"Charles Mix"	"8"	114	60	174	55	116	171
"SD"	2006	"Charles Mix"	"9"	173	169	342	74	269	343
"SD"	2006	"Charles Mix"	"10"	67	81	148	23	124	147
"SD"	2006	"Charles Mix"	"11"	381	349	730	146	587	733
"SD"	2006	"Charles Mix"	"12"	103	33	136	44	93	137
"SD"	2006	"Charles Mix"	"13"	58	12	70	34	36	70
"SD"	2006	"Clark"	"Ash, Woodland, Garfield"	57	17	74	33	41	74
"SD"	2006	"Clark"	"Blaine, Cottonwood, Sp Val, War"	122	19	141	50	95	145
"SD"	2006	"Clark"	"City of Clark Ward I"	180	45	225	66	158	224
"SD"	2006	"Clark"	"City of Clark Ward II"	117	45	162	65	95	160
"SD"	2006	"Clark"	"City of Clark Ward III, Lincoln"	188	62	250	90	160	250
"SD"	2006	"Clark"	"Elrod, Foxton, Merton, Town of"						
"SD"	2006	"Clark"	"Lake, Washington, Collins"	98	35	133	49	85	134
"SD"	2006	"Clark"	"Mt Pleasant, Day, Darlington"						
"SD"	2006	"Clark"	"Mt Pleasant, Day, Darlington, Elrod, Foxton, Merton, Town of(06)"	202	66	268	102	167	269
"SD"	2006	"Clark"	"Raymond Twp, Logan, Fordham, To"	100	31	131	51	81	132
"SD"	2006	"Clark"	"Richland, Hague, Rosedale"	96	24	120	41	82	123
"SD"	2006	"Clark"	"Thorp, Maydell, Eden, Town of G"	97	33	130	51	80	131
"SD"	2006	"Clark"	"Town of Vienna, Pleasant"	42	60	102	20	85	105
"SD"	2006	"Clark"	"Town of Willow Lake"	100	37	137	35	97	132
"SD"	2006	"Clay"	"Central 1"	232	39	271	185	86	271
"SD"	2006	"Clay"	"Central 2"	311	73	384	233	152	385
"SD"	2006	"Clay"	"Irene City(06)"	54	8	62	33	31	64
"SD"	2006	"Clay"	"Northeast 1"	240	62	302	148	155	303
"SD"	2006	"Clay"	"Northeast 2"	261	61	322	183	136	319
"SD"	2006	"Clay"	"Northwest 1"	420	75	495	272	234	506
"SD"	2006	"Clay"	"Northwest 2"	272	75	347	163	182	345
"SD"	2006	"Clay"	"Rural Ward 1"	280	107	387	156	238	394
"SD"	2006	"Clay"	"Rural Ward 2"	282	54	336	159	180	339
"SD"	2006	"Clay"	"Rural Ward 3"	654	177	831	380	447	827
"SD"	2006	"Clay"	"Southeast 1"	610	131	741	365	375	740
"SD"	2006	"Clay"	"Southeast 2"	563	121	684	345	339	684
"SD"	2006	"Clay"	"Str/Bt Wakond(04)"						
"SD"	2006	"Codington"	"Dexter"	72	16	88	42	43	85
"SD"	2006	"Codington"	"Eden, Phipps, Wallace"	80	30	110	45	68	113
"SD"	2006	"Codington"	"Elmira"	125	48	173	50	123	173
"SD"	2006	"Codington"	"Fuller - Florence"	193	59	252	104	141	245
"SD"	2006	"Codington"	"Germantown"	73	6	79	41	36	77
"SD"	2006	"Codington"	"Graceland, Henry, Henry"	157	58	215	81	130	211
"SD"	2006	"Codington"	"Kampeska Township"	92	38	130	35	95	130
"SD"	2006	"Codington"	"Kranzburg Twp. & Village"	161	90	251	58	199	257
"SD"	2006	"Codington"	"Lake Township"	217	92	309	112	194	306
"SD"	2006	"Codington"	"Leola - South Shore"	116	29	145	72	75	147
"SD"	2006	"Codington"	"Pelican"	178	95	273	74	202	276
"SD"	2006	"Codington"	"Rauville"	99	29	128	51	77	128
"SD"	2006	"Codington"	"Richland"	55	24	79	27	50	77
"SD"	2006	"Codington"	"Sheridan"	130	55	185	60	129	189
"SD"	2006	"Codington"	"Ward A Precinct 1 (Including: Ward A Precinct 4)"	61	250	311	226	650	876
"SD"	2006	"Codington"	"Ward A Precinct 2"	409	142	551	171	390	561
"SD"	2006	"Codington"	"Ward A Precinct 3"	497	184	681	253	422	675
"SD"	2006	"Codington"	"Ward B Precinct 1"	378	155	533	147	389	536
"SD"	2006	"Codington"	"Ward B Precinct 2"	565	244	809	301	514	815
"SD"	2006	"Codington"	"Ward B Precinct 3 (Including: Ward B Precinct 4)"	363	169	532	167	367	534
"SD"	2006	"Codington"	"Ward C Precinct 1"	93	39	132	55	76	131
"SD"	2006	"Codington"	"Ward C Precinct 2"	145	69	214	71	139	210
"SD"	2006	"Codington"	"Ward C Precinct 3"	481	146	627	235	391	626
"SD"	2006	"Codington"	"Ward C Precinct 4"	164	46	210	84	128	212
"SD"	2006	"Codington"	"Ward D Precinct 1"	341	110	451	167	287	454
"SD"	2006	"Codington"	"Ward D Precinct 2"	308	109	417	161	256	417
"SD"	2006	"Codington"	"Ward D Precinct 3"	299	100	399	155	245	400
"SD"	2006	"Codington"	"Ward D Precinct 4"	141	40	181	75	109	184
"SD"	2006	"Codington"	"Ward E Precinct 1"	352	110	462	167	294	461
"SD"	2006	"Codington"	"Ward E Precinct 2"	172	72	244	82	163	245
"SD"	2006	"Codington"	"Ward E Precinct 3"	414	258	672	180	493	673
"SD"	2006	"Codington"	"Ward E Precinct 4"	164	106	270	84	191	275
"SD"	2006	"Codington"	"Waverly"	67	21	88	39	52	91
"SD"	2006	"Corson"	"Archambault Precinct"	20	15	35	18	18	36
"SD"	2006	"Corson"	"Bullhead Precinct"	52	3	55	36	18	54
"SD"	2006	"Corson"	"Butte Precinct"	68	20	88	44	36	80
"SD"	2006	"Corson"	"Cadillac Precinct"	23	25	48	11	36	47
"SD"	2006	"Corson"	"Grand Valley Precinct"	28	42	70	14	47	61
"SD"	2006	"Corson"	"Kenel Precinct"	31	3	34	18	12	30
"SD"	2006	"Corson"	"Liberty Precinct"	19	14	33	4	30	34
"SD"	2006	"Corson"	"Lincoln Precinct"	49	52	101	28	72	100
"SD"	2006	"Corson"	"Little Eagle Precinct"	62	10	72	37	32	69
"SD"	2006	"Corson"	"Little Oak Precinct"	32	24	56	10	47	57
"SD"	2006	"Corson"	"McIntosh Precinct"						
"SD"	2006	"Corson"	"Mission Precinct"	25	0	25	15	8	23
"SD"	2006	"Corson"	"Morristown Precinct"	87	24	111	38	67	105
"SD"	2006	"Corson"	"NcUbtoah Precinct(06)"	62	36	98	27	68	95
"SD"	2006	"Corson"	"Ridgeland Precinct"	32	20	52	11	41	52
"SD"	2006	"Corson"	"South McLaughlin City Precinct"	51	30	81	34	44	78
