state	year	county	precinct	g2010_USS_rv	g2010_USS_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_SOS_dv	g2010_SOS_rv	g2010_SOS_tv	g2010_ATG_dv	g2010_ATG_rv	g2010_ATG_tv
"SD"	2010	"Aurora"	"1"	198	198	105	137	242	98	169	267	85	159	244	75	183	258
"SD"	2010	"Aurora"	"2"	107	107	71	76	147	54	101	155	54	88	142	50	98	148
"SD"	2010	"Aurora"	"3"	192	192	183	125	308	172	154	326	146	151	297	141	176	317
"SD"	2010	"Aurora"	"4"	56	56	37	34	71	34	42	76	27	44	71	20	52	72
"SD"	2010	"Aurora"	"5"	89	89	82	53	135	61	81	142	57	62	119	55	78	133
"SD"	2010	"Aurora"	"6"	72	72	40	49	89	30	66	96	32	52	84	29	61	90
"SD"	2010	"Aurora"	"7"	212	212	189	119	308	143	175	318	136	149	285	118	193	311
"SD"	2010	"Beadle"	"W1"	754	754	535	453	988	455	590	1045	451	475	926	357	682	1039
"SD"	2010	"Beadle"	"W1-1(06)"														
"SD"	2010	"Beadle"	"W1-2(06)"														
"SD"	2010	"Beadle"	"W2"	611	611	499	358	857	467	456	923	471	345	816	364	545	909
"SD"	2010	"Beadle"	"W3"	550	550	419	303	722	354	426	780	364	335	699	252	518	770
"SD"	2010	"Beadle"	"W4(06)"														
"SD"	2010	"Beadle"	"W5(06)"														
"SD"	2010	"Beadle"	"W6(06)"														
"SD"	2010	"Beadle"	"W7-1"	407	407	291	257	548	258	333	591	239	278	517	182	400	582
"SD"	2010	"Beadle"	"W7-2"	567	567	386	350	736	284	489	773	290	415	705	181	577	758
"SD"	2010	"Beadle"	"W8-1"	539	539	390	319	709	310	434	744	298	373	671	204	530	734
"SD"	2010	"Beadle"	"W8-2"	504	504	350	297	647	255	417	672	259	349	608	179	480	659
"SD"	2010	"Beadle"	"W9(06)"														
"SD"	2010	"Beadle"	"W10(08)"														
"SD"	2010	"Beadle"	"W11(08)"														
"SD"	2010	"Beadle"	"W12"	595	595	452	355	807	378	473	851	355	418	773	205	635	840
"SD"	2010	"Beadle"	"W13(06)"														
"SD"	2010	"Beadle"	"W14(08)"														
"SD"	2010	"Beadle"	"W15"	194	194	62	160	222	56	173	229	54	160	214	49	177	226
"SD"	2010	"Beadle"	"W16(06)"														
"SD"	2010	"Beadle"	"W17"	176	176	157	89	246	135	140	275	130	103	233	92	178	270
"SD"	2010	"Beadle"	"W18(08)"														
"SD"	2010	"Bennett"	"Allen"	121	121	155	52	207	121	82	203	119	58	177	129	73	202
"SD"	2010	"Bennett"	"Martin City"	247	247	178	154	332	142	208	350	134	181	315	124	222	346
"SD"	2010	"Bennett"	"Martin Rural 26"	90	90	60	65	125	48	81	129	41	71	112	38	89	127
"SD"	2010	"Bennett"	"Martin Rural 27"	135	135	77	113	190	76	120	196	57	108	165	51	138	189
"SD"	2010	"Bennett"	"Tuthill"	80	80	14	70	84	13	76	89	15	65	80	9	77	86
"SD"	2010	"Bennett"	"Vetal"	55	55	18	45	63	15	52	67	13	40	53	10	50	60
"SD"	2010	"Bennett"	"Ward 1(08)"														
"SD"	2010	"Bennett"	"Ward 2(08)"														
"SD"	2010	"Bennett"	"Ward 3(08)"														
"SD"	2010	"Bon Homme"	"1"	434	434	238	299	537	220	370	590	214	313	527	180	384	564
"SD"	2010	"Bon Homme"	"2"	338	338	192	231	423	185	273	458	155	269	424	132	306	438
"SD"	2010	"Bon Homme"	"3"	441	441	373	249	622	354	317	671	314	294	608	293	347	640
"SD"	2010	"Bon Homme"	"4"	285	285	293	155	448	263	221	484	275	152	427	238	206	444
"SD"	2010	"Bon Homme"	"5"	467	467	238	331	569	235	372	607	208	339	547	187	399	586
