state	year	county	precinct	vtd	ld	g2002_STH_tv	g2002_STH_dv	g2002_STH_rv	ld2	g2002_STH_dv2	g2002_STH_rv2	g2002_STH_tv2	ld3	g2002_STH_dv3	g2002_STH_rv3	g2002_STH_tv3	ld4	g2002_STH_dv4	g2002_STH_rv4	g2002_STH_tv4	ld5	g2002_STH_dv5	g2002_STH_rv5	g2002_STH_tv5	ld6	g2002_STH_dv6	g2002_STH_rv6	g2002_STH_tv6	ld7	g2002_STH_dv7	g2002_STH_rv7	g2002_STH_tv7	ld8	g2002_STH_dv8	g2002_STH_rv8	g2002_STH_tv8	ld9	g2002_STH_dv9	g2002_STH_rv9	g2002_STH_tv9	ld10	g2002_STH_dv10	g2002_STH_rv10	g2002_STH_tv10	ld11	g2002_STH_dv11	g2002_STH_rv11	g2002_STH_tv11	ld12	g2002_STH_dv12	g2002_STH_rv12	g2002_STH_tv12	ld13	g2002_STH_dv13	g2002_STH_rv13	g2002_STH_tv13	ld14	g2002_STH_dv14	g2002_STH_rv14	g2002_STH_tv14	ld15	g2002_STH_dv15	g2002_STH_rv15	g2002_STH_tv15	ld16	g2002_STH_dv16	g2002_STH_rv16	g2002_STH_tv16	sd	g2002_STS_tv	g2002_STS_dv	g2002_STS_rv	sd2	g2002_STS_dv2	g2002_STS_rv2	g2002_STS_tv2	sd3	g2002_STS_dv3	g2002_STS_rv3	g2002_STS_tv3	cd	g2002_USH_tv	g2002_USH_dv	g2002_USH_rv	cd2	g2002_USH_dv2	g2002_USH_rv2	g2002_USH_tv2	cd3	g2002_USH_dv3	g2002_USH_rv3	g2002_USH_tv3	g2002_USS_dv	g2002_USS_rv	g2002_USS_tv	g2002_GOV_dv	g2002_GOV_rv	g2002_GOV_tv
"TN"	2002	"ANDERSON"	"Andersonville"	8	38	322	320																																																														5	457	164	293									3	457.0	126.0	314.0									191	289	485.0	214	263	483.0
"TN"	2002	"ANDERSON"	"Block House Valley"	10	33	146	77	69																																																													5	137	47	90									3	150.0	32.0	116.0									60	90	155.0	77	72	152.0
"TN"	2002	"ANDERSON"	"Briceville"	12	38	161	161																																																														5	209	115	94									3	212.0	94.0	114.0									134	94	235.0	156	80	237.0
"TN"	2002	"ANDERSON"	"Claxton"	24	33	1238	572	666																																																													5	1199	437	762									3	1210.0	364.0	818.0									525	707	1258.0	630	601	1248.0
"TN"	2002	"ANDERSON"	"Clinch Valley"	52	33	402	187	215																																																													5	393	133	260									3	398.0	116.0	277.0									158	244	407.0	205	201	410.0
"TN"	2002	"ANDERSON"	"Clinton"	28	33	708	323	385																																																													5	693	220	473									3	711.0	198.0	505.0									275	450	736.0	388	344	741.0
"TN"	2002	"ANDERSON"	"Clinton High"	32	33	377	189	188																																																													5	371	135	236									3	366.0	101.0	259.0									133	246	384.0	202	171	380.0
"TN"	2002	"ANDERSON"	"Clinton Middle Sch"	36	33	268	119	149																																																													5	255	92	163									3	262.0	86.0	170.0									107	166	278.0	136	143	284.0
"TN"	2002	"ANDERSON"	"Dutch Valley"	40	33	424	256	168																																																													5	407	156	251									3	415.0	118.0	286.0									160	256	424.0	187	237	430.0
"TN"	2002	"ANDERSON"	"Emory Valley"	44	33	808	391	417																																																													5	820	227	593									3	827.0	210.0	611.0									319	513	838.0	465	364	837.0
"TN"	2002	"ANDERSON"	"Fairview"	48	33	482	215	267																																																													5	466	175	291									3	482.0	155.0	311.0									215	274	503.0	253	228	498.0
"TN"	2002	"ANDERSON"	"Glen Alpine"	112	33	227	108	119																																																													5	220	100	120									3	222.0	83.0	139.0									100	130	230.0	130	103	235.0
"TN"	2002	"ANDERSON"	"Glenwood"	56	33	777	415	362																																																													5	766	291	475									3	776.0	274.0	486.0									359	415	792.0	460	315	788.0
"TN"	2002	"ANDERSON"	"Hendrix Creek"	114	33	612	278	334																																																													5	619	180	439									3	631.0	152.0	475.0									229	404	635.0	363	259	631.0
"TN"	2002	"ANDERSON"	"Highland View"	60	33	480	264	216																																																													5	475	212	263									3	484.0	204.0	270.0									240	248	500.0	310	178	500.0
"TN"	2002	"ANDERSON"	"Lake City"	64	38	211	211																																																														5	295	133	162									3	298.0	111.0	182.0									164	152	327.0	198	129	334.0
