state	year	county	precinct	g2004_USP_tv	g2004_USP_dv	g2004_USP_rv	ld	g2004_STH_tv	g2004_STH_dv	g2004_STH_rv	ld10	g2004_STH_tv10	g2004_STH_dv10	g2004_STH_rv10	ld11	g2004_STH_tv11	g2004_STH_dv11	g2004_STH_rv11	ld12	g2004_STH_tv12	g2004_STH_dv12	g2004_STH_rv12	ld13	g2004_STH_tv13	g2004_STH_dv13	g2004_STH_rv13	ld14	g2004_STH_tv14	g2004_STH_dv14	g2004_STH_rv14	ld15	g2004_STH_tv15	g2004_STH_dv15	g2004_STH_rv15	ld16	g2004_STH_tv16	g2004_STH_dv16	g2004_STH_rv16	ld2	g2004_STH_tv2	g2004_STH_dv2	g2004_STH_rv2	ld3	g2004_STH_tv3	g2004_STH_dv3	g2004_STH_rv3	ld4	g2004_STH_tv4	g2004_STH_dv4	g2004_STH_rv4	ld5	g2004_STH_tv5	g2004_STH_dv5	g2004_STH_rv5	ld6	g2004_STH_tv6	g2004_STH_dv6	g2004_STH_rv6	ld7	g2004_STH_tv7	g2004_STH_dv7	g2004_STH_rv7	ld8	g2004_STH_tv8	g2004_STH_dv8	g2004_STH_rv8	ld9	g2004_STH_tv9	g2004_STH_dv9	g2004_STH_rv9	sd	g2004_STS_tv	g2004_STS_dv	g2004_STS_rv	sd2	g2004_STS_tv2	g2004_STS_dv2	g2004_STS_rv2	sd3	g2004_STS_tv3	g2004_STS_dv3	g2004_STS_rv3	cd	g2004_USH_tv	g2004_USH_dv	g2004_USH_rv	cd2	g2004_USH_tv2	g2004_USH_dv2	g2004_USH_rv2	cd3	g2004_USH_tv3	g2004_USH_dv3	g2004_USH_rv3
"TN"	2004	"ANDERSON"	"Andersonville"	729.0	223.0	506.0	38	476	476																																																																										3	653.0	158.0	476.0								
"TN"	2004	"ANDERSON"	"Block House Valley"	203.0	72.0	130.0	33	151	151																																																																										3	186.0	35.0	143.0								
"TN"	2004	"ANDERSON"	"Briceville"	310.0	127.0	179.0	38	189	189																																																																										3	278.0	83.0	187.0								
"TN"	2004	"ANDERSON"	"Claxton"	1472.0	536.0	923.0	33	1119	1119																																																																										3	1330.0	317.0	951.0								
"TN"	2004	"ANDERSON"	"Clinch Valley"	557.0	154.0	398.0	33	399	399																																																																										3	528.0	94.0	416.0								
"TN"	2004	"ANDERSON"	"Clinton"	772.0	300.0	462.0	33	575	575																																																																										3	719.0	131.0	565.0								
"TN"	2004	"ANDERSON"	"Clinton High"	421.0	152.0	264.0	33	316	316																																																																										3	392.0	93.0	282.0								
"TN"	2004	"ANDERSON"	"Clinton Middle Sch"	336.0	117.0	217.0	33	250	250																																																																										3	307.0	68.0	229.0								
"TN"	2004	"ANDERSON"	"Dutch Valley"	488.0	156.0	328.0	33	377	377																																																																										3	445.0	83.0	340.0								
"TN"	2004	"ANDERSON"	"Emory Valley"	633.0	296.0	330.0	33	507	507																																																																										3	614.0	152.0	450.0								
"TN"	2004	"ANDERSON"	"Fairview"	683.0	236.0	434.0	33	502	502																																																																										3	629.0	144.0	456.0								
"TN"	2004	"ANDERSON"	"Glen Alpine"	284.0	118.0	166.0	33	213	213																																																																										3	264.0	84.0	177.0								
"TN"	2004	"ANDERSON"	"Glenwood"	815.0	363.0	439.0	33	640	640																																																																										3	777.0	214.0	530.0								
