state	year	county	precinct_code	precinct	g2010_GOV_rv	g2010_GOV_dv	g2010_GOV_tv	cd	g2010_USH_rv	g2010_USH_dv	g2010_USH_tv	cd2	g2010_USH_dv2	g2010_USH_rv2	g2010_USH_tv2	sd	g2010_STS_dv	g2010_STS_tv	g2010_STS_rv	sd2	g2010_STS_dv2	g2010_STS_rv2	g2010_STS_tv2	sd3	g2010_STS_dv3	g2010_STS_rv3	g2010_STS_tv3	ld	g2010_STH_rv	g2010_STH_tv	g2010_STH_dv	ld2	g2010_STH_dv2	g2010_STH_rv2	g2010_STH_tv2	ld3	g2010_STH_dv3	g2010_STH_rv3	g2010_STH_tv3	ld4	g2010_STH_dv4	g2010_STH_rv4	g2010_STH_tv4	ld5	g2010_STH_dv5	g2010_STH_rv5	g2010_STH_tv5	ld6	g2010_STH_dv6	g2010_STH_rv6	g2010_STH_tv6	ld7	g2010_STH_dv7	g2010_STH_rv7	g2010_STH_tv7	ld8	g2010_STH_dv8	g2010_STH_rv8	g2010_STH_tv8	ld9	g2010_STH_dv9	g2010_STH_rv9	g2010_STH_tv9	ld10	g2010_STH_dv10	g2010_STH_rv10	g2010_STH_tv10
"TN"	2010	"ANDERSON"	1	"Andersonville"	717	164	907	3	519	141	880					5		742	742									38	645	871	226																																				
"TN"	2010	"ANDERSON"	2	"Briceville"	101	67	173	3	79	57	152					5		118	118									38	89	163	74																																				
"TN"	2010	"ANDERSON"	3	"Blockhouse Valley"	187	25	216	3	142	35	203					5		180	180									33	143	208	65																																				
"TN"	2010	"ANDERSON"	4	"Clinton"	1099	308	1438	3	846	334	1337					5		1130	1130									33	710	1400	690																																				
"TN"	2010	"ANDERSON"	5	"Clinton High"	549	146	707	3	437	160	664					5		567	567									33	378	692	314																																				
"TN"	2010	"ANDERSON"	6	"Claxton"	1327	342	1714	3	1086	343	1636					5		1421	1421									33	1029	1686	657																																				
"TN"	2010	"ANDERSON"	7	"Clinton Middle"	271	84	364	3	236	78	347					5		283	283									33	209	356	147																																				
"TN"	2010	"ANDERSON"	8	"Clinch Valley"	619	166	810	3	468	165	787					5		671	671									33	502	796	294																																				
"TN"	2010	"ANDERSON"	9	"Dutch Valley"	415	109	548	3	331	119	510					5		434	434									33	293	544	251																																				
"TN"	2010	"ANDERSON"	10	"Emory Valley"	966	351	1331	3	716	470	1290					5		1103	1103									33	683	1308	625																																				
"TN"	2010	"ANDERSON"	11	"Fairview"	477	137	639	3	383	122	593					5		507	507									33	373	624	251																																				
"TN"	2010	"ANDERSON"	12	"Glen Alpine"	245	72	324	3	176	79	305					5		251	251									33	187	315	128																																				
"TN"	2010	"ANDERSON"	13	"Glenwood"	640	277	952	3	497	320	920					5		737	737									33	497	927	430																																				
"TN"	2010	"ANDERSON"	14	"Hendrix Creek"	822	276	1113	3	610	379	1077					5		923	923									33	589	1071	482																																				
"TN"	2010	"ANDERSON"	15	"Highland View"	309	189	515	3	227	205	499					5		380	380									33	243	502	259																																				
"TN"	2010	"ANDERSON"	16	"Lake City"	179	76	267	3	120	80	223					5		178	178									38	121	245	124																																				
"TN"	2010	"ANDERSON"	17	"Lake City Middle"	593	149	758	3	498	143	712					5		609	609									38	498	718	220																																				
"TN"	2010	"ANDERSON"	18	"Marlow"	309	69	393	3	251	77	377					5		302	302									33	231	389	158																																				
"TN"	2010	"ANDERSON"	19	"North Clinton"	371	115	496	3	294	116	466					5		384	384									33	272	480	208																																				
"TN"	2010	"ANDERSON"	20	"Norris"	466	187	679	3	200	226	649					5		511	511									33	288	644	356																																				
"TN"	2010	"ANDERSON"	21	"Norwood"	366	113	490	3	304	131	472					5		405	405									38	323	468	145																																				
"TN"	2010	"ANDERSON"	22	"Oak Ridge City Hall"	310	205	525	3	206	241	493					5		359	359									33	216	505	289																																				
"TN"	2010	"ANDERSON"	23	"Pine Valley"	618	301	949	3	463	356	910					5		730	730									33	463	923	460																																				
"TN"	2010	"ANDERSON"	24	"Robertsville"	303	170	494	3	226	190	469					5		366	366									33	250	482	232																																				
"TN"	2010	"ANDERSON"	25	"Rosedale"	48	35	89	3	33	24	84					5		56	56									38	64	86	22																																				
"TN"	2010	"ANDERSON"	26	"South Clinton"	477	121	607	3	391	121	571					5		482	482									33	332	589	257																																				
"TN"	2010	"ANDERSON"	27	"Tri-County"	220	57	287	3	180	63	276					5		232	232									38	204	268	64																																				
"TN"	2010	"ANDERSON"	28	"Woodland"	275	167	454	3	182	191	436					5		325	325									33	192	432	240																																				
"TN"	2010	"ANDERSON"	29	"West Hills"	659	307	986	3	480	369	956					5		770	770									33	489	966	477																																				
"TN"	2010	"BEDFORD"	1	"1-1 Wartrace"	660	259	949	6	634	224	895																	62	669	928	259																																				
"TN"	2010	"BEDFORD"	2	"1-2 Bell Buckle"	430	126	568	6	400	117	552																	62	409	568	159																																				
"TN"	2010	"BEDFORD"	3	"2-2 Longview"	266	77	349	6	268	53	330																	62	276	344	68																																				
"TN"	2010	"BEDFORD"	4	"2-3 Airport"	632	179	832	6	604	147	792																	62	641	821	180																																				
"TN"	2010	"BEDFORD"	5	"3-1 Rover"	302	105	409	6	291	82	382																	62	315	399	84																																				
"TN"	2010	"BEDFORD"	6	"3-3 Unionville"	275	95	378	6	267	86	368																	62	276	375	99																																				
"TN"	2010	"BEDFORD"	7	"3-4 Halls Mill"	223	105	332	6	213	85	315																	62	227	326	99																																				
"TN"	2010	"BEDFORD"	8	"4-2 Liberty"	323	91	416	6	312	81	401																	62	329	413	84																																				
"TN"	2010	"BEDFORD"	9	"4-3 Bedford"	300	127	434	6	283	106	412																	62	313	427	114																																				
"TN"	2010	"BEDFORD"	10	"4-4 Wheel"	215	87	312	6	203	72	298																	62	226	304	78																																				
