state	year	county	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv
"UT"	2008	"Beaver"	"Beaver 1"	102	484	593
"UT"	2008	"Beaver"	"Beaver 2"	67	366	453
"UT"	2008	"Beaver"	"Beaver 3"	77	360	451
"UT"	2008	"Beaver"	"Greenville"	21	73	98
"UT"	2008	"Beaver"	"Milford 1"	70	100	178
"UT"	2008	"Beaver"	"Milford 2"	149	219	384
"UT"	2008	"Beaver"	"Minersville"	56	300	368
"UT"	2008	"Box Elder"	"Bear River"	70	369	447
"UT"	2008	"Box Elder"	"Bear River East"	19	174	202
"UT"	2008	"Box Elder"	"Beaver Dam/Collinston"	13	117	133
"UT"	2008	"Box Elder"	"Beaver Dam/Collinston SSD"	13	49	64
"UT"	2008	"Box Elder"	"Brigham City 01"	166	519	716
"UT"	2008	"Box Elder"	"Brigham City 02"	85	332	433
"UT"	2008	"Box Elder"	"Brigham City 03"	124	349	502
"UT"	2008	"Box Elder"	"Brigham City 04"	118	280	420
"UT"	2008	"Box Elder"	"Brigham City 05"	101	253	362
"UT"	2008	"Box Elder"	"Brigham City 06"	73	416	503
"UT"	2008	"Box Elder"	"Brigham City 07"	99	389	504
"UT"	2008	"Box Elder"	"Brigham City 08"	97	278	386
"UT"	2008	"Box Elder"	"Brigham City 09"	95	436	552
"UT"	2008	"Box Elder"	"Brigham City 10"	105	433	552
"UT"	2008	"Box Elder"	"Brigham City 11"	117	382	519
"UT"	2008	"Box Elder"	"Brigham City 12"	121	491	645
"UT"	2008	"Box Elder"	"Brigham City 13"	77	309	398
"UT"	2008	"Box Elder"	"Brigham City 14"	103	275	387
"UT"	2008	"Box Elder"	"Brigham City Northwest"	7	20	32
"UT"	2008	"Box Elder"	"Brigham City NW SSD"	17	68	95
"UT"	2008	"Box Elder"	"Clear Creek"	2	15	17
"UT"	2008	"Box Elder"	"Corinne 1 SSD"	77	355	441
"UT"	2008	"Box Elder"	"Corinne 2 SSD"	13	83	98
"UT"	2008	"Box Elder"	"Dewyville"	0	7	7
"UT"	2008	"Box Elder"	"Dewyville SSD"	26	217	250
"UT"	2008	"Box Elder"	"Elwood"	16	81	98
"UT"	2008	"Box Elder"	"Elwood SSD"	55	402	479
"UT"	2008	"Box Elder"	"Fielding 01"	21	186	212
"UT"	2008	"Box Elder"	"Fielding 02"	19	172	192
"UT"	2008	"Box Elder"	"Garland 01"	75	350	441
"UT"	2008	"Box Elder"	"Garland 02"	77	387	490
"UT"	2008	"Box Elder"	"Garland East"	9	95	106
"UT"	2008	"Box Elder"	"Grouse Creek"	0	47	49
"UT"	2008	"Box Elder"	"Honeyville"	6	59	67
"UT"	2008	"Box Elder"	"Honeyville SSD"	102	409	537
"UT"	2008	"Box Elder"	"Howell"	21	99	127
"UT"	2008	"Box Elder"	"Mantua"	59	325	399
"UT"	2008	"Box Elder"	"Park Valley"	2	76	81
"UT"	2008	"Box Elder"	"Perry 01"	131	643	797
"UT"	2008	"Box Elder"	"Perry 02"	181	868	1090
"UT"	2008	"Box Elder"	"Plymouth"	30	136	173
"UT"	2008	"Box Elder"	"Portage"	15	99	116
"UT"	2008	"Box Elder"	"Promontory"	1	28	30
"UT"	2008	"Box Elder"	"Riverside"	37	360	408
"UT"	2008	"Box Elder"	"Snowville"	5	95	101
"UT"	2008	"Box Elder"	"South Willard"	85	324	429
"UT"	2008	"Box Elder"	"Tremonton 01"	66	476	563
"UT"	2008	"Box Elder"	"Tremonton 02"	97	430	537
"UT"	2008	"Box Elder"	"Tremonton 03"	101	557	682
"UT"	2008	"Box Elder"	"Tremonton 03 SSD"	19	84	106
"UT"	2008	"Box Elder"	"Tremonton 04"	96	613	732
"UT"	2008	"Box Elder"	"Tremonton West"	82	552	658
"UT"	2008	"Box Elder"	"Willard"	163	631	822
"UT"	2008	"Box Elder"	"Yost"	2	28	30
"UT"	2008	"Cache"	"Ama"	33	159	216
"UT"	2008	"Cache"	"Ben"	63	212	290
"UT"	2008	"Cache"	"C/Y"	56	342	429
"UT"	2008	"Cache"	"Clk"	49	253	318
"UT"	2008	"Cache"	"Cor"	12	92	115
"UT"	2008	"Cache"	"Cov"	38	167	226
"UT"	2008	"Cache"	"Hyd01"	189	722	960
"UT"	2008	"Cache"	"Hyd02"	148	563	751
"UT"	2008	"Cache"	"Hym01"	134	413	578
"UT"	2008	"Cache"	"Hym02"	52	215	288
"UT"	2008	"Cache"	"Hym03"	99	479	611
"UT"	2008	"Cache"	"Hym04"	112	505	651
"UT"	2008	"Cache"	"Hym05"	75	288	389
"UT"	2008	"Cache"	"Lew01"	57	391	473
"UT"	2008	"Cache"	"Lew02"	21	206	240
"UT"	2008	"Cache"	"Log01"	100	132	250
"UT"	2008	"Cache"	"Log02"	73	143	238
"UT"	2008	"Cache"	"Log03"	212	359	610
"UT"	2008	"Cache"	"Log04"	140	283	461
"UT"	2008	"Cache"	"Log05"	77	99	188
"UT"	2008	"Cache"	"Log06"	112	178	305
"UT"	2008	"Cache"	"Log07"	148	145	317
"UT"	2008	"Cache"	"Log08"	128	152	298
"UT"	2008	"Cache"	"Log09"	154	239	416
"UT"	2008	"Cache"	"Log10"	166	211	411
"UT"	2008	"Cache"	"Log11"	121	223	371
"UT"	2008	"Cache"	"Log12"	310	479	830
"UT"	2008	"Cache"	"Log13"	200	300	533
"UT"	2008	"Cache"	"Log14"	220	236	501
"UT"	2008	"Cache"	"Log15"	154	351	546
"UT"	2008	"Cache"	"Log16"	167	254	460
"UT"	2008	"Cache"	"Log17"	196	392	632
"UT"	2008	"Cache"	"Log18"	199	660	909
"UT"	2008	"Cache"	"Log19"	125	255	393
"UT"	2008	"Cache"	"Log20"	266	562	875
"UT"	2008	"Cache"	"Log21"	208	203	427
"UT"	2008	"Cache"	"Log22"	245	502	780
"UT"	2008	"Cache"	"Log23"	173	372	596
"UT"	2008	"Cache"	"Log24"	120	172	313
"UT"	2008	"Cache"	"Log25"	128	322	477
"UT"	2008	"Cache"	"Log26"	141	294	454
"UT"	2008	"Cache"	"Log27"	196	343	580
"UT"	2008	"Cache"	"Log28"	71	175	267
"UT"	2008	"Cache"	"Log29"	189	449	673
"UT"	2008	"Cache"	"Log30"	161	293	490
"UT"	2008	"Cache"	"Log31"	175	483	704
"UT"	2008	"Cache"	"Log32"	97	241	361
"UT"	2008	"Cache"	"Log33"	322	706	1094
"UT"	2008	"Cache"	"Men01"	89	363	476
"UT"	2008	"Cache"	"Men02"	102	345	471
"UT"	2008	"Cache"	"Mil01"	85	330	437
"UT"	2008	"Cache"	"Mil02"	56	260	340
"UT"	2008	"Cache"	"New"	50	372	440
"UT"	2008	"Cache"	"Nib01"	109	568	742
"UT"	2008	"Cache"	"Nib02"	179	740	966
"UT"	2008	"Cache"	"Nlg01"	139	376	537
"UT"	2008	"Cache"	"Nlg02"	129	363	524
"UT"	2008	"Cache"	"Nlg03"	107	346	487
"UT"	2008	"Cache"	"Nlg04"	113	401	557
"UT"	2008	"Cache"	"Nlg05"	156	505	701
"UT"	2008	"Cache"	"Nlg06"	167	307	530
"UT"	2008	"Cache"	"Par"	123	602	769
"UT"	2008	"Cache"	"Pro01"	132	420	585
"UT"	2008	"Cache"	"Pro02"	207	666	911
"UT"	2008	"Cache"	"Pro03"	122	431	580
"UT"	2008	"Cache"	"Pro04"	154	518	735
"UT"	2008	"Cache"	"Pro05"	84	311	410
"UT"	2008	"Cache"	"Rch01"	105	378	501
"UT"	2008	"Cache"	"Rch02"	78	397	508
"UT"	2008	"Cache"	"Rvh01"	85	226	333
"UT"	2008	"Cache"	"Rvh02"	124	329	481
"UT"	2008	"Cache"	"Smi01"	56	373	451
"UT"	2008	"Cache"	"Smi02"	140	467	638
"UT"	2008	"Cache"	"Smi03"	111	458	595
"UT"	2008	"Cache"	"Smi04"	107	408	542
"UT"	2008	"Cache"	"Smi05"	86	297	401
"UT"	2008	"Cache"	"Smi06"	84	429	548
"UT"	2008	"Cache"	"Smi07"	119	463	602
"UT"	2008	"Cache"	"Tre"	39	175	229
"UT"	2008	"Cache"	"Wel01"	39	237	289
"UT"	2008	"Cache"	"Wel02"	65	387	475
"UT"	2008	"Cache"	"Wel03"	46	274	344
"UT"	2008	"Cache"	"Wel04"	75	390	492
"UT"	2008	"Carbon"	"Carbonville"	203	286	511
"UT"	2008	"Carbon"	"Castle Heights"	163	265	449
"UT"	2008	"Carbon"	"Castle Heights North"	208	332	560
"UT"	2008	"Carbon"	"Central Price"	209	169	392
"UT"	2008	"Carbon"	"East Carbon North"	138	82	222
"UT"	2008	"Carbon"	"East Carbon South"	146	89	242
"UT"	2008	"Carbon"	"East County"	128	286	426
"UT"	2008	"Carbon"	"East Helper"	228	138	372
"UT"	2008	"Carbon"	"East Price"	204	194	416
"UT"	2008	"Carbon"	"Fairgrounds"	63	83	150
"UT"	2008	"Carbon"	"Indian Hills"	76	56	137
"UT"	2008	"Carbon"	"Miller Creek Special"	45	101	151
"UT"	2008	"Carbon"	"North Price"	144	221	381
"UT"	2008	"Carbon"	"Northeast Price"	148	199	366
"UT"	2008	"Carbon"	"Scofield"	16	14	32
"UT"	2008	"Carbon"	"South County"	158	250	423
"UT"	2008	"Carbon"	"South Price"	178	170	357
"UT"	2008	"Carbon"	"Spring Glen"	269	303	601
"UT"	2008	"Carbon"	"Sunnyside"	80	56	136
"UT"	2008	"Carbon"	"Wellington North"	118	148	270
"UT"	2008	"Carbon"	"Wellington South"	121	179	308
"UT"	2008	"Carbon"	"West Helper"	282	171	463
"UT"	2008	"Carbon"	"Westwood"	143	298	457
"UT"	2008	"Daggett"	"1001"	37	71	116
"UT"	2008	"Daggett"	"1002"	93	220	328
"UT"	2008	"Daggett"	"1003"	1	6	7
"UT"	2008	"Davis"	"Bountiful 1 "	219	429	675
"UT"	2008	"Davis"	"Bountiful 10 "	156	489	683
"UT"	2008	"Davis"	"Bountiful 11 "	125	413	569
"UT"	2008	"Davis"	"Bountiful 12 "	201	508	745
"UT"	2008	"Davis"	"Bountiful 13 "	157	355	546
"UT"	2008	"Davis"	"Bountiful 14 "	135	266	424
"UT"	2008	"Davis"	"Bountiful 15 "	135	289	456
"UT"	2008	"Davis"	"Bountiful 16 "	150	489	665
"UT"	2008	"Davis"	"Bountiful 17 "	199	611	842
"UT"	2008	"Davis"	"Bountiful 18 "	211	453	688
"UT"	2008	"Davis"	"Bountiful 19 "	210	515	760
"UT"	2008	"Davis"	"Bountiful 2 "	174	325	526
"UT"	2008	"Davis"	"Bountiful 20 "	165	364	550
"UT"	2008	"Davis"	"Bountiful 21 "	211	459	691
"UT"	2008	"Davis"	"Bountiful 22 "	217	420	673
"UT"	2008	"Davis"	"Bountiful 23 "	159	342	525
"UT"	2008	"Davis"	"Bountiful 24 "	155	348	531
"UT"	2008	"Davis"	"Bountiful 25 "	194	408	640
"UT"	2008	"Davis"	"Bountiful 26 "	248	482	777
"UT"	2008	"Davis"	"Bountiful 27 "	200	470	702
"UT"	2008	"Davis"	"Bountiful 28 "	200	421	658
"UT"	2008	"Davis"	"Bountiful 29 "	233	553	815
"UT"	2008	"Davis"	"Bountiful 3 "	251	609	897
"UT"	2008	"Davis"	"Bountiful 30 "	215	555	791
"UT"	2008	"Davis"	"Bountiful 4 "	179	446	662
"UT"	2008	"Davis"	"Bountiful 5 "	195	615	857
"UT"	2008	"Davis"	"Bountiful 6 "	220	409	664
"UT"	2008	"Davis"	"Bountiful 7 "	168	322	530
"UT"	2008	"Davis"	"Bountiful 8 "	225	486	758
"UT"	2008	"Davis"	"Bountiful 9 "	181	566	776
"UT"	2008	"Davis"	"Centerville 1 "	224	515	776
"UT"	2008	"Davis"	"Centerville 10 "	159	521	706
"UT"	2008	"Davis"	"Centerville 11 "	147	320	491
"UT"	2008	"Davis"	"Centerville 2 "	158	587	784
"UT"	2008	"Davis"	"Centerville 3 "	196	599	826
"UT"	2008	"Davis"	"Centerville 4 "	229	669	938
"UT"	2008	"Davis"	"Centerville 5 "	86	384	503
"UT"	2008	"Davis"	"Centerville 6 "	232	435	690
"UT"	2008	"Davis"	"Centerville 7 "	155	502	687
"UT"	2008	"Davis"	"Centerville 8 "	132	417	570
"UT"	2008	"Davis"	"Centerville 9 "	144	434	598
"UT"	2008	"Davis"	"Clearfield 1 "	166	263	453
"UT"	2008	"Davis"	"Clearfield 10 "	117	170	306
"UT"	2008	"Davis"	"Clearfield 11 "	151	288	470
"UT"	2008	"Davis"	"Clearfield 12 "	185	319	523
"UT"	2008	"Davis"	"Clearfield 13 "	101	137	250
"UT"	2008	"Davis"	"Clearfield 14 "	175	237	433
"UT"	2008	"Davis"	"Clearfield 2 "	153	430	600
"UT"	2008	"Davis"	"Clearfield 3 "	80	212	306
"UT"	2008	"Davis"	"Clearfield 4 "	159	349	536
"UT"	2008	"Davis"	"Clearfield 5 "	236	365	649
"UT"	2008	"Davis"	"Clearfield 6 "	215	345	600
"UT"	2008	"Davis"	"Clearfield 7 "	137	216	371
"UT"	2008	"Davis"	"Clearfield 8 "	212	417	658
"UT"	2008	"Davis"	"Clearfield 9 "	161	355	538
"UT"	2008	"Davis"	"Clinton 1 "	165	378	579
"UT"	2008	"Davis"	"Clinton 10 "	232	550	816
"UT"	2008	"Davis"	"Clinton 2 "	147	424	605
"UT"	2008	"Davis"	"Clinton 3 "	117	365	508
"UT"	2008	"Davis"	"Clinton 4 "	108	235	353
"UT"	2008	"Davis"	"Clinton 5 "	222	530	776
"UT"	2008	"Davis"	"Clinton 6 "	87	190	288
"UT"	2008	"Davis"	"Clinton 7 "	216	494	752
"UT"	2008	"Davis"	"Clinton 8 "	192	501	736
"UT"	2008	"Davis"	"Clinton 9 "	230	480	738
"UT"	2008	"Davis"	"Farmington 1 "	168	517	715
"UT"	2008	"Davis"	"Farmington 10 "	188	548	773
"UT"	2008	"Davis"	"Farmington 11 "	196	531	762
"UT"	2008	"Davis"	"Farmington 2 "	132	343	502
"UT"	2008	"Davis"	"Farmington 3 "	183	387	596
"UT"	2008	"Davis"	"Farmington 4 "	187	540	765
"UT"	2008	"Davis"	"Farmington 5 "	140	399	564
"UT"	2008	"Davis"	"Farmington 6 "	146	522	690
"UT"	2008	"Davis"	"Farmington 7 "	120	409	553
"UT"	2008	"Davis"	"Farmington 8 "	172	375	581
"UT"	2008	"Davis"	"Farmington 9 "	171	612	823
"UT"	2008	"Davis"	"Federal Only"	23	40	64
"UT"	2008	"Davis"	"Fruit Heights 1 "	134	455	618
"UT"	2008	"Davis"	"Fruit Heights 2 "	137	471	637
"UT"	2008	"Davis"	"Fruit Heights 3 "	140	462	638
"UT"	2008	"Davis"	"Fruit Heights 4 "	108	465	602
"UT"	2008	"Davis"	"Hill AFB 1 "	20	25	45
"UT"	2008	"Davis"	"Hill AFB 2 "	53	84	137
"UT"	2008	"Davis"	"Job Corps 1 "	19	3	24
"UT"	2008	"Davis"	"Kaysville 1 "	139	560	737
"UT"	2008	"Davis"	"Kaysville 10 "	183	485	707
"UT"	2008	"Davis"	"Kaysville 11 "	122	676	816
"UT"	2008	"Davis"	"Kaysville 12 "	119	616	754
"UT"	2008	"Davis"	"Kaysville 13 "	174	657	861
"UT"	2008	"Davis"	"Kaysville 14 "	126	630	797
"UT"	2008	"Davis"	"Kaysville 15 "	105	561	695
"UT"	2008	"Davis"	"Kaysville 16 "	197	872	1099
"UT"	2008	"Davis"	"Kaysville 2 "	156	624	830
