state	year	fips_pct	fips_cnty	precinct_code	county	precinct	cd	ld	g2006_REG_tv	g2006_BALL_tv	g2006_USS_rv	g2006_USS_dv	g2006_USS_tv	g2006_USH_rv	g2006_USH_dv	g2006_USH_tv
"VA"	2006	1101	51001	101	"ACCOMACK COUNTY"	"CHINCOTEAGUE"	2	100	2559	1314	786	489	1292	806	485	1293
"VA"	2006	1201	51001	201	"ACCOMACK COUNTY"	"ATLANTIC"	2	100	817	393	224	159	387	230	158	388
"VA"	2006	1202	51001	202	"ACCOMACK COUNTY"	"GREENBACKVILLE"	2	100	681	335	186	142	329	183	147	330
"VA"	2006	1203	51001	203	"ACCOMACK COUNTY"	"HALLWOOD"	2	100	508	239	151	74	230	150	85	235
"VA"	2006	1204	51001	204	"ACCOMACK COUNTY"	"SAXIS"	2	100	358	131	80	39	125	84	42	126
"VA"	2006	1205	51001	205	"ACCOMACK COUNTY"	"TANGIER"	2	100	454	247	187	52	239	183	50	233
"VA"	2006	1301	51001	301	"ACCOMACK COUNTY"	"NEW CHURCH"	2	100	1078	426	181	203	391	181	216	397
"VA"	2006	1302	51001	302	"ACCOMACK COUNTY"	"OAK HALL"	2	100	1102	502	209	263	481	221	255	478
"VA"	2006	1401	51001	401	"ACCOMACK COUNTY"	"BLOXOM"	2	100	714	284	169	103	274	167	108	275
"VA"	2006	1402	51001	402	"ACCOMACK COUNTY"	"PARKSLEY"	2	100	1333	614	314	278	600	314	285	599
"VA"	2006	1501	51001	501	"ACCOMACK COUNTY"	"MAPPSVILLE"	2	100	893	368	149	200	359	149	208	357
"VA"	2006	1502	51001	502	"ACCOMACK COUNTY"	"RUE"	2	100	915	342	102	226	335	103	235	339
"VA"	2006	1601	51001	601	"ACCOMACK COUNTY"	"ACCOMAC"	2	100	1975	889	391	461	862	401	452	856
"VA"	2006	1701	51001	701	"ACCOMACK COUNTY"	"ONANCOCK"	2	100	1967	1019	538	450	1001	557	440	997
"VA"	2006	1702	51001	702	"ACCOMACK COUNTY"	"ONLEY"	2	100	547	311	166	132	300	178	125	304
"VA"	2006	1801	51001	801	"ACCOMACK COUNTY"	"BOBTOWN"	2	100	493	305	182	116	300	191	110	302
"VA"	2006	1802	51001	802	"ACCOMACK COUNTY"	"KELLER"	2	100	387	167	73	91	165	75	87	162
"VA"	2006	1803	51001	803	"ACCOMACK COUNTY"	"MELFA"	2	100	990	442	181	243	429	176	249	425
"VA"	2006	1804	51001	804	"ACCOMACK COUNTY"	"QUINBY"	2	100	305	170	94	68	167	95	67	163
"VA"	2006	1805	51001	805	"ACCOMACK COUNTY"	"WACHAPREAGUE"	2	100	415	211	121	84	208	123	81	204
"VA"	2006	1901	51001	901	"ACCOMACK COUNTY"	"PAINTER"	2	100	2327	1120	424	648	1088	429	665	1095
"VA"	2006	3101	51003	101	"ALBEMARLE COUNTY"	"WOODBROOK"	5	58	2598	1604	722	858	1593	787	792	1591
"VA"	2006	3103	51003	103	"ALBEMARLE COUNTY"	"BRANCHLANDS"	5	57	1187	583	191	376	575	207	360	573
"VA"	2006	3104	51003	104	"ALBEMARLE COUNTY"	"AGNOR-HURT"		57	2418	1180	396	768	1174	430	712	1160
"VA"	2006	3105	51003	105	"ALBEMARLE COUNTY"	"DUNLORA"	5	57	2088	1205	440	749	1195	472	712	1203
"VA"	2006	3106	51003	106	"ALBEMARLE COUNTY"	"NORTHSIDE"	5	58	1833	1140	573	555	1134	589	531	1126
"VA"	2006	3201	51003	201	"ALBEMARLE COUNTY"	"JACK JOUETT"		57	2347	1244	502	721	1237	530	685	1231
"VA"	2006	3202	51003	202	"ALBEMARLE COUNTY"	"UNIVERSITY HALL"	5	57	1735	548	159	384	548	175	360	541
"VA"	2006	3203	51003	203	"ALBEMARLE COUNTY"	"GEORGETOWN"	5	57	2998	1228	349	856	1223	376	829	1217
"VA"	2006	3204	51003	204	"ALBEMARLE COUNTY"	"BELFIELD"	5	58	1323	798	347	440	790	391	383	781
"VA"	2006	3301	51003	301	"ALBEMARLE COUNTY"	"IVY"	5	57	3747	2449	924	1486	2437	1009	1390	2417
