state	year	fips	county_code	precinct_code	county	precinct	cd	ld	sd	g2008_REG_tv	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"VA"	2008	1601	51001	601	"ACCOMACK COUNTY"	"ACCOMAC"	13	27	46	2063	638	616	1272	802	399	1214	645	578	1224
"VA"	2008	1201	51001	201	"ACCOMACK COUNTY"	"ATLANTIC"	13	27	46	895	208	351	569	285	261	554	228	330	558
"VA"	2008	1401	51001	401	"ACCOMACK COUNTY"	"BLOXOM"	13	27	46	787	174	306	489	255	201	471	194	276	472
"VA"	2008	1801	51001	801	"ACCOMACK COUNTY"	"BOBTOWN"	13	27	46	502	134	213	350	184	164	352	140	211	351
"VA"	2008	1101	51001	101	"ACCOMACK COUNTY"	"CHINCOTEAGUE"	13	27	46	2625	542	1173	1735	819	822	1662	623	1062	1685
"VA"	2008	1202	51001	202	"ACCOMACK COUNTY"	"GREENBACKVILLE"	13	27	46	809	185	353	542	248	264	517	186	333	519
"VA"	2008	1203	51001	203	"ACCOMACK COUNTY"	"HALLWOOD"	13	27	46	537	108	214	329	174	149	331	123	208	331
"VA"	2008	1802	51001	802	"ACCOMACK COUNTY"	"KELLER"	13	27	46	436	147	126	278	181	83	268	153	116	269
"VA"	2008	1501	51001	501	"ACCOMACK COUNTY"	"MAPPSVILLE"	13	27	46	1083	442	249	698	489	180	678	427	246	673
"VA"	2008	1803	51001	803	"ACCOMACK COUNTY"	"MELFA"	13	27	46	1092	438	292	740	499	195	710	422	290	713
"VA"	2008	1301	51001	301	"ACCOMACK COUNTY"	"NEW CHURCH"	13	27	46	1210	489	228	733	511	179	709	449	247	697
"VA"	2008	1302	51001	302	"ACCOMACK COUNTY"	"OAK HALL"	13	27	46	1222	472	297	777	511	221	746	446	307	753
"VA"	2008	1701	51001	701	"ACCOMACK COUNTY"	"ONANCOCK"	13	27	46	2077	577	716	1313	807	475	1303	613	692	1305
"VA"	2008	1702	51001	702	"ACCOMACK COUNTY"	"ONLEY"	13	27	46	560	138	259	401	231	162	395	162	234	396
"VA"	2008	1901	51001	901	"ACCOMACK COUNTY"	"PAINTER"	13	27	46	2576	1077	629	1720	1277	392	1693	1062	623	1685
