state	year	county	cd	precinct	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv
"VA"	2010	"Accomack County"	2	"101 - CHINCOTEAGUE"	366	834	1229
"VA"	2010	"Accomack County"	2	"201 - ATLANTIC"	105	266	382
"VA"	2010	"Accomack County"	2	"202 - GREENBACKVILLE"	121	279	408
"VA"	2010	"Accomack County"	2	"203 - HALLWOOD"	52	164	219
"VA"	2010	"Accomack County"	2	"204 - SAXIS"	20	85	109
"VA"	2010	"Accomack County"	2	"205 - TANGIER"	33	163	205
"VA"	2010	"Accomack County"	2	"301 - NEW CHURCH"	193	154	359
"VA"	2010	"Accomack County"	2	"302 - OAK HALL"	215	219	442
"VA"	2010	"Accomack County"	2	"401 - BLOXOM"	89	217	314
"VA"	2010	"Accomack County"	2	"402 - PARKSLEY"	201	364	575
"VA"	2010	"Accomack County"	2	"501 - MAPPSVILLE"	195	189	395
"VA"	2010	"Accomack County"	2	"502 - RUE"	240	113	356
"VA"	2010	"Accomack County"	2	"601 - ACCOMAC"	400	456	872
"VA"	2010	"Accomack County"	2	"701 - ONANCOCK"	404	549	977
"VA"	2010	"Accomack County"	2	"702 - ONLEY"	110	180	297
"VA"	2010	"Accomack County"	2	"801 - BOBTOWN"	86	196	288
"VA"	2010	"Accomack County"	2	"802 - KELLER"	91	86	185
"VA"	2010	"Accomack County"	2	"803 - MELFA"	229	215	450
"VA"	2010	"Accomack County"	2	"804 - QUINBY"	46	104	156
"VA"	2010	"Accomack County"	2	"805 - WACHAPREAGUE"	86	130	225
"VA"	2010	"Accomack County"	2	"901 - PAINTER"	604	464	1088
"VA"	2010	"Albemarle County"	5	"101 - WOODBROOK"	907	745	1670
"VA"	2010	"Albemarle County"	5	"103 - BRANCHLANDS"	403	201	609
"VA"	2010	"Albemarle County"	5	"104 - AGNOR-HURT"	868	366	1257
"VA"	2010	"Albemarle County"	5	"105 - DUNLORA"	776	475	1267
"VA"	2010	"Albemarle County"	5	"106 - NORTHSIDE"	613	644	1281
"VA"	2010	"Albemarle County"	5	"201 - JACK JOUETT"	715	540	1264
"VA"	2010	"Albemarle County"	5	"202 - UNIVERSITY HALL"	527	182	711
"VA"	2010	"Albemarle County"	5	"203 - GEORGETOWN"	911	322	1251
"VA"	2010	"Albemarle County"	5	"204 - BELFIELD"	387	358	759
"VA"	2010	"Albemarle County"	5	"301 - IVY"	1438	969	2431
"VA"	2010	"Albemarle County"	5	"302 - RED HILL"	961	641	1620
"VA"	2010	"Albemarle County"	5	"304 - EAST IVY"	543	369	915
"VA"	2010	"Albemarle County"	5	"305 - COUNTRY GREEN"	712	474	1193
"VA"	2010	"Albemarle County"	5	"401 - SCOTTSVILLE"	415	435	858
"VA"	2010	"Albemarle County"	5	"402 - MONTICELLO"	343	396	751
"VA"	2010	"Albemarle County"	5	"403 - PORTERS"	554	250	819
"VA"	2010	"Albemarle County"	5	"405 - CALE"	1562	658	2250
"VA"	2010	"Albemarle County"	5	"406 - STONE ROBINSON"	765	1002	1783
"VA"	2010	"Albemarle County"	5	"501 - KESWICK"	431	354	792
"VA"	2010	"Albemarle County"	5	"502 - STONY POINT"	417	449	887
"VA"	2010	"Albemarle County"	5	"503 - HOLLYMEAD"	1436	1308	2785
"VA"	2010	"Albemarle County"	5	"504 - FREE BRIDGE"	1149	773	1940
"VA"	2010	"Albemarle County"	5	"505 - BURNLEY"	470	371	850
"VA"	2010	"Albemarle County"	5	"601 - CROZET"	1227	910	2176
"VA"	2010	"Albemarle County"	5	"602 - FREE UNION"	446	382	842
"VA"	2010	"Albemarle County"	5	"603 - EARLYSVILLE"	918	962	1904
"VA"	2010	"Albemarle County"	5	"604 - BROWNSVILLE"	1118	859	1999
"VA"	2010	"Albemarle County"	5	"605 - YELLOW MOUNTAIN"	219	176	405
"VA"	2010	"Alexandria City"	8	"101 - LADREY SENIOR BUILDING"	563	465	1054
"VA"	2010	"Alexandria City"	8	"102 - CITY HALL"	615	605	1239
"VA"	2010	"Alexandria City"	8	"103 - LYLES CROUCH SCHOOL"	638	541	1200
"VA"	2010	"Alexandria City"	8	"104 - DURANT CENTER"	1041	542	1610
"VA"	2010	"Alexandria City"	8	"105 - LEE CENTER"	1156	712	1898
"VA"	2010	"Alexandria City"	8	"106 - CORA KELLY CENTER"	1432	456	1919
"VA"	2010	"Alexandria City"	8	"107 - MT VERNON RECREATION CENTER"	1220	563	1821
"VA"	2010	"Alexandria City"	8	"108 - GEORGE WASHINGTON MIDDLE SCH"	1021	359	1401
