state	year	county	town	g2000_USP_rv	g2000_USP_dv	g2000_ATG_dv	g2000_ATG_iv	g2000_AUD_rv	g2000_AUD_dv	g2000_GOV_dv	g2000_GOV_rv	g2000_LTG_rv	g2000_LTG_dv	g2000_SOS_rv	g2000_SOS_dv	g2000_USH_rv	g2000_USH_iv	g2000_USS_dv	g2000_USS_rv
"VT"	2000	"Addison County"	"Addison"	385	262	587	58	378	272	280	344	350	320	311	335	169	434	109	524
"VT"	2000	"Addison County"	"Bridport"	327	301	543	83	342	272	293	306	295	335	284	336	135	426	111	499
"VT"	2000	"Addison County"	"Bristol"	664	865	1345	246	754	832	888	612	635	943	566	1019	269	1235	441	1111
"VT"	2000	"Addison County"	"Cornwall"	240	397	577	54	281	364	449	186	211	440	189	454	119	475	168	458
"VT"	2000	"Addison County"	"Ferrisburgh"	681	597	1120	125	645	666	664	599	647	671	550	756	261	924	256	975
"VT"	2000	"Addison County"	"Goshen"	52	60	89	27	43	74	76	36	39	73	38	79	19	85	32	81
"VT"	2000	"Addison County"	"Granville"	56	81	114	34	55	88	83	54	55	80	57	88	30	111	48	93
"VT"	2000	"Addison County"	"Hancock"	80	84	143	27	74	88	73	81	74	88	67	102	29	129	34	125
"VT"	2000	"Addison County"	"Leicester"	242	224	393	50	246	200	204	235	217	226	203	252	113	316	91	341
"VT"	2000	"Addison County"	"Lincoln"	223	369	520	121	263	397	404	212	201	432	208	443	107	517	185	466
"VT"	2000	"Addison County"	"Middlebury 4-1"	3	11	8	1	1	11	14	2	1	10	1	10	1	3	11	2
"VT"	2000	"Addison County"	"Middlebury 4-2"	1064	2084	2742	373	1184	2003	2220	810	916	2249	835	2359	475	2467	1047	2137
"VT"	2000	"Addison County"	"Monkton"	335	530	791	112	353	547	547	311	349	566	247	663	136	720	240	643
"VT"	2000	"Addison County"	"New Haven"	386	457	756	92	420	432	461	363	369	473	324	519	149	653	198	656
"VT"	2000	"Addison County"	"Orwell"	315	267	501	70	345	212	275	245	285	285	251	332	135	396	126	446
"VT"	2000	"Addison County"	"Panton"	165	148	295	19	181	145	164	145	163	160	122	204	75	228	76	231
"VT"	2000	"Addison County"	"Ripton"	90	174	234	48	96	182	167	87	83	186	81	202	42	236	82	189
"VT"	2000	"Addison County"	"Salisbury"	237	260	444	69	257	239	254	240	196	296	202	295	125	365	113	367
"VT"	2000	"Addison County"	"Shoreham"	274	286	497	75	270	299	293	250	243	320	229	339	108	425	133	421
"VT"	2000	"Addison County"	"Starksboro"	303	436	653	148	308	501	453	280	271	510	236	561	107	666	233	537
"VT"	2000	"Addison County"	"Vergennes"	457	520	823	98	434	486	540	410	432	535	327	598	151	767	244	712
"VT"	2000	"Addison County"	"Waltham"	110	127	205	32	107	120	131	99	108	129	86	151	40	176	52	167
"VT"	2000	"Addison County"	"Weybridge"	190	284	435	46	212	276	340	118	160	332	129	351	82	374	117	374
"VT"	2000	"Addison County"	"Whiting"	74	112	166	21	87	99	115	72	60	128	58	130	23	124	38	141
"VT"	2000	"Bennington County"	"Arlington"	539	584	1030	175	553	601	657	518	512	633	513	685	328	726	323	822
"VT"	2000	"Bennington County"	"Bennington 2-1"	882	1189	1704	335	820	1125	1146	886	734	1238	706	1312	463	1386	587	1459
"VT"	2000	"Bennington County"	"Bennington 2-1 NB"	138	366	410	106	137	371	368	133	116	398	120	410	78	392	234	288
"VT"	2000	"Bennington County"	"Bennington 2-2"	319	487	651	133	275	479	429	375	252	521	254	523	182	535	235	552
"VT"	2000	"Bennington County"	"Bennington 2-3"	1039	1690	2183	455	1020	1546	1620	1056	881	1703	868	1756	541	1880	859	1805
"VT"	2000	"Bennington County"	"Bennington 2-4"	6	13	13	4	4	13	11	7	3	14	4	13	5	11	6	14
"VT"	2000	"Bennington County"	"Dorset"	567	521	888	154	599	425	391	606	619	419	578	483	438	557	220	846
"VT"	2000	"Bennington County"	"Landgrove"	45	42	82	10	45	48	55	32	36	50	36	62	35	61	23	77
"VT"	2000	"Bennington County"	"Manchester"	1081	975	1708	264	1073	855	879	1064	1089	842	1020	980	712	1087	423	1552
"VT"	2000	"Bennington County"	"Peru"	87	106	158	28	101	82	79	98	107	68	99	94	75	103	41	151
"VT"	2000	"Bennington County"	"Pownal"	601	773	1088	264	581	713	587	766	555	726	550	791	307	868	365	954
"VT"	2000	"Bennington County"	"Readsboro"	155	173	248	58	132	162	147	183	140	156	137	175	93	143	114	168
"VT"	2000	"Bennington County"	"Rupert"	214	181	305	73	216	148	175	205	198	155	206	168	159	192	79	286
"VT"	2000	"Bennington County"	"Sandgate"	87	81	125	36	86	68	68	97	87	75	79	90	58	87	48	100
"VT"	2000	"Bennington County"	"Searsburg"	0	19	27	7	27	8	3	43	33	6	25	12	15	19	4	25
"VT"	2000	"Bennington County"	"Shaftsbury"	848	1104	1570	309	834	1010	1070	847	753	1124	717	1218	483	1252	519	1375
"VT"	2000	"Bennington County"	"Stamford"	207	205	298	78	178	175	177	246	207	159	197	182	133	170	108	246
"VT"	2000	"Bennington County"	"Sunderland"	217	208	345	69	199	198	219	181	165	217	189	226	124	233	113	289
"VT"	2000	"Bennington County"	"Winhall"	186	212	343	56	222	166	160	231	224	152	215	184	151	213	89	308
"VT"	2000	"Bennington County"	"Woodford"	66	92	124	40	56	94	71	84	65	84	47	108	24	102	57	96
"VT"	2000	"Caledonia County"	"Barnet"	430	364	655	139	539	241	335	417	446	388	406	433	189	571	226	542
"VT"	2000	"Caledonia County"	"Burke"	370	329	567	116	468	244	314	346	344	357	324	370	148	478	157	474
"VT"	2000	"Caledonia County"	"Danville"	636	500	1010	115	828	327	496	570	584	541	539	576	270	742	250	819
"VT"	2000	"Caledonia County"	"Groton"	305	169	377	54	302	123	153	309	295	155	247	189	109	256	94	279
"VT"	2000	"Caledonia County"	"Hardwick"	544	660	984	230	574	612	589	537	535	668	439	778	180	975	327	865
