state	year	county	town	g2002_USH_dv	g2002_USH_rv	g2002_GOV_dv	g2002_GOV_rv	g2002_LTG_dv	g2002_LTG_rv	g2002_SOS_dv	g2002_SOS_rv	g2002_ATG_dv	g2002_ATG_rv
"VT"	2002	"ADDISON COUNTY"	"Addison"	315	263	188	390	164	345	288	308	288	231
"VT"	2002	"ADDISON COUNTY"	"Bridport"	317	220	164	361	143	313	286	254	247	190
"VT"	2002	"ADDISON COUNTY"	"Bristol"	1020	409	675	684	471	583	912	501	820	384
"VT"	2002	"ADDISON COUNTY"	"Cornwall"	386	197	300	255	245	206	382	192	338	138
"VT"	2002	"ADDISON COUNTY"	"Ferrisburgh"	725	474	442	662	330	601	702	473	690	384
"VT"	2002	"ADDISON COUNTY"	"Goshen"	63	41	46	53	34	44	60	39	40	30
"VT"	2002	"ADDISON COUNTY"	"Granville"	81	25	60	37	27	36	71	28	54	27
"VT"	2002	"ADDISON COUNTY"	"Hancock"	87	39	53	58	38	50	78	46	62	38
"VT"	2002	"ADDISON COUNTY"	"Leicester"	269	199	166	278	154	233	234	218	194	167
"VT"	2002	"ADDISON COUNTY"	"Lincoln"	464	158	336	254	226	206	423	179	352	147
"VT"	2002	"ADDISON COUNTY"	"Middlebury"	1973	759	1358	1289	1054	945	1878	799	1561	538
"VT"	2002	"ADDISON COUNTY"	"Middlebury 4-1(00)"										
"VT"	2002	"ADDISON COUNTY"	"Middlebury 4-2(00)"										
"VT"	2002	"ADDISON COUNTY"	"Monkton"	595	243	412	362	211	329	556	256	509	187
"VT"	2002	"ADDISON COUNTY"	"New Haven"	507	257	310	390	277	332	437	291	414	187
"VT"	2002	"ADDISON COUNTY"	"Orwell"	278	234	170	289	125	262	243	255	226	196
"VT"	2002	"ADDISON COUNTY"	"Panton"	180	97	85	168	72	155	156	119	149	96
"VT"	2002	"ADDISON COUNTY"	"Ripton"	217	69	169	101	124	79	200	74	152	51
"VT"	2002	"ADDISON COUNTY"	"Salisbury"	272	164	159	265	147	215	244	176	206	139
"VT"	2002	"ADDISON COUNTY"	"Shoreham"	321	171	202	258	170	213	291	185	249	133
"VT"	2002	"ADDISON COUNTY"	"Starksboro"	501	191	355	293	218	260	450	216	399	164
"VT"	2002	"ADDISON COUNTY"	"Vergennes"	645	241	342	445	258	16	552	302	524	221
"VT"	2002	"ADDISON COUNTY"	"Waltham"	156	79	89	120	69	104	148	80	135	55
"VT"	2002	"ADDISON COUNTY"	"Weybridge"	273	156	193	216	165	171	269	146	246	104
"VT"	2002	"ADDISON COUNTY"	"Whiting"	123	41	80	77	65	63	97	65	89	41
"VT"	2002	"BENNINGTON COUNTY"	"Arlington"	467	349	361	457	336	445	475	399	402	377
"VT"	2002	"BENNINGTON COUNTY"	"Bennington 2-1"	1126	653	752	797	823	707	1107	616	927	596
"VT"	2002	"BENNINGTON COUNTY"	"Bennington 2-2"	1419	788	1007	995	1107	860	1400	773	1221	713
"VT"	2002	"BENNINGTON COUNTY"	"Bennington 2-1 NB(06)"	313	84	249	124	224	95	293	88	241	87
"VT"	2002	"BENNINGTON COUNTY"	"Bennington 2-3(00)"										
"VT"	2002	"BENNINGTON COUNTY"	"Bennington 2-4(00)"										
"VT"	2002	"BENNINGTON COUNTY"	"Dorset"	368	470	278	549	197	538	340	491	294	451
"VT"	2002	"BENNINGTON COUNTY"	"Landgrove"	49	38	41	39	24	43	61	34	45	33
"VT"	2002	"BENNINGTON COUNTY"	"Manchester"	711	778	497	953	452	867	670	818	580	762
"VT"	2002	"BENNINGTON COUNTY"	"Peru"	77	70	46	94	41	80	74	77	54	73
"VT"	2002	"BENNINGTON COUNTY"	"Pownal"	818	468	497	720	584	554	721	509	595	479
"VT"	2002	"BENNINGTON COUNTY"	"Readsboro"	141	76	123	98	125	103	138	92	122	89
"VT"	2002	"BENNINGTON COUNTY"	"Rupert - Bennington-5"	18	22	17	26	9	26	20	21	14	24
"VT"	2002	"BENNINGTON COUNTY"	"Rupert - Rutland-8"	109	115	90	123	86	108	109	118	92	117
"VT"	2002	"BENNINGTON COUNTY"	"Sandgate"	84	52	68	58	59	54	78	51	64	43
"VT"	2002	"BENNINGTON COUNTY"	"Searsburg"	20	14	2	23	9	21	10	19	6	20
"VT"	2002	"BENNINGTON COUNTY"	"Shaftsbury"	964	656	696	832	679	706	987	599	771	605
"VT"	2002	"BENNINGTON COUNTY"	"Stamford"	132	117	115	135	125	130	120	134	122	118
"VT"	2002	"BENNINGTON COUNTY"	"Sunderland"	155	149	131	160	119	145	177	131	147	124
"VT"	2002	"BENNINGTON COUNTY"	"Winhall"	149	151	96	200	82	190	133	166	114	152
"VT"	2002	"BENNINGTON COUNTY"	"Woodford"	92	41	59	57	67	40	87	45	72	42
"VT"	2002	"CALEDONIA COUNTY"	"Barnet"	375	246	220	361	128	327	295	317	263	292
"VT"	2002	"CALEDONIA COUNTY"	"Burke"	307	203	198	294	120	259	261	237	250	207
"VT"	2002	"CALEDONIA COUNTY"	"Danville"	457	376	293	510	164	486	413	447	402	373
"VT"	2002	"CALEDONIA COUNTY"	"Groton"	176	157	85	204	59	206	141	182	110	182
"VT"	2002	"CALEDONIA COUNTY"	"Hardwick"	762	260	433	455	315	390	635	352	581	332
"VT"	2002	"CALEDONIA COUNTY"	"Kirby"	111	55	69	87	48	76	79	81	71	73
"VT"	2002	"CALEDONIA COUNTY"	"Lyndon"	816	626	460	947	287	821	606	811	617	715
"VT"	2002	"CALEDONIA COUNTY"	"Newark"	118	63	75	83	52	78	90	75	85	62
"VT"	2002	"CALEDONIA COUNTY"	"Peacham"	232	111	157	150	103	130	207	133	184	108
"VT"	2002	"CALEDONIA COUNTY"	"Ryegate"	232	134	134	207	79	179	175	192	168	163
"VT"	2002	"CALEDONIA COUNTY"	"St. Johnsbury"	1159	835	640	1242	425	1099	907	1031	902	927
"VT"	2002	"CALEDONIA COUNTY"	"Sheffield"	119	62	58	103	38	94	87	84	71	87
"VT"	2002	"CALEDONIA COUNTY"	"Stannard"	73	15	49	30	33	28	63	23	48	25
"VT"	2002	"CALEDONIA COUNTY"	"Sutton"	181	115	105	182	63	168	145	150	138	132
"VT"	2002	"CALEDONIA COUNTY"	"Walden"	267	93	151	167	93	141	210	133	186	115
"VT"	2002	"CALEDONIA COUNTY"	"Waterford"	240	258	118	354	102	326	178	315	187	278
"VT"	2002	"CALEDONIA COUNTY"	"Wheelock"	115	90	76	125	45	109	101	105	103	94
"VT"	2002	"CHITTENDEN COUNTY"	"Bolton"	281	132	176	198	123	168	267	143	254	101
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington-Chittenden 3-1"										
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-1 W4(02)"	1302	654	997	829	787	836	1318	596	1381	402
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-1 W7(02)"	778	278	527	430	416	400	706	304	722	215
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington-Chittenden 3-2"										
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-2 W2(02)"	130	19	106	27	61	23	117	18	92	17
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-2 W3(02)"	109	17	93	27	45	23	103	20	79	13
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-2 W4(02)"	241	114	189	137	135	145	235	114	253	72
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-2 W7(02)"	647	326	477	454	365	443	640	315	681	217
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington-Chittenden 3-3"										
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-3 W2(02)"	425	61	375	80	187	80	394	59	307	41
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-3 W3(02)"	1263	192	1037	252	575	261	1114	205	904	136
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-3 W5(02)"	86	18	73	26	42	24	76	21	64	19
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-3 W6(02)"	84	10	77	17	38	13	79	13	61	8
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-3 W7(02)"	84	21	68	23	50	20	81	20	78	4
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington-Chittenden 3-4"										
"VT"	2002	"CHITTENDEN COUNTY"	"Burlington 3-4 W1(02)"	948	200	829	225	457	242	873	209	749	114
