state	year	county	town	g2004_USP_dv	g2004_USP_rv	g2004_USS_dv	g2004_USS_rv	g2004_USH_dv	g2004_USH_rv	g2004_GOV_dv	g2004_GOV_rv	g2004_LTG_dv	g2004_LTG_rv	g2004_ATG_dv	g2004_ATG_rv
"VT"	2004	"ADDISON COUNTY"	"Addison"	333	407	457	262	20	273	202	536	185	519	390	303
"VT"	2004	"ADDISON COUNTY"	"Bridport"	337	350	438	216	32	217	172	498	185	476	352	276
"VT"	2004	"ADDISON COUNTY"	"Bristol"	1151	746	1403	426	110	440	702	1171	713	1050	1191	490
"VT"	2004	"ADDISON COUNTY"	"Cornwall"	488	230	540	164	30	181	255	461	324	344	456	193
"VT"	2004	"ADDISON COUNTY"	"Ferrisburgh"	800	692	1032	419	64	455	457	1019	424	945	885	468
"VT"	2004	"ADDISON COUNTY"	"Goshen"	82	49	90	36	7	34	56	76	57	60	71	38
"VT"	2004	"ADDISON COUNTY"	"Granville"	113	39	125	21	10	24	87	62	61	62	87	38
"VT"	2004	"ADDISON COUNTY"	"Hancock"	111	69	129	38	13	34	78	100	70	98	102	44
"VT"	2004	"ADDISON COUNTY"	"Leicester"	277	277	352	177	42	188	172	380	186	338	268	229
"VT"	2004	"ADDISON COUNTY"	"Lincoln"	513	253	581	157	44	184	362	398	357	347	483	194
"VT"	2004	"ADDISON COUNTY"	"Middlebury"	2390	933	2612	628	244	634	1363	1925	1565	1515	2239	672
"VT"	2004	"ADDISON COUNTY"	"Middlebury 4-1(00)"												
"VT"	2004	"ADDISON COUNTY"	"Middlebury 4-2(00)"												
"VT"	2004	"ADDISON COUNTY"	"Monkton"	696	378	791	247	51	252	445	606	398	568	689	261
"VT"	2004	"ADDISON COUNTY"	"New Haven"	567	404	712	228	41	243	317	647	355	556	587	265
"VT"	2004	"ADDISON COUNTY"	"Orwell"	307	321	403	215	36	223	189	460	202	409	318	247
"VT"	2004	"ADDISON COUNTY"	"Panton"	175	181	243	108	18	107	102	251	115	232	213	115
"VT"	2004	"ADDISON COUNTY"	"Ripton"	237	87	252	53	15	57	169	149	183	119	206	66
"VT"	2004	"ADDISON COUNTY"	"Salisbury"	326	238	381	157	28	161	180	376	193	328	326	167
"VT"	2004	"ADDISON COUNTY"	"Shoreham"	366	256	416	169	34	156	198	389	213	363	353	203
"VT"	2004	"ADDISON COUNTY"	"Starksboro"	547	315	640	178	42	199	396	459	355	423	548	201
"VT"	2004	"ADDISON COUNTY"	"Vergennes"	664	511	882	262	62	248	398	762	369	716	726	309
