state	year	county	town	g2006_USS_iv	g2006_USS_rv	g2006_ATG_rv	g2006_ATG_dv	g2006_AUD_rv	g2006_AUD_dv	g2006_GOV_rv	g2006_GOV_dv	g2006_LTG_rv	g2006_LTG_dv	g2006_SOS_dv	g2006_SOS_rv	g2006_TRE_lv	g2006_TRE_dv	g2006_USH_rv	g2006_USH_dv
"VT"	2006	"ADDISON"	"Addison"	378	313	225	438	424	215	506	185	483	202	443	233	12	648	439	248
"VT"	2006	"ADDISON"	"Bridport"	359	257	214	376	363	198	436	179	396	215	413	188	34	565	344	247
"VT"	2006	"ADDISON"	"Bristol"	1175	479	380	1184	779	640	959	701	884	745	1217	382	77	1497	781	886
"VT"	2006	"ADDISON"	"Cornwall"	462	180	141	478	278	281	339	304	287	338	498	126	15	579	229	405
"VT"	2006	"ADDISON"	"Ferrisburgh"	832	515	406	887	718	457	876	468	831	494	939	388	46	1238	723	624
"VT"	2006	"ADDISON"	"Goshen"	74	39	30	78	64	38	68	46	57	51	90	21	9	102	54	58
"VT"	2006	"ADDISON"	"Granville"	101	29	29	97	52	61	58	70	48	80	106	23	8	116	47	79
"VT"	2006	"ADDISON"	"Hancock"	117	41	51	103	71	68	102	58	86	69	118	37	8	143	71	85
"VT"	2006	"ADDISON"	"Leicester"	317	156	165	288	244	187	319	163	275	198	321	141	21	436	243	207
"VT"	2006	"ADDISON"	"Lincoln"	519	177	148	515	268	307	312	384	292	382	545	132	48	621	262	429
"VT"	2006	"ADDISON"	"Middlebury"	2159	637	452	2172	1153	1318	1400	1402	1151	1603	2263	448	135	2470	934	1867
"VT"	2006	"ADDISON"	"Monkton"	675	272	218	692	419	377	547	413	504	437	702	219	27	867	422	522
"VT"	2006	"ADDISON"	"New Haven"	619	263	204	633	444	333	551	339	506	370	669	194	39	811	448	440
"VT"	2006	"ADDISON"	"Orwell"	346	227	199	340	311	196	397	170	359	200	364	192	25	525	313	262
"VT"	2006	"ADDISON"	"Panton"	189	131	99	210	187	93	215	100	220	95	222	93	9	290	179	143
"VT"	2006	"ADDISON"	"Ripton"	258	51	47	249	88	161	104	201	95	203	259	42	23	261	83	224
"VT"	2006	"ADDISON"	"Salisbury"	320	155	139	318	247	180	288	196	252	222	335	132	27	430	213	250
"VT"	2006	"ADDISON"	"Shoreham"	386	168	138	391	258	226	351	206	301	253	417	125	22	515	275	287
"VT"	2006	"ADDISON"	"Starksboro"	569	189	154	561	296	296	371	384	351	391	570	166	73	643	321	437
"VT"	2006	"ADDISON"	"Vergennes"	709	296	234	711	456	395	613	379	602	376	740	234	49	905	485	518
"VT"	2006	"ADDISON"	"Waltham"	187	76	65	193	124	99	146	114	138	120	206	51	8	244	123	137
"VT"	2006	"ADDISON"	"Weybridge"	343	150	98	376	235	224	268	234	216	277	393	94	15	458	182	316
"VT"	2006	"ADDISON"	"Whiting"	163	33	48	137	92	82	110	84	97	92	144	41	9	172	81	113
"VT"	2006	"BENNINGTON"	"Arlington"	653	378	327	585	364	576	628	407	526	497	702	312	54	934	450	570
"VT"	2006	"BENNINGTON"	"Bennington 2-1"	1324	635	487	1222	536	1237	1015	1001	858	1101	1522	439	118	1780	755	1203
"VT"	2006	"BENNINGTON"	"Bennington 2-1 NB"	382	88	72	337	82	323	147	321	127	328	395	71	50	386	107	370
"VT"	2006	"BENNINGTON"	"Bennington 2-2"	1694	769	582	1513	664	1513	1275	1220	1119	1346	1863	562	152	2217	938	1499
"VT"	2006	"BENNINGTON"	"Dorset"	567	417	379	561	432	479	604	394	559	422	598	365	45	877	442	537
