state	year	county	town	g2008_USP_rv	g2008_USP_dv	g2008_ATG_rv	g2008_ATG_dv	g2008_AUD_pv	g2008_AUD_drv	g2008_GOV_rv	g2008_GOV_dv	g2008_LTG_dv	g2008_LTG_rv	g2008_SOS_rv	g2008_SOS_dv
"VT"	2008	"ADDISON"	"Addison"	374	378	165	520	63	628	553	100	181	559	258	462
"VT"	2008	"ADDISON"	"Bridport"	303	385	147	455	52	557	485	88	195	466	205	429
"VT"	2008	"ADDISON"	"Bristol"	622	1379	324	1454	269	1566	1141	393	749	1150	431	1418
"VT"	2008	"ADDISON"	"Cornwall"	187	558	120	546	49	604	393	188	335	362	137	543
"VT"	2008	"ADDISON"	"Ferrisburgh"	559	948	241	1090	150	1212	985	264	476	1014	388	1056
"VT"	2008	"ADDISON"	"Goshen"	33	87	29	79	23	92	55	23	50	63	31	83
"VT"	2008	"ADDISON"	"Granville"	31	132	19	123	31	121	61	21	78	71	27	126
"VT"	2008	"ADDISON"	"Hancock"	62	133	37	129	29	145	107	25	55	122	43	129
"VT"	2008	"ADDISON"	"Leicester"	190	331	111	360	38	447	330	112	204	317	132	363
"VT"	2008	"ADDISON"	"Lincoln"	197	622	113	600	119	602	346	187	394	362	165	586
"VT"	2008	"ADDISON"	"Middlebury"	685	2772	384	2569	343	2625	1656	860	1628	1517	516	2560
"VT"	2008	"ADDISON"	"Monkton"	332	796	177	820	153	883	636	171	430	645	246	791
"VT"	2008	"ADDISON"	"New Haven"	328	695	155	750	100	817	597	196	379	602	213	738
"VT"	2008	"ADDISON"	"Orwell"	275	377	148	424	73	505	413	98	197	426	194	404
"VT"	2008	"ADDISON"	"Panton"	150	221	63	267	22	306	242	48	103	250	99	246
"VT"	2008	"ADDISON"	"Ripton"	60	288	32	243	44	252	129	104	207	116	49	262
"VT"	2008	"ADDISON"	"Salisbury"	200	369	93	404	44	451	326	94	210	326	137	376
"VT"	2008	"ADDISON"	"Shoreham"	209	455	116	461	70	515	388	122	235	383	149	457
"VT"	2008	"ADDISON"	"Starksboro"	244	661	124	640	167	648	454	156	353	469	165	633
"VT"	2008	"ADDISON"	"Vergennes"	372	834	162	926	131	969	713	224	395	751	241	886
"VT"	2008	"ADDISON"	"Waltham"	81	194	36	215	24	234	162	56	111	146	56	201
"VT"	2008	"ADDISON"	"Weybridge"	116	429	61	446	52	447	272	135	262	268	90	426
"VT"	2008	"ADDISON"	"Whiting"	57	158	31	153	16	177	114	41	79	127	39	163
"VT"	2008	"BENNINGTON"	"Arlington"	476	895	321	798	114	1067	758	369	588	666	357	873
"VT"	2008	"BENNINGTON"	"Bennington 2-1"	915	2405	513	1942	327	2367	1546	1259	1715	1294	629	2301
"VT"	2008	"BENNINGTON"	"Bennington 2-2"	1026	2297	543	1868	347	2401	1649	1162	1592	1436	693	2214
"VT"	2008	"BENNINGTON"	"Dorset"	412	860	348	702	95	985	755	288	509	669	389	738
"VT"	2008	"BENNINGTON"	"Landgrove"	25	84	25	54	10	83	48	36	53	45	29	65
"VT"	2008	"BENNINGTON"	"Manchester"	862	1600	679	1320	184	1835	1545	538	956	1329	789	1384
"VT"	2008	"BENNINGTON"	"Peru"	51	180	51	134	21	162	95	61	113	91	52	146
"VT"	2008	"BENNINGTON"	"Pownal"	584	1137	368	907	177	1225	838	666	851	726	415	1092
"VT"	2008	"BENNINGTON"	"Readsboro"	168	241	101	207	42	257	197	138	207	156	115	233
"VT"	2008	"BENNINGTON"	"Rupert - Bennington-5"	30	32	23	30	5	44	39	15	20	37	25	29
"VT"	2008	"BENNINGTON"	"Rupert - Rutland-8"	137	212	85	182	34	245	186	92	146	168	106	189
"VT"	2008	"BENNINGTON"	"Sandgate"	91	128	73	108	19	164	107	77	105	97	57	134
"VT"	2008	"BENNINGTON"	"Searsburg"	32	26	15	30	3	43	29	20	28	24	17	35
"VT"	2008	"BENNINGTON"	"Shaftsbury"	724	1271	451	1131	160	1562	1096	594	893	1005	517	1314
"VT"	2008	"BENNINGTON"	"Stamford"	203	290	107	252	33	320	253	160	241	192	147	260
"VT"	2008	"BENNINGTON"	"Sunderland"	165	361	119	288	39	377	304	127	229	239	136	314
"VT"	2008	"BENNINGTON"	"Winhall"	181	364	158	276	31	397	313	122	208	269	174	289
"VT"	2008	"BENNINGTON"	"Woodford"	51	141	30	112	25	136	89	78	110	67	25	138
"VT"	2008	"CALEDONIA"	"Barnet"	366	589	217	592	66	786	548	175	316	553	281	561
"VT"	2008	"CALEDONIA"	"Burke"	312	491	179	504	42	677	487	100	254	504	235	489
"VT"	2008	"CALEDONIA"	"Danville"	516	821	267	924	82	1150	866	195	383	890	384	844
"VT"	2008	"CALEDONIA"	"Groton"	209	263	118	280	42	365	330	64	121	328	140	283
"VT"	2008	"CALEDONIA"	"Hardwick"	460	972	248	992	147	1162	817	213	478	873	277	1043
"VT"	2008	"CALEDONIA"	"Kirby"	82	168	45	164	19	208	142	40	82	156	57	169
"VT"	2008	"CALEDONIA"	"Lyndon"	920	1344	525	1434	119	1921	1513	277	564	1568	674	1344
"VT"	2008	"CALEDONIA"	"Newark"	95	164	59	151	22	214	160	32	77	164	62	166
"VT"	2008	"CALEDONIA"	"Peacham"	129	378	82	360	46	399	242	113	223	247	105	344
"VT"	2008	"CALEDONIA"	"Ryegate"	242	346	145	365	40	485	376	69	168	378	163	358
"VT"	2008	"CALEDONIA"	"Sheffield"	117	203	59	205	26	249	180	49	96	201	68	206
"VT"	2008	"CALEDONIA"	"St Johnsbury"	1183	1889	636	2063	185	2652	2004	484	882	2013	849	1932
"VT"	2008	"CALEDONIA"	"Stannard"	27	78	19	73	10	85	44	11	49	45	16	77
"VT"	2008	"CALEDONIA"	"Sutton"	196	238	104	269	37	358	293	37	103	307	131	260
"VT"	2008	"CALEDONIA"	"Walden"	158	356	87	333	56	394	274	81	157	294	104	349
"VT"	2008	"CALEDONIA"	"Waterford"	323	379	180	456	41	604	515	81	133	540	253	385
"VT"	2008	"CALEDONIA"	"Wheelock"	137	221	99	223	28	302	218	48	98	246	108	224
"VT"	2008	"CHITTENDEN"	"Bolton"	165	461	96	452	113	450	297	170	255	331	116	453
"VT"	2008	"CHITTENDEN"	"Burlington-Chittenden 3-1"	1029	2896	361	3146	489	3093	2066	954	1660	1965	702	2896
"VT"	2008	"CHITTENDEN"	"Burlington-Chittenden 3-2"	520	1687	211	1676	413	1582	1021	545	940	1017	358	1586
"VT"	2008	"CHITTENDEN"	"Burlington-Chittenden 3-3"	371	3823	268	2787	1182	2167	1002	1401	2165	925	292	2930
"VT"	2008	"CHITTENDEN"	"Burlington-Chittenden 3-4"	357	3953	286	2561	1154	2000	925	1389	2048	852	322	2626
"VT"	2008	"CHITTENDEN"	"Burlington-Chittenden 3-5"	724	4266	350	3670	1039	3205	1650	1595	2505	1565	510	3722
"VT"	2008	"CHITTENDEN"	"Burlington-Chittenden 3-6"	85	632	50	488	143	425	220	235	353	224	55	512
