state	year	county	town	g2010_REG_tv	g2010_BALL_tv	g2010_USH_rv	g2010_USH_dv	g2010_USS_rv	g2010_USS_dv	g2010_TRE_iv	g2010_TRE_dv	g2010_SOS_dv	g2010_SOS_rv	g2010_LTG_dv	g2010_LTG_rv	g2010_GOV_rv	g2010_GOV_dv	g2010_AUD_dv	g2010_AUD_rv	g2010_ATG_dv	g2010_ATG_rv
"VT"	2010	"ADDISON"	"Addison (Addison 3)"	1001	649	298	323	297	316	25	564	194	406	163	438	436	198	180	8	338	265
"VT"	2010	"ADDISON"	"Bridport (Addison 5)"	847	560	230	308	205	308	30	478	196	318	168	332	349	190	176	8	305	183
"VT"	2010	"ADDISON"	"Bristol (Addison 4)"	2781	1597	476	1037	450	1034	137	1337	792	702	646	742	760	773	727	33	998	401
"VT"	2010	"ADDISON"	"Cornwall (Addison 2)"	892	611	168	431	163	419	30	538	351	233	310	252	251	356	327	3	413	164
"VT"	2010	"ADDISON"	"Ferrisburgh (Addison 3)"	2033	1267	423	810	395	793	66	1098	598	588	470	672	676	552	515	40	754	382
"VT"	2010	"ADDISON"	"Goshen (Addison 2)"	190	93	26	64	23	63	11	75	56	31	48	38	32	58	49	2	59	23
"VT"	2010	"ADDISON"	"Granville (Orange-Addison 1)"	216	132	26	96	28	94	15	104	73	45	66	50	44	83	67	3	85	26
"VT"	2010	"ADDISON"	"Hancock (Addison 2)"	251	142	40	91	44	86	9	121	62	67	58	70	62	71	62	6	90	38
"VT"	2010	"ADDISON"	"Leicester (Addison 2)"	758	404	159	226	159	219	33	339	152	228	156	223	237	151	161	9	210	152
"VT"	2010	"ADDISON"	"Lincoln (Addison 4)"	1034	699	176	491	166	482	75	557	410	238	340	260	254	409	394	8	463	143
"VT"	2010	"ADDISON"	"Middlebury (Addison 1)"	4684	2737	550	2056	560	2002	199	2282	1723	810	1580	884	895	1757	1595	35	1921	500
"VT"	2010	"ADDISON"	"Monkton (Addison 4)"	1369	940	268	638	253	635	69	798	485	374	385	432	424	489	458	8	609	218
"VT"	2010	"ADDISON"	"New Haven (Addison 5)"	1318	851	267	551	263	534	47	741	378	412	312	458	453	367	363	17	531	233
"VT"	2010	"ADDISON"	"Orwell (Addison-Rutland 1)"	828	567	224	301	228	262	31	478	188	318	188	318	344	199	185	11	286	213
"VT"	2010	"ADDISON"	"Panton (Addison 3)"	468	281	102	160	106	153	12	251	123	141	84	169	163	102	102	6	168	87
"VT"	2010	"ADDISON"	"Ripton (Addison 2)"	451	291	53	218	48	217	21	238	189	73	160	88	79	202	175	8	209	43
"VT"	2010	"ADDISON"	"Salisbury (Addison 2)"	806	411	145	256	134	246	18	344	191	194	165	221	211	187	181	8	244	134
"VT"	2010	"ADDISON"	"Shoreham (Addison-Rutland 1)"	864	564	170	362	177	336	33	488	264	249	239	254	279	258	241	9	350	152
"VT"	2010	"ADDISON"	"Starksboro (Addison 4)"	1255	740	204	496	205	472	58	602	403	269	328	312	299	419	389	17	485	166
"VT"	2010	"ADDISON"	"Vergennes (Addison 3)"	1531	977	301	644	276	635	65	830	492	415	380	492	514	434	426	13	623	256
"VT"	2010	"ADDISON"	"Waltham (Addison 3)"	375	238	71	160	64	159	16	203	125	96	100	102	106	126	105	5	152	58
"VT"	2010	"ADDISON"	"Weybridge (Addison 5)"	661	468	115	333	105	324	24	409	264	171	231	190	178	279	248	5	333	87
"VT"	2010	"ADDISON"	"Whiting (Addison-Rutland 1)"	258	174	43	118	48	115	10	144	80	78	70	84	83	79	75	3	104	50
"VT"	2010	"BENNINGTON"	"Arlington (Bennington 5)"	1762	1019	329	617	314	611	75	833	488	437	503	395	412	570	442	41	507	335
"VT"	2010	"BENNINGTON"	"Bennington (Bennington 2-1)"	4808	2860	633	1922	548	1881	249	2179	1633	874	1577	809	937	1707	1368	132	1535	646
"VT"	2010	"BENNINGTON"	"Bennington (Bennington 2-2)"	4892	2430	614	1589	544	1565	183	1948	1287	856	1273	799	933	1385	1096	133	1254	613
"VT"	2010	"BENNINGTON"	"Dorset (Bennington-Rutland 1)"	1737	926	329	555	325	534	55	791	440	428	412	436	431	468	377	20	480	339
"VT"	2010	"BENNINGTON"	"Landgrove (Bennington-Rutland 1)"	131	83	27	62	28	62	2	86	48	36	40	37	37	53	46	2	47	32
"VT"	2010	"BENNINGTON"	"Manchester (Bennington 4)"	3430	1715	674	967	666	904	103	1439	753	826	733	826	868	792	637	40	797	698
"VT"	2010	"BENNINGTON"	"Peru (Bennington-Rutland 1)"	299	153	40	104	40	99	4	139	85	52	85	55	61	86	71	3	83	43
"VT"	2010	"BENNINGTON"	"Pownal (Bennington 1)"	2410	1194	355	741	316	741	98	964	608	448	601	419	446	683	534	75	587	339
"VT"	2010	"BENNINGTON"	"Readsboro (Windham-Bennington 1)"	532	227	73	132	65	121	12	173	119	87	111	83	80	126	114	18	116	72
"VT"	2010	"BENNINGTON"	"Rupert (Bennington 5)"	79	44	20	22	20	19	0	40	15	25	16	23	25	17	13	0	19	17
"VT"	2010	"BENNINGTON"	"Rupert (Rutland 8)"	444	243	84	137	79	134	22	192	113	105	119	97	113	121	104	13	112	86
"VT"	2010	"BENNINGTON"	"Sandgate (Bennington 5)"	288	168	59	93	61	93	14	135	82	68	83	63	68	93	81	4	75	59
"VT"	2010	"BENNINGTON"	"Searsburg (Windham-Bennington 1)"	77	45	17	17	14	15	5	34	15	25	15	17	21	15	13	8	14	14
"VT"	2010	"BENNINGTON"	"Shaftsbury (Bennington 3)"	2655	1724	511	1076	461	1051	116	1405	867	670	854	620	710	944	727	57	867	507
"VT"	2010	"BENNINGTON"	"Stamford (Windham-Bennington 1)"	594	308	123	139	111	155	19	238	145	135	130	137	148	140	127	15	130	126
"VT"	2010	"BENNINGTON"	"Sunderland (Bennington 5)"	641	377	120	239	106	224	37	296	187	153	186	152	153	213	175	14	202	114
"VT"	2010	"BENNINGTON"	"Winhall (Windham-Bennington-Windsor 1)"	702	319	148	214	144	215	39	316	173	181	169	186	209	164	149	15	176	156
"VT"	2010	"BENNINGTON"	"Woodford (Bennington 1)"	299	154	35	106	31	93	11	120	83	49	82	47	48	85	76	11	75	37
"VT"	2010	"CALEDONIA"	"Barnet (Caledonia 1)"	1312	766	307	420	308	384	65	639	325	382	273	418	412	321	272	11	385	276
"VT"	2010	"CALEDONIA"	"Burke (Caledonia 4)"	1107	603	242	331	232	321	27	522	254	307	193	350	330	246	194	6	319	224
"VT"	2010	"CALEDONIA"	"Danville (Caledonia-Washington 1)"	1737	1052	428	570	385	549	47	924	411	553	317	636	608	398	341	11	554	376
"VT"	2010	"CALEDONIA"	"Groton (Orange-Caledonia 1)"	659	382	178	172	182	162	22	319	121	223	89	246	240	122	95	5	168	163
"VT"	2010	"CALEDONIA"	"Hardwick (Caledonia 2)"	2291	1178	338	753	301	767	70	1012	565	506	392	662	566	552	463	26	711	289
"VT"	2010	"CALEDONIA"	"Kirby (Essex-Caledonia)"	326	211	77	124	77	116	12	180	99	98	76	112	108	91	74	2	114	73
"VT"	2010	"CALEDONIA"	"Lyndon (Caledonia 4)"	3145	1677	755	835	706	832	77	1462	569	988	478	1049	1076	526	444	26	767	707
"VT"	2010	"CALEDONIA"	"Newark (Essex-Caledonia-Orleans)"	400	225	89	113	88	111	13	187	101	106	69	121	119	83	173	9	106	77
