state	year	county	precinct	g2000_USP_dv	g2000_USP_rv	g2000_USS_dv	g2000_USS_rv	g2000_USH_dv	g2000_USH_rv	g2000_USP_tv	g2000_USS_tv	g2000_USH_tv
"WY"	2000	"Albany"	"Northern Albany County 11-1"	92	264	77	284	95	262	356	361	357
"WY"	2000	"Albany"	"Fairgrounds: County 12-1"	453	1091	356	1200	462	1070	1544	1556	1532
"WY"	2000	"Albany"	"Centennial School 13-1"	85	174	79	183	95	169	259	262	264
"WY"	2000	"Albany"	"Rock River Town Hall 14-1"	34	102	36	97	48	89	136	133	137
"WY"	2000	"Albany"	"Slade School 31-1"	530	863	454	946	554	815	1393	1400	1369
"WY"	2000	"Albany"	"Slade School 31-2"	612	768	502	886	631	735	1380	1388	1366
"WY"	2000	"Albany"	"Laramie Jr. High 41-1"	457	633	337	739	426	640	1090	1076	1066
"WY"	2000	"Albany"	"Laramie Jr. High 41-2"	569	1017	418	1177	566	968	1586	1595	1534
"WY"	2000	"Albany"	"Albany Public Library 51-1"	616	726	544	864	670	714	1342	1408	1384
"WY"	2000	"Albany"	"Albany Public Library 51-2"	700	970	589	1098	684	969	1670	1687	1653
"WY"	2000	"Albany"	"Beitel School 61-1"	528	622	418	736	487	628	1150	1154	1115
"WY"	2000	"Albany"	"Beitel School 61-2"	393	584	296	674	385	582	977	970	967
"WY"	2000	"Big Horn"	"Fair Grounds - Basin 1-1"	170	546	109	586	164	521	716	695	685
"WY"	2000	"Big Horn"	"Burlington Fire Hall 2-1"	21	208	12	217	17	203	229	229	220
"WY"	2000	"Big Horn"	"Burlington Fire Hall - Otto 3-1"	7	73	6	74	5	76	80	80	81
"WY"	2000	"Big Horn"	"Emblem Irrigation District Office 5-1"	11	57	9	64	7	62	68	73	69
"WY"	2000	"Big Horn"	"Hyattville Community Center 6-1"	11	91	6	93	9	93	102	99	102
"WY"	2000	"Big Horn"	"Manderson Town Hall 8-1"	23	130	19	130	21	130	153	149	151
"WY"	2000	"Big Horn"	"Greybull Elks Lodge 11-1"	293	706	182	789	244	725	999	971	969
"WY"	2000	"Big Horn"	"Shell Community Hall 16-1"	40	187	36	182	42	172	227	218	214
"WY"	2000	"Big Horn"	"Lovell National Guard Armory 20-1"	256	1086	122	1165	155	1133	1342	1287	1288
"WY"	2000	"Big Horn"	"Cowley Log Gym 22-1"	60	253	27	271	40	262	313	298	302
"WY"	2000	"Big Horn"	"Byron Town Complex 23-1"	66	233	45	240	41	245	299	285	286
"WY"	2000	"Big Horn"	"Deaver Community Hall 25-1"	21	80	9	88	13	86	101	97	99
"WY"	2000	"Big Horn"	"Frannie School Building 26-1"	25	70	16	73	20	73	95	89	93
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-1"	51	176	42	171	48	179	227	213	227
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-2"	40	121	28	126	41	118	161	154	159
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-3"	23	67	24	68	28	62	90	92	90
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-4"	66	252	51	253	68	251	318	304	319
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-5"	154	483	107	492	147	472	637	599	619
"WY"	2000	"Campbell"	"Camplex Energy Hall 1-6(00)"	63	311	44	305	59	303	374	349	362
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-7"	46	281	37	274	55	273	327	311	328
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-8"	66	382	58	373	90	352	448	431	442
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-9"	80	324	58	324	76	315	404	382	391
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-10"	64	302	50	294	73	288	366	344	361
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-11"	58	255	44	245	58	245	313	289	303
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-12"	61	311	51	303	65	299	372	354	364
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-13"	26	149	22	147	30	144	175	169	174
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-14"	121	610	86	610	126	582	731	696	708
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-15"	132	748	101	753	149	706	880	854	855
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-16"	131	565	112	564	150	548	696	676	698
"WY"	2000	"Campbell"	"Central Pavilion Camplex 1-17"	78	391	55	382	88	375	469	437	463
"WY"	2000	"Campbell"	"Central Pavilion Camplex 2-1"	45	215	36	209	50	207	260	245	257
"WY"	2000	"Campbell"	"Central Pavilion Camplex 3-1"	51	383	48	380	61	384	434	428	445
"WY"	2000	"Campbell"	"Rozet School 4-1"	66	382	50	374	73	367	448	424	440
"WY"	2000	"Campbell"	"Antelope Valley Baptist Church 5-1"	93	614	82	569	104	588	707	651	692
"WY"	2000	"Campbell"	"Rawhide School 6-1"	9	125	7	123	11	123	134	130	134
"WY"	2000	"Campbell"	"Recluse School 7-1"	17	114	16	114	16	118	131	130	134
"WY"	2000	"Campbell"	"Little Powder School 8-1"	6	28	3	28	2	29	34	31	31
"WY"	2000	"Campbell"	"First United Methodist Church 9-1"	67	414	54	403	78	401	481	457	479
"WY"	2000	"Campbell"	"Little Powder School 10-1(00)"	1	57	0	59	3	57	58	59	60
"WY"	2000	"Campbell"	"Absentee Precinct 11-1(00)"	1	10	1	10	1	10	11	11	11
"WY"	2000	"Campbell"	"Wright Town Hall 12-1"	5	83	4	79	6	76	88	83	82
"WY"	2000	"Campbell"	"4-J School 13-1"	5	102	6	92	6	97	107	98	103
"WY"	2000	"Campbell"	"Wright Town Hall 14-1"	65	423	52	393	86	385	488	445	471
"WY"	2000	"Campbell"	"Wright Town Hall 14-2"	5	153	9	146	12	139	158	155	151
"WY"	2000	"Campbell"	"4-J School 16-1(00)"	0	48	0	44	1	45	48	44	46
"WY"	2000	"Campbell"	"Moore Residence 17-1(00)"	5	22	4	20	4	19	27	24	23
"WY"	2000	"Campbell"	"Central Pavilion Camplex 18-1"	104	609	89	587	113	588	713	676	701
"WY"	2000	"Campbell"	"Antelope Valley Baptist Church 19-1"	147	660	113	660	157	656	807	773	813
"WY"	2000	"Campbell"	"Rawhide School 20-1(00)"	15	33	13	31	14	31	48	44	45
"WY"	2000	"Carbon"	"Pershing Elementary School/Rawlins 1-1"	388	238	319	276	345	258	626	595	603
"WY"	2000	"Carbon"	"Jeffrey Center/Rawlins 1-2"	123	190	98	206	115	183	313	304	298
"WY"	2000	"Carbon"	"Jeffrey Center/Rawlins 2-1"	186	335	142	363	176	327	521	505	503
"WY"	2000	"Carbon"	"Jeffrey Center/Rawlins 2-2"	277	507	225	552	273	482	784	777	755
"WY"	2000	"Carbon"	"Jeffrey Center/Rawlins 3-1"	252	394	189	440	242	383	646	629	625
"WY"	2000	"Carbon"	"Jeffrey Center/Rawlins 3-2"	197	327	159	356	204	305	524	515	509
"WY"	2000	"Carbon"	"Muddy Gap Fire Station  4-1"	6	25	3	26	7	24	31	29	31
"WY"	2000	"Carbon"	"Hanna Town Hall 6-1"	1	38	2	36	5	34	39	38	39
"WY"	2000	"Carbon"	"Medicine Bow Senior Center 7-1"	51	151	42	159	59	141	202	201	200
"WY"	2000	"Carbon"	"Hanna Town Hall 8-1"	176	285	147	291	173	278	461	438	451
"WY"	2000	"Carbon"	"Elk Mountain Senior Center 9-1"	18	133	16	142	23	135	151	158	158
"WY"	2000	"Carbon"	"McFadden Fire Station 10-1"	1	40	3	37	2	39	41	40	41
"WY"	2000	"Carbon"	"Saratoga Senior Center 11-1"	214	628	173	660	244	581	842	833	825
"WY"	2000	"Carbon"	"Saratoga Senior Center 11-2"	56	277	43	285	58	263	333	328	321
"WY"	2000	"Carbon"	"Encampment Senior Center 12-1"	73	214	63	220	83	199	287	283	282
"WY"	2000	"Carbon"	"Riverside Town Hall 12-2(00)"	47	198	41	204	52	191	245	245	243
"WY"	2000	"Carbon"	"Dixon Senior Center 14-1"	25	107	19	101	22	104	132	120	126
"WY"	2000	"Carbon"	"Baggs Senior Center 15-1"	37	233	31	234	38	222	270	265	260
"WY"	2000	"Carbon"	"Sinclair Town Hall 16-1(00)"	78	178	76	187	88	169	256	263	257
"WY"	2000	"Converse"	"Lost Springs Hall 1-1"	4	40	4	41	3	41	44	45	44
"WY"	2000	"Converse"	"Douglas Rec Center 2-2"	92	434	69	449	105	384	526	518	489
"WY"	2000	"Converse"	"White School 3-1"	13	141	10	143	18	133	154	153	151
"WY"	2000	"Converse"	"Douglas Rec Center 4-4"	56	301	47	309	70	277	357	356	347
"WY"	2000	"Converse"	"Beaver 5-5(00)"	0	23	0	23	1	22	23	23	23
"WY"	2000	"Converse"	"Glenrock Rec Center 6-6"	2	16	1	18	1	18	18	19	19
"WY"	2000	"Converse"	"Douglas Rec Center 7-7"	14	80	14	78	13	73	94	92	86
"WY"	2000	"Converse"	"Glenrock Rec Center 9-1"	127	427	89	472	135	409	554	561	544
"WY"	2000	"Converse"	"Glenrock Rec Center 9-2"	124	307	119	322	145	284	431	441	429
"WY"	2000	"Converse"	"Glenrock Rec Center 10-10"	82	366	77	373	92	346	448	450	438
"WY"	2000	"Converse"	"Glenrock Rec Center 11-11"	31	133	36	133	44	122	164	169	166
"WY"	2000	"Converse"	"Dry Creek School 13-13"	3	72	3	71	4	69	75	74	73
"WY"	2000	"Converse"	"Douglas Rec Center 20-20"	8	67	8	68	9	65	75	76	74
"WY"	2000	"Converse"	"Douglas Rec Center 23-1"	67	181	58	197	70	164	248	255	234
"WY"	2000	"Converse"	"Douglas Rec Center 23-2"	95	263	70	286	88	260	358	356	348
"WY"	2000	"Converse"	"Douglas Rec Center 23-3"	75	234	52	246	74	216	309	298	290
"WY"	2000	"Converse"	"Douglas Rec Center 23-4"	70	148	57	163	73	136	218	220	209
"WY"	2000	"Converse"	"Douglas Rec Center 23-5"	90	218	69	253	96	207	308	322	303
"WY"	2000	"Converse"	"Douglas Rec Center 23-6"	123	425	104	438	140	381	548	542	521
"WY"	2000	"Converse"	"Walker Creek 24-25(00)"	0	43	0	42	1	41	43	42	42
"WY"	2000	"Crook"	"Sundance Inside North - Courthouse 1-1"	50	235	43	236	56	229	285	279	285
"WY"	2000	"Crook"	"Sundance Inside South - Courthouse 1-2"	53	223	42	234	52	222	276	276	274
"WY"	2000	"Crook"	"Sundance Outside - Courthouse 2-2"	36	237	26	250	32	238	273	276	270
"WY"	2000	"Crook"	"Beulah Community Bldg. 3-3"	19	94	15	100	18	97	113	115	115
"WY"	2000	"Crook"	"Aladdin Community Bldg  7-7"	16	92	13	93	15	91	108	106	106
"WY"	2000	"Crook"	"Pine Creek: Four Oaks School 8-8(00)"	0	28	1	29	1	29	28	30	30
"WY"	2000	"Crook"	"Alva Church 9-9"	1	65	2	62	2	62	66	64	64
"WY"	2000	"Crook"	"Little Missouri 10-10(00)"	1	39	1	39	2	37	40	40	39
