state	year	county	precinct	g2002_USS_dv	g2002_USS_rv	g2002_USH_dv	g2002_USH_rv	g2002_GOV_dv	g2002_GOV_rv	g2002_SOS_lv	g2002_SOS_rv	g2002_USS_tv	g2002_USH_tv	g2002_GOV_tv	g2002_SOS_tv
"WY"	2002	"Albany"	"Northern Albany County 11-1"	97	272	117	243	158	206	45	292	369	360	364	337
"WY"	2002	"Albany"	"Fairgrounds: County 12-1"	445	1022	514	896	721	731	246	1122	1467	1410	1452	1368
"WY"	2002	"Albany"	"Centennial School 13-1"	87	164	96	144	120	127	46	178	251	240	247	224
"WY"	2002	"Albany"	"Rock River Town Hall 14-1"	41	79	35	78	54	66	18	97	120	113	120	115
"WY"	2002	"Albany"	"Slade School 31-1"	3	8	2	7	2	8	2	8	11	9	10	10
"WY"	2002	"Albany"	"Slade School 31-2"	488	791	623	609	815	456	247	925	1279	1232	1271	1172
"WY"	2002	"Albany"	"Albany Public Library 31-3"	350	349	390	260	495	192	201	399	699	650	687	600
"WY"	2002	"Albany"	"Spring Creek School 31-4"	231	272	281	213	350	159	112	320	503	494	509	432
"WY"	2002	"Albany"	"Laramie Jr. High 41-1"	295	543	389	407	528	306	133	605	838	796	834	738
"WY"	2002	"Albany"	"Laramie Jr. High 41-2"	40	148	59	122	88	101	13	158	188	181	189	171
"WY"	2002	"Albany"	"Indian Paintbrush School 41-3"	322	700	463	526	624	400	136	757	1022	989	1024	893
"WY"	2002	"Albany"	"American Heritage Center 41-4"	42	92	66	68	89	47	21	99	134	134	136	120
"WY"	2002	"Albany"	"Albany Public Library 51-1"	29	27	34	19	41	15	13	29	56	53	56	42
"WY"	2002	"Albany"	"Albany Public Library 51-2"	188	203	217	154	264	124	94	236	391	371	388	330
"WY"	2002	"Albany"	"Spring Creek School 51-3"	247	262	276	200	328	172	136	308	509	476	500	444
"WY"	2002	"Albany"	"Linford School 51-4"	5	18	8	13	10	12	6	14	23	21	22	20
"WY"	2002	"Albany"	"Linford School 51-5"	420	740	493	627	685	467	249	802	1160	1120	1152	1051
"WY"	2002	"Albany"	"Linford School 51-6"	163	116	170	98	209	69	99	137	279	268	278	236
"WY"	2002	"Albany"	"Beitel School 61-1"	1	0	1	0	1	0	1	0	1	1	1	1
"WY"	2002	"Albany"	"Beitel School 61-2"	307	591	396	466	519	370	138	659	898	862	889	797
"WY"	2002	"Albany"	"Whiting High School 61-3"	333	446	390	354	523	263	140	523	779	744	786	663
"WY"	2002	"Albany"	"Whiting High School 61-4"	84	174	118	135	148	113	36	189	258	253	261	225
"WY"	2002	"Big Horn"	"Fair Grounds - Basin 1-1"	131	544	153	468	284	349	103	526	675	621	633	629
"WY"	2002	"Big Horn"	"Burlington Fire Hall 2-1"	20	185	38	149	61	141	21	164	205	187	202	185
"WY"	2002	"Big Horn"	"Burlington Fire Hall - Otto 3-1"	1	71	8	60	10	59	7	57	72	68	69	64
"WY"	2002	"Big Horn"	"Emblem Irrigation District Office 5-1"	6	56	7	50	27	33	8	47	62	57	60	55
"WY"	2002	"Big Horn"	"Hyattville Community Center 6-1"	10	83	9	82	20	70	11	76	93	91	90	87
"WY"	2002	"Big Horn"	"Manderson Town Hall 8-1"	25	123	29	114	41	104	29	114	148	143	145	143
"WY"	2002	"Big Horn"	"Greybull Elks Lodge 11-1"	214	657	251	583	392	464	137	646	871	834	856	783
"WY"	2002	"Big Horn"	"Shell Community Hall 16-1"	38	144	40	133	68	107	26	138	182	173	175	164
"WY"	2002	"Big Horn"	"Lovell National Guard Armory 20-1"	168	989	235	877	355	782	148	930	1157	1112	1137	1078
"WY"	2002	"Big Horn"	"Cowley Log Gym 22-1"	40	244	49	212	74	199	39	224	284	261	273	263
"WY"	2002	"Big Horn"	"Byron Town Complex 23-1"	45	178	36	166	52	161	34	162	223	202	213	196
"WY"	2002	"Big Horn"	"Deaver Community Hall 25-1"	17	68	22	60	29	53	19	59	85	82	82	78
"WY"	2002	"Big Horn"	"Frannie School Building 26-1"	21	64	18	62	25	57	20	61	85	80	82	81
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-1"	29	177	46	150	82	123	26	166	206	196	205	192
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-2"	36	125	47	112	81	78	33	119	161	159	159	152
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-3"	38	196	57	162	95	129	30	179	234	219	224	209
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-4"	43	318	68	277	116	240	34	304	361	345	356	338
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-5"	65	435	104	375	184	312	55	422	500	479	496	477
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-7"	36	256	58	219	100	188	49	236	292	277	288	285
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-8"	30	187	53	153	88	125	37	169	217	206	213	206
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-9"	41	239	65	204	106	167	36	232	280	269	273	268
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-10"	52	298	72	258	121	221	39	289	350	330	342	328
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-11"	30	215	46	186	80	161	31	205	245	232	241	236
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-12"	45	246	68	213	115	172	39	235	291	281	287	274
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-13"	15	135	25	122	54	96	20	123	150	147	150	143
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-14"	64	527	120	444	196	388	67	492	591	564	584	559
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-15"	29	267	40	239	84	196	31	246	296	279	280	277
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-16"	67	440	118	370	175	319	73	404	507	488	494	477
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-17"	59	340	90	294	170	220	61	317	399	384	390	378
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-18"	24	158	29	145	62	112	30	147	182	174	174	177
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-19"	51	414	101	342	166	288	43	389	465	443	454	432
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-20"	11	99	21	79	41	65	14	91	110	100	106	105
"WY"	2002	"Campbell"	"Central Pavilion Camplex 1-21"	1	24	2	21	6	19	2	21	25	23	25	23
"WY"	2002	"Campbell"	"Central Pavilion Camplex 2-1"	34	217	45	191	74	163	39	194	251	236	237	233
"WY"	2002	"Campbell"	"Central Pavilion Camplex 3-1"	38	246	54	219	83	187	34	244	284	273	270	278
"WY"	2002	"Campbell"	"Rozet School 4-1"	43	342	50	322	92	280	43	326	385	372	372	369
"WY"	2002	"Campbell"	"Antelope Valley Baptist Church 5-1"	59	502	100	444	207	344	64	461	561	544	551	525
"WY"	2002	"Campbell"	"Rawhide School 6-1"	13	157	19	142	59	105	22	140	170	161	164	162
