state	year	county	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USH_dv	g2004_USH_rv	g2004_USP_tv	g2004_USH_tv
"WY"	2004	"Albany"	"Northern Albany County 11-1"	169	318	198	292	487	490
"WY"	2004	"Albany"	"Fairgrounds: County 12-1"	619	1287	772	1090	1906	1862
"WY"	2004	"Albany"	"Centennial School 13-1"	114	177	119	166	291	285
"WY"	2004	"Albany"	"Rock River Town Hall 14-1"	27	120	43	100	147	143
"WY"	2004	"Albany"	"Slade School 31-1"	24	37	28	27	61	55
"WY"	2004	"Albany"	"Slade School 31-2"	806	990	1002	765	1796	1767
"WY"	2004	"Albany"	"Albany Public Library 31-3"	588	495	675	388	1083	1063
"WY"	2004	"Albany"	"Spring Creek School 31-4"	375	275	435	218	650	653
"WY"	2004	"Albany"	"Laramie Jr. High 41-1"	522	648	644	510	1170	1154
"WY"	2004	"Albany"	"Laramie Jr. High 41-2"	82	149	104	133	231	237
"WY"	2004	"Albany"	"Indian Paintbrush School 41-3"	624	785	789	600	1409	1389
"WY"	2004	"Albany"	"American Heritage Center 41-4"	212	250	241	217	462	458
"WY"	2004	"Albany"	"Albany Public Library 51-1"	69	31	71	27	100	98
"WY"	2004	"Albany"	"Albany Public Library 51-2"	375	324	437	240	699	677
"WY"	2004	"Albany"	"Spring Creek School 51-3"	396	353	437	283	749	720
"WY"	2004	"Albany"	"Linford School 51-4"	29	47	37	37	76	74
"WY"	2004	"Albany"	"Linford School 51-5"	633	1096	832	857	1729	1689
"WY"	2004	"Albany"	"Linford School 51-6"	262	177	287	146	439	433
"WY"	2004	"Albany"	"Beitel School 61-1"	1	3	1	3	4	4
"WY"	2004	"Albany"	"Beitel School 61-2"	507	738	657	559	1245	1216
"WY"	2004	"Albany"	"Whiting High School 61-3"	545	484	648	382	1029	1030
"WY"	2004	"Albany"	"Whiting High School 61-4"	138	222	180	184	360	364
"WY"	2004	"Big Horn"	"Fair Grounds - Basin 1-1"	172	619	271	497	791	768
"WY"	2004	"Big Horn"	"Burlington Fire Hall 2-1"	25	236	44	199	261	243
"WY"	2004	"Big Horn"	"Burlington Fire Hall - Otto 3-1"	13	95	18	89	108	107
"WY"	2004	"Big Horn"	"Emblem Irrigation District Office 5-1"	8	60	12	53	68	65
