state	year	county	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	s2008_USS_dv	s2008_USS_rv	g2008_USH_dv	g2008_USH_rv	g2008_USP_tv	g2008_USS_tv	g2008_USH_tv	s2008_USS_tv
"WY"	2008	"Albany"	"Northern Albany County 11-1"	204	364	152	414	157	405	221	321	568	566	542	562
"WY"	2008	"Albany"	"Fairgrounds: County 12-1"	742	1230	532	1481	596	1403	855	1087	1972	2013	1942	1999
"WY"	2008	"Albany"	"Centennial School 13-1"	114	174	94	199	101	190	129	155	288	293	284	291
"WY"	2008	"Albany"	"Rock River Town Hall 14-1"	29	104	24	109	25	107	45	82	133	133	127	132
"WY"	2008	"Albany"	"Slade School 31-1"	42	27	38	32	41	28	42	21	69	70	63	69
"WY"	2008	"Albany"	"Slade School 31-2"	980	855	659	1180	746	1084	1095	683	1835	1839	1778	1830
"WY"	2008	"Albany"	"Albany Public Library 31-3"	768	441	559	655	614	587	792	354	1209	1214	1146	1201
"WY"	2008	"Albany"	"Spring Creek School 31-4"	435	240	339	334	364	305	457	191	675	673	648	669
"WY"	2008	"Albany"	"Laramie Jr. High 41-1"	648	579	425	799	482	736	694	503	1227	1224	1197	1218
"WY"	2008	"Albany"	"Laramie Jr. High 41-2"	130	160	84	202	96	190	149	134	290	286	283	286
"WY"	2008	"Albany"	"Indian Paintbrush School 41-3"	677	582	470	785	500	748	730	498	1259	1255	1228	1248
"WY"	2008	"Albany"	"American Heritage Center 41-4"	279	240	150	359	170	333	282	194	519	509	476	503
"WY"	2008	"Albany"	"Albany Public Library 51-1"	96	31	79	43	76	43	90	26	127	122	116	119
"WY"	2008	"Albany"	"Albany Public Library 51-2"	430	231	322	337	350	300	439	199	661	659	638	650
"WY"	2008	"Albany"	"Spring Creek School 51-3"	546	343	395	481	426	443	571	267	889	876	838	869
"WY"	2008	"Albany"	"Linford School 51-4"	44	36	37	48	32	51	49	29	80	85	78	83
"WY"	2008	"Albany"	"Linford School 51-5"	742	915	538	1135	583	1084	876	731	1657	1673	1607	1667
"WY"	2008	"Albany"	"Linford School 51-6"	267	114	217	181	237	155	283	89	381	398	372	392
"WY"	2008	"Albany"	"Beitel School 61-1"	3	2	2	3	2	3	2	2	5	5	4	5
"WY"	2008	"Albany"	"Beitel School 61-2"	680	623	489	829	530	784	754	516	1303	1318	1270	1314
"WY"	2008	"Albany"	"Whiting High School 61-3"	609	418	446	589	493	530	667	350	1027	1035	1017	1023
"WY"	2008	"Albany"	"Whiting High School 61-4"	179	227	119	286	124	277	227	173	406	405	400	401
"WY"	2008	"Big Horn"	"Fair Grounds - Basin 1-1"	192	565	133	656	128	651	284	429	757	789	713	779
"WY"	2008	"Big Horn"	"Burlington Fire Hall 2-1"	33	247	12	273	16	273	54	210	280	285	264	289
"WY"	2008	"Big Horn"	"Burlington Fire Hall - Otto 3-1"	6	102	7	106	10	102	18	88	108	113	106	112
"WY"	2008	"Big Horn"	"Emblem Irrigation District Office 5-1"	4	52	2	59	3	58	7	51	56	61	58	61
"WY"	2008	"Big Horn"	"Hyattville Community Center 6-1"	23	80	10	95	9	96	18	82	103	105	100	105
"WY"	2008	"Big Horn"	"Manderson Town Hall 8-1"	32	135	17	154	22	148	52	106	167	171	158	170
"WY"	2008	"Big Horn"	"Greybull Elks Lodge 11-1"	327	756	203	901	210	898	439	578	1083	1104	1017	1108
"WY"	2008	"Big Horn"	"Shell Community Hall 16-1"	68	199	42	230	43	229	81	171	267	272	252	272
"WY"	2008	"Big Horn"	"Lovell National Guard Armory 20-1"	242	1173	148	1296	154	1284	357	1017	1415	1444	1374	1438
"WY"	2008	"Big Horn"	"Cowley Log Gym 22-1"	52	347	30	371	33	367	84	303	399	401	387	400
"WY"	2008	"Big Horn"	"Byron Town Complex 23-1"	77	240	51	274	56	264	96	206	317	325	302	320
"WY"	2008	"Big Horn"	"Deaver Community Hall 25-1"	30	78	12	96	12	97	31	71	108	108	102	109
"WY"	2008	"Big Horn"	"Frannie School Building 26-1"	22	71	15	79	18	76	31	57	93	94	88	94
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-1"	66	215	39	248	80	203	83	177	281	287	260	283
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-2"	81	152	61	173	75	160	92	129	233	234	221	235
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-3"	66	199	53	214	93	172	89	159	265	267	248	265
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-4"	83	357	56	388	111	335	121	289	440	444	410	446
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-5"	158	460	87	538	182	437	180	388	618	625	568	619
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-7"	73	288	50	319	108	258	98	232	361	369	330	366
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-8"	63	248	49	268	84	231	91	198	311	317	289	315
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-9"	82	294	42	343	111	274	115	243	376	385	358	385
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-10"	88	444	69	466	118	412	136	357	532	535	493	530
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-11"	56	243	39	257	68	227	91	188	299	296	279	295
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-12"	101	288	51	340	114	273	132	224	389	391	356	387
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-13"	45	191	28	213	54	182	61	154	236	241	215	236
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-14"	193	662	107	762	217	652	248	568	855	869	816	869
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-15"	80	284	30	338	89	278	104	235	364	368	339	367
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-16"	188	659	108	737	214	623	273	528	847	845	801	837
